CodPuntoControl,LongitudEPSG32630,LatitudEPSG32630
1,695024.7116773892,4187246.4763657423
2,693105.1561410306,4181518.346026066
3,695238.4758410116,4181698.0921413857
4,698264.0657476727,4180265.8575962903
5,700267.6142652533,4179450.117205684
6,695829.0091863506,4176008.900458722
7,690396.7024300082,4176723.6939005125
8,693047.7091175154,4174178.030118922
9,693182.793278856,4171105.7300671446
10,695645.9552495586,4170388.2378727924
11,700350.5509754587,4169608.9781368254
12,695413.5305598581,4173437.93021035
