Fecha,Drenaje Los Alcázares,Desembocadura rambla Albujón,Aguas arriba Barrio de la Fuensanta,Badén aguas abajo La Puebla,Pasaje la balsa,EDAR Torre-Pacheco,Tuberías salmuera bajo N-332,Canal D-7,Azud CHS,Tramo Medio Rambla Albujón,Surgencia,Aliviadero,Obra de paso bajo carretera Los Urrutia,Desembocadura rambla de Miranda,Desembocadura rambla del Miedo,El Carmolí,Desembocadura rambla de las Matildes,Rambla de las Matildes - corriente sur,Lo Poyo,Lengua de Vaca,Valla Militar,Freático Los Alcázares,Venta Simón
2019-08-30,10700,0,0.0,0.0,0.0,0.0,0.0,7250,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-06,11400,0,0.0,0.0,0.0,0.0,0.0,7400,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-20,0,6440,0.0,0.0,0.0,0.0,0.0,6430,7580,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-26,0,7120,0.0,0.0,0.0,0.0,0.0,7460,7550,7930,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-02,0,7420,0.0,0.0,0.0,0.0,0.0,7040,7980,8170,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-09,0,8220,0.0,0.0,0.0,0.0,0.0,7490,8080,7900,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-16,0,7930,0.0,0.0,0.0,0.0,0.0,7590,7830,7940,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-23,12880,5640,0.0,0.0,0.0,0.0,0.0,7000,5050,2550,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-30,11320,8230,0.0,0.0,0.0,0.0,0.0,7220,7400,6510,7660.0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-31,0,7730,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,10650,10270,53800,11760,13460,28000,0,0,0,0,0
2019-11-06,11060,7950,0.0,0.0,0.0,0.0,8570.0,7626,5150,4595,7520.0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-11,12200,8430,0.0,0.0,0.0,0.0,10040.0,8140,8390,8290,8370.0,0,11190,15300,42600,0,13540,38900,0,0,0,0,0
2019-11-19,12220,7140,0.0,0.0,0.0,0.0,9560.0,7930,6950,4000,8430.0,0,11040,34500,40700,14100,9530,29200,0,0,0,0,0
2019-11-26,11950,8110,0.0,0.0,0.0,0.0,9810.0,5100,7910,7500,8090.0,0,10910,49600,51500,12970,11740,25000,0,0,0,0,0
2019-12-05,10450,6220,0.0,0.0,0.0,0.0,8790.0,6620,6180,3870,7850.0,0,8560,6340,10180,17080,11600,24400,0,0,0,0,0
2019-12-10,10870,7170,0.0,0.0,0.0,0.0,9410.0,7390,7040,8000,8040.0,0,9790,9120,25900,0,12840,22500,0,0,0,0,0
2019-12-17,11300,7920,0.0,0.0,0.0,0.0,9610.0,7660,7760,7900,8210.0,0,9990,12480,41000,0,13130,21700,0,0,0,0,0
2019-12-23,11280,7990,0.0,0.0,0.0,0.0,9600.0,7700,7840,7840,8200.0,0,10050,17300,34700,0,13440,23600,0,0,0,0,0
2019-12-30,11180,8000,0.0,0.0,0.0,0.0,9890.0,7780,7870,7770,8110.0,0,10130,2570,35600,0,13470,21900,0,0,0,0,0
2020-01-07,11160,8060,0.0,0.0,0.0,0.0,9750.0,7690,7920,8010,8070.0,0,3840,28300,45600,0,14630,21300,0,0,0,0,0
2020-01-14,10860,7570,0.0,0.0,0.0,0.0,9440.0,7610,7410,5720,7930.0,0,10100,29600,21300,0,9720,21800,0,0,0,0,0
2020-01-22,0,2890,0.0,0.0,0.0,0.0,8170.0,3650,2410,7600,7820.0,0,6370,6500,7290,0,10840,16670,0,0,0,0,0
2020-01-28,10440,7500,0.0,0.0,0.0,0.0,9470.0,7600,7310,7890,8310.0,0,9600,10090,22400,0,12500,20300,0,0,0,0,0
2020-02-04,10880,7750,0.0,0.0,0.0,0.0,9700.0,7400,7630,7410,8170.0,0,9800,12300,24800,0,12350,20900,0,0,0,0,0
2020-02-11,10680,7700,0.0,0.0,0.0,0.0,9670.0,7250,7390,7840,8030.0,0,9960,22200,31700,0,12690,21400,0,0,0,0,0
2020-02-18,11070,7710,0.0,0.0,0.0,0.0,9680.0,7280,7590,8300,8670.0,0,10040,26300,27600,0,12640,22400,0,0,0,0,0
2020-02-25,11380,8500,0.0,0.0,0.0,0.0,10400.0,8140,8350,8800,8750.0,0,10630,28900,30300,0,14140,23600,0,0,0,0,0
2020-03-03,11220,8240,0.0,0.0,0.0,0.0,9850.0,7680,8080,8680,8360.0,0,10390,29800,44800,0,13410,26300,0,0,0,0,0
2020-03-10,10840,8090,0.0,0.0,0.0,0.0,9630.0,7590,7820,8110,8210.0,0,10350,31600,33100,0,13910,33300,0,0,0,0,0
2020-03-17,11210,8015,0.0,0.0,0.0,0.0,9840.0,7210,7740,7970,8590.0,0,10330,32070,48740,0,13960,26150,0,0,0,0,0
2020-03-26,6945,5677,0.0,0.0,0.0,0.0,3893.0,5742,5380,4220,7299.0,0,6993,3240,8040,11200,10885,13710,0,0,0,0,0
2020-03-31,9762,7653,0.0,0.0,0.0,0.0,8978.0,7475,7349,7191,8611.0,0,9290,7207,12720,11990,11940,16680,0,0,0,0,0
2020-04-07,9780,7640,0.0,0.0,0.0,0.0,8710.0,7430,7730,7940,8600.0,0,9820,10890,25900,10640,12570,20800,0,0,0,0,0
2020-04-14,9430,7740,0.0,0.0,0.0,0.0,8350.0,7980,7550,5680,8880.0,0,9770,15330,33500,10120,5990,19700,0,0,0,0,0
2020-04-21,0,7510,0.0,0.0,0.0,0.0,8530.0,7430,7190,7040,8480.0,0,8710,12380,38700,9650,11820,15060,0,0,0,0,0
2020-04-28,10610,7720,0.0,0.0,0.0,0.0,8690.0,8100,7520,6160,8650.0,0,9930,33400,48400,10070,13100,17250,0,0,0,0,0
2020-05-05,10250,8037,0.0,0.0,0.0,0.0,8931.0,8125,8065,7798,8265.0,0,9763,37100,61390,11640,14500,29660,0,0,0,0,0
2020-05-12,0,8285,0.0,0.0,0.0,0.0,9721.0,8853,7771,6653,9391.0,0,11550,42910,72120,0,14140,31850,0,0,0,0,0
2020-05-19,10130,7670,0.0,0.0,0.0,0.0,8370.0,7540,7530,8070,8410.0,0,9860,33500,49500,0,13190,18080,0,0,0,0,0
2020-05-26,0,7730,0.0,0.0,0.0,0.0,8330.0,8070,7460,6540,8540.0,0,10200,35400,51000,0,13720,23300,0,0,0,0,0
2020-06-01,0,7950,0.0,0.0,0.0,0.0,8600.0,8220,7660,6890,8860.0,0,10370,39200,48500,0,13450,18630,0,0,0,0,0
2020-06-09,5830,4090,0.0,0.0,0.0,0.0,5270.0,6390,3920,2070,8260.0,0,6560,44800,52900,0,5370,15500,0,0,0,0,0
2020-06-16,0,7477,0.0,0.0,0.0,0.0,8737.0,7839,7190,6386,8540.0,0,10240,51010,67470,0,14830,25440,0,0,0,0,0
2020-06-22,9738,8120,0.0,0.0,0.0,0.0,9956.0,8337,7897,6529,8471.0,0,10690,56430,77280,0,13570,29440,0,0,0,0,0
2020-06-30,9267,8262,0.0,0.0,0.0,0.0,9753.0,7784,8245,9115,8070.0,0,10140,55790,83910,0,15870,28620,0,0,0,0,0
2020-07-07,10360,8705,0.0,0.0,0.0,0.0,10330.0,8028,8635,9166,8355.0,0,10750,55730,97010,0,17130,28390,0,0,0,0,0
2020-07-14,0,8636,0.0,0.0,0.0,0.0,9920.0,7780,8560,9800,8180.0,0,10540,60580,80750,0,15890,28610,0,0,0,0,0
2020-07-21,0,7672,0.0,0.0,0.0,0.0,9925.0,7839,7422,6912,8339.0,0,10530,61470,83330,0,16300,29830,0,0,0,0,0
2020-07-28,10030,9266,0.0,0.0,0.0,0.0,10120.0,7825,8462,9660,8450.0,0,10690,63470,84380,0,16310,30780,0,0,0,0,0
2020-08-04,8134,8137,0.0,0.0,0.0,0.0,10360.0,7848,7436,6554,8186.0,8028,10098,67840,86650,0,17290,30560,0,0,0,0,0
2020-08-11,0,7844,0.0,0.0,0.0,0.0,10510.0,7764,7891,7646,8134.0,9329,10520,62130,75440,0,18310,38160,0,0,0,0,0
2020-08-18,10170,9372,0.0,0.0,0.0,0.0,10610.0,8125,8319,8347,8443.0,10390,10730,71200,92140,0,20400,33510,0,0,0,0,0
2020-08-25,8464,9331,0.0,0.0,0.0,0.0,10690.0,8080,8325,7469,8382.0,8375,10980,75320,103200,0,19350,34240,0,0,0,0,0
2020-09-01,8903,7808,0.0,0.0,0.0,0.0,10740.0,7803,7592,7070,8284.0,9075,10800,74880,95590,0,14150,31830,0,0,0,0,0
2020-09-08,0,7020,0.0,0.0,0.0,0.0,11340.0,8309,8695,7954,8892.0,12120,10050,70350,94070,0,13790,32790,0,0,0,0,0
2020-09-15,0,8540,0.0,0.0,0.0,0.0,10430.0,7970,8390,9420,9710.0,0,10570,69500,97600,0,13120,32200,0,0,0,0,0
2020-09-22,12580,8308,0.0,0.0,0.0,0.0,10540.0,7620,8220,9134,8458.0,12600,10340,72570,101900,0,15270,29470,0,0,0,0,0
2020-09-29,8896,10860,0.0,0.0,0.0,0.0,10530.0,7515,8628,9642,8425.0,8473,9215,75700,109500,0,16980,33900,0,0,0,0,0
2020-10-06,12210,8573,0.0,0.0,0.0,0.0,10910.0,8650,8540,9968,10980.0,12440,10010,77030,111100,0,15590,31670,0,0,0,0,0
2020-10-13,10120,8800,0.0,0.0,0.0,0.0,10580.0,7620,8840,10110,8430.0,9850,10070,71840,116350,0,16090,30400,0,0,0,0,0
2020-10-20,8902,11710,0.0,0.0,0.0,0.0,10280.0,7392,7903,8988,7732.0,8255,10320,71420,97310,0,16570,30360,0,0,0,0,0
2020-10-27,9803,8738,0.0,0.0,0.0,0.0,10430.0,8215,9010,9250,0.0,9452,10820,72280,108800,0,18970,33820,0,0,0,0,0
2020-11-03,9707,11960,0.0,0.0,0.0,0.0,11300.0,8216,9251,10300,8970.0,9513,10590,73680,120100,0,18450,30060,0,0,0,0,0
2020-11-10,0,8230,0.0,0.0,0.0,0.0,0.0,7472,0,9382,0.0,8745,9380,0,0,0,0,26240,0,0,0,0,0
2020-11-17,0,8008,0.0,0.0,0.0,0.0,0.0,7267,0,9336,0.0,8556,9235,0,0,0,0,25130,0,0,0,0,0
2020-11-24,0,8145,0.0,0.0,0.0,0.0,0.0,7545,0,9502,0.0,9043,9702,0,0,0,0,24240,0,0,0,0,0
2020-12-01,0,0,0.0,0.0,0.0,0.0,0.0,7451,0,9642,0.0,8075,9560,0,0,0,0,27350,0,0,0,0,0
2020-12-08,0,0,0.0,0.0,0.0,0.0,0.0,7750,0,9770,0.0,8840,10030,0,0,0,0,28000,0,0,0,0,0
2020-12-15,0,0,0.0,0.0,0.0,0.0,0.0,7750,0,9950,0.0,8890,10130,0,0,0,0,26580,0,0,0,0,0
2020-12-22,0,0,0.0,0.0,0.0,0.0,0.0,7480,0,9338,0.0,8776,10410,0,0,0,0,25450,0,0,0,0,0
2020-12-29,0,8188,0.0,0.0,0.0,0.0,0.0,7397,0,8309,0.0,8676,9883,0,0,0,0,25820,0,0,0,0,0
2021-01-05,0,8890,0.0,0.0,0.0,0.0,0.0,8170,0,10380,0.0,0,10870,0,0,0,0,26100,0,0,0,0,0
2021-01-12,8900,7560,0.0,0.0,0.0,0.0,0.0,7460,0,6070,0.0,0,9600,0,0,0,17600,19300,0,0,0,0,0
2021-01-19,0,7650,0.0,0.0,0.0,0.0,0.0,6770,0,8700,0.0,8600,8900,0,0,0,18100,23800,0,0,0,0,0
2021-01-26,0,0,0.0,0.0,0.0,0.0,0.0,7670,0,9400,0.0,8900,9600,0,0,0,17200,24200,0,0,0,0,0
2021-02-02,0,8447,0.0,0.0,0.0,0.0,0.0,8482,0,9387,0.0,0,10080,0,0,0,0,22590,0,0,0,0,0
2021-02-09,0,8305,0.0,0.0,0.0,0.0,0.0,7776,0,9447,0.0,0,9670,0,0,0,0,24827,0,0,0,0,0
2021-02-16,0,9310,0.0,0.0,0.0,0.0,0.0,8224,0,9718,0.0,0,9203,0,0,0,0,24970,0,0,0,0,0
2021-02-23,0,8392,0.0,0.0,0.0,0.0,0.0,6715,0,9501,0.0,0,9708,0,0,0,0,26496,0,0,0,0,0
2021-03-02,0,8431,0.0,0.0,0.0,0.0,0.0,7764,0,9462,0.0,8969,9738,0,0,0,0,27646,0,0,0,0,0
2021-03-09,5640,2570,0.0,0.0,0.0,0.0,2960.0,4120,0,863,0.0,0,6390,47600,70700,0,4630,17630,0,0,0,0,0
2021-03-16,9026,8135,0.0,0.0,0.0,0.0,10783.0,7582,0,9007,0.0,8874,9280,0,0,13500,16435,22843,0,0,0,0,0
2021-03-23,8701,7863,0.0,0.0,0.0,0.0,10553.0,7390,0,8710,0.0,8620,8895,0,0,0,14258,20860,0,0,0,0,0
2021-03-30,8837,8009,0.0,0.0,0.0,0.0,0.0,7534,0,9255,0.0,8644,9223,0,0,11195,0,24854,0,0,0,0,0
2021-04-07,0,8450,0.0,0.0,0.0,0.0,0.0,7703,0,9406,0.0,9050,9456,0,0,0,0,28838,0,0,0,0,0
2021-04-13,0,8013,0.0,0.0,0.0,0.0,0.0,7474,0,8687,0.0,8794,9251,0,0,0,0,23203,0,0,0,0,0
2021-04-20,0,8063,0.0,0.0,0.0,0.0,0.0,7581,0,8914,0.0,8805,9070,0,0,0,0,23483,0,0,0,0,0
2021-04-27,0,6772,0.0,0.0,0.0,0.0,0.0,7427,0,4535,0.0,7683,8948,0,0,0,0,23190,0,0,0,0,0
2021-05-04,0,0,0.0,0.0,0.0,0.0,0.0,6785,0,8892,0.0,8295,9201,0,0,0,28772,30762,0,0,0,0,0
2021-05-11,0,7799,0.0,0.0,0.0,0.0,0.0,7500,0,9464,0.0,8645,9373,0,0,0,0,32655,0,0,0,0,0
2021-05-18,0,8324,0.0,0.0,0.0,0.0,0.0,7721,0,9647,0.0,0,9146,0,0,0,0,36655,0,0,0,0,0
2021-05-25,0,6145,0.0,0.0,0.0,0.0,0.0,6763,0,3916,0.0,7682,7886,0,0,0,7542,20168,0,0,0,0,0
2021-06-01,0,8341,0.0,0.0,0.0,0.0,0.0,7672,0,9035,0.0,8836,9504,10140,0,0,6076,27213,0,0,0,0,0
2021-06-07,0,8262,0.0,0.0,0.0,0.0,0.0,7629,0,8757,0.0,9145,9366,10811,0,0,0,25670,0,0,0,0,0
2021-06-14,0,8175,0.0,0.0,0.0,0.0,0.0,7713,0,7080,0.0,0,9715,13645,0,0,54955,39620,0,0,0,0,0
2021-06-21,0,8805,0.0,0.0,0.0,0.0,0.0,8046,0,10090,0.0,0,9830,31007,0,0,0,39056,0,0,0,0,0
2021-06-28,0,8333,0.0,0.0,0.0,0.0,0.0,7843,0,9157,0.0,0,9650,40830,0,0,0,43799,0,0,0,0,0
2021-07-05,0,7120,0.0,0.0,0.0,0.0,0.0,7641,0,6552,0.0,8812,9492,42305,0,0,0,37101,0,0,0,0,0
2021-07-12,0,7296,0.0,0.0,0.0,0.0,0.0,7715,0,5803,0.0,8825,9341,44039,0,0,0,46233,0,0,0,0,0
2021-07-19,0,7514,0.0,0.0,0.0,0.0,0.0,7883,0,7281,0.0,0,9715,49347,0,0,0,42145,0,0,0,0,0
2021-07-26,0,7000,0.0,0.0,0.0,0.0,0.0,7712,0,6094,0.0,0,9678,55542,0,0,0,41149,0,0,0,0,0
2021-08-02,0,8027,0.0,0.0,0.0,0.0,0.0,8032,0,7954,0.0,0,10171,57721,0,0,0,41032,0,0,0,0,0
2021-08-09,0,8220,0.0,0.0,0.0,0.0,0.0,7775,0,8217,0.0,0,0,0,0,0,0,44472,0,0,0,0,0
2021-08-16,0,8216,0.0,0.0,0.0,0.0,0.0,7744,0,8249,0.0,0,0,0,0,0,0,42963,0,0,0,0,0
2021-08-23,0,6819,0.0,0.0,0.0,0.0,0.0,5828,0,7685,0.0,0,0,0,0,0,0,47632,0,0,0,0,0
2021-08-24,0,6861,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,0,7176,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,0,7194,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,0,8265,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,0,7925,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,0,8127,0.0,0.0,0.0,0.0,0.0,7784,0,8762,0.0,0,0,0,0,0,0,48090,0,0,0,0,0
2021-08-31,0,8083,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
