Time Interval,Date,Buoy,Latitude,Longitude,Row,Col,Pixel_Value
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-1,37.8118,-0.784483,123,698,10.90552
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-2,37.760617,-0.8078,700,501,4.8588023
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-3,37.761783,-0.78355,687,706,31.547058
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-4,37.748233,-0.749617,839,994,122.254
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-5,37.74045,-0.727117,927,1184,
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-6,37.710417,-0.778383,1265,750,4.5527754
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-7,37.718,-0.839783,1179,230,16.508244
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-8,37.694517,-0.8104,1444,479,122.254
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-9,37.666817,-0.809683,1756,485,6.641983
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-10,37.659833,-0.781967,1834,720,5.00838
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-11,37.6518,-0.728883,1925,1169,
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-12,37.68735,-0.783783,1525,704,122.254
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-1,37.8118,-0.784483,123,698,6.3671875
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-2,37.760617,-0.8078,700,501,18.971527
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-3,37.761783,-0.78355,687,706,13.936153
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-4,37.748233,-0.749617,839,994,12.054357
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-5,37.74045,-0.727117,927,1184,8.499201
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-6,37.710417,-0.778383,1265,750,9.967749
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-7,37.718,-0.839783,1179,230,13.079857
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-8,37.694517,-0.8104,1444,479,8.263118
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-9,37.666817,-0.809683,1756,485,
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-10,37.659833,-0.781967,1834,720,4.518622
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-11,37.6518,-0.728883,1925,1169,
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-12,37.68735,-0.783783,1525,704,5.7558923
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-1,37.8118,-0.784483,123,698,
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-2,37.760617,-0.8078,700,501,122.254
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-3,37.761783,-0.78355,687,706,122.254
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-4,37.748233,-0.749617,839,994,
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-5,37.74045,-0.727117,927,1184,27.64325
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-6,37.710417,-0.778383,1265,750,27.839079
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-7,37.718,-0.839783,1179,230,9.074703
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-8,37.694517,-0.8104,1444,479,
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-9,37.666817,-0.809683,1756,485,6.4327297
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-10,37.659833,-0.781967,1834,720,122.254
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-11,37.6518,-0.728883,1925,1169,48.419563
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-12,37.68735,-0.783783,1525,704,122.254
"('2021-01-16', '2021-01-20')",2021-01-20,CTD-1,37.8118,-0.784483,123,698,
"('2021-01-16', '2021-01-20')",2021-01-20,CTD-2,37.760617,-0.8078,700,501,
"('2021-01-16', '2021-01-20')",2021-01-20,CTD-3,37.761783,-0.78355,687,706,
"('2021-01-16', '2021-01-20')",2021-01-20,CTD-4,37.748233,-0.749617,839,994,
"('2021-01-16', '2021-01-20')",2021-01-20,CTD-5,37.74045,-0.727117,927,1184,
"('2021-01-16', '2021-01-20')",2021-01-20,CTD-6,37.710417,-0.778383,1265,750,
"('2021-01-16', '2021-01-20')",2021-01-20,CTD-7,37.718,-0.839783,1179,230,
"('2021-01-16', '2021-01-20')",2021-01-20,CTD-8,37.694517,-0.8104,1444,479,
"('2021-01-16', '2021-01-20')",2021-01-20,CTD-9,37.666817,-0.809683,1756,485,
"('2021-01-16', '2021-01-20')",2021-01-20,CTD-10,37.659833,-0.781967,1834,720,
"('2021-01-16', '2021-01-20')",2021-01-20,CTD-11,37.6518,-0.728883,1925,1169,
"('2021-01-16', '2021-01-20')",2021-01-20,CTD-12,37.68735,-0.783783,1525,704,
"('2021-01-21', '2021-01-25')",2021-01-25,CTD-1,37.8118,-0.784483,123,698,
"('2021-01-21', '2021-01-25')",2021-01-25,CTD-2,37.760617,-0.8078,700,501,
"('2021-01-21', '2021-01-25')",2021-01-25,CTD-3,37.761783,-0.78355,687,706,
"('2021-01-21', '2021-01-25')",2021-01-25,CTD-4,37.748233,-0.749617,839,994,
"('2021-01-21', '2021-01-25')",2021-01-25,CTD-5,37.74045,-0.727117,927,1184,10.018069
"('2021-01-21', '2021-01-25')",2021-01-25,CTD-6,37.710417,-0.778383,1265,750,
"('2021-01-21', '2021-01-25')",2021-01-25,CTD-7,37.718,-0.839783,1179,230,
"('2021-01-21', '2021-01-25')",2021-01-25,CTD-8,37.694517,-0.8104,1444,479,
"('2021-01-21', '2021-01-25')",2021-01-25,CTD-9,37.666817,-0.809683,1756,485,
"('2021-01-21', '2021-01-25')",2021-01-25,CTD-10,37.659833,-0.781967,1834,720,
"('2021-01-21', '2021-01-25')",2021-01-25,CTD-11,37.6518,-0.728883,1925,1169,
"('2021-01-21', '2021-01-25')",2021-01-25,CTD-12,37.68735,-0.783783,1525,704,
"('2021-01-26', '2021-01-30')",2021-01-30,CTD-1,37.8118,-0.784483,123,698,
"('2021-01-26', '2021-01-30')",2021-01-30,CTD-2,37.760617,-0.8078,700,501,
"('2021-01-26', '2021-01-30')",2021-01-30,CTD-3,37.761783,-0.78355,687,706,
"('2021-01-26', '2021-01-30')",2021-01-30,CTD-4,37.748233,-0.749617,839,994,
"('2021-01-26', '2021-01-30')",2021-01-30,CTD-5,37.74045,-0.727117,927,1184,
"('2021-01-26', '2021-01-30')",2021-01-30,CTD-6,37.710417,-0.778383,1265,750,
"('2021-01-26', '2021-01-30')",2021-01-30,CTD-7,37.718,-0.839783,1179,230,
"('2021-01-26', '2021-01-30')",2021-01-30,CTD-8,37.694517,-0.8104,1444,479,
"('2021-01-26', '2021-01-30')",2021-01-30,CTD-9,37.666817,-0.809683,1756,485,
"('2021-01-26', '2021-01-30')",2021-01-30,CTD-10,37.659833,-0.781967,1834,720,
"('2021-01-26', '2021-01-30')",2021-01-30,CTD-11,37.6518,-0.728883,1925,1169,
"('2021-01-26', '2021-01-30')",2021-01-30,CTD-12,37.68735,-0.783783,1525,704,
"('2021-01-31', '2021-02-04')",2021-02-04,CTD-1,37.8118,-0.784483,123,698,14.577948
"('2021-01-31', '2021-02-04')",2021-02-04,CTD-2,37.760617,-0.8078,700,501,10.142043
"('2021-01-31', '2021-02-04')",2021-02-04,CTD-3,37.761783,-0.78355,687,706,12.666604
"('2021-01-31', '2021-02-04')",2021-02-04,CTD-4,37.748233,-0.749617,839,994,13.179337
"('2021-01-31', '2021-02-04')",2021-02-04,CTD-5,37.74045,-0.727117,927,1184,13.223509
"('2021-01-31', '2021-02-04')",2021-02-04,CTD-6,37.710417,-0.778383,1265,750,12.919628
"('2021-01-31', '2021-02-04')",2021-02-04,CTD-7,37.718,-0.839783,1179,230,13.611194
"('2021-01-31', '2021-02-04')",2021-02-04,CTD-8,37.694517,-0.8104,1444,479,10.113965
"('2021-01-31', '2021-02-04')",2021-02-04,CTD-9,37.666817,-0.809683,1756,485,5.2726774
"('2021-01-31', '2021-02-04')",2021-02-04,CTD-10,37.659833,-0.781967,1834,720,11.638015
"('2021-01-31', '2021-02-04')",2021-02-04,CTD-11,37.6518,-0.728883,1925,1169,10.2041
"('2021-01-31', '2021-02-04')",2021-02-04,CTD-12,37.68735,-0.783783,1525,704,8.48066
"('2021-02-05', '2021-02-09')",2021-02-09,CTD-1,37.8118,-0.784483,123,698,
"('2021-02-05', '2021-02-09')",2021-02-09,CTD-2,37.760617,-0.8078,700,501,
"('2021-02-05', '2021-02-09')",2021-02-09,CTD-3,37.761783,-0.78355,687,706,
"('2021-02-05', '2021-02-09')",2021-02-09,CTD-4,37.748233,-0.749617,839,994,12.879791
"('2021-02-05', '2021-02-09')",2021-02-09,CTD-5,37.74045,-0.727117,927,1184,
"('2021-02-05', '2021-02-09')",2021-02-09,CTD-6,37.710417,-0.778383,1265,750,
"('2021-02-05', '2021-02-09')",2021-02-09,CTD-7,37.718,-0.839783,1179,230,
"('2021-02-05', '2021-02-09')",2021-02-09,CTD-8,37.694517,-0.8104,1444,479,
"('2021-02-05', '2021-02-09')",2021-02-09,CTD-9,37.666817,-0.809683,1756,485,
"('2021-02-05', '2021-02-09')",2021-02-09,CTD-10,37.659833,-0.781967,1834,720,
"('2021-02-05', '2021-02-09')",2021-02-09,CTD-11,37.6518,-0.728883,1925,1169,
"('2021-02-05', '2021-02-09')",2021-02-09,CTD-12,37.68735,-0.783783,1525,704,
"('2021-02-10', '2021-02-14')",2021-02-14,CTD-1,37.8118,-0.784483,123,698,6.8277125
"('2021-02-10', '2021-02-14')",2021-02-14,CTD-2,37.760617,-0.8078,700,501,5.6630816
"('2021-02-10', '2021-02-14')",2021-02-14,CTD-3,37.761783,-0.78355,687,706,11.80856
"('2021-02-10', '2021-02-14')",2021-02-14,CTD-4,37.748233,-0.749617,839,994,10.705495
"('2021-02-10', '2021-02-14')",2021-02-14,CTD-5,37.74045,-0.727117,927,1184,6.077413
"('2021-02-10', '2021-02-14')",2021-02-14,CTD-6,37.710417,-0.778383,1265,750,6.4827046
"('2021-02-10', '2021-02-14')",2021-02-14,CTD-7,37.718,-0.839783,1179,230,5.7033877
"('2021-02-10', '2021-02-14')",2021-02-14,CTD-8,37.694517,-0.8104,1444,479,4.5169754
"('2021-02-10', '2021-02-14')",2021-02-14,CTD-9,37.666817,-0.809683,1756,485,6.2141047
"('2021-02-10', '2021-02-14')",2021-02-14,CTD-10,37.659833,-0.781967,1834,720,4.799725
"('2021-02-10', '2021-02-14')",2021-02-14,CTD-11,37.6518,-0.728883,1925,1169,39.794323
"('2021-02-10', '2021-02-14')",2021-02-14,CTD-12,37.68735,-0.783783,1525,704,25.410624
"('2021-02-15', '2021-02-19')",2021-02-19,CTD-1,37.8118,-0.784483,123,698,11.928491
"('2021-02-15', '2021-02-19')",2021-02-19,CTD-2,37.760617,-0.8078,700,501,16.1115
"('2021-02-15', '2021-02-19')",2021-02-19,CTD-3,37.761783,-0.78355,687,706,15.224113
"('2021-02-15', '2021-02-19')",2021-02-19,CTD-4,37.748233,-0.749617,839,994,14.654605
"('2021-02-15', '2021-02-19')",2021-02-19,CTD-5,37.74045,-0.727117,927,1184,15.002164
"('2021-02-15', '2021-02-19')",2021-02-19,CTD-6,37.710417,-0.778383,1265,750,14.6235485
"('2021-02-15', '2021-02-19')",2021-02-19,CTD-7,37.718,-0.839783,1179,230,13.809539
"('2021-02-15', '2021-02-19')",2021-02-19,CTD-8,37.694517,-0.8104,1444,479,14.389591
"('2021-02-15', '2021-02-19')",2021-02-19,CTD-9,37.666817,-0.809683,1756,485,14.67185
"('2021-02-15', '2021-02-19')",2021-02-19,CTD-10,37.659833,-0.781967,1834,720,14.956702
"('2021-02-15', '2021-02-19')",2021-02-19,CTD-11,37.6518,-0.728883,1925,1169,15.179345
"('2021-02-15', '2021-02-19')",2021-02-19,CTD-12,37.68735,-0.783783,1525,704,14.737382
"('2021-02-20', '2021-02-24')",2021-02-24,CTD-1,37.8118,-0.784483,123,698,19.2831
"('2021-02-20', '2021-02-24')",2021-02-24,CTD-2,37.760617,-0.8078,700,501,18.439663
"('2021-02-20', '2021-02-24')",2021-02-24,CTD-3,37.761783,-0.78355,687,706,15.54382
"('2021-02-20', '2021-02-24')",2021-02-24,CTD-4,37.748233,-0.749617,839,994,16.031647
"('2021-02-20', '2021-02-24')",2021-02-24,CTD-5,37.74045,-0.727117,927,1184,12.143885
"('2021-02-20', '2021-02-24')",2021-02-24,CTD-6,37.710417,-0.778383,1265,750,16.123802
"('2021-02-20', '2021-02-24')",2021-02-24,CTD-7,37.718,-0.839783,1179,230,14.3559885
"('2021-02-20', '2021-02-24')",2021-02-24,CTD-8,37.694517,-0.8104,1444,479,12.751925
"('2021-02-20', '2021-02-24')",2021-02-24,CTD-9,37.666817,-0.809683,1756,485,12.763664
"('2021-02-20', '2021-02-24')",2021-02-24,CTD-10,37.659833,-0.781967,1834,720,15.863149
"('2021-02-20', '2021-02-24')",2021-02-24,CTD-11,37.6518,-0.728883,1925,1169,13.213462
"('2021-02-20', '2021-02-24')",2021-02-24,CTD-12,37.68735,-0.783783,1525,704,16.146656
"('2021-02-25', '2021-03-01')",2021-03-01,CTD-1,37.8118,-0.784483,123,698,
"('2021-02-25', '2021-03-01')",2021-03-01,CTD-2,37.760617,-0.8078,700,501,
"('2021-02-25', '2021-03-01')",2021-03-01,CTD-3,37.761783,-0.78355,687,706,
"('2021-02-25', '2021-03-01')",2021-03-01,CTD-4,37.748233,-0.749617,839,994,
"('2021-02-25', '2021-03-01')",2021-03-01,CTD-5,37.74045,-0.727117,927,1184,13.963359
"('2021-02-25', '2021-03-01')",2021-03-01,CTD-6,37.710417,-0.778383,1265,750,
"('2021-02-25', '2021-03-01')",2021-03-01,CTD-7,37.718,-0.839783,1179,230,15.672701
"('2021-02-25', '2021-03-01')",2021-03-01,CTD-8,37.694517,-0.8104,1444,479,
"('2021-02-25', '2021-03-01')",2021-03-01,CTD-9,37.666817,-0.809683,1756,485,
"('2021-02-25', '2021-03-01')",2021-03-01,CTD-10,37.659833,-0.781967,1834,720,
"('2021-02-25', '2021-03-01')",2021-03-01,CTD-11,37.6518,-0.728883,1925,1169,
"('2021-02-25', '2021-03-01')",2021-03-01,CTD-12,37.68735,-0.783783,1525,704,
"('2021-03-02', '2021-03-06')",2021-03-06,CTD-1,37.8118,-0.784483,123,698,16.768078
"('2021-03-02', '2021-03-06')",2021-03-06,CTD-2,37.760617,-0.8078,700,501,
"('2021-03-02', '2021-03-06')",2021-03-06,CTD-3,37.761783,-0.78355,687,706,17.044504
"('2021-03-02', '2021-03-06')",2021-03-06,CTD-4,37.748233,-0.749617,839,994,15.442832
"('2021-03-02', '2021-03-06')",2021-03-06,CTD-5,37.74045,-0.727117,927,1184,
"('2021-03-02', '2021-03-06')",2021-03-06,CTD-6,37.710417,-0.778383,1265,750,
"('2021-03-02', '2021-03-06')",2021-03-06,CTD-7,37.718,-0.839783,1179,230,15.126025
"('2021-03-02', '2021-03-06')",2021-03-06,CTD-8,37.694517,-0.8104,1444,479,16.502798
"('2021-03-02', '2021-03-06')",2021-03-06,CTD-9,37.666817,-0.809683,1756,485,16.962694
"('2021-03-02', '2021-03-06')",2021-03-06,CTD-10,37.659833,-0.781967,1834,720,16.335287
"('2021-03-02', '2021-03-06')",2021-03-06,CTD-11,37.6518,-0.728883,1925,1169,16.566385
"('2021-03-02', '2021-03-06')",2021-03-06,CTD-12,37.68735,-0.783783,1525,704,14.927464
"('2021-03-07', '2021-03-11')",2021-03-11,CTD-1,37.8118,-0.784483,123,698,122.254
"('2021-03-07', '2021-03-11')",2021-03-11,CTD-2,37.760617,-0.8078,700,501,72.35949
"('2021-03-07', '2021-03-11')",2021-03-11,CTD-3,37.761783,-0.78355,687,706,4.6568127
"('2021-03-07', '2021-03-11')",2021-03-11,CTD-4,37.748233,-0.749617,839,994,
"('2021-03-07', '2021-03-11')",2021-03-11,CTD-5,37.74045,-0.727117,927,1184,122.254
"('2021-03-07', '2021-03-11')",2021-03-11,CTD-6,37.710417,-0.778383,1265,750,5.7033877
"('2021-03-07', '2021-03-11')",2021-03-11,CTD-7,37.718,-0.839783,1179,230,4.5510573
"('2021-03-07', '2021-03-11')",2021-03-11,CTD-8,37.694517,-0.8104,1444,479,32.33
"('2021-03-07', '2021-03-11')",2021-03-11,CTD-9,37.666817,-0.809683,1756,485,4.5044317
"('2021-03-07', '2021-03-11')",2021-03-11,CTD-10,37.659833,-0.781967,1834,720,66.347084
"('2021-03-07', '2021-03-11')",2021-03-11,CTD-11,37.6518,-0.728883,1925,1169,122.254
"('2021-03-07', '2021-03-11')",2021-03-11,CTD-12,37.68735,-0.783783,1525,704,10.273835
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-1,37.8118,-0.784483,123,698,13.080267
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-2,37.760617,-0.8078,700,501,12.369793
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-3,37.761783,-0.78355,687,706,12.483462
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-4,37.748233,-0.749617,839,994,9.679532
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-5,37.74045,-0.727117,927,1184,7.442198
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-6,37.710417,-0.778383,1265,750,11.384583
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-7,37.718,-0.839783,1179,230,11.641708
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-8,37.694517,-0.8104,1444,479,10.731462
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-9,37.666817,-0.809683,1756,485,
"('2021-03-12', '2021-03-16')",2021-03-16,CTD-10,37.659833,-0.781967,1834,720,10.90552
