Date,1m,3m,6.5m
2024-05-13 20:37:00,7.976521,10.77885,9.453531
2024-05-13 20:42:00,7.995804,10.77771,9.454482
2024-05-13 21:02:00,7.910271,10.80282,9.419763
2024-05-13 21:07:00,7.758248,10.68725,9.388963
2024-05-13 21:12:00,7.746957,10.61436,9.356129
2024-05-13 21:17:00,7.678883,10.60245,9.361296
2024-05-13 21:22:00,7.941077,10.63523,9.387458
2024-05-13 21:27:00,7.674451,10.57272,9.346238
2024-05-13 21:32:00,7.697534,10.57208,9.327714
2024-05-13 21:37:00,7.651783,10.54387,9.313219
2024-05-13 21:42:00,7.579667,10.50918,9.292519
2024-05-13 22:02:00,7.853776,10.6206,9.378345
2024-05-13 22:07:00,7.694801,10.48454,9.384037
2024-05-13 22:12:00,7.80949,10.50724,9.381237
2024-05-13 22:17:00,7.862802,10.47466,9.390837
2024-05-13 22:22:00,7.784628,10.48406,9.339655
2024-05-13 22:27:00,7.796782,10.48692,9.347345
2024-05-13 22:32:00,7.95461,10.46931,9.348962
2024-05-13 22:37:00,7.83249,10.42675,9.321028
2024-05-13 22:42:00,7.937444,10.46988,9.300723
2024-05-13 23:02:00,7.745036,10.64701,9.251866
2024-05-13 23:07:00,7.802995,10.48339,9.24335
2024-05-13 23:12:00,7.718233,10.45859,9.219006
2024-05-13 23:17:00,7.757806,10.48636,9.217697
2024-05-13 23:22:00,7.681701,10.48803,9.194301
2024-05-13 23:27:00,7.750743,10.428,9.159334
2024-05-13 23:32:00,7.654322,10.43675,9.101377
2024-05-13 23:37:00,7.591716,10.42623,9.110156
2024-05-13 23:42:00,7.45089,10.42287,9.061168
2024-05-14 00:02:00,7.113172,10.54843,9.021644
2024-05-14 00:07:00,7.382246,10.37953,9.089354
2024-05-14 00:12:00,7.097544,10.36002,9.15441
2024-05-14 00:17:00,7.048795,10.34038,9.17102
2024-05-14 00:22:00,7.115366,10.31397,9.129653
2024-05-14 00:27:00,7.151628,10.27279,9.170504
2024-05-14 00:32:00,7.032308,10.2321,9.208315
2024-05-14 00:37:00,6.995541,10.18123,9.158431
2024-05-14 00:42:00,7.012895,10.1911,9.079123
2024-05-14 01:02:00,7.412577,10.22495,8.924818
2024-05-14 01:07:00,6.917502,10.08173,8.877122
2024-05-14 01:12:00,7.20139,10.0075,8.776052
2024-05-14 01:17:00,7.141679,9.997756,8.784506
2024-05-14 01:22:00,6.892129,9.973268,8.831743
2024-05-14 01:27:00,6.727962,9.953887,8.909106
2024-05-14 01:32:00,7.09912,9.916729,8.812819
2024-05-14 01:37:00,6.81118,9.894065,8.708078
2024-05-14 01:42:00,6.896771,9.875309,8.659093
2024-05-14 02:02:00,6.540527,9.954638,8.501099
2024-05-14 02:07:00,6.893618,9.80037,8.500175
2024-05-14 02:12:00,6.996313,9.784509,8.691813
2024-05-14 02:17:00,7.006001,9.761469,8.733286
2024-05-14 02:22:00,6.774541,9.77743,8.829016
2024-05-14 02:27:00,6.758311,9.811056,8.843362
2024-05-14 02:32:00,7.270794,9.774058,8.806009
2024-05-14 02:37:00,7.352583,9.765905,8.758351
2024-05-14 02:42:00,6.849834,9.709049,8.751462
2024-05-14 03:02:00,7.263863,10.12218,8.499359
2024-05-14 03:07:00,6.880755,9.765913,8.518393
2024-05-14 03:12:00,7.156049,9.697397,8.581706
2024-05-14 03:17:00,6.961869,9.673532,8.581143
2024-05-14 03:22:00,6.530186,9.632605,8.506473
2024-05-14 03:27:00,7.005458,9.678109,8.467105
2024-05-14 03:32:00,6.524055,9.595473,8.451599
