Date,1m,3m,6m
2024-05-13 20:01:00,52540.07,27745.41,51491.04
2024-05-13 21:01:00,52622.53,27245.45,51717.72
2024-05-13 22:01:00,52521.07,27589.09,51707.6
2024-05-13 23:01:00,52615.66,27096.85,51729.09
2024-05-14 00:01:00,52568.97,27911.87,51959.27
2024-05-14 01:01:00,52625.64,27410.24,51719.78
2024-05-14 02:01:00,52733.21,27461.0,51671.83
2024-05-14 03:01:00,52890.63,26843.58,51539.12
2024-05-14 04:01:00,52982.63,27987.16,51409.49
2024-05-14 05:01:00,52842.6,27694.06,51584.7
2024-05-14 06:01:00,52985.79,27441.48,51461
2024-05-14 07:01:00,52679.02,26882.04,51529.18
2024-05-14 08:01:00,52676.79,27654.96,51416.29
2024-05-14 09:01:00,52758.71,27196.25,51159.84
2024-05-14 10:01:00,52808.21,27796.49,51379.83
2024-05-14 11:01:00,52702.95,27430.61,51265.81
2024-05-14 12:01:00,52885.87,27374.08,51305.2
2024-05-14 13:01:00,52711.29,26821.16,51259.73
2024-05-14 14:01:00,52637.34,27285.43,51120
2024-05-14 15:01:00,52617.97,26986.07,51265.39
2024-05-14 16:01:00,52673.85,26764.8,51199.46
2024-05-14 17:01:00,52569.49,26938.27,51209.59
2024-05-14 18:01:00,52631.59,27348.35,51200.52
2024-05-14 19:01:00,52587.29,26829.74,51141.02
2024-05-14 20:01:00,52527.7,26414.38,51036.19
2024-05-14 21:01:00,52622.74,26844.47,51158.38
2024-05-14 22:01:00,52573.13,27322.79,50967.31
2024-05-14 23:01:00,52613.94,27042.88,51054.83
2024-05-15 00:01:00,52694.83,26941.9,51323.76
2024-05-15 01:01:00,52630.39,26713.99,51166.72
2024-05-15 02:01:00,52796.98,26901.38,51006.51
2024-05-15 03:01:00,52757.3,27108.53,51149.63
2024-05-15 04:01:00,52766.21,27116.6,51110.51
2024-05-15 05:01:00,52747.99,27230.12,51173.57
2024-05-15 06:01:00,52907.77,26722.94,51392.53
2024-05-15 07:01:00,52735.19,26741.65,50912.07
