Date,1m,3m,6.5m
2024-05-13 20:37:00,82.89568,120.8803,110.0267
2024-05-13 20:42:00,82.7631,120.5793,109.9668
2024-05-13 21:02:00,81.94743,119.2208,109.3932
2024-05-13 21:07:00,81.04543,119.177,108.9973
2024-05-13 21:12:00,80.41912,118.9276,108.5889
2024-05-13 21:17:00,80.01382,118.7513,108.6355
2024-05-13 21:22:00,82.4482,118.6499,108.9236
2024-05-13 21:27:00,79.44347,118.4261,108.449
2024-05-13 21:32:00,79.38662,118.3098,108.2319
2024-05-13 21:37:00,79.21711,118.0774,108.0544
2024-05-13 21:42:00,78.38088,117.7295,107.8011
2024-05-13 22:02:00,79.40911,117.365,108.6674
2024-05-13 22:07:00,80.49458,117.3595,108.6964
2024-05-13 22:12:00,81.27995,117.2928,108.6222
2024-05-13 22:17:00,81.67027,117.5146,108.7181
2024-05-13 22:22:00,81.49119,117.2218,108.1135
2024-05-13 22:27:00,81.43578,117.2676,108.1889
2024-05-13 22:32:00,82.47218,117.2171,108.2008
2024-05-13 22:37:00,81.86873,116.7144,107.8589
2024-05-13 22:42:00,82.27614,117.1253,107.611
2024-05-13 23:02:00,80.93478,117.119,107.0346
2024-05-13 23:07:00,81.05656,117.0516,106.9238
2024-05-13 23:12:00,80.49874,117.0353,106.6395
2024-05-13 23:17:00,80.63091,117.1805,106.6383
2024-05-13 23:22:00,79.93666,116.9755,106.3476
2024-05-13 23:27:00,80.38498,116.8037,105.9119
2024-05-13 23:32:00,79.48372,116.7651,105.2545
2024-05-13 23:37:00,78.93803,116.699,105.3581
2024-05-13 23:42:00,77.97591,116.4752,104.7927
2024-05-14 00:02:00,74.41471,115.812,104.3157
2024-05-14 00:07:00,76.80966,115.6822,105.1075
2024-05-14 00:12:00,73.83092,115.526,105.8553
2024-05-14 00:17:00,73.54951,115.5041,106.0445
2024-05-14 00:22:00,74.53674,115.0298,105.5491
2024-05-14 00:27:00,74.41444,114.8618,106.0193
2024-05-14 00:32:00,73.14616,114.4403,106.4635
2024-05-14 00:37:00,72.59409,113.791,105.8826
2024-05-14 00:42:00,72.85748,113.8748,104.9589
2024-05-14 01:02:00,77.63408,112.2592,103.1295
2024-05-14 01:07:00,72.01821,112.1337,102.5631
2024-05-14 01:12:00,74.90359,111.8118,101.3847
2024-05-14 01:17:00,74.09344,111.7197,101.4748
2024-05-14 01:22:00,71.50674,111.4384,102.0348
2024-05-14 01:27:00,70.09989,111.1446,102.9226
2024-05-14 01:32:00,73.73258,110.8322,101.797
2024-05-14 01:37:00,70.73417,110.561,100.5872
2024-05-14 01:42:00,71.74722,110.2786,100.0148
2024-05-14 02:02:00,67.63627,109.3432,98.15731
2024-05-14 02:07:00,71.58825,109.1651,98.13866
2024-05-14 02:12:00,72.95506,109.1687,100.3451
2024-05-14 02:17:00,72.65511,109.0377,100.8262
2024-05-14 02:22:00,70.12952,108.8598,101.922
2024-05-14 02:27:00,70.33102,109.4091,102.0611
2024-05-14 02:32:00,75.48305,109.0372,101.6258
2024-05-14 02:37:00,76.15268,108.9353,101.076
2024-05-14 02:42:00,71.28929,108.2515,100.9993
2024-05-14 03:02:00,75.27884,110.7981,98.03901
2024-05-14 03:07:00,70.87248,108.5203,98.26209
2024-05-14 03:12:00,74.23921,108.0601,98.99371
2024-05-14 03:17:00,71.61885,107.7715,98.98985
2024-05-14 03:22:00,67.20945,107.2821,98.12369
2024-05-14 03:27:00,71.93489,107.8047,97.67159
2024-05-14 03:32:00,66.90773,106.896,97.48875
2024-05-14 03:37:00,68.86974,108.061,97.74945
2024-05-14 03:42:00,70.25967,108.4316,97.5518
2024-05-14 04:02:00,66.57613,107.8167,94.81029
2024-05-14 04:07:00,66.70833,108.059,94.24534
2024-05-14 04:12:00,64.77893,108.5889,93.45891
2024-05-14 04:17:00,64.40471,107.8123,92.95642
2024-05-14 04:22:00,64.66988,107.2241,90.90031
2024-05-14 04:27:00,63.48833,109.2977,87.73098
2024-05-14 04:32:00,61.06544,110.7058,83.36547
2024-05-14 04:37:00,61.65318,110.6257,80.80375
2024-05-14 04:42:00,60.68413,110.7122,76.45425
2024-05-14 05:02:00,54.07958,111.8541,67.07798
2024-05-14 05:07:00,51.87144,111.9678,68.76044
2024-05-14 05:12:00,51.21423,111.5945,74.99074
2024-05-14 05:17:00,49.78201,112.417,81.22401
2024-05-14 05:22:00,45.97318,112.2036,87.16352
2024-05-14 05:27:00,47.28238,111.1864,92.22496
2024-05-14 05:32:00,46.12189,111.6967,94.4724
2024-05-14 05:37:00,48.98984,111.6246,95.92664
2024-05-14 05:42:00,48.15432,111.6202,96.51851
2024-05-14 06:02:00,46.81405,111.1686,92.06341
2024-05-14 06:07:00,50.16765,111.0564,91.436
2024-05-14 06:12:00,51.37843,111.0189,90.70879
2024-05-14 06:17:00,51.79691,110.589,90.06005
2024-05-14 06:22:00,50.80976,110.9223,87.88083
2024-05-14 06:27:00,51.25638,110.991,86.94227
2024-05-14 06:32:00,49.84594,110.5466,86.14497
2024-05-14 06:37:00,48.97243,110.9592,85.33382
2024-05-14 06:42:00,48.14026,111.0177,85.33268
2024-05-14 07:02:00,45.08664,110.3699,86.26511
2024-05-14 07:07:00,43.7329,110.463,85.80601
2024-05-14 07:12:00,41.78809,110.6736,83.32218
2024-05-14 07:17:00,38.6672,110.8504,82.34338
2024-05-14 07:22:00,37.90874,111.1158,83.45898
2024-05-14 07:27:00,37.06623,111.2361,85.36391
2024-05-14 07:32:00,36.50224,111.3636,87.50014
2024-05-14 07:37:00,36.61493,111.3659,89.27328
2024-05-14 07:42:00,36.39337,111.21,90.38087
2024-05-14 08:02:00,37.26316,111.4532,93.09288
2024-05-14 08:07:00,37.98265,111.671,94.07818
2024-05-14 08:12:00,38.53445,111.8321,95.36866
2024-05-14 08:17:00,38.89097,111.9304,96.36532
2024-05-14 08:22:00,39.16658,111.9115,97.90363
2024-05-14 08:27:00,39.66554,111.8283,98.0332
2024-05-14 08:32:00,39.96912,112.054,98.83208
2024-05-14 08:37:00,40.52122,112.3808,99.73431
2024-05-14 08:42:00,40.88084,112.4781,99.63155
2024-05-14 09:02:00,42.73137,112.8347,94.28124
2024-05-14 09:07:00,42.86922,113.2098,93.9694
2024-05-14 09:12:00,43.55015,113.4236,93.42813
2024-05-14 09:17:00,43.04332,113.2315,93.62679
2024-05-14 09:22:00,45.38984,113.3531,96.23074
2024-05-14 09:27:00,43.80696,113.55,97.26515
2024-05-14 09:32:00,42.82437,113.2394,97.5119
2024-05-14 09:37:00,43.70428,113.4321,96.93414
2024-05-14 09:42:00,41.32653,113.3893,94.94536
2024-05-14 10:02:00,37.06745,113.8802,81.3587
2024-05-14 10:07:00,36.29317,113.4085,81.86745
2024-05-14 10:12:00,34.86012,113.0431,81.44559
2024-05-14 10:17:00,33.46077,113.5814,77.12542
2024-05-14 10:22:00,31.83043,114.1216,80.29831
2024-05-14 10:27:00,30.29767,113.0356,76.51071
2024-05-14 10:32:00,28.66381,112.3439,70.40654
2024-05-14 10:37:00,27.0391,112.0129,64.50019
2024-05-14 10:42:00,25.30721,112.2758,59.04307
2024-05-14 11:02:00,17.46577,113.7545,64.85438
2024-05-14 11:07:00,16.72455,113.5241,69.10402
2024-05-14 11:12:00,15.32971,113.4778,75.38188
2024-05-14 11:17:00,14.52869,114.2988,80.83692
2024-05-14 11:22:00,14.40537,114.871,85.28841
2024-05-14 11:27:00,15.90866,114.9916,88.63622
2024-05-14 11:32:00,18.55685,114.7406,90.69073
2024-05-14 11:37:00,21.55473,115.7613,93.06233
2024-05-14 11:42:00,25.79063,114.7203,95.09708
2024-05-14 12:02:00,45.29363,115.7866,98.36109
2024-05-14 12:07:00,48.21899,116.4573,98.88615
2024-05-14 12:12:00,51.63932,117.4148,99.45538
2024-05-14 12:17:00,56.56144,118.3877,100.5103
2024-05-14 12:22:00,58.50727,119.3963,101.4261
2024-05-14 12:27:00,61.84528,119.0102,102.1225
2024-05-14 12:32:00,64.04863,119.251,102.2553
2024-05-14 12:37:00,66.72009,119.5223,102.3171
2024-05-14 12:42:00,69.1281,119.9049,102.1433
2024-05-14 13:02:00,76.85252,121.6698,103.7061
2024-05-14 13:07:00,76.6236,121.6243,103.5611
2024-05-14 13:12:00,78.80795,121.702,103.7524
2024-05-14 13:17:00,78.78524,122.0473,104.3281
2024-05-14 13:22:00,79.74922,122.6758,104.3447
2024-05-14 13:27:00,80.91447,123.036,104.6753
2024-05-14 13:32:00,81.12056,123.2984,104.5462
2024-05-14 13:37:00,81.63512,123.9452,104.4925
2024-05-14 13:42:00,82.32924,123.8319,104.7309
2024-05-14 14:02:00,86.30468,125.1403,104.9453
2024-05-14 14:07:00,86.08662,126.2376,104.8466
2024-05-14 14:12:00,89.18684,126.7215,104.735
2024-05-14 14:17:00,86.49048,127.0071,104.283
2024-05-14 14:22:00,91.32533,127.5359,103.7876
2024-05-14 14:27:00,85.89802,128.0107,103.8202
2024-05-14 14:32:00,85.93137,128.5738,104.3552
2024-05-14 14:37:00,89.94151,129.3544,104.7439
2024-05-14 14:42:00,84.55122,129.8731,104.9607
2024-05-14 15:02:00,84.17799,131.635,103.3958
2024-05-14 15:07:00,84.04018,131.4631,102.9673
2024-05-14 15:12:00,84.13506,131.9369,103.3704
2024-05-14 15:17:00,84.28719,132.5911,104.4807
2024-05-14 15:22:00,85.99699,132.4731,105.863
2024-05-14 15:27:00,89.64333,133.5472,106.2832
2024-05-14 15:32:00,87.76456,132.7134,106.8389
2024-05-14 15:37:00,85.34343,133.4792,106.8792
2024-05-14 15:42:00,88.58364,133.7091,106.6469
2024-05-14 16:02:00,85.3933,132.3216,105.9083
2024-05-14 16:07:00,87.28975,132.6561,105.8865
2024-05-14 16:12:00,86.22057,132.7505,105.826
2024-05-14 16:17:00,86.33336,133.0585,105.5126
2024-05-14 16:22:00,90.22092,132.8356,105.2798
2024-05-14 16:27:00,90.26093,133.1539,105.2692
2024-05-14 16:32:00,93.73187,133.087,104.7371
2024-05-14 16:37:00,89.04666,133.6404,104.882
2024-05-14 16:42:00,88.2873,133.1962,105.0631
2024-05-14 17:02:00,95.66404,133.2713,103.8019
2024-05-14 17:07:00,88.8517,133.2981,103.6489
2024-05-14 17:12:00,92.84292,133.2981,103.5457
2024-05-14 17:17:00,86.21398,133.3421,103.4722
2024-05-14 17:22:00,89.99362,133.3402,102.9241
2024-05-14 17:27:00,91.35942,133.0991,102.7382
2024-05-14 17:32:00,91.94447,133.1657,102.8495
2024-05-14 17:37:00,92.47343,133.2478,102.9227
2024-05-14 17:42:00,87.06091,133.3174,102.8714
2024-05-14 18:02:00,90.6198,133.4877,102.6216
2024-05-14 18:07:00,87.9164,133.4717,103.1545
2024-05-14 18:12:00,88.17841,133.4554,103.4753
2024-05-14 18:17:00,88.04963,133.3891,102.7754
2024-05-14 18:22:00,90.92182,133.3065,102.9057
2024-05-14 18:27:00,80.39412,133.2769,103.3287
2024-05-14 18:32:00,85.19738,133.3784,103.3832
2024-05-14 18:37:00,86.79106,133.2737,103.5072
2024-05-14 18:42:00,84.22602,133.1461,103.4136
2024-05-14 19:02:00,75.09869,132.1993,102.5672
2024-05-14 19:07:00,87.8729,132.0227,102.7825
2024-05-14 19:12:00,81.96541,131.9061,104.5491
2024-05-14 19:17:00,81.24397,132.0644,104.9169
2024-05-14 19:22:00,86.45969,132.006,103.9596
2024-05-14 19:27:00,86.87244,132.0492,103.717
2024-05-14 19:32:00,84.7479,131.8302,103.1768
2024-05-14 19:37:00,83.04179,131.9405,103.1819
2024-05-14 19:42:00,82.00037,131.7146,103.6707
2024-05-14 20:02:00,93.24353,130.8915,105.9884
2024-05-14 20:07:00,93.37408,130.9082,105.9864
2024-05-14 20:12:00,91.4593,130.8664,106.3257
2024-05-14 20:17:00,90.19537,130.6572,106.3299
2024-05-14 20:22:00,88.21732,130.6444,106.266
2024-05-14 20:27:00,91.58584,130.5139,105.9299
2024-05-14 20:32:00,87.25407,130.0878,105.0016
2024-05-14 20:37:00,87.45605,129.8556,104.8251
2024-05-14 20:42:00,86.52148,129.5547,104.4713
2024-05-14 21:02:00,72.40221,128.9098,104.1324
2024-05-14 21:07:00,84.82143,128.6131,105.3453
2024-05-14 21:12:00,83.9872,128.9648,105.577
2024-05-14 21:17:00,81.21898,128.5498,105.6505
2024-05-14 21:22:00,77.61533,128.3996,106.1212
2024-05-14 21:27:00,76.63829,128.2455,106.3778
2024-05-14 21:32:00,81.46371,128.1831,105.796
2024-05-14 21:37:00,78.32668,127.7884,104.6567
2024-05-14 21:42:00,80.4008,127.4259,103.5932
2024-05-14 22:02:00,77.66442,125.8639,103.9052
2024-05-14 22:07:00,75.77031,125.7005,103.943
2024-05-14 22:12:00,72.11705,125.5842,106.0131
2024-05-14 22:17:00,76.41702,125.3223,104.7739
2024-05-14 22:22:00,79.8756,125.1649,106.5376
2024-05-14 22:27:00,82.23531,124.7629,107.2446
2024-05-14 22:32:00,82.18755,124.1605,107.5435
2024-05-14 22:37:00,77.64339,123.9031,107.9946
2024-05-14 22:42:00,79.66476,123.4679,108.3106
2024-05-14 23:02:00,80.53532,122.4134,107.4792
2024-05-14 23:07:00,81.17191,121.3348,107.2484
2024-05-14 23:12:00,84.76061,121.1873,106.8509
2024-05-14 23:17:00,83.40887,120.8218,106.4293
2024-05-14 23:22:00,88.1175,120.367,106.2541
2024-05-14 23:27:00,81.46782,120.1304,106.1228
2024-05-14 23:32:00,87.3644,119.9259,105.9658
2024-05-14 23:37:00,91.19268,119.7402,105.5298
2024-05-14 23:42:00,88.97887,119.9888,105.0026
2024-05-15 00:02:00,93.58294,119.1254,101.656
2024-05-15 00:07:00,89.09222,118.8865,101.5373
2024-05-15 00:12:00,89.55555,118.9869,101.1987
2024-05-15 00:17:00,91.80975,117.9602,100.2502
2024-05-15 00:22:00,91.12917,117.1317,97.03307
2024-05-15 00:27:00,90.7481,117.1485,95.07905
2024-05-15 00:32:00,90.11731,116.9533,93.93864
2024-05-15 00:37:00,88.99191,116.1804,92.65012
2024-05-15 00:42:00,87.50917,115.6378,91.55818
2024-05-15 01:02:00,82.77303,113.3533,93.26894
2024-05-15 01:07:00,82.18283,113.6189,94.10551
2024-05-15 01:12:00,80.5006,112.5848,96.16563
2024-05-15 01:17:00,74.02409,112.9605,98.13209
2024-05-15 01:22:00,74.77979,115.0408,99.9153
2024-05-15 01:27:00,73.44389,111.0783,101.583
2024-05-15 01:32:00,74.78215,112.3383,103.6997
2024-05-15 01:37:00,76.37749,112.3628,106.2382
2024-05-15 01:42:00,74.99526,110.3747,107.0126
2024-05-15 02:02:00,77.51931,110.6392,106.9996
2024-05-15 02:07:00,77.89587,113.1149,106.7908
2024-05-15 02:12:00,78.72182,113.2597,107.1364
2024-05-15 02:17:00,80.08492,112.7773,107.2864
2024-05-15 02:22:00,81.14823,114.6051,107.2807
2024-05-15 02:27:00,83.39967,113.87,106.878
2024-05-15 02:32:00,81.49077,114.435,107.142
2024-05-15 02:37:00,82.63805,109.7806,107.2127
2024-05-15 02:42:00,82.12877,110.8405,106.9315
2024-05-15 03:02:00,83.81381,110.1332,106.3059
2024-05-15 03:07:00,84.39442,110.5431,106.0719
2024-05-15 03:12:00,84.24696,113.6314,105.7469
2024-05-15 03:17:00,84.49384,109.7376,105.6375
2024-05-15 03:22:00,84.017,110.5812,105.611
2024-05-15 03:27:00,84.89388,113.6371,105.7133
2024-05-15 03:32:00,86.41306,112.9812,105.4089
2024-05-15 03:37:00,87.68498,110.2183,105.3669
2024-05-15 03:42:00,86.6199,110.9524,105.0958
2024-05-15 04:02:00,87.49673,112.424,105.2862
2024-05-15 04:07:00,88.97365,112.4317,104.9936
2024-05-15 04:12:00,89.07649,112.2806,104.8681
2024-05-15 04:17:00,89.78027,112.1509,105.0281
2024-05-15 04:22:00,89.83596,111.8581,105.4089
2024-05-15 04:27:00,96.69035,111.6261,105.3123
2024-05-15 04:32:00,89.39281,111.5567,104.5647
2024-05-15 04:37:00,88.51714,111.5524,104.1753
2024-05-15 04:42:00,89.07542,111.1563,103.8355
2024-05-15 05:02:00,89.00674,110.1551,102.2257
2024-05-15 05:07:00,90.33674,110.076,101.7992
2024-05-15 05:12:00,87.16245,109.6389,101.3187
2024-05-15 05:17:00,86.73082,109.1529,101.3242
2024-05-15 05:22:00,86.32536,109.2381,101.0754
2024-05-15 05:27:00,86.45296,108.9787,101.0049
2024-05-15 05:32:00,85.25884,108.8935,100.6158
2024-05-15 05:37:00,86.47042,109.2144,100.2607
2024-05-15 05:42:00,83.80716,109.2522,100.7966
2024-05-15 06:02:00,81.81183,108.0794,98.65272
2024-05-15 06:07:00,81.28327,108.2869,98.67913
2024-05-15 06:12:00,81.50606,109.0162,98.98334
2024-05-15 06:17:00,80.55515,108.5571,98.2347
2024-05-15 06:22:00,80.08336,108.2687,97.33364
2024-05-15 06:27:00,79.21639,108.8135,96.88253
2024-05-15 06:32:00,78.30067,108.4937,96.5995
2024-05-15 06:37:00,77.38945,108.307,96.19206
2024-05-15 06:42:00,76.24126,108.2625,95.64473
2024-05-15 07:02:00,73.11167,107.975,94.99093
2024-05-15 07:07:00,72.32122,108.0458,94.50204
2024-05-15 07:12:00,71.64738,107.9792,93.34364
2024-05-15 07:17:00,71.70409,107.9683,93.43676
2024-05-15 07:22:00,70.99419,107.8935,94.01828
2024-05-15 07:27:00,70.15593,107.7848,94.47107
2024-05-15 07:32:00,69.51543,107.7673,94.83012
2024-05-15 07:37:00,68.40921,107.8011,94.64606
2024-05-15 07:42:00,67.92101,107.9238,94.14316
