Date,1m,3m,6m
2024-05-13 20:01:00,22.58,22.47,22.56
2024-05-13 21:01:00,22.43,22.46,22.43
2024-05-13 22:01:00,22.5,22.54,22.48
2024-05-13 23:01:00,22.38,22.34,22.39
2024-05-14 00:01:00,22.42,22.33,22.32
2024-05-14 01:01:00,22.38,22.44,22.46
2024-05-14 02:01:00,22.29,22.24,22.33
2024-05-14 03:01:00,22.31,22.29,22.23
2024-05-14 04:01:00,22.16,22.17,22.31
2024-05-14 05:01:00,22.17,22.23,22.2
2024-05-14 06:01:00,22.15,22.27,22.29
2024-05-14 07:01:00,22.29,22.24,22.14
2024-05-14 08:01:00,22.37,22.29,22.24
2024-05-14 09:01:00,22.39,22.26,22.3
2024-05-14 10:01:00,22.46,22.34,22.45
2024-05-14 11:01:00,22.75,22.53,22.44
2024-05-14 12:01:00,22.9,22.77,22.58
2024-05-14 13:01:00,22.73,22.77,22.48
2024-05-14 14:01:00,22.76,22.79,22.62
2024-05-14 15:01:00,22.9,22.74,22.6
2024-05-14 16:01:00,22.86,22.87,22.71
2024-05-14 17:01:00,22.93,22.89,22.77
2024-05-14 18:01:00,22.83,22.87,22.77
2024-05-14 19:01:00,22.88,22.83,22.82
2024-05-14 20:01:00,22.88,22.87,22.88
2024-05-14 21:01:00,22.77,22.76,22.76
2024-05-14 22:01:00,22.82,22.77,22.84
2024-05-14 23:01:00,22.78,22.65,22.78
2024-05-15 00:01:00,22.65,22.69,22.63
2024-05-15 01:01:00,22.67,22.76,22.66
2024-05-15 02:01:00,22.56,22.58,22.68
2024-05-15 03:01:00,22.58,22.58,22.52
2024-05-15 04:01:00,22.6,22.49,22.46
2024-05-15 05:01:00,22.51,22.55,22.37
2024-05-15 06:01:00,22.41,22.65,22.18
2024-05-15 07:01:00,22.43,22.41,22.42
