Date,0.5m,1.5m,1m,2.5m,2m,3m,4m,6.5m
2024-05-13 20:37:00,22.84363,22.98403,17.21326,22.92697,22.90818,20.98627,22.94299,22.91204
2024-05-13 20:42:00,22.83477,22.97345,17.01995,22.91538,22.89802,20.86446,22.93891,22.87806
2024-05-13 21:02:00,22.81888,22.97141,17.05877,22.92145,22.89755,20.17128,22.93176,22.79653
2024-05-13 21:07:00,22.81853,22.96323,17.46011,22.90845,22.88842,20.69836,22.92657,22.77808
2024-05-13 21:12:00,22.80654,22.95238,17.15646,22.89867,22.87686,20.93996,22.91398,22.76494
2024-05-13 21:17:00,22.80095,22.9478,17.33904,22.89038,22.87179,20.92142,22.90979,22.75847
2024-05-13 21:22:00,22.79512,22.94096,17.17158,22.88304,22.86539,20.72352,22.9036,22.75101
2024-05-13 21:27:00,22.79285,22.94137,17.02371,22.88304,22.86538,20.92472,22.89698,22.75278
2024-05-13 21:32:00,22.78955,22.93625,16.84639,22.87897,22.86033,20.87799,22.89464,22.75172
2024-05-13 21:37:00,22.79116,22.93227,17.02898,22.87,22.85606,20.91375,22.8876,22.74719
2024-05-13 21:42:00,22.77922,22.92482,16.97479,22.86492,22.84791,20.9313,22.87988,22.7408
2024-05-13 22:02:00,22.75995,22.90881,15.90455,22.86282,22.83856,20.23812,22.87646,22.67837
2024-05-13 22:07:00,22.75734,22.90178,17.5272,22.852,22.82884,20.89058,22.86342,22.66052
2024-05-13 22:12:00,22.74904,22.89376,17.28785,22.83931,22.81757,20.75202,22.85128,22.64035
2024-05-13 22:17:00,22.74687,22.89355,17.18736,22.84164,22.82154,21.00622,22.85613,22.633
2024-05-13 22:22:00,22.74394,22.88916,17.56142,22.83353,22.81461,20.83313,22.84774,22.62714
2024-05-13 22:27:00,22.7433,22.8863,17.45631,22.82537,22.80786,20.8393,22.84129,22.62055
2024-05-13 22:32:00,22.73954,22.87759,17.09926,22.82156,22.80384,20.90275,22.83943,22.61726
2024-05-13 22:37:00,22.7278,22.86777,17.491,22.81011,22.79272,20.89124,22.82822,22.60822
