Date,0m
2024-05-13 20:37:00,4.912
2024-05-13 20:42:00,4.84
2024-05-13 21:02:00,4.563
2024-05-13 21:07:00,4.935
2024-05-13 21:12:00,4.982
2024-05-13 21:17:00,4.945
2024-05-13 21:22:00,4.85
2024-05-13 21:27:00,5.042
2024-05-13 21:32:00,5.598
2024-05-13 21:37:00,4.3
2024-05-13 21:42:00,3.603
2024-05-13 22:02:00,6.063
2024-05-13 22:07:00,5.985
2024-05-13 22:12:00,6.512
2024-05-13 22:17:00,6.217
2024-05-13 22:22:00,6.082
2024-05-13 22:27:00,6.512
2024-05-13 22:32:00,6.855
2024-05-13 22:37:00,6.087
2024-05-13 22:42:00,6.318
2024-05-13 23:02:00,6.225
2024-05-13 23:07:00,5.73
2024-05-13 23:12:00,5.27
2024-05-13 23:17:00,6.178
2024-05-13 23:22:00,5.295
2024-05-13 23:27:00,5.29
2024-05-13 23:32:00,5.183
2024-05-13 23:37:00,5.318
2024-05-13 23:42:00,5.103
2024-05-14 00:02:00,3.363
2024-05-14 00:07:00,3.73
2024-05-14 00:12:00,4.715
2024-05-14 00:17:00,4.928
2024-05-14 00:22:00,3.202
2024-05-14 00:27:00,3.815
2024-05-14 00:32:00,3.9
2024-05-14 00:37:00,3.83
2024-05-14 00:42:00,3.763
2024-05-14 01:02:00,3.688
2024-05-14 01:07:00,4.52
2024-05-14 01:12:00,3.472
2024-05-14 01:17:00,4.388
2024-05-14 01:22:00,4.185
2024-05-14 01:27:00,4.23
2024-05-14 01:32:00,4.322
2024-05-14 01:37:00,4.517
2024-05-14 01:42:00,4.693
2024-05-14 02:02:00,3.937
2024-05-14 02:07:00,4.558
2024-05-14 02:12:00,5.0
2024-05-14 02:17:00,5.442
2024-05-14 02:22:00,5.117
2024-05-14 02:27:00,5.105
2024-05-14 02:32:00,5.02
2024-05-14 02:37:00,4.617
2024-05-14 02:42:00,4.372
2024-05-14 03:02:00,4.263
2024-05-14 03:07:00,4.435
2024-05-14 03:12:00,4.052
2024-05-14 03:17:00,4.027
2024-05-14 03:22:00,4.263
2024-05-14 03:27:00,3.992
2024-05-14 03:32:00,3.86
2024-05-14 03:37:00,4.023
2024-05-14 03:42:00,4.005
2024-05-14 04:02:00,3.525
2024-05-14 04:07:00,3.168
2024-05-14 04:12:00,3.043
2024-05-14 04:17:00,2.868
2024-05-14 04:22:00,2.683
2024-05-14 04:27:00,2.827
2024-05-14 04:32:00,3.088
2024-05-14 04:37:00,3.327
2024-05-14 04:42:00,3.16
2024-05-14 05:02:00,3.313
2024-05-14 05:07:00,3.737
2024-05-14 05:12:00,3.77
2024-05-14 05:17:00,4.212
2024-05-14 05:22:00,4.255
2024-05-14 05:27:00,4.39
2024-05-14 05:32:00,4.388
2024-05-14 05:37:00,4.207
2024-05-14 05:42:00,3.617
2024-05-14 06:02:00,3.188
2024-05-14 06:07:00,2.963
2024-05-14 06:12:00,3.155
2024-05-14 06:17:00,2.107
2024-05-14 06:22:00,2.253
2024-05-14 06:27:00,2.478
2024-05-14 06:32:00,3.16
2024-05-14 06:37:00,3.345
2024-05-14 06:42:00,3.435
2024-05-14 07:02:00,2.313
2024-05-14 07:07:00,2.423
2024-05-14 07:12:00,2.565
2024-05-14 07:17:00,3.815
2024-05-14 07:22:00,4.765
2024-05-14 07:27:00,3.925
2024-05-14 07:32:00,3.405
2024-05-14 07:37:00,2.565
2024-05-14 07:42:00,2.535
2024-05-14 08:02:00,2.938
2024-05-14 08:07:00,3.227
2024-05-14 08:12:00,3.375
2024-05-14 08:17:00,3.555
2024-05-14 08:22:00,3.427
2024-05-14 08:27:00,3.7
2024-05-14 08:32:00,3.305
2024-05-14 08:37:00,3.315
2024-05-14 08:42:00,3.2
2024-05-14 09:17:00,1.6
2024-05-14 09:27:00,1.642
2024-05-14 09:37:00,0.318
2024-05-14 09:42:00,0.0
2024-05-14 10:02:00,1.275
2024-05-14 10:07:00,0.74
2024-05-14 10:12:00,0.748
2024-05-14 10:17:00,1.66
2024-05-14 10:22:00,2.273
2024-05-14 10:27:00,2.577
2024-05-14 10:32:00,3.283
2024-05-14 10:37:00,3.38
2024-05-14 10:42:00,3.788
2024-05-14 11:02:00,4.75
2024-05-14 11:07:00,4.745
2024-05-14 11:12:00,4.638
2024-05-14 11:17:00,5.035
2024-05-14 11:22:00,4.83
2024-05-14 11:27:00,4.408
2024-05-14 11:32:00,5.672
2024-05-14 11:37:00,5.837
2024-05-14 11:42:00,6.07
2024-05-14 12:02:00,6.613
2024-05-14 12:07:00,6.895
2024-05-14 12:12:00,6.957
2024-05-14 12:17:00,6.85
2024-05-14 12:22:00,6.39
2024-05-14 12:27:00,6.31
2024-05-14 12:32:00,6.965
2024-05-14 12:37:00,6.425
2024-05-14 12:42:00,6.495
2024-05-14 13:02:00,6.475
2024-05-14 13:07:00,6.5
2024-05-14 13:12:00,6.775
2024-05-14 13:17:00,7.497
2024-05-14 13:22:00,7.54
2024-05-14 13:27:00,7.415
2024-05-14 13:32:00,7.157
2024-05-14 13:37:00,6.398
2024-05-14 13:42:00,6.115
2024-05-14 14:02:00,7.237
2024-05-14 14:07:00,6.892
2024-05-14 14:12:00,6.487
2024-05-14 14:17:00,5.662
2024-05-14 14:22:00,5.1
2024-05-14 14:27:00,5.03
2024-05-14 14:32:00,4.117
2024-05-14 14:37:00,1.823
2024-05-14 14:42:00,3.202
2024-05-14 15:02:00,2.35
2024-05-14 15:07:00,2.468
2024-05-14 15:12:00,5.123
2024-05-14 15:17:00,5.515
2024-05-14 15:22:00,5.305
2024-05-14 15:27:00,6.655
2024-05-14 15:32:00,7.22
2024-05-14 15:37:00,6.598
2024-05-14 15:42:00,6.857
2024-05-14 16:02:00,6.425
2024-05-14 16:07:00,5.652
2024-05-14 16:12:00,6.118
2024-05-14 16:17:00,5.772
2024-05-14 16:22:00,5.728
2024-05-14 16:27:00,5.847
2024-05-14 16:32:00,6.27
2024-05-14 16:37:00,6.585
2024-05-14 16:42:00,5.71
2024-05-14 17:02:00,5.5
2024-05-14 17:07:00,5.4
2024-05-14 17:12:00,4.272
2024-05-14 17:17:00,5.482
2024-05-14 17:22:00,5.332
2024-05-14 17:27:00,5.415
2024-05-14 17:32:00,6.622
2024-05-14 17:37:00,5.962
2024-05-14 17:42:00,5.328
2024-05-14 18:02:00,5.875
2024-05-14 18:07:00,5.285
2024-05-14 18:12:00,6.675
2024-05-14 18:17:00,6.85
2024-05-14 18:22:00,6.078
2024-05-14 18:27:00,5.715
2024-05-14 18:32:00,4.892
2024-05-14 18:37:00,5.07
2024-05-14 18:42:00,5.127
2024-05-14 19:02:00,5.475
2024-05-14 19:07:00,5.755
2024-05-14 19:12:00,6.143
2024-05-14 19:17:00,6.2
2024-05-14 19:22:00,6.83
2024-05-14 19:27:00,6.26
2024-05-14 19:32:00,6.632
2024-05-14 19:37:00,7.41
2024-05-14 19:42:00,7.1
2024-05-14 20:02:00,6.35
2024-05-14 20:07:00,6.505
2024-05-14 20:12:00,6.225
2024-05-14 20:17:00,5.962
2024-05-14 20:22:00,5.478
2024-05-14 20:27:00,4.832
2024-05-14 20:32:00,4.7
2024-05-14 20:37:00,4.55
2024-05-14 20:42:00,4.23
2024-05-14 21:02:00,4.875
2024-05-14 21:07:00,5.165
2024-05-14 21:12:00,4.572
2024-05-14 21:17:00,4.18
2024-05-14 21:22:00,4.695
2024-05-14 21:27:00,4.158
2024-05-14 21:32:00,3.91
2024-05-14 21:37:00,4.305
2024-05-14 21:42:00,4.023
2024-05-14 22:02:00,3.325
2024-05-14 22:07:00,3.333
2024-05-14 22:12:00,3.713
2024-05-14 22:17:00,3.79
2024-05-14 22:22:00,4.14
2024-05-14 22:27:00,4.355
2024-05-14 22:32:00,5.075
2024-05-14 22:37:00,5.705
