CodPuntoControl,Latitud,Longitud,LongitudEPSG32630,LatitudEPSG32630
CTD-1,37.8118,-0.784483,695024.7116773892,4187246.4763657423
CTD-2,37.760617,-0.8078,693105.1561410306,4181518.346026066
CTD-3,37.761783,-0.78355,695238.4758410116,4181698.0921413857
CTD-4,37.748233,-0.749617,698264.0657476727,4180265.8575962903
CTD-5,37.74045,-0.727117,700267.6142652533,4179450.117205684
CTD-6,37.710417,-0.778383,695829.0091863506,4176008.900458722
CTD-7,37.71800,-0.839783,690396.7024300082,4176723.6939005125
CTD-8,37.694517,-0.8104,693047.7091175154,4174178.030118922
CTD-9,37.666817,-0.809683,693182.793278856,4171105.7300671446
CTD-10,37.659833,-0.781967,695645.9552495586,4170388.2378727924
CTD-11,37.6518,-0.728883,700350.5509754587,4169608.9781368254
CTD-12,37.68735,-0.783783,695413.5305598581,4173437.93021035
