,Chl
UltraBlue,-0.13
Blue,-0.13
Green,-0.1
Red,-0.09
NIR1,-0.09
NIR2,-0.12
NIR3,-0.13
Chl,1.0
index_UltraBlue_Red,-0.38
index_Blue_Red,-0.19
index_Green_Red,0.02
index_Red_NIR1,0.03
index_Red_NIR2,0.4
index_dg_UltraBlue_Blue_Green,0.36
index_dg_UltraBlue_Blue_Red,0.38
index_dg_UltraBlue_Blue_NIR1,0.41
index_dg_UltraBlue_Green_Blue,0.42
index_dg_UltraBlue_Green_Red,0.43
index_dg_UltraBlue_Green_NIR1,0.44
index_dg_UltraBlue_Red_Blue,0.36
index_dg_UltraBlue_Red_Green,0.36
index_dg_UltraBlue_Red_NIR1,0.39
index_dg_UltraBlue_NIR1_Blue,0.3
index_dg_UltraBlue_NIR1_Green,0.29
index_dg_UltraBlue_NIR1_Red,0.34
index_4_bands_Green_UltraBlue_Blue_Red,0.38
index_4_bands_Green_UltraBlue_Blue_NIR1,0.37
index_4_bands_Green_UltraBlue_Red_Blue,0.38
index_4_bands_Green_UltraBlue_Red_NIR1,0.23
index_4_bands_Green_UltraBlue_NIR1_Blue,0.37
index_4_bands_Green_UltraBlue_NIR1_Red,0.23
index_4_bands_Green_Blue_UltraBlue_Red,0.35
index_4_bands_Green_Blue_UltraBlue_NIR1,0.35
index_4_bands_Green_Blue_Red_UltraBlue,0.35
index_4_bands_Green_Blue_Red_NIR1,0.26
index_4_bands_Green_Blue_NIR1_UltraBlue,0.35
index_4_bands_Green_Blue_NIR1_Red,0.26
index_4_bands_Green_Red_UltraBlue_Blue,0.22
index_4_bands_Green_Red_UltraBlue_NIR1,0.14
index_4_bands_Green_Red_Blue_UltraBlue,0.22
index_4_bands_Green_Red_Blue_NIR1,0.1
index_4_bands_Green_Red_NIR1_UltraBlue,0.14
index_4_bands_Green_Red_NIR1_Blue,0.1
index_4_bands_Green_NIR1_UltraBlue_Blue,0.23
index_4_bands_Green_NIR1_UltraBlue_Red,0.13
index_4_bands_Green_NIR1_Blue_UltraBlue,0.23
index_4_bands_Green_NIR1_Blue_Red,0.11
index_4_bands_Green_NIR1_Red_UltraBlue,0.13
index_4_bands_Green_NIR1_Red_Blue,0.11
two_div_dif_UltraBlue_Blue_Green_Red,-0.03
two_div_dif_UltraBlue_Blue_Green_NIR1,-0.03
two_div_dif_UltraBlue_Blue_Red_Green,-0.2
two_div_dif_UltraBlue_Blue_Red_NIR1,-0.18
two_div_dif_UltraBlue_Blue_NIR1_Green,-0.17
two_div_dif_UltraBlue_Blue_NIR1_Red,-0.21
two_div_dif_UltraBlue_Green_Blue_Red,0.07
two_div_dif_UltraBlue_Green_Blue_NIR1,0.07
two_div_dif_UltraBlue_Green_Red_Blue,-0.4
two_div_dif_UltraBlue_Green_Red_NIR1,-0.26
two_div_dif_UltraBlue_Green_NIR1_Blue,-0.36
two_div_dif_UltraBlue_Green_NIR1_Red,-0.34
two_div_dif_Blue_Red_UltraBlue_Green,-0.07
two_div_dif_Blue_Red_UltraBlue_NIR1,0.09
two_div_dif_Blue_Red_Green_UltraBlue,-0.43
two_div_dif_Blue_Red_Green_NIR1,-0.16
two_div_dif_Blue_Red_NIR1_UltraBlue,-0.28
two_div_dif_Blue_Red_NIR1_Green,-0.14
two_div_dif_Blue_NIR1_UltraBlue_Green,-0.07
two_div_dif_Blue_NIR1_UltraBlue_Red,0.02
two_div_dif_Blue_NIR1_Green_UltraBlue,-0.4
two_div_dif_Blue_NIR1_Green_Red,-0.19
two_div_dif_Blue_NIR1_Red_UltraBlue,-0.26
two_div_dif_Blue_NIR1_Red_Green,-0.13
two_div_dif_Green_Red_UltraBlue_Blue,0.03
two_div_dif_Green_Red_UltraBlue_NIR1,0.23
two_div_dif_Green_Red_Blue_UltraBlue,-0.2
two_div_dif_Green_Red_Blue_NIR1,0.19
two_div_dif_Green_Red_NIR1_UltraBlue,-0.15
two_div_dif_Green_Red_NIR1_Blue,-0.05
two_div_dif_Green_NIR1_UltraBlue_Blue,0.03
two_div_dif_Green_NIR1_UltraBlue_Red,0.16
two_div_dif_Green_NIR1_Blue_UltraBlue,-0.14
two_div_dif_Green_NIR1_Blue_Red,0.16
two_div_dif_Green_NIR1_Red_UltraBlue,-0.14
two_div_dif_Green_NIR1_Red_Blue,-0.03
two_div_dif_Red_Green_UltraBlue_Blue,0.2
two_div_dif_Red_Green_UltraBlue_NIR1,0.21
two_div_dif_Red_Green_Blue_UltraBlue,-0.31
two_div_dif_Red_Green_Blue_NIR1,0.13
two_div_dif_Red_Green_NIR1_UltraBlue,-0.43
two_div_dif_Red_Green_NIR1_Blue,-0.26
two_div_dif_Red_NIR1_UltraBlue_Blue,0.18
two_div_dif_Red_NIR1_UltraBlue_Green,0.26
two_div_dif_Red_NIR1_Blue_UltraBlue,-0.32
two_div_dif_Red_NIR1_Blue_Green,0.22
two_div_dif_Red_NIR1_Green_UltraBlue,-0.42
two_div_dif_Red_NIR1_Green_Blue,-0.26
two_div_dif_NIR1_Blue_UltraBlue_Green,0.36
two_div_dif_NIR1_Blue_UltraBlue_Red,0.26
two_div_dif_NIR1_Blue_Green_UltraBlue,-0.36
two_div_dif_NIR1_Blue_Green_Red,0.05
two_div_dif_NIR1_Blue_Red_UltraBlue,-0.37
two_div_dif_NIR1_Blue_Red_Green,0.26
two_div_dif_NIR1_Green_UltraBlue_Blue,0.17
two_div_dif_NIR1_Green_UltraBlue_Red,0.23
two_div_dif_NIR1_Green_Blue_UltraBlue,-0.3
two_div_dif_NIR1_Green_Blue_Red,0.14
two_div_dif_NIR1_Green_Red_UltraBlue,-0.42
two_div_dif_NIR1_Green_Red_Blue,-0.36
two_div_dif_NIR1_Red_UltraBlue_Blue,0.21
two_div_dif_NIR1_Red_UltraBlue_Green,0.34
two_div_dif_NIR1_Red_Blue_UltraBlue,-0.32
two_div_dif_NIR1_Red_Blue_Green,0.26
two_div_dif_NIR1_Red_Green_UltraBlue,-0.41
two_div_dif_NIR1_Red_Green_Blue,-0.31
