Bands,Chl
Chl,1.0
index_NIR1_NIR2,0.5
index_dg_UltraBlue_Green_NIR1,0.44
two_div_dif_Green_UltraBlue_Blue_Red,0.44
index_dg_UltraBlue_Green_Red,0.43
two_div_dif_NIR1_UltraBlue_Red_Green,0.43
two_div_dif_Red_UltraBlue_Blue_Green,0.43
two_div_dif_Green_UltraBlue_Red_NIR1,0.42
two_div_dif_NIR1_UltraBlue_Blue_Green,0.42
two_div_dif_Red_UltraBlue_NIR1_Green,0.42
dif_NIR1_NIR2,0.41
index_dg_UltraBlue_Green_Blue,0.41
index_dg_UltraBlue_Blue_NIR1,0.4
index_Red_NIR2,0.4
two_div_dif_Green_UltraBlue_Blue_NIR1,0.4
two_div_dif_Green_UltraBlue_NIR1_Red,0.4
two_div_dif_Red_Blue_UltraBlue_Green,0.4
index_dg_Blue_Green_Red,0.39
index_dg_UltraBlue_Red_NIR1,0.39
two_div_dif_Green_Blue_UltraBlue_Red,0.39
index_dg_UltraBlue_Blue_Red,0.38
index_4_bands_Green_UltraBlue_Blue_NIR1,0.37
index_4_bands_Green_UltraBlue_Blue_Red,0.37
index_4_bands_Green_UltraBlue_NIR1_Blue,0.37
index_4_bands_Green_UltraBlue_Red_Blue,0.37
two_div_dif_NIR1_UltraBlue_Red_Blue,0.37
two_div_dif_Red_UltraBlue_NIR1_Blue,0.37
index_dg_Blue_Green_NIR1,0.36
index_dg_UltraBlue_Blue_Green,0.36
index_dg_UltraBlue_Red_Blue,0.36
index_dg_UltraBlue_Red_Green,0.36
two_div_dif_Green_UltraBlue_NIR1_Blue,0.36
two_div_dif_Green_UltraBlue_Red_Blue,0.36
two_div_dif_NIR1_Blue_UltraBlue_Green,0.36
two_div_dif_Red_Blue_NIR1_Green,0.36
index_4_bands_Green_Blue_NIR1_UltraBlue,0.35
index_4_bands_Green_Blue_Red_UltraBlue,0.35
index_4_bands_Green_Blue_UltraBlue_NIR1,0.35
index_4_bands_Green_Blue_UltraBlue_Red,0.35
index_4_bands_Red_UltraBlue_Blue_Green,0.35
index_4_bands_Red_UltraBlue_Blue_NIR1,0.35
index_4_bands_Red_UltraBlue_Green_Blue,0.35
index_4_bands_Red_UltraBlue_Green_NIR1,0.35
index_4_bands_Red_UltraBlue_NIR1_Blue,0.35
index_4_bands_Red_UltraBlue_NIR1_Green,0.35
index_dg_UltraBlue_NIR1_Red,0.34
two_div_dif_Green_Blue_UltraBlue_NIR1,0.34
two_div_dif_NIR1_Red_UltraBlue_Green,0.34
inv_dif_UltraBlue_Green,0.33
dif_Red_NIR2,0.32
two_div_dif_Blue_UltraBlue_NIR1_Red,0.32
two_div_dif_Blue_UltraBlue_Red_NIR1,0.32
index_4_bands_NIR1_UltraBlue_Green_Red,0.31
index_4_bands_NIR1_UltraBlue_Red_Green,0.31
two_div_dif_Green_Blue_NIR1_Red,0.31
index_4_bands_NIR1_UltraBlue_Blue_Green,0.3
index_4_bands_NIR1_UltraBlue_Blue_Red,0.3
index_4_bands_NIR1_UltraBlue_Green_Blue,0.3
index_4_bands_NIR1_UltraBlue_Red_Blue,0.3
index_dg_UltraBlue_NIR1_Blue,0.3
inv_dif_UltraBlue_Blue,0.3
inv_dif_UltraBlue_Red,0.3
two_div_dif_Blue_UltraBlue_NIR1_Green,0.3
two_div_dif_Blue_UltraBlue_Red_Green,0.3
index_dg_UltraBlue_NIR1_Green,0.29
two_div_dif_NIR1_UltraBlue_Blue_Red,0.28
two_div_dif_NIR1_Blue_Red_Green,0.27
two_div_dif_NIR1_Blue_UltraBlue_Red,0.27
two_div_dif_Red_UltraBlue_Blue_NIR1,0.27
index_4_bands_Green_Blue_NIR1_Red,0.26
index_4_bands_Green_Blue_Red_NIR1,0.26
two_div_dif_Green_Blue_Red_NIR1,0.26
two_div_dif_NIR1_Red_Blue_Green,0.26
two_div_dif_Red_NIR1_UltraBlue_Green,0.26
index_dg_Blue_Green_UltraBlue,0.25
inv_dif_UltraBlue_NIR1,0.25
two_div_dif_Red_Blue_UltraBlue_NIR1,0.25
index_4_bands_Green_NIR1_Blue_UltraBlue,0.23
index_4_bands_Green_NIR1_UltraBlue_Blue,0.23
index_4_bands_Green_UltraBlue_NIR1_Red,0.23
index_4_bands_Green_UltraBlue_Red_NIR1,0.23
