Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Band_15,Band_16,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.010972801,0.017247956,0.033435922,0.016780281,0.012436718,0.003689716,0.0036431374,0.0014297082,0.010913171,0.017401608,0.03352139,0.016394554,0.012979185,0.003569372,0.41793156,-0.0,11.46,-0.319,28.07,0.014,-1.616,0.162,-22.429,0.332,-29.686,0.458,-50.499,0.149,-20.813,0.471,0.349,-0.054,-0.02,-0.75,-0.376,-0.512,-0.369,-0.871,-0.847,-0.359,-0.696,-0.554,0.01,0.096,0.561,0.617,0.086,-0.833,-0.225,-1.661,0.656,-0.606,0.885,0.589,1.197,1.272,1.716,0.601,-0.219,0.671,0.914,-0.317,27.634,0.03,-3.53,0.146,-19.58,0.343,-31.164,0.442,-47.215,0.116,-16.051,0.453,0.359,-0.118,-0.046,-0.656,-0.321,-0.542,-0.404,-0.822,-0.774,-0.279,-0.538,-0.549,0.022,0.089,0.564,0.608,0.067,-0.744,-0.273,-1.521,0.674,-0.704,0.852,0.663,1.135,1.299,1.641,0.555,-0.257,0.664,0.932
2016-08-09,CTD2,4181518,693105,0.0071803858,0.01053012,0.01937531,0.01102135,0.00828079,0.0025447959,0.002516696,0.0010055117,0.0071952725,0.010565986,0.019415252,0.010844853,0.0086765,0.0024619063,0.33446836,-0.0,,-0.296,43.354,-0.023,4.233,0.12,-25.796,0.275,-39.121,0.401,-69.149,0.142,-30.028,0.478,0.359,0.082,0.035,-0.5,-0.284,-0.412,-0.324,-0.728,-0.762,-0.316,-0.582,-0.458,-0.018,0.074,0.444,0.515,0.092,-0.787,-0.208,-1.384,0.528,-0.486,0.703,0.509,1.089,0.972,1.293,0.619,-0.218,0.721,0.91,-0.295,43.137,-0.013,2.434,0.098,-20.611,0.283,-40.704,0.382,-63.748,0.111,-23.044,0.468,0.374,0.047,0.021,-0.4,-0.224,-0.43,-0.353,-0.674,-0.691,-0.243,-0.447,-0.453,-0.01,0.062,0.445,0.502,0.072,-0.706,-0.256,-1.263,0.527,-0.573,0.659,0.588,1.037,0.969,1.211,0.58,-0.263,0.714,0.928
2016-08-09,CTD3,4181698,695238,0.007966208,0.011565162,0.020110957,0.010630411,0.0077515263,0.0023109643,0.0022742038,0.00090434565,0.007981613,0.0116108535,0.020093167,0.010501326,0.008130274,0.002229444,0.2636648,-0.0,,-0.27,36.742,0.042,-7.603,0.197,-42.54,0.308,-44.346,0.444,-79.283,0.157,-34.937,0.391,0.285,-0.153,-0.059,-0.856,-0.452,-0.513,-0.344,-0.917,-0.843,-0.404,-0.703,-0.465,0.034,0.124,0.491,0.557,0.091,-0.796,-0.154,-1.507,0.702,-0.4,0.963,0.368,1.01,1.222,1.675,0.534,-0.142,0.701,0.906,-0.268,36.358,0.05,-9.1,0.176,-36.871,0.314,-45.458,0.424,-73.229,0.127,-27.771,0.382,0.296,-0.183,-0.074,-0.741,-0.387,-0.528,-0.37,-0.85,-0.769,-0.322,-0.558,-0.455,0.039,0.114,0.486,0.541,0.075,-0.714,-0.196,-1.366,0.701,-0.485,0.905,0.439,0.956,1.213,1.567,0.5,-0.178,0.697,0.923
2016-08-09,CTD4,4180266,698264,0.008062084,0.010309625,0.014764223,0.008630959,0.006252049,0.0018940298,0.0018491419,0.000740986,0.008127184,0.010384623,0.014565022,0.00855384,0.0065622036,0.0018117498,0.06281612,-0.0,,-0.178,29.265,0.089,-18.865,0.245,-62.951,0.262,-48.131,0.405,-92.216,0.16,-44.086,0.253,0.183,-0.279,-0.118,-0.929,-0.543,-0.496,-0.301,-0.951,-0.796,-0.455,-0.651,-0.299,0.08,0.173,0.37,0.449,0.095,-0.682,-0.026,-1.167,0.771,-0.062,1.064,0.052,0.708,1.104,1.524,0.414,-0.022,0.755,0.898,-0.168,27.639,0.097,-20.61,0.226,-56.092,0.26,-48.249,0.379,-83.73,0.132,-35.481,0.236,0.181,-0.3,-0.135,-0.817,-0.48,-0.501,-0.317,-0.87,-0.716,-0.368,-0.517,-0.277,0.087,0.165,0.355,0.423,0.08,-0.591,-0.054,-1.006,0.763,-0.12,0.995,0.099,0.635,1.071,1.396,0.373,-0.045,0.759,0.914
2016-08-09,CTD6,4176009,695829,0.008602544,0.01312852,0.023303784,0.010863613,0.0077067325,0.002229318,0.0021900574,0.0008681567,0.008597531,0.013189688,0.023314165,0.010759835,0.008108026,0.0021529882,0.26926282,-0.0,,-0.279,33.259,0.094,-15.88,0.26,-53.587,0.364,-49.139,0.503,-86.845,0.17,-37.706,0.361,0.256,-0.37,-0.122,-1.249,-0.582,-0.645,-0.379,-1.14,-0.943,-0.495,-0.879,-0.548,0.073,0.159,0.597,0.65,0.087,-0.846,-0.146,-1.815,0.878,-0.442,1.237,0.365,1.066,1.558,2.196,0.497,-0.121,0.659,0.908,-0.277,32.924,0.101,-17.121,0.239,-47.518,0.368,-50.046,0.484,-80.442,0.141,-30.396,0.354,0.267,-0.399,-0.139,-1.108,-0.511,-0.66,-0.406,-1.061,-0.866,-0.401,-0.709,-0.537,0.077,0.149,0.589,0.635,0.073,-0.761,-0.188,-1.65,0.878,-0.54,1.165,0.441,1.014,1.552,2.06,0.468,-0.153,0.656,0.922
2016-08-09,CTD7,4176724,690397,0.009098829,0.013826707,0.02583522,0.013888611,0.010367216,0.0031316024,0.0030987,0.001227168,0.009079744,0.013898673,0.02589552,0.013616519,0.010826535,0.0030252077,0.3657688,-0.0,,-0.303,33.617,-0.002,0.322,0.143,-24.134,0.301,-33.295,0.427,-57.751,0.145,-24.456,0.467,0.349,0.008,0.003,-0.624,-0.335,-0.46,-0.345,-0.799,-0.802,-0.338,-0.632,-0.495,-0.002,0.087,0.494,0.558,0.089,-0.804,-0.211,-1.496,0.594,-0.526,0.796,0.529,1.122,1.11,1.488,0.603,-0.212,0.699,0.911,-0.301,33.333,0.01,-1.491,0.124,-20.416,0.311,-34.823,0.41,-53.749,0.114,-18.925,0.454,0.361,-0.039,-0.016,-0.529,-0.278,-0.484,-0.377,-0.747,-0.732,-0.263,-0.49,-0.491,0.008,0.078,0.497,0.548,0.07,-0.721,-0.258,-1.371,0.603,-0.618,0.758,0.605,1.068,1.123,1.412,0.562,-0.253,0.691,0.929
2016-08-09,CTD8,4174178,693048,0.011637802,0.018578455,0.034337766,0.014250711,0.010012525,0.0028302637,0.0027765334,0.001088002,0.0115716485,0.018745393,0.03434283,0.014044171,0.010484474,0.0027215334,0.32772544,-0.0,,-0.298,24.703,0.132,-16.346,0.3,-46.049,0.413,-41.049,0.548,-70.752,0.175,-29.703,0.352,0.247,-0.561,-0.164,-1.581,-0.656,-0.763,-0.411,-1.314,-1.008,-0.552,-1.02,-0.65,0.098,0.176,0.703,0.741,0.08,-0.882,-0.162,-2.126,1.012,-0.554,1.441,0.425,1.146,1.871,2.662,0.475,-0.124,0.62,0.913,-0.294,24.228,0.143,-17.857,0.283,-42.033,0.42,-42.086,0.532,-66.261,0.145,-24.175,0.34,0.254,-0.613,-0.187,-1.444,-0.59,-0.789,-0.441,-1.242,-0.931,-0.453,-0.83,-0.636,0.105,0.171,0.694,0.728,0.067,-0.794,-0.201,-1.941,1.029,-0.657,1.379,0.493,1.086,1.886,2.526,0.444,-0.15,0.618,0.926
2016-08-09,CTD9,4171106,693183,0.01248887,0.019313833,0.036751106,0.019724585,0.014879508,0.004476624,0.0044259382,0.0017315024,0.012403373,0.019516638,0.036863063,0.01920946,0.015503557,0.004332415,0.46161947,-0.0,,-0.311,24.566,-0.011,1.078,0.13,-15.43,0.301,-23.488,0.424,-39.996,0.14,-16.508,0.485,0.366,0.04,0.016,-0.567,-0.304,-0.454,-0.349,-0.772,-0.789,-0.319,-0.607,-0.504,-0.008,0.079,0.498,0.56,0.086,-0.8,-0.229,-1.491,0.574,-0.565,0.761,0.577,1.148,1.093,1.449,0.616,-0.234,0.696,0.914,-0.308,24.111,0.008,-0.819,0.115,-13.263,0.315,-24.93,0.408,-37.374,0.107,-12.444,0.463,0.374,-0.03,-0.013,-0.489,-0.255,-0.487,-0.387,-0.729,-0.718,-0.243,-0.459,-0.5,0.006,0.072,0.504,0.552,0.066,-0.71,-0.278,-1.362,0.595,-0.66,0.738,0.65,1.082,1.125,1.393,0.564,-0.273,0.687,0.934
2016-08-09,CTD10,4170388,695646,0.008200456,0.013219413,0.026664661,0.013814554,0.010340616,0.0031271046,0.0031077517,0.0012340308,0.008175398,0.013286386,0.026786368,0.013527304,0.010826535,0.0030404879,0.43215704,-0.0,,-0.337,38.144,-0.022,3.259,0.122,-21.06,0.317,-34.885,0.441,-59.203,0.144,-24.319,0.527,0.394,0.087,0.034,-0.562,-0.291,-0.461,-0.361,-0.783,-0.818,-0.321,-0.648,-0.557,-0.016,0.071,0.545,0.604,0.087,-0.84,-0.253,-1.622,0.569,-0.652,0.76,0.681,1.269,1.148,1.534,0.657,-0.264,0.678,0.914,-0.337,37.933,-0.009,1.34,0.102,-17.101,0.329,-36.592,0.424,-55.033,0.111,-18.441,0.513,0.411,0.036,0.015,-0.458,-0.231,-0.486,-0.396,-0.731,-0.744,-0.245,-0.494,-0.554,-0.006,0.061,0.55,0.595,0.067,-0.753,-0.304,-1.492,0.578,-0.753,0.722,0.767,1.216,1.165,1.456,0.614,-0.31,0.669,0.933
2016-08-09,CTD11,4169609,700351,0.0127466405,0.01818193,0.029332206,0.014960781,0.010687087,0.0030868582,0.003021513,0.001184418,0.012677618,0.018335706,0.029216733,0.014742743,0.011137724,0.0029348328,0.1954708,-0.0,,-0.235,20.907,0.097,-11.842,0.26,-38.571,0.324,-32.749,0.466,-59.479,0.167,-26.729,0.313,0.223,-0.347,-0.127,-1.131,-0.577,-0.595,-0.35,-1.081,-0.89,-0.486,-0.784,-0.435,0.08,0.169,0.498,0.563,0.09,-0.78,-0.094,-1.529,0.851,-0.259,1.191,0.213,0.899,1.373,1.922,0.458,-0.078,0.698,0.904,-0.229,20.311,0.109,-13.292,0.244,-35.247,0.329,-33.603,0.448,-55.558,0.139,-21.955,0.299,0.226,-0.388,-0.148,-1.03,-0.52,-0.616,-0.374,-1.019,-0.819,-0.403,-0.641,-0.42,0.089,0.164,0.491,0.547,0.076,-0.696,-0.128,-1.38,0.863,-0.336,1.142,0.27,0.838,1.374,1.819,0.423,-0.103,0.696,0.918
