Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Band_15,Band_16,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.011234438,0.01760108,0.033993095,0.017017499,0.01269005,0.0037516574,0.0036948533,0.0014447187,0.011168694,0.017767137,0.034073807,0.016632598,0.013229241,0.0036168438,0.41793156,0.0,10.865,-0.318,27.397,0.017,-1.948,0.162,-21.987,0.333,-29.345,0.456,-49.384,0.146,-20.039,0.466,0.348,-0.066,-0.025,-0.747,-0.374,-0.517,-0.372,-0.869,-0.84,-0.353,-0.681,-0.552,0.013,0.096,0.56,0.615,0.084,-0.823,-0.228,-1.644,0.661,-0.611,0.886,0.59,1.186,1.277,1.712,0.594,-0.22,0.671,0.915,-0.315,26.936,0.033,-3.839,0.146,-19.306,0.344,-30.775,0.441,-46.242,0.114,-15.467,0.448,0.356,-0.131,-0.051,-0.658,-0.321,-0.547,-0.407,-0.822,-0.769,-0.275,-0.527,-0.546,0.024,0.089,0.563,0.606,0.066,-0.736,-0.274,-1.507,0.68,-0.706,0.855,0.661,1.122,1.304,1.639,0.548,-0.256,0.664,0.933
2016-08-09,CTD2,4181518,693105,0.007866621,0.011399689,0.021182664,0.0118339015,0.00886842,0.002690309,0.002679844,0.0010691101,0.0078779925,0.011445166,0.021303117,0.01163782,0.009286255,0.002616414,0.3272892,0.0,11.75,-0.3,40.513,-0.019,3.219,0.125,-25.038,0.283,-37.295,0.41,-65.551,0.143,-28.257,0.479,0.359,0.068,0.029,-0.53,-0.296,-0.425,-0.331,-0.747,-0.776,-0.322,-0.599,-0.473,-0.014,0.077,0.461,0.53,0.091,-0.796,-0.211,-1.425,0.545,-0.505,0.727,0.524,1.109,1.012,1.35,0.619,-0.219,0.713,0.91,-0.301,40.432,-0.008,1.446,0.104,-20.313,0.293,-38.985,0.393,-60.745,0.112,-21.759,0.471,0.375,0.031,0.013,-0.433,-0.236,-0.446,-0.362,-0.695,-0.707,-0.249,-0.464,-0.471,-0.006,0.066,0.466,0.521,0.072,-0.716,-0.261,-1.311,0.548,-0.598,0.686,0.608,1.063,1.019,1.277,0.581,-0.265,0.705,0.929
2016-08-09,CTD3,4181698,695238,0.0066049104,0.010402294,0.019972755,0.011444994,0.0087221,0.0027403359,0.0027090576,0.0010950534,0.0066109016,0.010425748,0.020055331,0.011225296,0.009156718,0.0026387193,0.3898209,0.0,12.155,-0.315,46.064,-0.048,8.758,0.088,-18.519,0.271,-37.306,0.392,-64.583,0.135,-27.277,0.527,0.402,0.175,0.076,-0.37,-0.212,-0.388,-0.325,-0.672,-0.739,-0.284,-0.545,-0.475,-0.036,0.053,0.446,0.515,0.09,-0.791,-0.241,-1.381,0.472,-0.552,0.62,0.608,1.158,0.907,1.19,0.664,-0.265,0.719,0.913,-0.316,46.054,-0.037,6.832,0.065,-13.293,0.282,-39.222,0.373,-59.347,0.101,-20.125,0.517,0.422,0.137,0.063,-0.267,-0.149,-0.409,-0.359,-0.619,-0.666,-0.21,-0.404,-0.472,-0.027,0.041,0.451,0.503,0.068,-0.706,-0.296,-1.261,0.472,-0.648,0.579,0.698,1.108,0.908,1.114,0.62,-0.319,0.71,0.934
2016-08-09,CTD4,4180266,698264,0.008062084,0.010796283,0.016198207,0.009970905,0.0075142314,0.0025848555,0.0026212204,0.0010892436,0.008127184,0.010880876,0.016012732,0.009840584,0.0079318555,0.0025081758,0.3804889,0.0,8.03,-0.2,30.889,0.04,-7.667,0.179,-40.456,0.238,-38.557,0.366,-71.346,0.141,-32.789,0.308,0.232,-0.124,-0.058,-0.655,-0.403,-0.416,-0.29,-0.77,-0.711,-0.354,-0.531,-0.309,0.035,0.125,0.34,0.418,0.091,-0.66,-0.087,-1.073,0.619,-0.188,0.821,0.173,0.747,0.929,1.232,0.46,-0.08,0.769,0.906,-0.191,29.454,0.05,-9.716,0.157,-34.17,0.239,-39.17,0.337,-63.624,0.107,-24.454,0.29,0.234,-0.156,-0.077,-0.547,-0.336,-0.426,-0.311,-0.692,-0.626,-0.266,-0.392,-0.289,0.043,0.114,0.328,0.39,0.071,-0.561,-0.127,-0.913,0.61,-0.255,0.757,0.231,0.666,0.898,1.114,0.409,-0.114,0.77,0.926
2016-08-09,CTD6,4176009,695829,0.008448231,0.012955736,0.022744628,0.010942254,0.007855099,0.0022685358,0.0022206507,0.0008805404,0.008457326,0.013017064,0.022727186,0.0108244,0.008250715,0.0021784934,0.26776117,0.0,11.08,-0.274,33.219,0.084,-14.203,0.245,-50.12,0.35,-47.422,0.487,-83.339,0.164,-35.917,0.363,0.261,-0.323,-0.112,-1.14,-0.548,-0.614,-0.373,-1.08,-0.912,-0.465,-0.817,-0.521,0.066,0.151,0.567,0.623,0.086,-0.823,-0.148,-1.712,0.839,-0.429,1.168,0.363,1.038,1.472,2.051,0.499,-0.125,0.669,0.908,-0.272,32.822,0.092,-15.562,0.224,-44.379,0.355,-48.384,0.467,-77.201,0.135,-28.818,0.355,0.271,-0.354,-0.128,-1.009,-0.48,-0.63,-0.399,-1.005,-0.836,-0.375,-0.655,-0.509,0.071,0.142,0.56,0.607,0.072,-0.739,-0.189,-1.552,0.84,-0.522,1.101,0.434,0.984,1.466,1.923,0.469,-0.158,0.667,0.923
2016-08-09,CTD7,4176724,690397,0.0096951695,0.01463669,0.027275056,0.0151752,0.011417002,0.0034939207,0.0034616464,0.001368891,0.009666791,0.014721514,0.02735021,0.014842082,0.01192278,0.0033772076,0.37419742,0.0,12.465,-0.302,31.658,-0.018,2.424,0.124,-19.267,0.285,-29.233,0.41,-50.925,0.141,-21.692,0.48,0.361,0.066,0.028,-0.526,-0.292,-0.428,-0.334,-0.745,-0.773,-0.317,-0.592,-0.475,-0.014,0.076,0.464,0.532,0.09,-0.793,-0.216,-1.424,0.546,-0.515,0.726,0.534,1.111,1.017,1.352,0.618,-0.224,0.711,0.911,-0.3,31.365,-0.004,0.552,0.105,-15.945,0.296,-30.813,0.393,-47.31,0.109,-16.497,0.466,0.374,0.015,0.007,-0.436,-0.237,-0.454,-0.367,-0.696,-0.702,-0.243,-0.451,-0.472,-0.003,0.066,0.469,0.522,0.069,-0.707,-0.265,-1.302,0.556,-0.608,0.692,0.613,1.055,1.033,1.286,0.572,-0.267,0.703,0.931
2016-08-09,CTD8,4174178,693048,0.011349454,0.017758127,0.031161042,0.013814554,0.00982914,0.0028085841,0.0027631335,0.0010855222,0.011305991,0.017912947,0.031134222,0.01366129,0.010284633,0.0027115627,0.29417664,0.0,13.48,-0.274,24.221,0.125,-16.075,0.287,-45.426,0.386,-40.296,0.52,-69.647,0.169,-29.351,0.335,0.238,-0.501,-0.158,-1.416,-0.628,-0.716,-0.396,-1.237,-0.962,-0.521,-0.915,-0.567,0.096,0.176,0.629,0.676,0.081,-0.836,-0.142,-1.885,0.97,-0.449,1.363,0.349,1.043,1.702,2.392,0.462,-0.11,0.645,0.911,-0.27,23.707,0.135,-17.374,0.271,-41.407,0.39,-41.081,0.503,-65.113,0.141,-24.033,0.324,0.244,-0.541,-0.179,-1.289,-0.566,-0.736,-0.422,-1.166,-0.89,-0.431,-0.748,-0.552,0.103,0.17,0.62,0.66,0.069,-0.753,-0.177,-1.716,0.981,-0.537,1.303,0.41,0.985,1.705,2.265,0.432,-0.135,0.644,0.925
2016-08-09,CTD9,4171106,693183,0.012887651,0.019701988,0.038454488,0.021535402,0.016456375,0.0050514946,0.005025027,0.0019747321,0.012790599,0.019897293,0.038655303,0.02092268,0.017137077,0.004932758,0.5348472,0.0,3.66,-0.322,24.752,-0.044,4.321,0.09,-10.01,0.282,-20.43,0.401,-34.762,0.134,-14.332,0.533,0.407,0.166,0.071,-0.385,-0.216,-0.403,-0.336,-0.685,-0.749,-0.282,-0.551,-0.494,-0.033,0.054,0.468,0.533,0.087,-0.796,-0.252,-1.422,0.487,-0.588,0.637,0.643,1.188,0.95,1.244,0.665,-0.275,0.709,0.915,-0.32,24.388,-0.025,2.463,0.075,-8.095,0.298,-21.925,0.386,-32.483,0.099,-10.558,0.51,0.418,0.095,0.042,-0.313,-0.169,-0.436,-0.376,-0.646,-0.68,-0.21,-0.408,-0.493,-0.018,0.046,0.479,0.527,0.065,-0.706,-0.304,-1.305,0.508,-0.686,0.62,0.722,1.124,0.986,1.204,0.608,-0.32,0.697,0.936
2016-08-09,CTD10,4170388,695646,0.008200456,0.013136075,0.026461039,0.013533393,0.0102347415,0.0030901958,0.0030795357,0.0012280812,0.008175398,0.013197403,0.026587224,0.013262273,0.010715043,0.0030089053,0.43358025,0.0,10.3,-0.337,38.335,-0.015,2.235,0.124,-21.58,0.323,-36.1,0.442,-59.915,0.139,-23.815,0.519,0.392,0.059,0.023,-0.571,-0.292,-0.474,-0.369,-0.787,-0.811,-0.313,-0.63,-0.561,-0.011,0.073,0.553,0.608,0.083,-0.826,-0.26,-1.615,0.584,-0.672,0.772,0.692,1.258,1.176,1.555,0.643,-0.268,0.674,0.918,-0.337,38.16,-0.002,0.371,0.104,-17.554,0.334,-37.79,0.426,-55.715,0.106,-17.925,0.506,0.409,0.01,0.004,-0.467,-0.233,-0.499,-0.405,-0.735,-0.739,-0.237,-0.477,-0.558,-0.002,0.062,0.557,0.6,0.064,-0.741,-0.312,-1.486,0.592,-0.773,0.733,0.777,1.207,1.193,1.476,0.602,-0.313,0.665,0.936
2016-08-09,CTD11,4169609,700351,0.009413645,0.013391222,0.023053167,0.012143477,0.0088038,0.0026283646,0.0025830623,0.0010164073,0.009433291,0.013465799,0.022874536,0.011954913,0.009205894,0.0025156466,0.2242271,0.0,9.11,-0.265,31.298,0.049,-7.673,0.207,-38.912,0.31,-38.971,0.447,-70.209,0.159,-31.239,0.38,0.276,-0.177,-0.068,-0.897,-0.473,-0.522,-0.343,-0.94,-0.853,-0.418,-0.72,-0.461,0.039,0.13,0.492,0.558,0.092,-0.798,-0.144,-1.516,0.721,-0.377,0.994,0.342,0.997,1.241,1.712,0.525,-0.131,0.701,0.905,-0.259,30.545,0.059,-9.385,0.188,-34.364,0.314,-39.931,0.426,-64.909,0.13,-24.978,0.365,0.281,-0.215,-0.086,-0.786,-0.411,-0.538,-0.368,-0.874,-0.776,-0.336,-0.571,-0.445,0.047,0.122,0.482,0.538,0.076,-0.71,-0.181,-1.358,0.724,-0.451,0.94,0.4,0.929,1.23,1.597,0.485,-0.161,0.7,0.921
