Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl
2016-08-09,CTD1,4187246,695025,0.1166,0.0879,0.0709,0.0432,0.0365,0.0259,0.024,0.0208,0.0191,0.0065,0.0005,0.0093,0.0073,0.010624481,0.016557535,0.032384552,0.016780281,0.012566763,0.0037257508,0.0036818709,0.0014473192,0.010575526,0.016691737,0.0324639,0.016380625,0.013099749,0.0036055562,10.865
2016-08-09,CTD2,4181518,693105,0.1218,0.0935,0.0708,0.049,0.0419,0.0343,0.033,0.0296,0.0285,0.0088,0.0007,0.0176,0.0144,0.007923393,0.011770556,0.021903703,0.012113725,0.009040595,0.0027737764,0.002740579,0.0010888296,0.007922596,0.01181726,0.02193412,0.011918128,0.009454949,0.002680846,11.75
2016-08-09,CTD3,4181698,695238,0.1208,0.0931,0.07,0.0485,0.0415,0.0347,0.0328,0.0299,0.0284,0.0088,0.0007,0.0186,0.0148,0.007143528,0.010799487,0.020426381,0.011342302,0.008600693,0.0026381165,0.0026212204,0.0010468804,0.0071542272,0.010834939,0.020462053,0.011137918,0.009016513,0.0025608656,12.155
2016-08-09,CTD4,4180266,698264,0.1283,0.1005,0.0775,0.0557,0.0478,0.0398,0.0384,0.036,0.0326,0.0107,0.0005,0.0195,0.0155,0.00834835,0.011493996,0.022479063,0.013876248,0.010844637,0.003242291,0.0032637531,0.0012924316,0.00837807,0.0115588615,0.022699209,0.013579969,0.011277797,0.0031661226,8.03
2016-08-09,CTD6,4176009,695829,0.1171,0.0879,0.0648,0.0413,0.0347,0.0278,0.0262,0.0235,0.022,0.007,0.0006,0.0125,0.0096,0.00824704,0.012276086,0.021916643,0.010758338,0.00773042,0.0022531194,0.0022172334,0.0008805404,0.008248172,0.012326574,0.021927327,0.010634988,0.008124707,0.0021751877,11.08
2016-08-09,CTD7,4176724,690397,0.1216,0.0946,0.0752,0.0517,0.0449,0.0353,0.0343,0.0306,0.0288,0.0088,0.0007,0.0184,0.0147,0.009413645,0.014200934,0.027014345,0.01507428,0.011553612,0.0035371203,0.003520081,0.0013884287,0.009389851,0.014280778,0.027051032,0.014755674,0.012062613,0.0034298815,12.465
2016-08-09,CTD8,4174178,693048,0.1178,0.0899,0.07,0.0425,0.0359,0.0277,0.0255,0.0232,0.0213,0.0069,0.0005,0.0123,0.0089,0.0100416485,0.016055742,0.029348467,0.0135051105,0.009702014,0.0027962578,0.002748763,0.0010838717,0.009984354,0.016188301,0.029362286,0.013286205,0.010184162,0.0026986462,13.48
2016-08-09,CTD9,4171106,693183,0.1233,0.0983,0.0842,0.059,0.0497,0.0377,0.0359,0.0324,0.0309,0.0093,0.0005,0.0213,0.0163,0.012891191,0.01993437,0.03835634,0.02176378,0.016870368,0.0051990086,0.0051388885,0.0019925332,0.012807781,0.020145059,0.038571615,0.021179557,0.01759193,0.0050461353,3.66
2016-08-09,CTD10,4170388,695646,0.1206,0.0925,0.0741,0.0488,0.0411,0.0333,0.0329,0.0283,0.0273,0.0084,0.0006,0.0167,0.0138,0.008112824,0.013049408,0.025872147,0.013400449,0.009960784,0.0030119875,0.0029873487,0.0011901954,0.008086391,0.01311274,0.026012404,0.0131629035,0.010453797,0.002921045,10.3
2016-08-09,CTD11,4169609,700351,0.1245,0.0925,0.0728,0.0489,0.043,0.0354,0.0355,0.0274,0.0314,0.0093,0.0005,0.0202,0.0175,0.008105557,0.011979025,0.021000816,0.011000672,0.008032962,0.0024041818,0.0023557125,0.0009359669,0.00811757,0.01202314,0.020967184,0.010879009,0.008444171,0.0023064883,9.11
2016-08-09,CTD12,4173438,695414,0.1192,0.0917,0.0715,0.0456,0.0386,0.0309,0.0292,0.0262,0.0252,0.0077,0.0006,0.015,0.0125,0.008989714,0.014293721,0.026778305,0.012550694,0.008972003,0.0026215564,0.0025908514,0.0010250371,0.008959109,0.01437552,0.026842339,0.012372923,0.009398448,0.0025409989,9.51
2016-09-08,CTD1,4187246,695025,0.1222,0.0924,0.0745,0.0498,0.0428,0.0348,0.0343,0.0289,0.029,0.0086,0.0007,0.017,0.0124,0.007186908,0.011409761,0.023645932,0.014095872,0.0108549725,0.0033967479,0.0033966762,0.0013554926,0.0071671666,0.011452029,0.023760693,0.013808575,0.011364658,0.0033099267,20.94
2016-09-08,CTD2,4181518,693105,0.1193,0.0889,0.0689,0.0435,0.0371,0.0301,0.0289,0.0242,0.0244,0.0078,0.0007,0.0123,0.009,0.0065848045,0.010436455,0.021094711,0.011201857,0.008247391,0.0024894085,0.0024704451,0.0009859185,0.0065828213,0.010470194,0.021157654,0.0110580055,0.008661829,0.0024208832,15.345
2016-09-08,CTD3,4181698,695238,0.1178,0.0865,0.0661,0.0406,0.0346,0.0275,0.0261,0.0215,0.0218,0.0072,0.0005,0.0099,0.0072,0.006710377,0.010536389,0.020597933,0.010707693,0.007770033,0.0023496428,0.0023244137,0.00092797464,0.006718175,0.010565986,0.020700367,0.010541282,0.008177715,0.0022805568,13.84
2016-09-08,CTD4,4180266,698264,0.1196,0.0895,0.0668,0.044,0.0375,0.0311,0.0301,0.0256,0.0254,0.0075,0.0005,0.0142,0.0107,0.00538102,0.0084329555,0.017104443,0.009806661,0.007483394,0.0023039908,0.0022890803,0.0009150217,0.0053873323,0.0084486725,0.017237332,0.009652834,0.007877458,0.0022336654,13.55
2016-09-08,CTD6,4176009,695829,0.1166,0.0862,0.0644,0.04,0.0337,0.0272,0.0251,0.021,0.0211,0.0072,0.0005,0.0095,0.007,0.0065888213,0.0103188595,0.019942816,0.010286571,0.007690974,0.0023005109,0.002276823,0.00091038225,0.0065928376,0.010346785,0.02003014,0.010124569,0.008099697,0.0022345104,13.9
2016-09-08,CTD7,4176724,690397,0.1202,0.0895,0.0703,0.0444,0.0377,0.0308,0.0298,0.0244,0.0248,0.0074,0.0006,0.0119,0.0083,0.0064161755,0.010458245,0.0216526,0.011541264,0.008612197,0.002611856,0.0025957297,0.001040885,0.00640875,0.010489292,0.021771546,0.011352071,0.009046844,0.0025438291,15.895
2016-09-08,CTD9,4171106,693183,0.121,0.0933,0.0792,0.0541,0.0467,0.0355,0.0347,0.0297,0.0297,0.0084,0.0005,0.0174,0.0126,0.009851409,0.015453519,0.03083936,0.019270614,0.015157631,0.0048468914,0.004828156,0.0019033923,0.009811909,0.0155641865,0.031089414,0.01873835,0.015864851,0.004731448,3.8
2016-09-08,CTD10,4170388,695646,0.1201,0.0914,0.0751,0.049,0.0424,0.0322,0.0314,0.0262,0.0258,0.0083,0.0005,0.0139,0.0101,0.007997258,0.012899798,0.027413853,0.016326621,0.012701652,0.0039966,0.0039799144,0.0015764722,0.007965052,0.012967536,0.027643776,0.015921012,0.013282109,0.0038947402,14.865
