Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.010673251,0.016616538,0.032175384,0.01672369,0.012509271,0.003727043,0.003689656,0.0014509659,11.46,-0.319,29.101,-0.003,0.386,0.141,-19.76,0.316,-28.716,0.44,-48.861,0.144,-20.145,0.487,0.364,0.012,0.005,-0.636,-0.33,-0.477,-0.359,-0.812,-0.817,-0.335,-0.648,-0.532,-0.002,0.084,0.531,0.59,0.086,-0.82,-0.232,-1.579,0.605,-0.596,0.809,0.599,1.188,1.171,1.566,0.618,-0.233,0.683,0.914
2016-08-09,CTD2,4181518,693105,0.007847778,0.01169832,0.021563038,0.011943749,0.008954178,0.0027222375,0.0026979453,0.0010744213,,-0.297,39.107,-0.01,1.757,0.133,-26.197,0.287,-37.35,0.413,-65.304,0.143,-27.954,0.467,0.35,0.038,0.016,-0.565,-0.313,-0.437,-0.334,-0.764,-0.78,-0.327,-0.603,-0.472,-0.008,0.082,0.466,0.533,0.09,-0.791,-0.207,-1.429,0.564,-0.499,0.753,0.509,1.094,1.04,1.387,0.606,-0.212,0.711,0.911
2016-08-09,CTD3,4181698,695238,0.007199968,0.010564647,0.019889023,0.011289472,0.008480647,0.0025925457,0.0025714156,0.0010274014,,-0.306,44.376,-0.033,6.077,0.109,-23.26,0.276,-38.299,0.402,-67.637,0.142,-29.337,0.501,0.376,0.121,0.052,-0.463,-0.263,-0.405,-0.325,-0.715,-0.764,-0.31,-0.583,-0.472,-0.026,0.067,0.452,0.522,0.092,-0.8,-0.22,-1.409,0.509,-0.516,0.678,0.551,1.131,0.959,1.277,0.642,-0.235,0.718,0.91
2016-08-09,CTD4,4180266,698264,0.008227398,0.011674324,0.02155027,0.012043291,0.009206305,0.0028024155,0.0027775664,0.0011109519,,-0.297,39.255,-0.016,2.624,0.118,-22.963,0.283,-36.631,0.401,-62.218,0.134,-25.587,0.473,0.361,0.057,0.024,-0.495,-0.277,-0.428,-0.337,-0.726,-0.749,-0.299,-0.551,-0.465,-0.012,0.073,0.455,0.52,0.085,-0.766,-0.223,-1.371,0.542,-0.521,0.709,0.538,1.082,1.001,1.309,0.604,-0.23,0.714,0.916
2016-08-09,CTD5,4179450,700268,0.010802133,0.018177072,0.025004387,0.0046341233,0.0028705758,0.00077572005,0.0007522194,0.00030163772,0.21,-0.158,15.021,0.594,-160.776,0.727,-293.348,0.687,-175.798,0.794,-308.369,0.235,-132.572,0.07,0.043,-4.02,-0.462,-7.335,-1.359,-3.195,-0.505,-5.605,-1.429,-2.41,-3.315,-0.91,0.486,0.516,0.968,0.97,0.041,-0.887,0.108,-4.788,3.808,0.936,6.147,-0.239,0.756,5.238,8.456,0.14,0.027,0.528,0.94
2016-08-09,CTD6,4176009,695829,0.007531235,0.011460239,0.021013314,0.010536937,0.0076151825,0.0022480006,0.0022155263,0.0008822723,,-0.294,39.669,0.042,-7.646,0.202,-44.058,0.332,-47.315,0.468,-83.728,0.161,-36.412,0.418,0.302,-0.161,-0.058,-0.926,-0.464,-0.542,-0.36,-0.96,-0.882,-0.417,-0.765,-0.526,0.032,0.122,0.549,0.609,0.09,-0.838,-0.177,-1.672,0.725,-0.489,1.003,0.45,1.111,1.33,1.84,0.557,-0.163,0.677,0.907
2016-08-09,CTD7,4176724,690397,0.00945778,0.01424525,0.026968537,0.0151752,0.011553612,0.0035595007,0.0035150778,0.0013884287,,-0.309,33.119,-0.032,4.302,0.104,-16.354,0.28,-28.817,0.4,-49.473,0.135,-20.656,0.503,0.383,0.116,0.05,-0.441,-0.248,-0.411,-0.333,-0.705,-0.751,-0.294,-0.557,-0.476,-0.024,0.064,0.457,0.524,0.088,-0.785,-0.233,-1.395,0.51,-0.544,0.67,0.58,1.132,0.966,1.269,0.637,-0.248,0.714,0.914
2016-08-09,CTD8,4174178,693048,0.009241544,0.0148564065,0.028911766,0.013404463,0.009629498,0.0027880655,0.0027528624,0.001088002,,-0.321,32.723,0.051,-7.291,0.213,-36.537,0.366,-40.014,0.5,-69.26,0.164,-29.246,0.439,0.315,-0.211,-0.07,-1.056,-0.49,-0.594,-0.385,-1.029,-0.928,-0.434,-0.846,-0.61,0.038,0.124,0.633,0.682,0.086,-0.878,-0.205,-1.894,0.775,-0.614,1.079,0.554,1.228,1.509,2.1,0.569,-0.185,0.646,0.911
2016-08-09,CTD9,4171106,693183,0.012831106,0.019701988,0.03786806,0.021641055,0.01662304,0.005103598,0.005056198,0.0019767045,,-0.316,24.349,-0.047,4.548,0.085,-9.401,0.273,-19.801,0.39,-33.75,0.131,-13.949,0.527,0.405,0.172,0.076,-0.356,-0.203,-0.39,-0.329,-0.665,-0.73,-0.275,-0.528,-0.475,-0.036,0.052,0.447,0.514,0.087,-0.782,-0.248,-1.368,0.471,-0.565,0.614,0.62,1.154,0.906,1.18,0.659,-0.272,0.718,0.916
2016-08-09,CTD10,4170388,695646,0.008217592,0.013158761,0.026273571,0.013356354,0.009944657,0.0029837554,0.0029600274,0.0011729315,,-0.333,37.934,-0.007,1.124,0.139,-24.562,0.326,-36.81,0.451,-62.495,0.146,-25.686,0.507,0.377,0.03,0.011,-0.645,-0.328,-0.484,-0.366,-0.822,-0.835,-0.338,-0.675,-0.563,-0.005,0.081,0.559,0.616,0.087,-0.842,-0.244,-1.657,0.607,-0.644,0.815,0.654,1.252,1.211,1.627,0.637,-0.247,0.672,0.914
