Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.010972801,0.017247956,0.033435922,0.016780281,0.012436718,0.003689716,0.0036431374,0.0014297082,10.27,6.78,-0.319,28.07,0.014,-1.616,0.162,-22.429,0.332,-29.686,0.458,-50.499,0.149,-20.813,0.471,0.349,-0.054,-0.02,-0.75,-0.376,-0.512,-0.369,-0.871,-0.847,-0.359,-0.696,-0.554,0.01,0.096,0.561,0.617,0.086,-0.833,-0.225,-1.661,0.656,-0.606,0.885,0.589,1.197,1.272,1.716,0.601,-0.219,0.671,0.914
2016-08-09,CTD2,4181518,693105,0.0071803858,0.01053012,0.01937531,0.01102135,0.00828079,0.0025447959,0.002516696,0.0010055117,11.29,4.53,-0.296,43.354,-0.023,4.233,0.12,-25.796,0.275,-39.121,0.401,-69.149,0.142,-30.028,0.478,0.359,0.082,0.035,-0.5,-0.284,-0.412,-0.324,-0.728,-0.762,-0.316,-0.582,-0.458,-0.018,0.074,0.444,0.515,0.092,-0.787,-0.208,-1.384,0.528,-0.486,0.703,0.509,1.089,0.972,1.293,0.619,-0.218,0.721,0.91
2016-08-09,CTD3,4181698,695238,0.007966208,0.011565162,0.020110957,0.010630411,0.0077515263,0.0023109643,0.0022742038,0.00090434565,12.56,3.76,-0.27,36.742,0.042,-7.603,0.197,-42.54,0.308,-44.346,0.444,-79.283,0.157,-34.937,0.391,0.285,-0.153,-0.059,-0.856,-0.452,-0.513,-0.344,-0.917,-0.843,-0.404,-0.703,-0.465,0.034,0.124,0.491,0.557,0.091,-0.796,-0.154,-1.507,0.702,-0.4,0.963,0.368,1.01,1.222,1.675,0.534,-0.142,0.701,0.906
2016-08-09,CTD4,4180266,698264,0.008062084,0.010309625,0.014764223,0.008630959,0.006252049,0.0018940298,0.0018491419,0.000740986,8.48,3.23,-0.178,29.265,0.089,-18.865,0.245,-62.951,0.262,-48.131,0.405,-92.216,0.16,-44.086,0.253,0.183,-0.279,-0.118,-0.929,-0.543,-0.496,-0.301,-0.951,-0.796,-0.455,-0.651,-0.299,0.08,0.173,0.37,0.449,0.095,-0.682,-0.026,-1.167,0.771,-0.062,1.064,0.052,0.708,1.104,1.524,0.414,-0.022,0.755,0.898
2016-08-09,CTD5,4179450,700268,0.013036979,0.021194883,0.022347229,0.0032102459,0.0019025512,0.0005086485,0.00049227226,0.00019745337,0.21,0.12,-0.026,2.433,0.737,-264.321,0.835,-478.429,0.749,-266.754,0.843,-480.862,0.256,-214.107,0.008,0.005,-5.907,-0.503,-10.692,-1.536,-5.654,-0.508,-10.192,-1.544,-4.538,-4.785,-0.225,0.742,0.755,0.829,0.838,0.03,-0.739,0.356,-5.144,6.517,4.179,10.997,-0.633,0.462,6.871,11.594,0.066,0.054,0.56,0.949
2016-08-09,CTD6,4176009,695829,0.008602544,0.01312852,0.023303784,0.010863613,0.0077067325,0.002229318,0.0021900574,0.0008681567,12.64,4.93,-0.279,33.259,0.094,-15.88,0.26,-53.587,0.364,-49.139,0.503,-86.845,0.17,-37.706,0.361,0.256,-0.37,-0.122,-1.249,-0.582,-0.645,-0.379,-1.14,-0.943,-0.495,-0.879,-0.548,0.073,0.159,0.597,0.65,0.087,-0.846,-0.146,-1.815,0.878,-0.442,1.237,0.365,1.066,1.558,2.196,0.497,-0.121,0.659,0.908
2016-08-09,CTD7,4176724,690397,0.009098829,0.013826707,0.02583522,0.013888611,0.010367216,0.0031316024,0.0030987,0.001227168,13.99,5.84,-0.303,33.617,-0.002,0.322,0.143,-24.134,0.301,-33.295,0.427,-57.751,0.145,-24.456,0.467,0.349,0.008,0.003,-0.624,-0.335,-0.46,-0.345,-0.799,-0.802,-0.338,-0.632,-0.495,-0.002,0.087,0.494,0.558,0.089,-0.804,-0.211,-1.496,0.594,-0.526,0.796,0.529,1.122,1.11,1.488,0.603,-0.212,0.699,0.911
2016-08-09,CTD8,4174178,693048,0.011637802,0.018578455,0.034337766,0.014250711,0.010012525,0.0028302637,0.0027765334,0.001088002,14.12,6.09,-0.298,24.703,0.132,-16.346,0.3,-46.049,0.413,-41.049,0.548,-70.752,0.175,-29.703,0.352,0.247,-0.561,-0.164,-1.581,-0.656,-0.763,-0.411,-1.314,-1.008,-0.552,-1.02,-0.65,0.098,0.176,0.703,0.741,0.08,-0.882,-0.162,-2.126,1.012,-0.554,1.441,0.425,1.146,1.871,2.662,0.475,-0.124,0.62,0.913
2016-08-09,CTD9,4171106,693183,0.01248887,0.019313833,0.036751106,0.019724585,0.014879508,0.004476624,0.0044259382,0.0017315024,3.66,6.2,-0.311,24.566,-0.011,1.078,0.13,-15.43,0.301,-23.488,0.424,-39.996,0.14,-16.508,0.485,0.366,0.04,0.016,-0.567,-0.304,-0.454,-0.349,-0.772,-0.789,-0.319,-0.607,-0.504,-0.008,0.079,0.498,0.56,0.086,-0.8,-0.229,-1.491,0.574,-0.565,0.761,0.577,1.148,1.093,1.449,0.616,-0.234,0.696,0.914
2016-08-09,CTD10,4170388,695646,0.008200456,0.013219413,0.026664661,0.013814554,0.010340616,0.0031271046,0.0031077517,0.0012340308,10.85,3.72,-0.337,38.144,-0.022,3.259,0.122,-21.06,0.317,-34.885,0.441,-59.203,0.144,-24.319,0.527,0.394,0.087,0.034,-0.562,-0.291,-0.461,-0.361,-0.783,-0.818,-0.321,-0.648,-0.557,-0.016,0.071,0.545,0.604,0.087,-0.84,-0.253,-1.622,0.569,-0.652,0.76,0.681,1.269,1.148,1.534,0.657,-0.264,0.678,0.914
