Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.011234438,0.01760108,0.033993095,0.017017499,0.01269005,0.0037516574,0.0036948533,0.0014447187,11.46,6.89,-0.318,27.397,0.017,-1.948,0.162,-21.987,0.333,-29.345,0.456,-49.384,0.146,-20.039,0.466,0.348,-0.066,-0.025,-0.747,-0.374,-0.517,-0.372,-0.869,-0.84,-0.353,-0.681,-0.552,0.013,0.096,0.56,0.615,0.084,-0.823,-0.228,-1.644,0.661,-0.611,0.886,0.59,1.186,1.277,1.712,0.594,-0.22,0.671,0.915
2016-08-09,CTD2,4181518,693105,0.007866621,0.011399689,0.021182664,0.0118339015,0.00886842,0.002690309,0.002679844,0.0010691101,,,-0.3,40.513,-0.019,3.219,0.125,-25.038,0.283,-37.295,0.41,-65.551,0.143,-28.257,0.479,0.359,0.068,0.029,-0.53,-0.296,-0.425,-0.331,-0.747,-0.776,-0.322,-0.599,-0.473,-0.014,0.077,0.461,0.53,0.091,-0.796,-0.211,-1.425,0.545,-0.505,0.727,0.524,1.109,1.012,1.35,0.619,-0.219,0.713,0.91
2016-08-09,CTD3,4181698,695238,0.0066049104,0.010402294,0.019972755,0.011444994,0.0087221,0.0027403359,0.0027090576,0.0010950534,,,-0.315,46.064,-0.048,8.758,0.088,-18.519,0.271,-37.306,0.392,-64.583,0.135,-27.277,0.527,0.402,0.175,0.076,-0.37,-0.212,-0.388,-0.325,-0.672,-0.739,-0.284,-0.545,-0.475,-0.036,0.053,0.446,0.515,0.09,-0.791,-0.241,-1.381,0.472,-0.552,0.62,0.608,1.158,0.907,1.19,0.664,-0.265,0.719,0.913
2016-08-09,CTD4,4180266,698264,0.008062084,0.010796283,0.016198207,0.009970905,0.0075142314,0.0025848555,0.0026212204,0.0010892436,,,-0.2,30.889,0.04,-7.667,0.179,-40.456,0.238,-38.557,0.366,-71.346,0.141,-32.789,0.308,0.232,-0.124,-0.058,-0.655,-0.403,-0.416,-0.29,-0.77,-0.711,-0.354,-0.531,-0.309,0.035,0.125,0.34,0.418,0.091,-0.66,-0.087,-1.073,0.619,-0.188,0.821,0.173,0.747,0.929,1.232,0.46,-0.08,0.769,0.906
2016-08-09,CTD5,4179450,700268,0.01133022,0.01878649,0.026649538,0.005125454,0.0031153557,0.0008257999,0.00080436695,0.00032275022,0.21,0.12,-0.173,15.706,0.571,-141.875,0.716,-267.761,0.677,-157.581,0.791,-283.467,0.244,-125.886,0.08,0.049,-3.781,-0.442,-7.136,-1.372,-2.96,-0.491,-5.325,-1.453,-2.365,-3.355,-0.954,0.459,0.493,0.983,0.984,0.044,-0.94,0.097,-4.889,3.548,0.831,5.838,-0.227,0.811,5.034,8.281,0.156,0.026,0.526,0.937
2016-08-09,CTD6,4176009,695829,0.008448231,0.012955736,0.022744628,0.010942254,0.007855099,0.0022685358,0.0022206507,0.0008805404,,,-0.274,33.219,0.084,-14.203,0.245,-50.12,0.35,-47.422,0.487,-83.339,0.164,-35.917,0.363,0.261,-0.323,-0.112,-1.14,-0.548,-0.614,-0.373,-1.08,-0.912,-0.465,-0.817,-0.521,0.066,0.151,0.567,0.623,0.086,-0.823,-0.148,-1.712,0.839,-0.429,1.168,0.363,1.038,1.472,2.051,0.499,-0.125,0.669,0.908
2016-08-09,CTD7,4176724,690397,0.0096951695,0.01463669,0.027275056,0.0151752,0.011417002,0.0034939207,0.0034616464,0.001368891,,,-0.302,31.658,-0.018,2.424,0.124,-19.267,0.285,-29.233,0.41,-50.925,0.141,-21.692,0.48,0.361,0.066,0.028,-0.526,-0.292,-0.428,-0.334,-0.745,-0.773,-0.317,-0.592,-0.475,-0.014,0.076,0.464,0.532,0.09,-0.793,-0.216,-1.424,0.546,-0.515,0.726,0.534,1.111,1.017,1.352,0.618,-0.224,0.711,0.911
2016-08-09,CTD8,4174178,693048,0.011349454,0.017758127,0.031161042,0.013814554,0.00982914,0.0028085841,0.0027631335,0.0010855222,,,-0.274,24.221,0.125,-16.075,0.287,-45.426,0.386,-40.296,0.52,-69.647,0.169,-29.351,0.335,0.238,-0.501,-0.158,-1.416,-0.628,-0.716,-0.396,-1.237,-0.962,-0.521,-0.915,-0.567,0.096,0.176,0.629,0.676,0.081,-0.836,-0.142,-1.885,0.97,-0.449,1.363,0.349,1.043,1.702,2.392,0.462,-0.11,0.645,0.911
2016-08-09,CTD9,4171106,693183,0.012887651,0.019701988,0.038454488,0.021535402,0.016456375,0.0050514946,0.005025027,0.0019747321,,,-0.322,24.752,-0.044,4.321,0.09,-10.01,0.282,-20.43,0.401,-34.762,0.134,-14.332,0.533,0.407,0.166,0.071,-0.385,-0.216,-0.403,-0.336,-0.685,-0.749,-0.282,-0.551,-0.494,-0.033,0.054,0.468,0.533,0.087,-0.796,-0.252,-1.422,0.487,-0.588,0.637,0.643,1.188,0.95,1.244,0.665,-0.275,0.709,0.915
2016-08-09,CTD10,4170388,695646,0.008200456,0.013136075,0.026461039,0.013533393,0.0102347415,0.0030901958,0.0030795357,0.0012280812,,,-0.337,38.335,-0.015,2.235,0.124,-21.58,0.323,-36.1,0.442,-59.915,0.139,-23.815,0.519,0.392,0.059,0.023,-0.571,-0.292,-0.474,-0.369,-0.787,-0.811,-0.313,-0.63,-0.561,-0.011,0.073,0.553,0.608,0.083,-0.826,-0.26,-1.615,0.584,-0.672,0.772,0.692,1.258,1.176,1.555,0.643,-0.268,0.674,0.918
