Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl
2016-08-09,CTD1,4187246,695025,0.011234438,0.01760108,0.033993095,0.017017499,0.01269005,0.0037516574,0.0036948533,0.0014447187,10.547
2016-08-09,CTD2,4181518,693105,0.007866621,0.011399689,0.021182664,0.0118339015,0.00886842,0.002690309,0.002679844,0.0010691101,11.54
2016-08-09,CTD3,4181698,695238,0.0066049104,0.010402294,0.019972755,0.011444994,0.0087221,0.0027403359,0.0027090576,0.0010950534,11.967
2016-08-09,CTD4,4180266,698264,0.008062084,0.010796283,0.016198207,0.009970905,0.0075142314,0.0025848555,0.0026212204,0.0010892436,8.42
2016-08-09,CTD6,4176009,695829,0.008448231,0.012955736,0.022744628,0.010942254,0.007855099,0.0022685358,0.0022206507,0.0008805404,11.273
2016-08-09,CTD7,4176724,690397,0.0096951695,0.01463669,0.027275056,0.0151752,0.011417002,0.0034939207,0.0034616464,0.001368891,12.67
2016-08-09,CTD8,4174178,693048,0.011349454,0.017758127,0.031161042,0.013814554,0.00982914,0.0028085841,0.0027631335,0.0010855222,13.84
2016-08-09,CTD9,4171106,693183,0.012887651,0.019701988,0.038454488,0.021535402,0.016456375,0.0050514946,0.005025027,0.0019747321,3.66
2016-08-09,CTD10,4170388,695646,0.008200456,0.013136075,0.026461039,0.013533393,0.0102347415,0.0030901958,0.0030795357,0.0012280812,12.667
2016-08-09,CTD11,4169609,700351,0.009413645,0.013391222,0.023053167,0.012143477,0.0088038,0.0026283646,0.0025830623,0.0010164073,9.49
2016-08-09,CTD12,4173438,695414,0.009195562,0.014423616,0.027452502,0.012623409,0.009124659,0.0026498586,0.002608449,0.0010289801,9.643
2016-09-08,CTD1,4187246,695025,0.0069217603,0.010954224,0.022353804,0.013979525,0.011052761,0.003456008,0.0034431594,0.0013693892,20.69
2016-09-08,CTD2,4181518,693105,0.0063595665,0.0103589585,0.021094711,0.011132154,0.008331094,0.0024894085,0.002467637,0.0009874435,15.453
2016-09-08,CTD3,4181698,695238,0.0069681434,0.01070692,0.020814061,0.010613671,0.007701477,0.0022685358,0.0022343658,0.00088888017,12.993
2016-09-08,CTD4,4180266,698264,0.006154704,0.009255979,0.01788516,0.010159986,0.0077146217,0.0023302345,0.00229787,0.0009286988,14.823
2016-09-08,CTD6,4176009,695829,0.006809104,0.010691031,0.020401971,0.010424327,0.0077594533,0.002361176,0.002335997,0.0009392533,13.47
2016-09-08,CTD7,4176724,690397,0.0067205997,0.01074514,0.022013903,0.011670615,0.008669902,0.002611856,0.0025869545,0.0010357121,16.1
2016-09-08,CTD9,4171106,693183,0.00984855,0.015475031,0.031263128,0.019218868,0.015179505,0.0048186067,0.004809098,0.0018989167,3.8
2016-09-08,CTD10,4170388,695646,0.007504058,0.012268942,0.026710074,0.015854351,0.012555249,0.004007522,0.0040075253,0.0015859455,16.087
2016-09-08,CTD11,4169609,700351,0.00623437,0.010245188,0.02196847,0.012497321,0.009629498,0.0030065414,0.0030104576,0.0012063143,13.64
2016-09-08,CTD12,4173438,695414,0.00643777,0.0102973245,0.02078307,0.011512673,0.008957147,0.002846874,0.0028411835,0.0011528321,13.523
2017-06-30,CTD1,4187246,695025,0.013339538,0.023212655,0.042712722,0.01201373,0.007833761,0.0020950427,0.0020504748,0.0008075028,1.003
2017-06-30,CTD2,4181518,693105,0.008806001,0.016785333,0.03169969,0.0068516457,0.004382996,0.0011814818,0.001161019,0.00046577546,0.647
2017-06-30,CTD3,4181698,695238,0.0076041366,0.0134643065,0.022691313,0.0051839952,0.0033727833,0.00093653484,0.0009222757,0.00037348844,1.103
2017-06-30,CTD4,4180266,698264,0.009925992,0.018201366,0.03007885,0.0063310643,0.0040277876,0.0010935294,0.0010749246,0.00043205227,1.0585
2017-06-30,CTD6,4176009,695829,0.008350834,0.0153420335,0.029145684,0.007663406,0.004948375,0.001336192,0.0013147063,0.0005259095,1.2235
2017-06-30,CTD7,4176724,690397,0.011938552,0.02323562,0.04582306,0.010483822,0.0067203026,0.0017619024,0.0017289683,0.00068211084,1.085
2017-06-30,CTD8,4174178,693048,0.00891584,0.017061781,0.031967185,0.007272963,0.0046333345,0.0012443105,0.0012223389,0.00048934243,0.7295
2017-06-30,CTD9,4171106,693183,0.016289234,0.028357308,0.061162964,0.026432363,0.020387648,0.006097703,0.0060279192,0.0023194007,0.4625
2017-06-30,CTD10,4170388,695646,0.007438743,0.0138700865,0.024433987,0.006113494,0.003907756,0.0010621931,0.0010435955,0.00041985707,0.663
2017-06-30,CTD11,4169609,700351,0.0060555357,0.010735574,0.021601385,0.008056075,0.005857855,0.0016989902,0.0016875835,0.00067852164,1.0195
2017-06-30,CTD12,4173438,695414,0.00827165,0.015669674,0.030671025,0.009996373,0.006862183,0.0019087499,0.0018873574,0.0007517766,1.1075
2018-02-20,CTD1,4187246,695025,0.0016394156,0.0025165456,0.0053381845,0.004147788,0.0033727833,0.0011023903,0.0011112451,0.00045496743,3.3965
2018-02-20,CTD2,4181518,693105,0.0037358133,0.007364075,0.016058814,0.0052539934,0.0036195165,0.0010151617,0.001001535,0.00040217626,4.2665
2018-02-20,CTD3,4181698,695238,0.0050433776,0.009698526,0.021264603,0.0052413642,0.0035240601,0.0009380551,0.0009158271,0.00036380521,1.941
2018-02-20,CTD4,4180266,698264,0.006643268,0.012197695,0.022479063,0.005428236,0.003438667,0.00091105624,0.0008871662,0.00035451524,1.8195
2018-02-20,CTD6,4176009,695829,0.0067205997,0.01243413,0.02439868,0.005983807,0.0037784763,0.0010008824,0.0009782971,0.00039012622,5.823
2018-02-20,CTD7,4176724,690397,0.0044942973,0.0089205345,0.02080786,0.0051804297,0.0034310026,0.0009399589,0.00092494383,0.00037159506,1.673
2018-02-20,CTD8,4174178,693048,0.0061906246,0.0120246,0.025090843,0.005838691,0.003747831,0.000997242,0.0009778941,0.0003917789,1.5585
2018-02-20,CTD9,4171106,693183,0.014501304,0.024148403,0.049061608,0.023513626,0.017655179,0.005187427,0.0050974237,0.0019662022,0.6809999999999999
2018-02-20,CTD10,4170388,695646,0.0070831953,0.0136542795,0.028495839,0.007474651,0.0048436155,0.0012993241,0.0012752365,0.00050784874,4.159
2018-02-20,CTD11,4169609,700351,0.0066291126,0.012740545,0.027732009,0.0075020776,0.004962736,0.0013351253,0.0013120399,0.00052090606,4.392
2018-02-20,CTD12,4173438,695414,0.006572768,0.012304696,0.02610945,0.006828635,0.0044378918,0.0011987061,0.001174389,0.00046871117,5.107
2018-03-07,CTD1,4187246,695025,0.014859793,0.02597807,0.049472306,0.013557671,0.008836063,0.0023179557,0.0022516123,0.0008739858,3.6315
2018-03-07,CTD2,4181518,693105,0.008702474,0.015726253,0.029757163,0.007181137,0.0045979875,0.0012353578,0.0012069748,0.0004808292,3.3975
2018-03-07,CTD3,4181698,695238,0.009709287,0.017829852,0.03510823,0.009354403,0.0061253826,0.0016316876,0.00159341,0.00062744657,2.3425
2018-03-07,CTD4,4180266,698264,0.011497774,0.02112467,0.041196864,0.009942318,0.006419184,0.0016870504,0.0016444687,0.00064644375,2.018
2018-03-07,CTD6,4176009,695829,0.007942397,0.014452156,0.027037272,0.0065180897,0.00416348,0.0011099763,0.0010824521,0.0004306003,3.615
2018-03-07,CTD7,4176724,690397,0.0092279995,0.016881706,0.030595493,0.0065224976,0.0041162693,0.0010908844,0.00106482,0.00042287484,1.823
2018-03-07,CTD8,4174178,693048,0.010294071,0.018652562,0.033507455,0.0070855888,0.004467209,0.0011757927,0.0011426368,0.0004524924,2.2395
2018-03-07,CTD9,4171106,693183,0.014278526,0.023471849,0.046306305,0.018207913,0.012686184,0.003479206,0.0033954598,0.001312544,0.509
2018-03-07,CTD10,4170388,695646,0.007686903,0.013877986,0.026266094,0.0060124067,0.0038149974,0.0010012876,0.00097628374,0.0003907865,2.7845
2018-03-07,CTD11,4169609,700351,0.0098886425,0.01798357,0.034210503,0.008056075,0.0051565827,0.0013620359,0.0013281143,0.0005250361,1.9595
2018-03-07,CTD12,4173438,695414,0.008884339,0.015621921,0.027599752,0.006553431,0.0041834274,0.0011167112,0.0010864576,0.00043132572,2.683
2018-05-16,CTD1,4187246,695025,0.010401269,0.018926103,0.036078434,0.009297235,0.006067179,0.0016368271,0.0016068404,0.00063831406,1.77
2018-05-16,CTD2,4181518,693105,0.008380698,0.015146321,0.025879538,0.0057124314,0.0036464646,0.0009804238,0.0009603209,0.00038586045,1.7165
