Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl
2016-08-09,CTD1,4187246,695025,0.010624481,0.016557535,0.032384552,0.016780281,0.012566763,0.0037257508,0.0036818709,0.0014473192,11.46
2016-08-09,CTD2,4181518,693105,0.007923393,0.011770556,0.021903703,0.012113725,0.009040595,0.0027737764,0.002740579,0.0010888296,12.21
2016-08-09,CTD3,4181698,695238,0.007143528,0.010799487,0.020426381,0.011342302,0.008600693,0.0026381165,0.0026212204,0.0010468804,11.75
2016-08-09,CTD4,4180266,698264,0.00834835,0.011493996,0.022479063,0.013876248,0.010844637,0.003242291,0.0032637531,0.0012924316,7.58
2016-08-09,CTD6,4176009,695829,0.00824704,0.012276086,0.021916643,0.010758338,0.00773042,0.0022531194,0.0022172334,0.0008805404,9.52
2016-08-09,CTD7,4176724,690397,0.009413645,0.014200934,0.027014345,0.01507428,0.011553612,0.0035371203,0.003520081,0.0013884287,10.94
2016-08-09,CTD8,4174178,693048,0.0100416485,0.016055742,0.029348467,0.0135051105,0.009702014,0.0027962578,0.002748763,0.0010838717,12.84
2016-08-09,CTD9,4171106,693183,0.012891191,0.01993437,0.03835634,0.02176378,0.016870368,0.0051990086,0.0051388885,0.0019925332,
2016-08-09,CTD10,4170388,695646,0.008112824,0.013049408,0.025872147,0.013400449,0.009960784,0.0030119875,0.0029873487,0.0011901954,9.75
2016-08-09,CTD11,4169609,700351,0.008105557,0.011979025,0.021000816,0.011000672,0.008032962,0.0024041818,0.0023557125,0.0009359669,8.69
2016-08-09,CTD12,4173438,695414,0.008989714,0.014293721,0.026778305,0.012550694,0.008972003,0.0026215564,0.0025908514,0.0010250371,8.52
2016-09-08,CTD1,4187246,695025,0.007186908,0.011409761,0.023645932,0.014095872,0.0108549725,0.0033967479,0.0033966762,0.0013554926,18.69
2016-09-08,CTD2,4181518,693105,0.0065848045,0.010436455,0.021094711,0.011201857,0.008247391,0.0024894085,0.0024704451,0.0009859185,13.22
2016-09-08,CTD3,4181698,695238,0.006710377,0.010536389,0.020597933,0.010707693,0.007770033,0.0023496428,0.0023244137,0.00092797464,13.57
2016-09-08,CTD4,4180266,698264,0.00538102,0.0084329555,0.017104443,0.009806661,0.007483394,0.0023039908,0.0022890803,0.0009150217,12.38
2016-09-08,CTD6,4176009,695829,0.0065888213,0.0103188595,0.019942816,0.010286571,0.007690974,0.0023005109,0.002276823,0.00091038225,12.32
2016-09-08,CTD7,4176724,690397,0.0064161755,0.010458245,0.0216526,0.011541264,0.008612197,0.002611856,0.0025957297,0.001040885,13.91
2016-09-08,CTD9,4171106,693183,0.009851409,0.015453519,0.03083936,0.019270614,0.015157631,0.0048468914,0.004828156,0.0019033923,
2016-09-08,CTD10,4170388,695646,0.007997258,0.012899798,0.027413853,0.016326621,0.012701652,0.0039966,0.0039799144,0.0015764722,15.06
2016-09-08,CTD11,4169609,700351,0.00623437,0.010245188,0.021897234,0.012531611,0.009714669,0.0030141682,0.0030104576,0.0012063143,11.3
2016-09-08,CTD12,4173438,695414,0.006784298,0.010533255,0.020969592,0.012143477,0.009175999,0.0028447933,0.0028296234,0.0011295978,11.52
2017-06-30,CTD1,4187246,695025,0.013001307,0.02272808,0.041443713,0.011541264,0.007581408,0.0020489956,0.002013281,0.000796014,1.141
2017-06-30,CTD2,4181518,693105,0.009040141,0.017061781,0.031254612,0.006735012,0.004254722,0.0011399037,0.0011176403,0.00044776828,1.0495
