Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.010624481,0.016557535,0.032384552,0.016780281,0.012566763,0.0037257508,0.0036818709,0.0014473192,11.46,6.89,-0.323,29.517,-0.007,0.802,0.137,-19.18,0.317,-28.715,0.441,-48.696,0.144,-19.981,0.495,0.371,0.026,0.01,-0.621,-0.322,-0.475,-0.361,-0.806,-0.817,-0.331,-0.647,-0.539,-0.005,0.081,0.536,0.594,0.086,-0.824,-0.238,-1.59,0.599,-0.612,0.799,0.621,1.207,1.171,1.564,0.625,-0.241,0.681,0.914
2016-08-09,CTD2,4181518,693105,0.007923393,0.011770556,0.021903703,0.012113725,0.009040595,0.0027737764,0.002740579,0.0010888296,,,-0.301,39.303,-0.014,2.407,0.131,-25.654,0.288,-36.897,0.416,-64.958,0.145,-28.061,0.476,0.355,0.053,0.022,-0.562,-0.311,-0.434,-0.334,-0.765,-0.787,-0.33,-0.615,-0.479,-0.011,0.08,0.47,0.539,0.091,-0.803,-0.209,-1.451,0.559,-0.506,0.749,0.521,1.115,1.04,1.394,0.616,-0.215,0.709,0.91
2016-08-09,CTD3,4181698,695238,0.007143528,0.010799487,0.020426381,0.011342302,0.008600693,0.0026381165,0.0026212204,0.0010468804,,,-0.308,43.641,-0.025,4.431,0.113,-23.673,0.286,-39.209,0.407,-67.313,0.137,-28.104,0.495,0.375,0.091,0.038,-0.484,-0.269,-0.423,-0.337,-0.727,-0.763,-0.304,-0.574,-0.483,-0.019,0.069,0.468,0.534,0.088,-0.79,-0.23,-1.423,0.531,-0.545,0.7,0.573,1.133,1.005,1.325,0.629,-0.241,0.709,0.914
2016-08-09,CTD4,4180266,698264,0.00834835,0.011493996,0.022479063,0.013876248,0.010844637,0.003242291,0.0032637531,0.0012924316,,,-0.323,42.516,-0.094,14.936,0.029,-5.21,0.237,-27.58,0.349,-47.726,0.123,-20.146,0.59,0.461,0.336,0.162,-0.117,-0.072,-0.317,-0.299,-0.549,-0.662,-0.232,-0.453,-0.444,-0.071,0.018,0.385,0.459,0.089,-0.768,-0.27,-1.245,0.346,-0.56,0.443,0.676,1.174,0.676,0.866,0.725,-0.326,0.747,0.917
2016-08-09,CTD5,4179450,700268,0.010654941,0.018162508,0.025366174,0.00479378,0.0029776995,0.00080232247,0.00077914697,0.00031248335,0.21,0.12,-0.165,15.636,0.582,-153.545,0.718,-280.771,0.682,-169.181,0.79,-296.407,0.234,-127.226,0.075,0.047,-3.895,-0.457,-7.122,-1.346,-3.073,-0.504,-5.383,-1.421,-2.311,-3.227,-0.927,0.472,0.503,0.973,0.975,0.042,-0.894,0.095,-4.73,3.671,0.808,5.911,-0.213,0.775,5.128,8.255,0.147,0.025,0.527,0.94
2016-08-09,CTD6,4176009,695829,0.00824704,0.012276086,0.021916643,0.010758338,0.00773042,0.0022531194,0.0022172334,0.0008805404,,,-0.282,35.832,0.066,-11.492,0.227,-47.9,0.341,-47.324,0.479,-83.732,0.164,-36.408,0.385,0.277,-0.252,-0.089,-1.05,-0.515,-0.581,-0.366,-1.028,-0.901,-0.447,-0.798,-0.521,0.051,0.139,0.558,0.616,0.089,-0.832,-0.158,-1.694,0.788,-0.449,1.097,0.394,1.067,1.407,1.959,0.524,-0.139,0.674,0.907
2016-08-09,CTD7,4176724,690397,0.009413645,0.014200934,0.027014345,0.01507428,0.011553612,0.0035371203,0.003520081,0.0013884287,,,-0.311,33.401,-0.03,4.08,0.103,-16.135,0.284,-29.321,0.401,-49.536,0.132,-20.215,0.503,0.386,0.11,0.047,-0.436,-0.243,-0.416,-0.339,-0.703,-0.747,-0.287,-0.546,-0.481,-0.023,0.063,0.464,0.528,0.085,-0.779,-0.241,-1.396,0.514,-0.563,0.671,0.598,1.136,0.979,1.277,0.634,-0.256,0.71,0.916
2016-08-09,CTD8,4174178,693048,0.0100416485,0.016055742,0.029348467,0.0135051105,0.009702014,0.0027962578,0.002748763,0.0010838717,,,-0.293,28.21,0.086,-11.763,0.247,-40.788,0.37,-39.973,0.503,-68.998,0.164,-29.025,0.381,0.274,-0.345,-0.114,-1.197,-0.551,-0.642,-0.388,-1.108,-0.932,-0.466,-0.852,-0.573,0.065,0.148,0.615,0.665,0.084,-0.845,-0.171,-1.836,0.858,-0.518,1.195,0.436,1.11,1.569,2.184,0.511,-0.144,0.651,0.911
2016-08-09,CTD9,4171106,693183,0.012891191,0.01993437,0.03835634,0.02176378,0.016870368,0.0051990086,0.0051388885,0.0019925332,,,-0.316,24.093,-0.044,4.217,0.083,-9.111,0.276,-19.877,0.389,-33.204,0.127,-13.328,0.524,0.406,0.162,0.071,-0.349,-0.198,-0.396,-0.335,-0.662,-0.723,-0.266,-0.511,-0.477,-0.033,0.051,0.451,0.515,0.084,-0.77,-0.255,-1.358,0.476,-0.581,0.614,0.634,1.149,0.916,1.182,0.652,-0.279,0.715,0.919
2016-08-09,CTD10,4170388,695646,0.008112824,0.013049408,0.025872147,0.013400449,0.009960784,0.0030119875,0.0029873487,0.0011901954,,,-0.329,37.98,-0.013,2.007,0.134,-23.762,0.318,-35.973,0.444,-61.742,0.147,-25.769,0.509,0.378,0.052,0.02,-0.615,-0.318,-0.469,-0.358,-0.806,-0.827,-0.336,-0.667,-0.549,-0.01,0.079,0.542,0.602,0.088,-0.841,-0.239,-1.624,0.589,-0.621,0.792,0.637,1.239,1.167,1.57,0.642,-0.245,0.68,0.912
