Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.010611311,0.016747354,0.032279316,0.016334254,0.0130474055,0.0036168438,11.46,-0.317,28.731,0.012,-1.51,0.124,-16.933,0.328,-30.241,0.424,-45.664,0.112,-15.423,0.469,0.375,-0.049,-0.02,-0.547,-0.277,-0.506,-0.395,-0.765,-0.746,-0.258,-0.498,-0.529,0.009,0.076,0.535,0.581,0.067,-0.733,-0.28,-1.449,0.621,-0.693,0.778,0.676,1.129,1.197,1.499,0.571,-0.273,0.675,0.932
2016-08-09,CTD2,4181518,693105,0.007852267,0.011743445,0.021630121,0.01173915,0.009364053,0.0026367733,,-0.296,38.922,0.0,-0.031,0.113,-21.637,0.296,-38.953,0.396,-60.56,0.113,-21.606,0.457,0.364,-0.001,-0.0,-0.468,-0.254,-0.457,-0.365,-0.711,-0.711,-0.254,-0.467,-0.468,0.0,0.071,0.469,0.522,0.071,-0.711,-0.255,-1.31,0.567,-0.588,0.711,0.588,1.044,1.045,1.31,0.567,-0.255,0.704,0.929
2016-08-09,CTD3,4181698,695238,0.0072234743,0.010607729,0.019979842,0.01111007,0.008890014,0.0025137772,,-0.306,44.22,-0.023,4.262,0.088,-18.215,0.285,-39.958,0.384,-62.435,0.111,-22.477,0.491,0.393,0.085,0.038,-0.364,-0.202,-0.424,-0.355,-0.662,-0.694,-0.238,-0.449,-0.469,-0.017,0.055,0.455,0.511,0.073,-0.719,-0.269,-1.293,0.51,-0.605,0.637,0.634,1.083,0.96,1.2,0.602,-0.282,0.71,0.929
2016-08-09,CTD4,4180266,698264,0.008218997,0.011725927,0.021536266,0.011855795,0.009622882,0.0027095722,,-0.295,38.848,-0.006,0.934,0.099,-18.638,0.29,-37.914,0.382,-57.486,0.104,-19.572,0.461,0.374,0.02,0.009,-0.401,-0.221,-0.445,-0.365,-0.674,-0.682,-0.23,-0.422,-0.457,-0.004,0.063,0.453,0.505,0.067,-0.688,-0.267,-1.249,0.542,-0.598,0.668,0.605,1.025,0.996,1.227,0.564,-0.27,0.709,0.933
2016-08-09,CTD5,4179450,700268,0.010788617,0.018271346,0.02499055,0.0046027,0.0030879965,0.00076610834,0.21,-0.155,14.715,0.598,-162.533,0.711,-269.104,0.689,-177.249,0.78,-283.819,0.197,-106.571,0.068,0.045,-4.062,-0.502,-6.725,-1.239,-3.239,-0.547,-5.186,-1.306,-1.947,-2.663,-0.874,0.487,0.513,0.955,0.958,0.035,-0.759,0.06,-4.123,3.846,0.487,5.733,-0.123,0.697,5.261,7.841,0.128,0.015,0.529,0.949
2016-08-09,CTD6,4176009,695829,0.0075378437,0.011500172,0.02103926,0.010421779,0.008003039,0.0021751877,,-0.293,39.425,0.049,-8.998,0.179,-37.997,0.337,-48.423,0.449,-77.422,0.131,-29.0,0.411,0.316,-0.189,-0.072,-0.799,-0.396,-0.557,-0.388,-0.89,-0.807,-0.334,-0.61,-0.518,0.037,0.111,0.544,0.595,0.074,-0.756,-0.221,-1.525,0.723,-0.582,0.942,0.527,1.062,1.323,1.723,0.526,-0.201,0.674,0.923
2016-08-09,CTD7,4176724,690397,0.009436011,0.01432191,0.027034933,0.0148464115,0.012062613,0.0034298815,,-0.307,32.834,-0.018,2.467,0.086,-13.078,0.291,-30.367,0.383,-45.912,0.103,-15.544,0.487,0.396,0.067,0.03,-0.354,-0.194,-0.435,-0.366,-0.658,-0.682,-0.223,-0.42,-0.472,-0.013,0.054,0.462,0.513,0.067,-0.701,-0.283,-1.277,0.518,-0.634,0.638,0.657,1.075,0.979,1.205,0.59,-0.293,0.705,0.934
2016-08-09,CTD8,4174178,693048,0.00920437,0.014945818,0.02896122,0.013166868,0.01008446,0.0026996378,,-0.319,32.379,0.063,-9.04,0.194,-32.254,0.375,-41.419,0.483,-64.634,0.133,-23.214,0.426,0.327,-0.262,-0.091,-0.934,-0.425,-0.619,-0.418,-0.966,-0.851,-0.347,-0.672,-0.603,0.046,0.115,0.631,0.671,0.07,-0.79,-0.25,-1.737,0.787,-0.717,1.027,0.632,1.172,1.525,1.991,0.533,-0.22,0.64,0.927
2016-08-09,CTD9,4171106,693183,0.012742579,0.019897293,0.038030654,0.021048147,0.017326888,0.0049708774,,-0.313,23.964,-0.028,2.748,0.069,-7.456,0.287,-21.216,0.374,-31.419,0.097,-10.204,0.504,0.415,0.105,0.048,-0.284,-0.157,-0.422,-0.368,-0.625,-0.661,-0.203,-0.388,-0.473,-0.021,0.044,0.456,0.506,0.064,-0.692,-0.3,-1.25,0.49,-0.658,0.595,0.697,1.088,0.936,1.137,0.602,-0.317,0.707,0.937
2016-08-09,CTD10,4170388,695646,0.008189909,0.01322057,0.026349794,0.0130996015,0.010413002,0.0028925787,,-0.332,37.689,0.005,-0.698,0.119,-20.394,0.336,-38.387,0.434,-58.083,0.114,-19.696,0.494,0.392,-0.018,-0.007,-0.537,-0.267,-0.508,-0.4,-0.768,-0.761,-0.26,-0.519,-0.558,0.003,0.071,0.561,0.605,0.068,-0.756,-0.293,-1.521,0.614,-0.742,0.772,0.735,1.198,1.224,1.54,0.596,-0.29,0.665,0.932
