Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,Turbidez,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.010913171,0.017401608,0.03352139,0.016394554,0.012979185,0.003569372,10.685,6.75,-0.317,27.634,0.03,-3.53,0.146,-19.58,0.343,-31.164,0.442,-47.215,0.116,-16.051,0.453,0.359,-0.118,-0.046,-0.656,-0.321,-0.542,-0.404,-0.822,-0.774,-0.279,-0.538,-0.549,0.022,0.089,0.564,0.608,0.067,-0.744,-0.273,-1.521,0.674,-0.704,0.852,0.663,1.135,1.299,1.641,0.555,-0.257,0.664,0.932
2016-08-09,CTD2,4181518,693105,0.0071952725,0.010565986,0.019415252,0.010844853,0.0086765,0.0024619063,11.665,4.805,-0.295,43.137,-0.013,2.434,0.098,-20.611,0.283,-40.704,0.382,-63.748,0.111,-23.044,0.468,0.374,0.047,0.021,-0.4,-0.224,-0.43,-0.353,-0.674,-0.691,-0.243,-0.447,-0.453,-0.01,0.062,0.445,0.502,0.072,-0.706,-0.256,-1.263,0.527,-0.573,0.659,0.588,1.037,0.969,1.211,0.58,-0.263,0.714,0.928
2016-08-09,CTD3,4181698,695238,0.007981613,0.0116108535,0.020093167,0.010501326,0.008130274,0.002229444,11.67,3.9,-0.268,36.358,0.05,-9.1,0.176,-36.871,0.314,-45.458,0.424,-73.229,0.127,-27.771,0.382,0.296,-0.183,-0.074,-0.741,-0.387,-0.528,-0.37,-0.85,-0.769,-0.322,-0.558,-0.455,0.039,0.114,0.486,0.541,0.075,-0.714,-0.196,-1.366,0.701,-0.485,0.905,0.439,0.956,1.213,1.567,0.5,-0.178,0.697,0.923
2016-08-09,CTD4,4180266,698264,0.008127184,0.010384623,0.014565022,0.00855384,0.0065622036,0.0018117498,8.39,3.735,-0.168,27.639,0.097,-20.61,0.226,-56.092,0.26,-48.249,0.379,-83.73,0.132,-35.481,0.236,0.181,-0.3,-0.135,-0.817,-0.48,-0.501,-0.317,-0.87,-0.716,-0.368,-0.517,-0.277,0.087,0.165,0.355,0.423,0.08,-0.591,-0.054,-1.006,0.763,-0.12,0.995,0.099,0.635,1.071,1.396,0.373,-0.045,0.759,0.914
2016-08-09,CTD5,4179450,700268,0.013046584,0.021321671,0.0225111,0.0031678285,0.002036522,0.00050253543,0.29,0.13,-0.027,2.478,0.741,-268.773,0.826,-444.133,0.753,-271.251,0.834,-446.611,0.217,-175.36,0.008,0.005,-6.05,-0.547,-9.998,-1.407,-5.784,-0.552,-9.522,-1.415,-3.739,-3.948,-0.229,0.74,0.751,0.828,0.836,0.026,-0.608,0.304,-4.323,6.64,3.363,10.329,-0.5,0.413,7.011,10.905,0.058,0.045,0.559,0.956
2016-08-09,CTD6,4176009,695829,0.008597531,0.013189688,0.023314165,0.010759835,0.008108026,0.0021529882,10.59,4.245,-0.277,32.924,0.101,-17.121,0.239,-47.518,0.368,-50.046,0.484,-80.442,0.141,-30.396,0.354,0.267,-0.399,-0.139,-1.108,-0.511,-0.66,-0.406,-1.061,-0.866,-0.401,-0.709,-0.537,0.077,0.149,0.589,0.635,0.073,-0.761,-0.188,-1.65,0.878,-0.54,1.165,0.441,1.014,1.552,2.06,0.468,-0.153,0.656,0.922
2016-08-09,CTD7,4176724,690397,0.009079744,0.013898673,0.02589552,0.013616519,0.010826535,0.0030252077,12.01,5.81,-0.301,33.333,0.01,-1.491,0.124,-20.416,0.311,-34.823,0.41,-53.749,0.114,-18.925,0.454,0.361,-0.039,-0.016,-0.529,-0.278,-0.484,-0.377,-0.747,-0.732,-0.263,-0.49,-0.491,0.008,0.078,0.497,0.548,0.07,-0.721,-0.258,-1.371,0.603,-0.618,0.758,0.605,1.068,1.123,1.412,0.562,-0.253,0.691,0.929
2016-08-09,CTD8,4174178,693048,0.0115716485,0.018745393,0.03434283,0.014044171,0.010484474,0.0027215334,13.7,6.125,-0.294,24.228,0.143,-17.857,0.283,-42.033,0.42,-42.086,0.532,-66.261,0.145,-24.175,0.34,0.254,-0.613,-0.187,-1.444,-0.59,-0.789,-0.441,-1.242,-0.931,-0.453,-0.83,-0.636,0.105,0.171,0.694,0.728,0.067,-0.794,-0.201,-1.941,1.029,-0.657,1.379,0.493,1.086,1.886,2.526,0.444,-0.15,0.618,0.926
2016-08-09,CTD9,4171106,693183,0.012403373,0.019516638,0.036863063,0.01920946,0.015503557,0.004332415,,,-0.308,24.111,0.008,-0.819,0.115,-13.263,0.315,-24.93,0.408,-37.374,0.107,-12.444,0.463,0.374,-0.03,-0.013,-0.489,-0.255,-0.487,-0.387,-0.729,-0.718,-0.243,-0.459,-0.5,0.006,0.072,0.504,0.552,0.066,-0.71,-0.278,-1.362,0.595,-0.66,0.738,0.65,1.082,1.125,1.393,0.564,-0.273,0.687,0.934
2016-08-09,CTD10,4170388,695646,0.008175398,0.013286386,0.026786368,0.013527304,0.010826535,0.0030404879,13.575,4.515,-0.337,37.933,-0.009,1.34,0.102,-17.101,0.329,-36.592,0.424,-55.033,0.111,-18.441,0.513,0.411,0.036,0.015,-0.458,-0.231,-0.486,-0.396,-0.731,-0.744,-0.245,-0.494,-0.554,-0.006,0.061,0.55,0.595,0.067,-0.753,-0.304,-1.492,0.578,-0.753,0.722,0.767,1.216,1.165,1.456,0.614,-0.31,0.669,0.933
