Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.010575526,0.016691737,0.0324639,0.016380625,0.013099749,0.0036055562,10.685,-0.321,29.106,0.009,-1.138,0.121,-16.427,0.329,-30.244,0.425,-45.534,0.111,-15.29,0.477,0.381,-0.037,-0.015,-0.533,-0.269,-0.505,-0.396,-0.76,-0.746,-0.255,-0.496,-0.535,0.007,0.074,0.54,0.586,0.067,-0.736,-0.286,-1.459,0.615,-0.708,0.77,0.694,1.145,1.197,1.497,0.578,-0.28,0.673,0.933
2016-08-09,CTD2,4181518,693105,0.007922596,0.01181726,0.02193412,0.011918128,0.009454949,0.002680846,11.665,-0.3,39.031,-0.004,0.716,0.111,-21.143,0.296,-38.315,0.398,-60.174,0.115,-21.859,0.465,0.369,0.016,0.007,-0.464,-0.252,-0.453,-0.362,-0.711,-0.717,-0.258,-0.479,-0.473,-0.003,0.07,0.471,0.526,0.073,-0.722,-0.255,-1.328,0.56,-0.591,0.706,0.596,1.063,1.04,1.311,0.577,-0.257,0.703,0.927
2016-08-09,CTD3,4181698,695238,0.0071542272,0.010834939,0.020462053,0.011137918,0.009016513,0.0025608656,11.67,-0.308,43.423,-0.014,2.511,0.092,-18.614,0.295,-40.912,0.388,-62.037,0.105,-21.124,0.484,0.392,0.051,0.023,-0.381,-0.207,-0.443,-0.369,-0.672,-0.691,-0.229,-0.432,-0.478,-0.01,0.058,0.47,0.521,0.068,-0.706,-0.28,-1.297,0.532,-0.635,0.657,0.653,1.079,1.005,1.241,0.587,-0.288,0.702,0.933
2016-08-09,CTD4,4180266,698264,0.00837807,0.0115588615,0.022699209,0.013579969,0.011277797,0.0031661226,8.39,-0.325,42.459,-0.08,12.876,0.012,-2.156,0.251,-29.583,0.336,-44.615,0.093,-15.032,0.577,0.479,0.292,0.145,-0.049,-0.029,-0.342,-0.334,-0.516,-0.606,-0.174,-0.341,-0.448,-0.059,0.008,0.399,0.454,0.067,-0.695,-0.321,-1.162,0.354,-0.647,0.427,0.76,1.133,0.696,0.838,0.678,-0.377,0.734,0.937
2016-08-09,CTD5,4179450,700268,0.01063821,0.018271346,0.025332633,0.0047673862,0.0032072999,0.000792075,0.29,-0.162,15.256,0.586,-155.028,0.701,-257.058,0.683,-170.284,0.775,-272.314,0.196,-102.03,0.073,0.049,-3.927,-0.497,-6.512,-1.225,-3.111,-0.546,-4.976,-1.298,-1.864,-2.585,-0.885,0.473,0.5,0.957,0.96,0.036,-0.765,0.048,-4.066,3.706,0.383,5.509,-0.1,0.714,5.138,7.638,0.134,0.013,0.528,0.948
2016-08-09,CTD6,4176009,695829,0.008248172,0.012326574,0.021927327,0.010634988,0.008124707,0.0021751877,10.59,-0.28,35.52,0.074,-12.904,0.205,-41.956,0.347,-48.424,0.459,-77.476,0.134,-29.052,0.378,0.289,-0.283,-0.105,-0.92,-0.446,-0.597,-0.393,-0.955,-0.824,-0.358,-0.637,-0.512,0.056,0.129,0.552,0.601,0.073,-0.747,-0.202,-1.54,0.789,-0.545,1.032,0.47,1.015,1.403,1.836,0.492,-0.174,0.67,0.923
2016-08-09,CTD7,4176724,690397,0.009389851,0.014280778,0.027051032,0.014755674,0.012062613,0.0034298815,12.01,-0.309,33.057,-0.016,2.254,0.084,-12.877,0.294,-30.803,0.383,-45.934,0.1,-15.13,0.488,0.399,0.061,0.027,-0.348,-0.19,-0.44,-0.372,-0.656,-0.678,-0.216,-0.409,-0.476,-0.012,0.053,0.467,0.516,0.065,-0.695,-0.29,-1.275,0.522,-0.649,0.638,0.671,1.077,0.989,1.209,0.587,-0.299,0.703,0.936
2016-08-09,CTD8,4174178,693048,0.009984354,0.016188301,0.029362286,0.013286205,0.010184162,0.0026986462,13.7,-0.289,27.716,0.098,-13.493,0.228,-36.419,0.377,-41.209,0.485,-64.134,0.132,-22.926,0.368,0.282,-0.396,-0.137,-1.069,-0.484,-0.667,-0.42,-1.038,-0.852,-0.371,-0.673,-0.561,0.073,0.141,0.61,0.651,0.068,-0.753,-0.215,-1.665,0.872,-0.62,1.137,0.509,1.047,1.581,2.062,0.474,-0.177,0.647,0.927
2016-08-09,CTD9,4171106,693183,0.012807781,0.020145059,0.038571615,0.021179557,0.01759193,0.0050461353,,-0.314,23.714,-0.025,2.425,0.068,-7.204,0.291,-21.29,0.374,-30.918,0.093,-9.629,0.502,0.417,0.094,0.043,-0.278,-0.153,-0.429,-0.375,-0.623,-0.655,-0.194,-0.371,-0.475,-0.018,0.043,0.461,0.508,0.061,-0.682,-0.308,-1.241,0.495,-0.676,0.596,0.711,1.084,0.948,1.141,0.595,-0.324,0.704,0.94
2016-08-09,CTD10,4170388,695646,0.008086391,0.01311274,0.026012404,0.0131629035,0.010453797,0.002921045,13.575,-0.33,37.819,-0.002,0.291,0.113,-19.397,0.328,-37.528,0.427,-57.216,0.115,-19.688,0.498,0.395,0.008,0.003,-0.505,-0.255,-0.492,-0.392,-0.75,-0.753,-0.258,-0.512,-0.546,-0.001,0.068,0.545,0.592,0.069,-0.755,-0.29,-1.492,0.594,-0.722,0.748,0.725,1.19,1.179,1.484,0.602,-0.291,0.672,0.931
