Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl
2016-08-09,CTD1,4187246,695025,0.1166,0.0873,0.0713,0.0425,0.0373,0.0259,0.024,0.0213,0.0194,0.0065,0.0005,0.0089,0.0075,0.011592904,0.0169146,0.028794995,0.014278671,0.013503431,0.0038232114,0.003727387,0.001509244,0.011479407,0.016700996,0.028969709,0.014400959,0.012485512,0.0038695396,10.09
2016-08-09,CTD2,4181518,693105,0.1218,0.0929,0.0692,0.0473,0.0417,0.0341,0.0324,0.0278,0.0278,0.0088,0.0007,0.0182,0.0145,0.011363186,0.014885432,0.02104404,0.012018761,0.009860281,0.0030231548,0.0029995092,0.0012526847,0.011299722,0.014877826,0.020830162,0.011859454,0.009783468,0.002927402,11.205
2016-08-09,CTD3,4181698,695238,0.1208,0.0923,0.0692,0.0474,0.0416,0.034,0.0333,0.0294,0.0293,0.0088,0.0007,0.0188,0.0145,0.013396457,0.017670326,0.024608793,0.0141439,0.011111336,0.003435775,0.003326966,0.001396929,0.013256813,0.017723562,0.024332324,0.0138826575,0.011230958,0.003276108,12.075
2016-08-09,CTD4,4180266,698264,0.1283,0.0901,0.066,0.0422,0.042,0.0314,0.0309,0.0277,0.0273,0.0107,0.0005,0.0195,0.0145,0.0068747336,0.008679462,0.015605514,0.0076795965,0.015444475,0.003672993,0.0036221184,0.0012944449,0.0069794306,0.008194445,0.01604898,0.008786617,0.010440185,0.004336739,8.84
2016-08-09,CTD6,4176009,695829,0.1171,0.0884,0.0658,0.0413,0.0349,0.028,0.0262,0.0243,0.0223,0.0067,0.0006,0.0129,0.0096,0.011115613,0.0154875815,0.022423778,0.01124637,0.008418871,0.0024369855,0.00239987,0.0009990195,0.011078901,0.015511555,0.022248546,0.011193777,0.008559693,0.002348503,12.15
2016-08-09,CTD7,4176724,690397,0.1219,0.0958,0.075,0.0522,0.0456,0.0357,0.0364,0.0315,0.0308,0.0088,0.0007,0.0199,0.0155,0.020329,0.027072279,0.038013864,0.021829933,0.017724546,0.0053360825,0.00527858,0.0021277976,0.019907217,0.02719747,0.0380203,0.021598952,0.017720465,0.0051238243,13.535
2016-08-09,CTD8,4174178,693048,0.1178,0.0893,0.0706,0.0414,0.0333,0.0248,0.0238,0.0221,0.0195,0.0069,0.0005,0.01,0.0081,0.016221719,0.02291831,0.033376727,0.01588106,0.012083579,0.0033887236,0.0033523503,0.0013633812,0.016009187,0.02297921,0.033360716,0.015803004,0.012055023,0.003247176,14.34
2016-08-09,CTD9,4171106,693183,0.123,0.0966,0.0838,0.0565,0.049,0.0373,0.0354,0.0302,0.0315,0.0093,0.0005,0.0215,0.0168,0.011100564,0.017355887,0.030894682,0.016492788,0.014132329,0.0039180433,0.0038581248,0.0015748485,0.011008078,0.017273078,0.031080458,0.016543638,0.013581809,0.003925414,3.66
2016-08-09,CTD10,4170388,695646,0.1199,0.0915,0.0745,0.0488,0.0402,0.0324,0.0326,0.0281,0.0266,0.0084,0.0006,0.0167,0.0131,0.01588775,0.022810996,0.034440156,0.017810361,0.013986021,0.004004518,0.003991673,0.0016129757,0.015663268,0.022858147,0.034458593,0.017676726,0.013919966,0.0038629288,14.125
2016-08-09,CTD11,4169609,700351,0.1245,0.0924,0.0732,0.0491,0.0401,0.0323,0.0318,0.0273,0.0287,0.0093,0.0005,0.0185,0.0147,0.013264691,0.01850298,0.027197637,0.015967922,0.012060166,0.0035825477,0.0034235597,0.0014423,0.0131443925,0.01859476,0.026954554,0.015748745,0.012326627,0.0034178535,9.89
2016-08-09,CTD12,4173438,695414,0.1192,0.0916,0.0733,0.0462,0.0387,0.0309,0.0297,0.0263,0.0256,0.0077,0.0005,0.0151,0.0121,0.012755073,0.018824998,0.029143559,0.014056456,0.010666765,0.0029951336,0.0029477947,0.0012111759,0.012650338,0.018851347,0.0291058,0.014006777,0.010704637,0.0028957303,10.205
2016-09-08,CTD1,4187246,695025,0.1222,0.0914,0.074,0.0501,0.0442,0.0353,0.0343,0.0281,0.0293,0.0086,0.0007,0.017,0.0124,0.009679799,0.014128845,0.024649302,0.013686976,0.013245068,0.0039513498,0.0038650408,0.0015915099,0.009628016,0.013942964,0.024794599,0.013783947,0.012384581,0.0039954428,21.69
2016-09-08,CTD2,4181518,693105,0.1193,0.0897,0.069,0.0441,0.0371,0.0301,0.0287,0.0241,0.0246,0.0079,0.0007,0.0125,0.0086,0.0102082575,0.014971433,0.023616333,0.012307406,0.009491137,0.0027280597,0.0026811461,0.001115416,0.01017363,0.014971376,0.023558177,0.012263626,0.009549717,0.0026543294,16.57
2016-09-08,CTD3,4181698,695238,0.1182,0.0868,0.0658,0.0404,0.0343,0.0284,0.0249,0.0226,0.0221,0.0072,0.0005,0.0097,0.007,0.005246576,0.007819605,0.01345593,0.0062605985,0.0051390636,0.0013790033,0.0013643369,0.00056830957,0.0052816747,0.007760265,0.013532375,0.0063804477,0.004995178,0.0014065761,12.705
2016-09-08,CTD4,4180266,698264,0.1196,0.0907,0.0686,0.0456,0.0378,0.0302,0.0305,0.0254,0.0252,0.0075,0.0005,0.0146,0.011,0.016852992,0.022818645,0.03165196,0.018653609,0.013787858,0.004133223,0.004071092,0.0016759449,0.01661293,0.023025434,0.031395055,0.018354876,0.014234071,0.0038880964,16.045
