Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl
2016-08-09,CTD1,4187246,695025,0.1166,0.088,0.0713,0.0427,0.0373,0.0259,0.024,0.0213,0.0194,0.0065,0.0005,0.0092,0.0075,0.012001531,0.017279604,0.029620709,0.015213502,0.013503431,0.0038232114,0.0037374124,0.0015186494,0.011871212,0.017018108,0.02986304,0.0152663225,0.012776079,0.003836572,11.46
2016-08-09,CTD2,4181518,693105,0.1218,0.0926,0.0705,0.0474,0.0417,0.0341,0.0324,0.0287,0.028,0.0088,0.0007,0.0175,0.0145,0.011274929,0.014966361,0.021572927,0.012018761,0.010148462,0.0030868514,0.003049434,0.0012724794,0.011187342,0.014958593,0.021356221,0.011859454,0.0101575,0.0029625674,
2016-08-09,CTD3,4181698,695238,0.1208,0.0931,0.0698,0.0482,0.0416,0.0344,0.0333,0.03,0.0293,0.0088,0.0007,0.0188,0.0145,0.011632318,0.016037928,0.022056276,0.013172302,0.009214404,0.0026862079,0.00271231,0.0011096356,0.011539778,0.01602155,0.021663725,0.013131225,0.009502239,0.0026465147,
2016-08-09,CTD4,4180266,698264,0.1283,0.0901,0.0666,0.043,0.042,0.0314,0.0309,0.0277,0.0273,0.0107,0.0005,0.0195,0.0145,0.0064954823,0.008285478,0.014631086,0.007486805,0.014050869,0.003352748,0.0032841137,0.0012761133,0.0066008605,0.007977131,0.01491048,0.008632733,0.010061306,0.0035248497,
2016-08-09,CTD6,4176009,695829,0.1171,0.0881,0.0651,0.0413,0.0349,0.028,0.0259,0.0243,0.0221,0.007,0.0006,0.0129,0.0096,0.011115613,0.0152221415,0.021078905,0.011482709,0.008610998,0.002532072,0.0024951857,0.0010540336,0.011078901,0.015324073,0.020862717,0.011391032,0.008812427,0.0023786572,
2016-08-09,CTD7,4176724,690397,0.1219,0.0953,0.0755,0.0527,0.0456,0.0357,0.0359,0.0315,0.0306,0.0088,0.0007,0.0193,0.0155,0.017312666,0.024049811,0.034100577,0.020285556,0.014823046,0.004464367,0.0044305027,0.0018251466,0.01708023,0.02427777,0.03388258,0.019930212,0.015453696,0.004192912,
2016-08-09,CTD8,4174178,693048,0.1178,0.0891,0.0695,0.0414,0.0359,0.0272,0.0245,0.0225,0.0224,0.0069,0.0005,0.0117,0.0085,0.012038297,0.017748304,0.0265124,0.01376713,0.009825791,0.0027669184,0.0027111045,0.0011244117,0.011988711,0.017893454,0.026318263,0.013665365,0.010144189,0.002742571,
2016-08-09,CTD9,4171106,693183,0.123,0.0984,0.0846,0.0574,0.0497,0.0373,0.0354,0.0313,0.0315,0.0093,0.0005,0.0215,0.0162,0.013036164,0.02006638,0.033828877,0.019303592,0.015285403,0.004235758,0.0041595283,0.0017026422,0.012928517,0.020150354,0.033901665,0.019126985,0.014868278,0.0042693587,
2016-08-09,CTD10,4170388,695646,0.1199,0.0925,0.0743,0.0492,0.0411,0.0326,0.033,0.0283,0.0267,0.0084,0.0006,0.0167,0.0137,0.01588775,0.022818645,0.0345393,0.017810361,0.013986021,0.004004518,0.003991673,0.0016129757,0.015663268,0.022858147,0.034458593,0.017676726,0.013919966,0.003836572,
2016-08-09,CTD11,4169609,700351,0.1245,0.0924,0.0732,0.0491,0.0413,0.0345,0.0337,0.0273,0.0299,0.0093,0.0005,0.0196,0.016,0.010881061,0.015042636,0.02257988,0.013138681,0.011185003,0.0031603382,0.0030426378,0.0012864679,0.01094066,0.014928797,0.021988535,0.013032595,0.0105254855,0.0031011244,
2016-08-09,CTD12,4173438,695414,0.1192,0.0916,0.0717,0.0455,0.0384,0.0309,0.0297,0.0263,0.0256,0.0077,0.0005,0.0151,0.0122,0.01304505,0.018824998,0.028851258,0.014046204,0.010551198,0.0029951336,0.0029346829,0.0012008823,0.012918136,0.018851347,0.028665291,0.013973598,0.010406215,0.0028466766,
2016-09-08,CTD1,4187246,695025,0.1222,0.0919,0.0742,0.05,0.0442,0.0356,0.0352,0.0292,0.0293,0.0086,0.0007,0.0174,0.0129,0.010579986,0.015299733,0.025800908,0.013857856,0.013245068,0.0039513498,0.0038650408,0.0015915099,0.010501278,0.015181374,0.02591108,0.013944616,0.012372974,0.0039954428,18.69
2016-09-08,CTD2,4181518,693105,0.1193,0.0889,0.069,0.0438,0.0371,0.0301,0.0287,0.0242,0.0246,0.0079,0.0007,0.0125,0.0088,0.00968305,0.014200785,0.02326078,0.01124637,0.009421183,0.002685022,0.0026269185,0.001081713,0.009650158,0.014121252,0.023299877,0.011253372,0.009141394,0.0026660874,
