Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Band_15,Band_16,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.0123576615,0.01786893,0.029304998,0.015224586,0.013183767,0.003807915,0.0037340675,0.001515749,0.012226288,0.017888585,0.029327989,0.015332691,0.012641967,0.003736388,0.3595181,-8.000000000000001e-45,10.27,-0.242,21.839,0.08,-9.72,0.151,-19.888,0.316,-31.559,0.379,-41.727,0.072,-10.168,0.332,0.288,-0.285,-0.128,-0.583,-0.303,-0.564,-0.416,-0.746,-0.635,-0.182,-0.298,-0.403,0.062,0.105,0.453,0.487,0.043,-0.545,-0.256,-1.049,0.724,-0.569,0.836,0.485,0.774,1.187,1.371,0.402,-0.218,0.702,0.954,-0.242,21.804,0.077,-9.319,0.172,-23.2,0.313,-31.123,0.398,-45.004,0.096,-13.881,0.334,0.276,-0.273,-0.118,-0.68,-0.356,-0.557,-0.393,-0.805,-0.69,-0.248,-0.407,-0.409,0.061,0.117,0.458,0.502,0.057,-0.603,-0.215,-1.153,0.736,-0.498,0.892,0.427,0.815,1.206,1.463,0.426,-0.184,0.704,0.94
2016-08-09,CTD2,4181518,693105,0.012190679,0.016619084,0.023268454,0.014383198,0.011137282,0.0033171622,0.0033210216,0.001368588,0.012159949,0.016580913,0.023150275,0.014198675,0.011266975,0.003120063,0.032096136,-8.000000000000001e-45,11.29,-0.167,17.195,0.072,-9.354,0.197,-29.617,0.236,-26.549,0.353,-46.812,0.127,-20.263,0.247,0.192,-0.218,-0.104,-0.689,-0.426,-0.441,-0.296,-0.778,-0.673,-0.337,-0.471,-0.261,0.065,0.146,0.32,0.391,0.081,-0.577,-0.06,-0.934,0.677,-0.126,0.874,0.109,0.626,0.948,1.224,0.387,-0.052,0.777,0.914,-0.165,17.114,0.077,-10.119,0.191,-28.445,0.24,-27.233,0.345,-45.559,0.115,-18.326,0.243,0.193,-0.234,-0.114,-0.659,-0.404,-0.452,-0.307,-0.755,-0.647,-0.304,-0.424,-0.258,0.069,0.142,0.321,0.386,0.074,-0.544,-0.077,-0.887,0.681,-0.159,0.858,0.136,0.603,0.951,1.198,0.37,-0.066,0.775,0.922
2016-08-09,CTD3,4181698,695238,0.011029372,0.01509882,0.020664234,0.012653733,0.0089632,0.0025488562,0.0025601678,0.001081203,0.0111345695,0.015082522,0.02021338,0.012570771,0.009518044,0.002429041,0.0016842589,-8.000000000000001e-45,12.56,-0.156,17.838,0.088,-12.798,0.255,-45.337,0.24,-30.635,0.395,-63.175,0.171,-32.539,0.226,0.16,-0.264,-0.115,-0.937,-0.574,-0.463,-0.275,-0.954,-0.799,-0.491,-0.672,-0.257,0.083,0.184,0.333,0.422,0.103,-0.681,0.022,-1.112,0.759,0.051,1.072,-0.043,0.66,1.039,1.467,0.404,0.019,0.776,0.889,-0.145,16.83,0.091,-13.248,0.226,-38.762,0.233,-30.077,0.36,-55.591,0.138,-25.514,0.212,0.16,-0.268,-0.126,-0.784,-0.487,-0.454,-0.286,-0.838,-0.699,-0.385,-0.516,-0.232,0.084,0.17,0.311,0.387,0.086,-0.575,-0.011,-0.924,0.729,-0.023,0.963,0.019,0.583,0.977,1.29,0.363,-0.009,0.783,0.907
2016-08-09,CTD4,4180266,698264,0.014593823,0.020039309,0.025573334,0.017239204,0.012291521,0.003352748,0.0033403803,0.0013136751,0.015105364,0.021239273,0.02395001,0.017110988,0.012013344,0.0030878119,0.0020231414,-8.000000000000001e-45,8.48,-0.121,10.799,0.075,-8.105,0.24,-31.455,0.195,-18.904,0.351,-42.254,0.168,-23.35,0.186,0.133,-0.207,-0.1,-0.804,-0.542,-0.379,-0.232,-0.847,-0.728,-0.468,-0.597,-0.187,0.074,0.181,0.258,0.356,0.108,-0.619,0.071,-0.918,0.682,0.147,0.956,-0.126,0.563,0.87,1.22,0.38,0.061,0.817,0.884,-0.06,5.329,0.108,-11.359,0.277,-36.158,0.167,-16.688,0.332,-41.487,0.175,-24.799,0.091,0.064,-0.272,-0.136,-0.866,-0.619,-0.354,-0.2,-0.881,-0.71,-0.527,-0.594,-0.093,0.115,0.225,0.206,0.311,0.113,-0.538,0.185,-0.752,0.74,0.368,1.054,-0.297,0.426,0.834,1.188,0.304,0.149,0.849,0.876
2016-08-09,CTD6,4176009,695829,0.0108737005,0.014860232,0.021078905,0.011453416,0.008379667,0.0024019077,0.0023935118,0.0009896859,0.010852275,0.014996969,0.020830162,0.011391032,0.008559693,0.0022599923,0.09954424,-8.000000000000001e-45,12.64,-0.173,19.853,0.129,-20.016,0.279,-52.043,0.296,-39.869,0.431,-71.896,0.155,-32.026,0.227,0.166,-0.422,-0.168,-1.097,-0.596,-0.592,-0.334,-1.068,-0.823,-0.476,-0.675,-0.314,0.116,0.199,0.414,0.483,0.086,-0.662,-0.027,-1.218,0.9,-0.067,1.23,0.052,0.687,1.277,1.745,0.373,-0.021,0.732,0.906,-0.163,18.673,0.137,-21.108,0.273,-50.146,0.293,-39.781,0.418,-68.819,0.142,-29.038,0.213,0.16,-0.44,-0.181,-1.045,-0.571,-0.597,-0.341,-1.032,-0.784,-0.435,-0.605,-0.292,0.123,0.2,0.401,0.465,0.079,-0.611,-0.031,-1.117,0.906,-0.077,1.205,0.058,0.638,1.258,1.674,0.349,-0.024,0.737,0.912
2016-08-09,CTD7,4176724,690397,0.013332681,0.019042697,0.0295343,0.017339455,0.013932199,0.0041221883,0.004094857,0.0016847964,0.013172434,0.019069618,0.029499782,0.017216422,0.013928391,0.0040280824,0.19171791,-8.000000000000001e-45,13.99,-0.216,18.655,0.047,-5.158,0.155,-19.263,0.26,-23.813,0.359,-37.917,0.109,-14.104,0.323,0.26,-0.152,-0.072,-0.569,-0.334,-0.453,-0.332,-0.722,-0.657,-0.269,-0.417,-0.335,0.039,0.109,0.37,0.429,0.07,-0.6,-0.159,-1.022,0.626,-0.336,0.78,0.306,0.747,0.972,1.209,0.439,-0.145,0.749,0.927,-0.215,18.541,0.051,-5.645,0.156,-19.356,0.263,-24.186,0.359,-37.897,0.106,-13.712,0.319,0.258,-0.167,-0.079,-0.571,-0.333,-0.461,-0.337,-0.723,-0.652,-0.261,-0.404,-0.335,0.043,0.11,0.372,0.429,0.068,-0.59,-0.163,-1.01,0.635,-0.344,0.786,0.311,0.738,0.983,1.215,0.431,-0.147,0.747,0.93
2016-08-09,CTD8,4174178,693048,0.011421134,0.016720794,0.025372626,0.012370482,0.009286434,0.0026625935,0.0026060108,0.0010771317,0.01136882,0.016654734,0.025279175,0.012361582,0.009486455,0.0025770436,0.19722107,-8.000000000000001e-45,14.12,-0.206,20.393,0.15,-21.032,0.286,-47.878,0.344,-41.425,0.464,-68.271,0.142,-26.846,0.252,0.189,-0.534,-0.195,-1.215,-0.592,-0.693,-0.385,-1.142,-0.845,-0.449,-0.681,-0.399,0.126,0.197,0.5,0.553,0.073,-0.673,-0.092,-1.381,0.986,-0.251,1.313,0.185,0.767,1.496,1.992,0.374,-0.068,0.691,0.918,-0.206,20.485,0.148,-20.853,0.274,-45.37,0.343,-41.338,0.454,-65.855,0.132,-24.518,0.253,0.194,-0.527,-0.198,-1.147,-0.561,-0.688,-0.392,-1.097,-0.814,-0.408,-0.62,-0.395,0.123,0.19,0.494,0.544,0.069,-0.644,-0.109,-1.317,0.972,-0.289,1.267,0.215,0.75,1.475,1.923,0.367,-0.081,0.692,0.924
2016-08-09,CTD9,4171106,693183,0.014658697,0.022154626,0.03671471,0.021620523,0.017557157,0.0048497613,0.0049257646,0.001981085,0.014463274,0.02212345,0.036539856,0.02173799,0.017234245,0.004797881,0.24876396,-8.000000000000001e-45,3.66,-0.247,17.9,0.012,-1.115,0.116,-11.82,0.259,-19.015,0.353,-29.72,0.104,-10.704,0.387,0.314,-0.041,-0.02,-0.434,-0.256,-0.421,-0.334,-0.658,-0.643,-0.237,-0.393,-0.372,0.01,0.079,0.38,0.438,0.069,-0.628,-0.209,-1.066,0.546,-0.436,0.673,0.426,0.845,0.906,1.115,0.498,-0.204,0.744,0.93,-0.246,17.834,0.009,-0.802,0.124,-12.823,0.254,-18.635,0.359,-30.657,0.116,-12.022,0.388,0.307,-0.029,-0.014,-0.469,-0.279,-0.412,-0.321,-0.678,-0.666,-0.266,-0.439,-0.37,0.007,0.084,0.376,0.44,0.077,-0.656,-0.187,-1.102,0.546,-0.397,0.689,0.39,0.859,0.902,1.138,0.511,-0.184,0.748,0.923
2016-08-09,CTD10,4170388,695646,0.013932208,0.019958304,0.030487638,0.015748758,0.012291521,0.003561876,0.0035387992,0.0014402365,0.013767505,0.019955093,0.030546645,0.015613674,0.012303501,0.0034274731,0.1976962,-8.000000000000001e-45,10.85,-0.209,17.304,0.118,-13.393,0.238,-31.252,0.319,-30.697,0.425,-48.557,0.123,-17.86,0.273,0.213,-0.408,-0.165,-0.953,-0.492,-0.613,-0.377,-0.969,-0.765,-0.356,-0.545,-0.376,0.098,0.166,0.457,0.51,0.069,-0.627,-0.126,-1.213,0.864,-0.312,1.107,0.246,0.747,1.32,1.691,0.386,-0.099,0.708,0.925,-0.21,17.376,0.122,-13.934,0.237,-31.165,0.324,-31.31,0.426,-48.541,0.119,-17.231,0.271,0.214,-0.426,-0.171,-0.952,-0.487,-0.625,-0.385,-0.969,-0.758,-0.344,-0.526,-0.379,0.101,0.166,0.463,0.513,0.066,-0.616,-0.135,-1.205,0.875,-0.334,1.111,0.262,0.743,1.34,1.7,0.38,-0.105,0.704,0.928
2016-08-09,CTD11,4169609,700351,0.010954952,0.015403808,0.023191815,0.011900873,0.010465334,0.0030528,0.002889263,0.0011963367,0.01094066,0.015345783,0.0230864,0.012170001,0.010110972,0.0030252077,0.32903177,-8.000000000000001e-45,9.53,-0.202,21.8,0.128,-19.108,0.191,-30.635,0.322,-40.909,0.378,-52.435,0.064,-11.526,0.259,0.228,-0.443,-0.2,-0.71,-0.365,-0.63,-0.428,-0.808,-0.624,-0.178,-0.267,-0.348,0.104,0.141,0.436,0.466,0.037,-0.473,-0.215,-0.922,0.843,-0.477,0.959,0.368,0.626,1.269,1.443,0.321,-0.166,0.707,0.959,-0.201,21.849,0.115,-17.005,0.206,-33.738,0.31,-38.854,0.391,-55.587,0.092,-16.733,0.266,0.221,-0.393,-0.172,-0.779,-0.411,-0.596,-0.393,-0.853,-0.676,-0.257,-0.386,-0.347,0.096,0.148,0.429,0.472,0.054,-0.539,-0.166,-1.022,0.823,-0.379,0.991,0.301,0.674,1.238,1.49,0.355,-0.132,0.716,0.942
