Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.013098494,0.018965585,0.030212449,0.01591575,0.013508647,0.00387983,0.0038615814,0.0015665847,11.46,-0.229,19.628,0.087,-10.104,0.168,-21.3,0.31,-29.732,0.382,-40.928,0.082,-11.196,0.312,0.265,-0.305,-0.136,-0.644,-0.339,-0.564,-0.402,-0.776,-0.651,-0.212,-0.338,-0.382,0.07,0.118,0.44,0.479,0.049,-0.55,-0.221,-1.045,0.745,-0.494,0.877,0.415,0.744,1.186,1.397,0.392,-0.185,0.709,0.948
2016-08-09,CTD2,4181518,693105,0.01270739,0.017064305,0.023961265,0.014242263,0.01079197,0.0032746764,0.0032418235,0.0013556092,,-0.168,16.868,0.09,-11.612,0.225,-34.06,0.254,-28.48,0.379,-50.927,0.138,-22.448,0.24,0.182,-0.278,-0.125,-0.816,-0.485,-0.486,-0.307,-0.869,-0.725,-0.383,-0.538,-0.276,0.081,0.164,0.349,0.421,0.084,-0.608,-0.046,-1.022,0.748,-0.101,0.987,0.084,0.646,1.05,1.386,0.384,-0.038,0.763,0.91
2016-08-09,CTD3,4181698,695238,0.011541875,0.015768364,0.020898227,0.012727876,0.009139376,0.0026897688,0.0026538882,0.0011012839,,-0.14,15.567,0.107,-15.15,0.266,-45.999,0.243,-30.717,0.391,-61.566,0.164,-30.849,0.198,0.142,-0.317,-0.138,-0.961,-0.585,-0.484,-0.281,-0.971,-0.784,-0.486,-0.645,-0.235,0.101,0.197,0.328,0.413,0.098,-0.638,0.036,-1.048,0.802,0.083,1.116,-0.067,0.607,1.062,1.479,0.37,0.029,0.777,0.893
2016-08-09,CTD4,4180266,698264,0.012232205,0.016163472,0.020794677,0.01361722,0.010675067,0.0029217137,0.0029570088,0.0012071619,,-0.125,13.779,0.086,-11.569,0.204,-31.808,0.209,-25.347,0.322,-45.587,0.121,-20.24,0.188,0.147,-0.241,-0.123,-0.661,-0.433,-0.41,-0.271,-0.737,-0.621,-0.327,-0.421,-0.191,0.081,0.159,0.267,0.34,0.08,-0.498,-0.007,-0.761,0.674,-0.013,0.859,0.011,0.503,0.867,1.105,0.329,-0.006,0.806,0.915
2016-08-09,CTD5,4179450,700268,0.016155478,0.023619534,0.027844686,0.0052009933,0.003387407,0.0008297391,0.000832062,0.00032840646,0.21,-0.082,6.424,0.639,-149.933,0.749,-252.873,0.685,-156.357,0.783,-259.298,0.211,-102.94,0.033,0.022,-4.175,-0.508,-7.041,-1.315,-3.693,-0.53,-6.124,-1.349,-2.431,-2.866,-0.492,0.59,0.612,0.838,0.849,0.035,-0.687,0.197,-3.679,4.42,1.619,6.786,-0.357,0.528,5.21,8.0,0.099,0.043,0.56,0.945
2016-08-09,CTD6,4176009,695829,0.010644523,0.014724901,0.020898227,0.011229972,0.007957409,0.0022787794,0.0022850684,0.0009541616,,-0.173,20.061,0.135,-21.135,0.298,-57.757,0.301,-41.196,0.448,-77.818,0.171,-36.622,0.225,0.16,-0.442,-0.168,-1.207,-0.649,-0.607,-0.328,-1.146,-0.874,-0.539,-0.765,-0.322,0.121,0.211,0.426,0.499,0.092,-0.707,-0.004,-1.315,0.93,-0.01,1.313,0.008,0.711,1.321,1.864,0.382,-0.003,0.729,0.898
2016-08-09,CTD7,4176724,690397,0.012703064,0.018026946,0.027963018,0.016160632,0.013199067,0.003946072,0.003917308,0.0016129757,,-0.216,19.711,0.055,-6.406,0.155,-20.29,0.267,-26.117,0.359,-40.001,0.101,-13.884,0.319,0.26,-0.179,-0.085,-0.567,-0.328,-0.471,-0.345,-0.721,-0.646,-0.25,-0.388,-0.338,0.045,0.109,0.378,0.432,0.064,-0.58,-0.172,-1.003,0.643,-0.365,0.788,0.327,0.734,0.998,1.222,0.424,-0.154,0.743,0.933
2016-08-09,CTD8,4174178,693048,0.011359334,0.016675513,0.025548164,0.01222232,0.009286434,0.0026033532,0.002582983,0.0010510597,,-0.21,20.826,0.154,-21.849,0.285,-47.716,0.353,-42.676,0.467,-68.542,0.136,-25.866,0.255,0.193,-0.558,-0.203,-1.219,-0.583,-0.712,-0.396,-1.143,-0.838,-0.431,-0.661,-0.413,0.128,0.196,0.513,0.563,0.07,-0.663,-0.107,-1.387,1.001,-0.295,1.317,0.216,0.772,1.533,2.018,0.369,-0.078,0.684,0.922
2016-08-09,CTD9,4171106,693183,0.014405838,0.021559559,0.035027616,0.02114661,0.017063655,0.004783324,0.004834198,0.0019697186,,-0.238,17.834,0.01,-0.906,0.116,-12.221,0.247,-18.74,0.345,-30.055,0.107,-11.315,0.377,0.304,-0.032,-0.015,-0.428,-0.258,-0.404,-0.32,-0.648,-0.636,-0.244,-0.396,-0.352,0.008,0.08,0.359,0.421,0.072,-0.624,-0.191,-1.033,0.532,-0.393,0.66,0.385,0.818,0.865,1.072,0.494,-0.188,0.755,0.927
2016-08-09,CTD10,4170388,695646,0.012565436,0.01820481,0.02827469,0.014299517,0.011351404,0.0032746764,0.003244722,0.0013287661,,-0.217,19.563,0.12,-15.002,0.232,-33.164,0.328,-34.565,0.427,-52.728,0.115,-18.162,0.28,0.222,-0.424,-0.17,-0.938,-0.474,-0.629,-0.392,-0.96,-0.754,-0.331,-0.514,-0.393,0.099,0.161,0.473,0.521,0.063,-0.616,-0.15,-1.218,0.872,-0.374,1.098,0.293,0.759,1.354,1.705,0.384,-0.118,0.699,0.931
