Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez
2016-08-09,CTD1,4187246,695025,0.011592904,0.0169146,0.028794995,0.014278671,0.013503431,0.0038232114,0.003727387,0.001509244,11.46,6.89
2016-08-09,CTD2,4181518,693105,0.011363186,0.014885432,0.02104404,0.012018761,0.009860281,0.0030231548,0.0029995092,0.0012526847,12.21,5.08
2016-08-09,CTD3,4181698,695238,0.013396457,0.017670326,0.024608793,0.0141439,0.011111336,0.003435775,0.003326966,0.001396929,11.75,4.04
2016-08-09,CTD4,4180266,698264,0.0068747336,0.008679462,0.015605514,0.0076795965,0.015444475,0.003672993,0.0036221184,0.0012944449,7.58,3.96
2016-08-09,CTD5,4179450,700268,0.013134248,0.018914346,0.019970905,0.002597981,0.0017893707,0.00044390827,0.0004369017,0.0001684311,0.285,0.135
2016-08-09,CTD6,4176009,695829,0.011115613,0.0154875815,0.022423778,0.01124637,0.008418871,0.0024369855,0.00239987,0.0009990195,9.52,4.23
2016-08-09,CTD7,4176724,690397,0.020329,0.027072279,0.038013864,0.021829933,0.017724546,0.0053360825,0.00527858,0.0021277976,10.94,5.94
2016-08-09,CTD8,4174178,693048,0.016221719,0.02291831,0.033376727,0.01588106,0.012083579,0.0033887236,0.0033523503,0.0013633812,12.84,6.3
2016-08-09,CTD9,4171106,693183,0.011100564,0.017355887,0.030894682,0.016492788,0.014132329,0.0039180433,0.0038581248,0.0015748485,,
2016-08-09,CTD10,4170388,695646,0.01588775,0.022810996,0.034440156,0.017810361,0.013986021,0.004004518,0.003991673,0.0016129757,9.75,4.72
2016-08-09,CTD11,4169609,700351,0.013264691,0.01850298,0.027197637,0.015967922,0.012060166,0.0035825477,0.0034235597,0.0014423,8.69,3.95
2016-08-09,CTD12,4173438,695414,0.012755073,0.018824998,0.029143559,0.014056456,0.010666765,0.0029951336,0.0029477947,0.0012111759,8.52,4.48
2016-09-08,CTD1,4187246,695025,0.009679799,0.014128845,0.024649302,0.013686976,0.013245068,0.0039513498,0.0038650408,0.0015915099,18.69,4.95
2016-09-08,CTD2,4181518,693105,0.0102082575,0.014971433,0.023616333,0.012307406,0.009491137,0.0027280597,0.0026811461,0.001115416,13.22,4.29
2016-09-08,CTD3,4181698,695238,0.005246576,0.007819605,0.01345593,0.0062605985,0.0051390636,0.0013790033,0.0013643369,0.00056830957,13.57,3.92
2016-09-08,CTD4,4180266,698264,0.016852992,0.022818645,0.03165196,0.018653609,0.013787858,0.004133223,0.004071092,0.0016759449,12.38,4.15
2016-09-08,CTD5,4179450,700268,0.010305081,0.015983649,0.021099849,0.0042410363,0.0029003848,0.00069425843,0.000709231,0.0002760678,1.27,0.1399999999999999
2016-09-08,CTD6,4176009,695829,0.0075981417,0.01122237,0.018019825,0.009018693,0.006931424,0.0019262272,0.0019307676,0.00080253446,12.32,4.35
