Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.011592904,0.0169146,0.028794995,0.014278671,0.013503431,0.0038232114,0.003727387,0.001509244,11.46,6.89,-0.26,24.392,0.085,-10.914,0.112,-14.935,0.337,-35.306,0.362,-39.327,0.028,-4.021,0.348,0.329,-0.314,-0.147,-0.43,-0.213,-0.597,-0.477,-0.665,-0.562,-0.068,-0.116,-0.428,0.062,0.079,0.477,0.49,0.017,-0.47,-0.358,-0.948,0.716,-0.764,0.757,0.645,0.757,1.218,1.288,0.375,-0.302,0.682,0.982
2016-08-09,CTD2,4181518,693105,0.011363186,0.014885432,0.02104404,0.012018761,0.009860281,0.0030231548,0.0029995092,0.0012526847,12.21,5.08,-0.171,19.66,0.107,-16.023,0.203,-34.237,0.273,-35.684,0.362,-53.898,0.099,-18.214,0.236,0.194,-0.337,-0.158,-0.72,-0.411,-0.531,-0.352,-0.802,-0.648,-0.271,-0.383,-0.281,0.093,0.152,0.365,0.416,0.06,-0.512,-0.113,-0.896,0.77,-0.241,0.939,0.195,0.593,1.089,1.327,0.339,-0.091,0.749,0.935
2016-08-09,CTD3,4181698,695238,0.013396457,0.017670326,0.024608793,0.0141439,0.011111336,0.003435775,0.003326966,0.001396929,11.75,4.04,-0.164,15.956,0.111,-14.11,0.228,-33.406,0.27,-30.066,0.378,-49.362,0.12,-19.296,0.226,0.177,-0.347,-0.157,-0.822,-0.472,-0.531,-0.334,-0.872,-0.698,-0.341,-0.475,-0.275,0.099,0.169,0.364,0.424,0.072,-0.555,-0.068,-0.965,0.798,-0.15,1.016,0.12,0.607,1.111,1.414,0.349,-0.054,0.752,0.922
2016-08-09,CTD4,4180266,698264,0.0068747336,0.008679462,0.015605514,0.0076795965,0.015444475,0.003672993,0.0036221184,0.0012944449,7.58,3.96,-0.285,51.135,0.061,-15.001,-0.28,50.466,0.34,-66.135,0.005,-0.668,-0.336,65.467,0.393,0.79,-0.234,-0.232,0.788,0.388,-0.574,-1.021,-0.006,-0.005,0.568,1.022,-0.3,0.032,-0.291,0.329,0.01,-0.32,0.059,-1.455,0.12,0.141,-1.47,0.07,1.301,-0.213,0.253,0.126,-0.105,-1.287,0.674,1.333
2016-08-09,CTD5,4179450,700268,0.013134248,0.018914346,0.019970905,0.002597981,0.0017893707,0.00044390827,0.0004369017,0.0001684311,0.285,0.135,-0.027,2.797,0.758,-332.044,0.827,-505.986,0.77,-334.841,0.836,-508.783,0.184,-173.941,0.007,0.005,-6.631,-0.594,-10.105,-1.315,-6.333,-0.599,-9.623,-1.322,-3.29,-3.474,-0.241,0.75,0.759,0.839,0.845,0.021,-0.505,0.258,-3.88,7.191,2.883,10.44,-0.396,0.367,7.592,11.023,0.048,0.035,0.553,0.964
2016-08-09,CTD6,4176009,695829,0.011115613,0.0154875815,0.022423778,0.01124637,0.008418871,0.0024369855,0.00239987,0.0009990195,9.52,4.23,-0.183,19.972,0.159,-24.35,0.296,-54.213,0.332,-44.322,0.454,-74.185,0.144,-29.863,0.225,0.168,-0.546,-0.205,-1.216,-0.61,-0.686,-0.373,-1.149,-0.834,-0.463,-0.67,-0.353,0.138,0.21,0.468,0.524,0.075,-0.645,-0.058,-1.286,1.002,-0.154,1.338,0.112,0.699,1.45,1.937,0.351,-0.042,0.705,0.916
2016-08-09,CTD7,4176724,690397,0.020329,0.027072279,0.038013864,0.021829933,0.017724546,0.0053360825,0.00527858,0.0021277976,10.94,5.94,-0.168,10.632,0.107,-8.871,0.209,-19.481,0.27,-19.502,0.364,-30.113,0.104,-10.61,0.232,0.188,-0.337,-0.157,-0.741,-0.425,-0.528,-0.346,-0.815,-0.657,-0.287,-0.403,-0.277,0.094,0.156,0.361,0.415,0.063,-0.519,-0.1,-0.905,0.774,-0.214,0.953,0.173,0.592,1.087,1.338,0.34,-0.08,0.751,0.931
2016-08-09,CTD8,4174178,693048,0.016221719,0.02291831,0.033376727,0.01588106,0.012083579,0.0033887236,0.0033523503,0.0013633812,12.84,6.3,-0.186,13.672,0.181,-19.335,0.31,-39.124,0.355,-33.007,0.468,-52.796,0.136,-19.789,0.217,0.165,-0.645,-0.234,-1.306,-0.621,-0.756,-0.399,-1.21,-0.838,-0.454,-0.66,-0.374,0.155,0.22,0.5,0.549,0.067,-0.628,-0.074,-1.319,1.081,-0.205,1.421,0.142,0.695,1.574,2.069,0.331,-0.051,0.689,0.923
2016-08-09,CTD9,4171106,693183,0.011100564,0.017355887,0.030894682,0.016492788,0.014132329,0.0039180433,0.0038581248,0.0015748485,,,-0.281,25.249,0.025,-3.015,0.102,-13.142,0.304,-28.265,0.372,-38.392,0.077,-10.127,0.416,0.357,-0.093,-0.043,-0.406,-0.217,-0.491,-0.399,-0.666,-0.633,-0.176,-0.313,-0.442,0.019,0.068,0.457,0.495,0.049,-0.605,-0.295,-1.134,0.595,-0.645,0.694,0.613,0.923,1.059,1.236,0.493,-0.28,0.702,0.95
2016-08-09,CTD10,4170388,695646,0.01588775,0.022810996,0.034440156,0.017810361,0.013986021,0.004004518,0.003991673,0.0016129757,9.75,4.72,-0.203,14.803,0.123,-12.309,0.24,-27.661,0.318,-27.111,0.422,-42.464,0.12,-15.353,0.264,0.207,-0.424,-0.172,-0.953,-0.493,-0.618,-0.379,-0.969,-0.756,-0.35,-0.529,-0.366,0.103,0.169,0.452,0.504,0.067,-0.611,-0.123,-1.182,0.875,-0.303,1.114,0.236,0.725,1.321,1.682,0.375,-0.096,0.71,0.927
2016-08-09,CTD11,4169609,700351,0.013264691,0.01850298,0.027197637,0.015967922,0.012060166,0.0035825477,0.0034235597,0.0014423,8.69,3.95,-0.19,17.277,0.074,-8.58,0.211,-28.872,0.26,-25.858,0.386,-46.15,0.139,-20.292,0.276,0.208,-0.233,-0.103,-0.785,-0.461,-0.478,-0.312,-0.854,-0.737,-0.375,-0.552,-0.31,0.065,0.149,0.367,0.439,0.086,-0.644,-0.075,-1.096,0.715,-0.169,0.947,0.146,0.715,1.051,1.392,0.42,-0.065,0.754,0.909
