Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez
2016-08-09,CTD1,4187246,695025,0.012001531,0.017279604,0.029620709,0.015213502,0.013503431,0.0038232114,0.0037374124,0.0015186494,10.27,6.78
2016-08-09,CTD2,4181518,693105,0.011274929,0.014966361,0.021572927,0.012018761,0.010148462,0.0030868514,0.003049434,0.0012724794,11.29,4.53
2016-08-09,CTD3,4181698,695238,0.011632318,0.016037928,0.022056276,0.013172302,0.009214404,0.0026862079,0.00271231,0.0011096356,12.56,3.76
2016-08-09,CTD4,4180266,698264,0.0064954823,0.008285478,0.014631086,0.007486805,0.014050869,0.003352748,0.0032841137,0.0012761133,8.48,3.23
2016-08-09,CTD5,4179450,700268,0.01457392,0.022139747,0.025115568,0.0038304096,0.0025167132,0.0006187561,0.000617747,0.00023966121,0.21,0.12
2016-08-09,CTD6,4176009,695829,0.011115613,0.0152221415,0.021078905,0.011482709,0.008610998,0.002532072,0.0024951857,0.0010540336,12.64,4.93
2016-08-09,CTD7,4176724,690397,0.017312666,0.024049811,0.034100577,0.020285556,0.014823046,0.004464367,0.0044305027,0.0018251466,13.99,5.84
2016-08-09,CTD8,4174178,693048,0.012038297,0.017748304,0.0265124,0.01376713,0.009825791,0.0027669184,0.0027111045,0.0011244117,14.12,6.09
2016-08-09,CTD9,4171106,693183,0.013036164,0.02006638,0.033828877,0.019303592,0.015285403,0.004235758,0.0041595283,0.0017026422,3.66,6.2
2016-08-09,CTD10,4170388,695646,0.01588775,0.022818645,0.0345393,0.017810361,0.013986021,0.004004518,0.003991673,0.0016129757,10.85,3.72
2016-08-09,CTD11,4169609,700351,0.010881061,0.015042636,0.02257988,0.013138681,0.011185003,0.0031603382,0.0030426378,0.0012864679,9.53,3.51
2016-08-09,CTD12,4173438,695414,0.01304505,0.018824998,0.028851258,0.014046204,0.010551198,0.0029951336,0.0029346829,0.0012008823,10.5,3.99
2016-09-08,CTD1,4187246,695025,0.010579986,0.015299733,0.025800908,0.013857856,0.013245068,0.0039513498,0.0038650408,0.0015915099,23.19,4.91
2016-09-08,CTD2,4181518,693105,0.00968305,0.014200785,0.02326078,0.01124637,0.009421183,0.002685022,0.0026269185,0.001081713,17.47,3.95
2016-09-08,CTD3,4181698,695238,0.0068303854,0.010071089,0.017746966,0.007934538,0.0073602106,0.002012444,0.00195878,0.0008032766,14.11,3.56
2016-09-08,CTD4,4180266,698264,0.013107423,0.017754316,0.027799297,0.014653145,0.012083579,0.0036828197,0.0036628777,0.0015164736,14.72,2.59
2016-09-08,CTD5,4179450,700268,0.010431006,0.016043367,0.021085884,0.004054166,0.0028658044,0.00067305716,0.0006827655,0.00026295218,0.94,0.04
2016-09-08,CTD6,4176009,695829,0.0080432305,0.011949981,0.018388148,0.0099579785,0.0075951214,0.0021491528,0.0021371853,0.0009055106,15.48,4.13
2016-09-08,CTD7,4176724,690397,0.010562132,0.015471839,0.024263008,0.011896529,0.008987657,0.0025087688,0.0025173964,0.0010295196,17.88,4.29
2016-09-08,CTD9,4171106,693183,0.012112181,0.018991256,0.03386138,0.019953186,0.01694713,0.0048196455,0.0048298794,0.0019659442,3.8,5.55
2016-09-08,CTD10,4170388,695646,0.01154971,0.017221153,0.030017264,0.015130617,0.014077974,0.0040224,0.0039454727,0.0015991427,14.67,4.42
2016-09-08,CTD11,4169609,700351,0.008689006,0.013709604,0.024103748,0.011453416,0.009879493,0.0028026314,0.002723185,0.0011292049,16.1,3.03
2016-09-08,CTD12,4173438,695414,0.00885847,0.012887298,0.021085884,0.011266903,0.009450574,0.0027040618,0.0027292462,0.0011169979,14.53,3.69
2017-06-30,CTD1,4187246,695025,0.01850636,0.027769933,0.037858292,0.012479366,0.008468138,0.0021519675,0.002177963,0.00085472845,0.5875,1.573
2017-06-30,CTD2,4181518,693105,0.0149160065,0.023738332,0.029181471,0.007195797,0.004207121,0.0010563881,0.0011254343,0.0004536283,0.3115,1.4
2017-06-30,CTD3,4181698,695238,0.017591918,0.024643049,0.027555374,0.010574366,0.0074376697,0.0019624375,0.0019442954,0.0007780976,0.6875,0.5625
2017-06-30,CTD4,4180266,698264,0.016405266,0.024626616,0.035083488,0.009392335,0.008279247,0.002042393,0.0020436693,0.00079003134,0.593,1.05
2017-06-30,CTD5,4179450,700268,0.025961958,0.03533355,0.040896293,0.008032105,0.0058621075,0.0013286357,0.0013917269,0.0005316352,0.18,0.31
