Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.0123576615,0.01786893,0.029304998,0.015224586,0.013183767,0.003807915,0.0037340675,0.001515749,10.865,-0.242,21.839,0.08,-9.72,0.151,-19.888,0.316,-31.559,0.379,-41.727,0.072,-10.168,0.332,0.288,-0.285,-0.128,-0.583,-0.303,-0.564,-0.416,-0.746,-0.635,-0.182,-0.298,-0.403,0.062,0.105,0.453,0.487,0.043,-0.545,-0.256,-1.049,0.724,-0.569,0.836,0.485,0.774,1.187,1.371,0.402,-0.218,0.702,0.954
2016-08-09,CTD2,4181518,693105,0.012190679,0.016619084,0.023268454,0.014383198,0.011137282,0.0033171622,0.0033210216,0.001368588,11.75,-0.167,17.195,0.072,-9.354,0.197,-29.617,0.236,-26.549,0.353,-46.812,0.127,-20.263,0.247,0.192,-0.218,-0.104,-0.689,-0.426,-0.441,-0.296,-0.778,-0.673,-0.337,-0.471,-0.261,0.065,0.146,0.32,0.391,0.081,-0.577,-0.06,-0.934,0.677,-0.126,0.874,0.109,0.626,0.948,1.224,0.387,-0.052,0.777,0.914
2016-08-09,CTD3,4181698,695238,0.011029372,0.01509882,0.020664234,0.012653733,0.0089632,0.0025488562,0.0025601678,0.001081203,12.155,-0.156,17.838,0.088,-12.798,0.255,-45.337,0.24,-30.635,0.395,-63.175,0.171,-32.539,0.226,0.16,-0.264,-0.115,-0.937,-0.574,-0.463,-0.275,-0.954,-0.799,-0.491,-0.672,-0.257,0.083,0.184,0.333,0.422,0.103,-0.681,0.022,-1.112,0.759,0.051,1.072,-0.043,0.66,1.039,1.467,0.404,0.019,0.776,0.889
2016-08-09,CTD4,4180266,698264,0.014593823,0.020039309,0.025573334,0.017239204,0.012291521,0.003352748,0.0033403803,0.0013136751,8.03,-0.121,10.799,0.075,-8.105,0.24,-31.455,0.195,-18.904,0.351,-42.254,0.168,-23.35,0.186,0.133,-0.207,-0.1,-0.804,-0.542,-0.379,-0.232,-0.847,-0.728,-0.468,-0.597,-0.187,0.074,0.181,0.258,0.356,0.108,-0.619,0.071,-0.918,0.682,0.147,0.956,-0.126,0.563,0.87,1.22,0.38,0.061,0.817,0.884
2016-08-09,CTD5,4179450,700268,0.014708797,0.02171967,0.025115568,0.004539191,0.0030113745,0.000751617,0.0007623971,0.000294331,0.2475,-0.073,6.225,0.654,-174.262,0.756,-286.033,0.694,-180.488,0.786,-292.258,0.202,-111.771,0.028,0.019,-4.377,-0.525,-7.184,-1.298,-3.92,-0.544,-6.348,-1.327,-2.428,-2.807,-0.45,0.611,0.631,0.832,0.842,0.033,-0.643,0.201,-3.555,4.665,1.679,7.032,-0.351,0.493,5.394,8.131,0.089,0.042,0.561,0.948
2016-08-09,CTD6,4176009,695829,0.0108737005,0.014860232,0.021078905,0.011453416,0.008379667,0.0024019077,0.0023935118,0.0009896859,11.08,-0.173,19.853,0.129,-20.016,0.279,-52.043,0.296,-39.869,0.431,-71.896,0.155,-32.026,0.227,0.166,-0.422,-0.168,-1.097,-0.596,-0.592,-0.334,-1.068,-0.823,-0.476,-0.675,-0.314,0.116,0.199,0.414,0.483,0.086,-0.662,-0.027,-1.218,0.9,-0.067,1.23,0.052,0.687,1.277,1.745,0.373,-0.021,0.732,0.906
2016-08-09,CTD7,4176724,690397,0.013332681,0.019042697,0.0295343,0.017339455,0.013932199,0.0041221883,0.004094857,0.0016847964,12.465,-0.216,18.655,0.047,-5.158,0.155,-19.263,0.26,-23.813,0.359,-37.917,0.109,-14.104,0.323,0.26,-0.152,-0.072,-0.569,-0.334,-0.453,-0.332,-0.722,-0.657,-0.269,-0.417,-0.335,0.039,0.109,0.37,0.429,0.07,-0.6,-0.159,-1.022,0.626,-0.336,0.78,0.306,0.747,0.972,1.209,0.439,-0.145,0.749,0.927
2016-08-09,CTD8,4174178,693048,0.011421134,0.016720794,0.025372626,0.012370482,0.009286434,0.0026625935,0.0026060108,0.0010771317,13.48,-0.206,20.393,0.15,-21.032,0.286,-47.878,0.344,-41.425,0.464,-68.271,0.142,-26.846,0.252,0.189,-0.534,-0.195,-1.215,-0.592,-0.693,-0.385,-1.142,-0.845,-0.449,-0.681,-0.399,0.126,0.197,0.5,0.553,0.073,-0.673,-0.092,-1.381,0.986,-0.251,1.313,0.185,0.767,1.496,1.992,0.374,-0.068,0.691,0.918
2016-08-09,CTD9,4171106,693183,0.014658697,0.022154626,0.03671471,0.021620523,0.017557157,0.0048497613,0.0049257646,0.001981085,3.66,-0.247,17.9,0.012,-1.115,0.116,-11.82,0.259,-19.015,0.353,-29.72,0.104,-10.704,0.387,0.314,-0.041,-0.02,-0.434,-0.256,-0.421,-0.334,-0.658,-0.643,-0.237,-0.393,-0.372,0.01,0.079,0.38,0.438,0.069,-0.628,-0.209,-1.066,0.546,-0.436,0.673,0.426,0.845,0.906,1.115,0.498,-0.204,0.744,0.93
2016-08-09,CTD10,4170388,695646,0.013932208,0.019958304,0.030487638,0.015748758,0.012291521,0.003561876,0.0035387992,0.0014402365,10.3,-0.209,17.304,0.118,-13.393,0.238,-31.252,0.319,-30.697,0.425,-48.557,0.123,-17.86,0.273,0.213,-0.408,-0.165,-0.953,-0.492,-0.613,-0.377,-0.969,-0.765,-0.356,-0.545,-0.376,0.098,0.166,0.457,0.51,0.069,-0.627,-0.126,-1.213,0.864,-0.312,1.107,0.246,0.747,1.32,1.691,0.386,-0.099,0.708,0.925
