Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,Turbidez
2016-08-09,CTD1,4187246,695025,0.012963163,0.018831134,0.030299902,0.01587101,0.013168427,0.0038352578,10.547,6.76
2016-08-09,CTD2,4181518,693105,0.012636714,0.01710279,0.02370993,0.014119181,0.011034428,0.0030900273,11.54,4.713
2016-08-09,CTD3,4181698,695238,0.011539778,0.01596327,0.020474875,0.012670596,0.009556062,0.0025119088,11.967,3.853
2016-08-09,CTD4,4180266,698264,0.012189769,0.016238127,0.020232417,0.013742971,0.0106596295,0.0027647547,8.42,3.567
2016-08-09,CTD5,4179450,700268,0.01623443,0.02356713,0.028047284,0.005341543,0.0034906736,0.0008330146,0.2635,0.1265
2016-08-09,CTD6,4176009,695829,0.010653177,0.014810074,0.020635728,0.011193777,0.008273284,0.0021513517,11.273,4.473
2016-08-09,CTD7,4176724,690397,0.012572144,0.017966624,0.027832612,0.016053364,0.013172475,0.0038352578,12.67,5.82
2016-08-09,CTD8,4174178,693048,0.011321673,0.016557895,0.025616698,0.012241106,0.009326644,0.0025580197,13.84,6.113
2016-08-09,CTD9,4171106,693183,0.014262073,0.02162561,0.035286598,0.020998998,0.016929366,0.0047345227,3.66,6.2
2016-08-09,CTD10,4170388,695646,0.012484175,0.018207148,0.028146796,0.014202868,0.011216576,0.0032035909,12.667,4.25
2016-08-09,CTD11,4169609,700351,0.011143869,0.015450322,0.023022674,0.01239563,0.010110972,0.0029157563,9.49,3.64
2016-08-09,CTD12,4173438,695414,0.010955954,0.01602155,0.024214165,0.011965965,0.0090772575,0.0024354022,9.643,4.187
2016-09-08,CTD1,4187246,695025,0.01007864,0.014954334,0.025903298,0.013604328,0.011613511,0.0035384072,20.69,4.907
2016-09-08,CTD2,4181518,693105,0.010480561,0.01524611,0.024540223,0.01204726,0.009680451,0.0028023985,15.453,4.06
2016-09-08,CTD3,4181698,695238,0.009116722,0.013197403,0.020921426,0.0108244,0.008378326,0.0023965486,12.993,3.72
2016-09-08,CTD4,4180266,698264,0.009694564,0.013810423,0.021019582,0.011299112,0.0090195425,0.0025438291,14.823,3.443
2016-09-08,CTD5,4179450,700268,0.009531625,0.01437139,0.019550478,0.0043513956,0.002990963,0.00075959624,1.0265,0.095
2016-09-08,CTD6,4176009,695829,0.009032382,0.012834953,0.020315086,0.010408568,0.0082619935,0.0024010392,13.47,4.253
2016-09-08,CTD7,4176724,690397,0.010483518,0.015155538,0.025263917,0.012062087,0.0102711925,0.0029926745,16.1,4.427
2016-09-08,CTD9,4171106,693183,0.011017296,0.017201973,0.031894203,0.018334838,0.015860243,0.004780823,3.8,5.55
2016-09-08,CTD10,4170388,695646,0.011324812,0.017220914,0.030431898,0.01668895,0.014187067,0.004257968,16.087,4.837
2016-09-08,CTD11,4169609,700351,0.009003538,0.013746522,0.024089132,0.012429749,0.010028302,0.00288,13.64,4.88
2016-09-08,CTD12,4173438,695414,0.009550841,0.014129398,0.02324992,0.012293703,0.009942886,0.00288,13.523,3.983
2017-06-30,CTD1,4187246,695025,0.02412617,0.034037367,0.04442801,0.015591242,0.010611325,0.002497934,1.003,3.3115
2017-06-30,CTD2,4181518,693105,0.017055215,0.026085949,0.033939864,0.009809087,0.006399033,0.0014623507,0.647,1.6125
2017-06-30,CTD3,4181698,695238,0.015113075,0.021547975,0.025462836,0.008128102,0.0055363104,0.0013549323,1.103,1.0805
2017-06-30,CTD4,4180266,698264,0.016604733,0.025080591,0.030475993,0.010591399,0.007386292,0.0017016139,1.0585,1.602
2017-06-30,CTD5,4179450,700268,0.020630436,0.029840393,0.035100292,0.007001064,0.0044958275,0.0010516907,0.285,0.305
2017-06-30,CTD6,4176009,695829,0.015869437,0.023938583,0.031866826,0.010504651,0.0071230726,0.0016976281,1.2235,2.2190000000000003
2017-06-30,CTD7,4176724,690397,0.020635087,0.033118825,0.04711692,0.016012207,0.010251057,0.002240434,1.085,3.431
2017-06-30,CTD8,4174178,693048,0.017390607,0.02675853,0.0360987,0.011591006,0.007753518,0.0018159745,0.7295,2.05
2017-06-30,CTD9,4171106,693183,0.026718184,0.04070176,0.05677342,0.031822685,0.022000514,0.004825889,0.4625,6.8325000000000005
2017-06-30,CTD10,4170388,695646,0.0161739,0.023543669,0.027923279,0.008969058,0.0059924773,0.0014583002,0.663,1.9585
2017-06-30,CTD11,4169609,700351,0.012842193,0.017917821,0.026341908,0.009486387,0.00751834,0.0021382978,1.0195,1.171
2017-06-30,CTD12,4173438,695414,0.01709692,0.026110914,0.034227345,0.011616196,0.00785308,0.0018529581,1.1075,2.473
2018-02-20,CTD1,4187246,695025,0.001692283,0.0020986719,0.004246146,0.0021456298,0.0025158597,0.0009770382,3.3965,2.5005
2018-02-20,CTD2,4181518,693105,0.003172685,0.0045078606,0.008502141,0.0023620382,0.001964676,0.0005941791,4.2665,4.779
2018-02-20,CTD3,4181698,695238,0.008425053,0.013426632,0.022145607,0.006093242,0.0042994088,0.0010866541,1.941,5.2255
2018-02-20,CTD4,4180266,698264,0.008824328,0.013643186,0.023043899,0.0062769563,0.004361831,0.0010901672,1.8195,2.004
2018-02-20,CTD5,4179450,700268,0.019962,0.030082868,0.033911213,0.0041596536,0.002794224,0.0007714209,0.2165,0.625
2018-02-20,CTD6,4176009,695829,0.009095577,0.014211067,0.024273187,0.006977502,0.004997003,0.00128179,5.823,2.957
2018-02-20,CTD7,4176724,690397,0.008933059,0.014508154,0.025624411,0.0071271206,0.005081609,0.0012553893,1.673,2.2355
2018-02-20,CTD8,4174178,693048,0.0112715475,0.01823182,0.030812684,0.00876081,0.0060593486,0.0014531076,1.5585,5.1285
2018-02-20,CTD9,4171106,693183,0.017695878,0.028531807,0.048752915,0.02565673,0.019862786,0.0053636148,0.6809999999999999,11.009
2018-02-20,CTD10,4170388,695646,0.011321673,0.017521238,0.02991521,0.0100345155,0.0074611367,0.0019618983,4.159,3.3545
2018-02-20,CTD11,4169609,700351,0.009817526,0.016242662,0.028138492,0.009480268,0.0068654437,0.0017049419,4.392,2.486
2018-02-20,CTD12,4173438,695414,0.008896694,0.01415386,0.025263917,0.0073162746,0.0053413026,0.0013871376,5.107,3.0620000000000003
2018-03-07,CTD1,4187246,695025,0.023725946,0.035827097,0.05246703,0.018641995,0.013392398,0.0032391117,3.6315,6.42
2018-03-07,CTD2,4181518,693105,0.012136793,0.01865491,0.030688316,0.008766539,0.0063582286,0.0016465726,3.3975,3.5715000000000003
2018-03-07,CTD3,4181698,695238,0.014158504,0.021470523,0.03522769,0.011969651,0.009138332,0.0024784796,2.3425,4.3015
2018-03-07,CTD4,4180266,698264,0.015793903,0.025098883,0.040690135,0.012743926,0.009095546,0.0022788371,2.018,3.5860000000000003
2018-03-07,CTD5,4179450,700268,0.013916431,0.021714563,0.028547574,0.0044357227,0.002956324,0.00074552465,0.6435,0.6785
2018-03-07,CTD6,4176009,695829,0.011060392,0.016891668,0.027513,0.007878847,0.0058145276,0.0014998658,3.615,3.074
2018-03-07,CTD7,4176724,690397,0.012565361,0.019449381,0.031008882,0.0086044865,0.0060182856,0.0015022395,1.823,3.174
2018-03-07,CTD8,4174178,693048,0.011939649,0.018917149,0.030582016,0.008279784,0.0057978258,0.0014308025,2.2395,3.0275
2018-03-07,CTD9,4171106,693183,0.019108873,0.028841162,0.042616088,0.019635702,0.014101885,0.0034905234,0.509,1.3235
2018-03-07,CTD10,4170388,695646,0.011546147,0.017244611,0.0281053,0.0077412357,0.0056087812,0.0014427734,2.7845,2.1625
2018-03-07,CTD11,4169609,700351,0.011809545,0.018871577,0.031143188,0.009262148,0.006499734,0.0016101447,1.9595,2.553
2018-03-07,CTD12,4173438,695414,0.0101823,0.015612552,0.025424484,0.007196939,0.0052757626,0.0013805304,2.683,2.15
2018-05-16,CTD1,4187246,695025,0.022461219,0.032639306,0.042828713,0.015239833,0.010190837,0.0023538007,1.77,0.303
2018-05-16,CTD2,4181518,693105,0.015306697,0.022503108,0.02933656,0.008087879,0.0052680997,0.0012604265,1.7165,1.5455
2018-05-16,CTD3,4181698,695238,0.012811219,0.018846292,0.025601279,0.007340841,0.005017118,0.0012438757,2.0335,1.3725
2018-05-16,CTD4,4180266,698264,0.013727739,0.020071037,0.025973396,0.0069704466,0.0046455543,0.0011281695,1.3845,2.275
2018-05-16,CTD5,4179450,700268,0.017517412,0.025886735,0.033069164,0.006791522,0.0045190817,0.0010822782,0.4365,0.4964999999999999
2018-05-16,CTD6,4176009,695829,0.01465884,0.021310672,0.024652187,0.0063263555,0.0041323914,0.000985383,0.652,7.3115
2018-05-16,CTD7,4176724,690397,0.024287099,0.03764733,0.053487506,0.016394554,0.010566621,0.002282278,2.3515,3.829
2018-05-16,CTD8,4174178,693048,0.017281165,0.02601114,0.03423696,0.0083565265,0.005419342,0.0012787174,0.5915,1.975
2018-05-16,CTD9,4171106,693183,0.02789011,0.04204509,0.062855996,0.0366577,0.027966933,0.006662063,0.4575,2.0275
2018-05-16,CTD10,4170388,695646,0.014392261,0.021831676,0.029071731,0.008420018,0.0057108337,0.0013457825,1.3805,2.147
2018-05-16,CTD11,4169609,700351,0.0148333255,0.021887591,0.032826073,0.01019254,0.0072688716,0.0018862302,1.0655,1.6830000000000005
2018-05-16,CTD12,4173438,695414,0.016457606,0.024379501,0.0308661,0.0078553315,0.005163746,0.0012245793,0.462,3.766
2018-06-20,CTD1,4187246,695025,0.014689086,0.022174206,0.0272772,0.009346473,0.006237169,0.0014763167,0.958,1.9025
2018-06-20,CTD2,4181518,693105,0.016085383,0.023205116,0.027488533,0.0069822087,0.00459458,0.0010910472,0.645,7.7545
2018-06-20,CTD3,4181698,695238,0.015849536,0.022168562,0.023357075,0.0063371407,0.0041523552,0.000982196,0.92,5.822500000000001
2018-06-20,CTD4,4180266,698264,0.015647482,0.021753555,0.024727058,0.0070034238,0.004712598,0.0011557512,0.4905,1.816
2018-06-20,CTD5,4179450,700268,0.019679848,0.028604047,0.033266462,0.00681683,0.004640434,0.001079225,0.2935,0.375
2018-06-20,CTD6,4176009,695829,0.017470852,0.0249467,0.028380051,0.0076438556,0.0050760517,0.0012265453,0.5735,1.023
2018-06-20,CTD7,4176724,690397,0.015675114,0.022095285,0.025686178,0.007751548,0.005150599,0.0012438757,0.378,2.0795
2018-06-20,CTD8,4174178,693048,0.017969921,0.027031595,0.033228815,0.008537014,0.005520319,0.0012685253,0.7205,5.1365
2018-06-20,CTD9,4171106,693183,0.028306067,0.04103246,0.052861147,0.028859088,0.019751303,0.0039995117,0.2425,1.5205000000000002
2018-06-20,CTD10,4170388,695646,0.016649853,0.024212085,0.028522396,0.009007097,0.0060118246,0.0014262663,1.5535,1.4914999999999998
2018-06-20,CTD11,4169609,700351,0.009471434,0.012429111,0.018942283,0.006627925,0.005323883,0.0015195524,0.5045000000000001,1.003
2018-06-20,CTD12,4173438,695414,0.016473914,0.024265818,0.028572768,0.0081550125,0.00539778,0.0012771838,1.3135,1.671
2018-07-10,CTD1,4187246,695025,0.01516326,0.021949204,0.027807925,0.010763226,0.0075916755,0.0019001267,0.5925,1.367
2018-07-10,CTD2,4181518,693105,0.018758504,0.02672688,0.030212147,0.008362032,0.005389958,0.0012705575,0.3349999999999999,1.478
2018-07-10,CTD3,4181698,695238,0.018420601,0.025374211,0.026412943,0.007831876,0.0050299563,0.0012094426,0.569,1.867
2018-07-10,CTD4,4180266,698264,0.015549052,0.021592315,0.023804272,0.008565073,0.0058775395,0.0014279658,1.6015,4.688
2018-07-10,CTD5,4179450,700268,0.015572637,0.022657283,0.0277997,0.0068329787,0.004555848,0.0011231812,0.6134999999999999,0.4335
2018-07-10,CTD6,4176009,695829,0.014583412,0.020298984,0.024697088,0.00851742,0.0058648894,0.0014898157,2.0460000000000003,1.173
2018-07-10,CTD7,4176724,690397,0.01553334,0.021764703,0.025225807,0.007931322,0.005403653,0.0013329631,0.538,1.3130000000000002
2018-07-10,CTD8,4174178,693048,0.018683594,0.02814603,0.03585966,0.011918128,0.007877458,0.0018500896,1.6825,1.665
2018-07-10,CTD9,4171106,693183,0.024226695,0.035148595,0.04641777,0.024988633,0.01765118,0.004081553,0.272,0.335
2018-07-10,CTD10,4170388,695646,0.012804343,0.0179032,0.02315738,0.007986745,0.005667773,0.0014416294,1.2614999999999998,1.1775
2018-07-10,CTD11,4169609,700351,0.012460568,0.0170416,0.021583151,0.0075955656,0.005546326,0.0014583002,1.368,0.866
2018-07-10,CTD12,4173438,695414,0.013810977,0.020288343,0.02544749,0.0080079455,0.0055623837,0.0013728589,2.067,1.053
2018-08-29,CTD1,4187246,695025,0.009689004,0.013818428,0.02257366,0.007091243,0.0055623837,0.0015273724,0.4825,0.5985
2018-08-29,CTD2,4181518,693105,0.010943717,0.015731754,0.020558385,0.0047541396,0.003283975,0.00082025037,0.477,0.864
2018-08-29,CTD3,4181698,695238,0.011237184,0.016052997,0.020442832,0.004947963,0.0033826348,0.0008357268,0.5665,0.6639999999999999
2018-08-29,CTD4,4180266,698264,0.008589972,0.011690956,0.015184322,0.0043711867,0.0030822044,0.0007917531,0.476,0.643
2018-08-29,CTD5,4179450,700268,0.013242723,0.019928806,0.025332633,0.005039786,0.0033373255,0.00081195874,0.28,0.4915
2018-08-29,CTD6,4176009,695829,0.010647189,0.015753902,0.02122367,0.00576811,0.0039142813,0.0009652358,0.593,0.7585
2018-08-29,CTD7,4176724,690397,0.011835481,0.017107502,0.023979245,0.0071896887,0.005209051,0.0013619682,0.5655,1.2955
2018-08-29,CTD8,4174178,693048,0.013573061,0.019771585,0.0281053,0.008809609,0.0061203092,0.0015340181,0.816,1.8565
2018-08-29,CTD9,4171106,693183,0.017159594,0.026405288,0.03936107,0.020062579,0.014405913,0.003466166,0.1415,1.285
2018-08-29,CTD10,4170388,695646,0.010507203,0.015078236,0.021436084,0.0064744623,0.0045692855,0.0011580783,0.8845,0.589
2018-08-29,CTD11,4169609,700351,0.01094066,0.01574504,0.021677177,0.0072260047,0.0049842405,0.0012423813,0.8015,0.932
