Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,Turbidez
2016-08-09,CTD1,4187246,695025,0.011871212,0.017018108,0.02986304,0.0152663225,0.012776079,0.003836572,10.685,6.75
2016-08-09,CTD2,4181518,693105,0.011187342,0.014958593,0.021356221,0.011859454,0.0101575,0.0029625674,11.665,4.805
2016-08-09,CTD3,4181698,695238,0.011539778,0.01602155,0.021663725,0.013131225,0.009502239,0.0026465147,11.67,3.9
2016-08-09,CTD4,4180266,698264,0.0066008605,0.007977131,0.01491048,0.008632733,0.010061306,0.0035248497,8.39,3.735
2016-08-09,CTD5,4179450,700268,0.014628638,0.022084026,0.025309712,0.0038758442,0.002545365,0.0006334726,0.29,0.13
2016-08-09,CTD6,4176009,695829,0.011078901,0.015324073,0.020862717,0.011391032,0.008812427,0.0023786572,10.59,4.245
2016-08-09,CTD7,4176724,690397,0.01708023,0.02427777,0.03388258,0.019930212,0.015453696,0.004192912,12.01,5.81
2016-08-09,CTD8,4174178,693048,0.011988711,0.017893454,0.026318263,0.013665365,0.010144189,0.002742571,13.7,6.125
2016-08-09,CTD9,4171106,693183,0.012928517,0.020150354,0.033901665,0.019126985,0.014868278,0.0042693587,,
2016-08-09,CTD10,4170388,695646,0.015663268,0.022858147,0.034458593,0.017676726,0.013919966,0.003836572,13.575,4.515
2016-08-09,CTD11,4169609,700351,0.01094066,0.014928797,0.021988535,0.013032595,0.0105254855,0.0031011244,9.47,3.705
2016-08-09,CTD12,4173438,695414,0.012918136,0.018851347,0.028665291,0.013973598,0.010406215,0.0028466766,9.215,4.285
2016-09-08,CTD1,4187246,695025,0.010501278,0.015181374,0.02591108,0.013944616,0.012372974,0.0039954428,19.44,4.905
2016-09-08,CTD2,4181518,693105,0.009650158,0.014121252,0.023299877,0.011253372,0.009141394,0.0026660874,14.445,4.115
2016-09-08,CTD3,4181698,695238,0.006855998,0.009932316,0.017883059,0.008077182,0.0068365135,0.0020796082,12.435,3.8
2016-09-08,CTD4,4180266,698264,0.012966631,0.017660758,0.0277997,0.014426392,0.011907737,0.003542112,14.875,3.87
2016-09-08,CTD5,4179450,700268,0.010412716,0.015923016,0.021197243,0.0041625625,0.002808974,0.0007008634,1.0699999999999998,0.1225
2016-09-08,CTD6,4176009,695829,0.008064865,0.011951813,0.018257344,0.009986541,0.007877458,0.0020339831,12.465,4.315
2016-09-08,CTD7,4176724,690397,0.010530928,0.015498417,0.024140554,0.011907109,0.009113863,0.0024665005,15.21,4.495
2016-09-08,CTD9,4171106,693183,0.012001819,0.018957723,0.034208126,0.019903803,0.016575772,0.004829008,,
2016-09-08,CTD10,4170388,695646,0.011428752,0.01698995,0.03016834,0.015235421,0.013176523,0.0040677916,16.795,5.045
2016-09-08,CTD11,4169609,700351,0.008660745,0.013627343,0.024214165,0.011526431,0.009552889,0.0027536445,12.41,5.805
2016-09-08,CTD12,4173438,695414,0.0088397935,0.0127709545,0.02109181,0.011288543,0.009202814,0.0027135543,13.02,4.13
2017-06-30,CTD1,4187246,695025,0.018494895,0.027963959,0.037854936,0.012755534,0.008717688,0.0020566853,1.154,3.9975
2017-06-30,CTD2,4181518,693105,0.015009199,0.023944508,0.0292766,0.0074997814,0.00454412,0.0010124714,0.777,1.6685
2017-06-30,CTD3,4181698,695238,0.017462393,0.024656076,0.02742337,0.01068209,0.0074404264,0.0018623079,1.2515,1.2595
2017-06-30,CTD4,4180266,698264,0.016311308,0.024674179,0.035139456,0.009643525,0.007396578,0.002070887,1.234,1.7815
2017-06-30,CTD5,4179450,700268,0.026004383,0.034887433,0.041541316,0.008326306,0.005490447,0.0013490054,0.3375,0.3025
2017-06-30,CTD6,4176009,695829,0.018281229,0.02786021,0.037515447,0.012025046,0.00797012,0.0018608668,1.4105,2.332
2017-06-30,CTD7,4176724,690397,0.022621773,0.03527949,0.049977317,0.016007638,0.010251057,0.0021842886,1.3625,3.7515
2017-06-30,CTD8,4174178,693048,0.016633436,0.025645155,0.035740558,0.012289939,0.008617936,0.002022327,0.843,2.0175
2017-06-30,CTD9,4171106,693183,0.024859115,0.03896329,0.058213998,0.030189162,0.021224113,0.0047391383,,
2017-06-30,CTD10,4170388,695646,0.0138291195,0.01956848,0.026090559,0.0074747507,0.0049842405,0.001236916,0.769,1.686
