Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.011450892,0.016650114,0.028876431,0.014738435,0.012411696,0.003736388,10.547,-0.269,25.429,0.061,-7.79,0.146,-20.51,0.324,-33.219,0.399,-45.939,0.086,-12.719,0.375,0.316,-0.225,-0.097,-0.592,-0.302,-0.553,-0.412,-0.765,-0.677,-0.212,-0.367,-0.45,0.046,0.097,0.486,0.525,0.051,-0.611,-0.266,-1.197,0.7,-0.618,0.831,0.547,0.892,1.214,1.441,0.455,-0.235,0.689,0.947
2016-08-09,CTD2,4181518,693105,0.011312262,0.0151770655,0.021913743,0.012872052,0.010413002,0.0029754401,11.54,-0.182,20.255,0.082,-11.799,0.186,-30.145,0.26,-32.054,0.356,-50.4,0.106,-18.346,0.261,0.211,-0.259,-0.123,-0.661,-0.388,-0.486,-0.334,-0.765,-0.649,-0.278,-0.402,-0.289,0.071,0.137,0.353,0.41,0.066,-0.544,-0.116,-0.925,0.704,-0.245,0.87,0.208,0.635,1.016,1.256,0.373,-0.099,0.756,0.929
2016-08-09,CTD3,4181698,695238,0.010668161,0.014882068,0.020655101,0.012456335,0.009467541,0.002429041,11.967,-0.162,18.781,0.089,-13.085,0.222,-38.429,0.248,-31.866,0.371,-57.21,0.136,-25.344,0.234,0.178,-0.27,-0.124,-0.794,-0.479,-0.474,-0.302,-0.851,-0.713,-0.377,-0.523,-0.263,0.081,0.164,0.337,0.409,0.084,-0.595,-0.04,-0.987,0.736,-0.086,0.969,0.072,0.628,1.022,1.345,0.379,-0.033,0.769,0.91
2016-08-09,CTD4,4180266,698264,0.008946076,0.010900615,0.01956898,0.008786617,0.010652719,0.003097792,8.42,-0.284,40.637,0.107,-22.072,0.012,-2.135,0.38,-62.708,0.295,-42.771,-0.096,19.937,0.357,0.433,-0.432,-0.235,-0.042,-0.019,-0.684,-0.668,-0.466,-0.376,0.217,0.39,-0.446,0.07,0.009,0.5,0.453,-0.061,-0.268,-0.655,-0.596,0.696,-1.204,0.574,0.97,0.583,1.25,1.031,0.262,-0.528,0.646,1.066
2016-08-09,CTD6,4176009,695829,0.010843163,0.014848155,0.020862717,0.011281502,0.008559693,0.0023239157,11.273,-0.168,19.416,0.136,-21.292,0.269,-49.478,0.298,-40.708,0.418,-68.894,0.137,-28.186,0.219,0.166,-0.444,-0.182,-1.032,-0.558,-0.604,-0.348,-1.023,-0.777,-0.419,-0.588,-0.303,0.121,0.196,0.409,0.471,0.076,-0.606,-0.047,-1.121,0.906,-0.115,1.194,0.087,0.646,1.273,1.678,0.35,-0.036,0.732,0.915
2016-08-09,CTD7,4176724,690397,0.01374942,0.019918298,0.030750453,0.018626811,0.014427495,0.0040650438,12.67,-0.214,17.685,0.034,-3.481,0.16,-19.107,0.246,-21.166,0.361,-36.792,0.127,-15.626,0.329,0.255,-0.107,-0.05,-0.588,-0.356,-0.422,-0.305,-0.733,-0.685,-0.311,-0.481,-0.328,0.029,0.111,0.353,0.423,0.083,-0.643,-0.127,-1.062,0.6,-0.27,0.775,0.253,0.769,0.927,1.196,0.466,-0.119,0.761,0.915
2016-08-09,CTD8,4174178,693048,0.010365723,0.015665445,0.025279175,0.012241106,0.009683657,0.0025866001,13.84,-0.235,24.277,0.123,-17.857,0.236,-39.432,0.347,-42.134,0.446,-63.709,0.117,-21.575,0.297,0.235,-0.451,-0.173,-0.997,-0.483,-0.66,-0.408,-0.998,-0.78,-0.338,-0.545,-0.438,0.098,0.159,0.514,0.559,0.062,-0.644,-0.171,-1.331,0.897,-0.447,1.133,0.35,0.823,1.447,1.829,0.398,-0.134,0.682,0.932
2016-08-09,CTD9,4171106,693183,0.012928517,0.020150354,0.033901665,0.0199778,0.015860243,0.004318023,3.66,-0.254,20.13,0.004,-0.429,0.119,-13.424,0.258,-20.558,0.363,-33.554,0.115,-12.995,0.402,0.319,-0.015,-0.007,-0.455,-0.268,-0.414,-0.326,-0.676,-0.67,-0.262,-0.441,-0.384,0.003,0.08,0.387,0.45,0.076,-0.665,-0.2,-1.129,0.541,-0.426,0.681,0.423,0.889,0.91,1.146,0.524,-0.198,0.742,0.924
2016-08-09,CTD10,4170388,695646,0.016081367,0.022904217,0.03427543,0.017676726,0.013987463,0.0038934108,12.667,-0.199,14.485,0.129,-12.911,0.242,-27.833,0.319,-27.396,0.42,-42.317,0.117,-14.921,0.256,0.203,-0.443,-0.181,-0.954,-0.492,-0.627,-0.383,-0.969,-0.748,-0.342,-0.511,-0.359,0.108,0.172,0.45,0.5,0.065,-0.596,-0.123,-1.155,0.888,-0.302,1.122,0.233,0.705,1.328,1.679,0.364,-0.095,0.71,0.929
2016-08-09,CTD11,4169609,700351,0.010719227,0.014928797,0.02249028,0.012713011,0.010645811,0.0031111392,9.49,-0.202,22.521,0.08,-11.675,0.167,-26.949,0.278,-34.196,0.357,-49.47,0.088,-15.274,0.286,0.24,-0.263,-0.124,-0.606,-0.343,-0.511,-0.364,-0.739,-0.629,-0.228,-0.344,-0.324,0.067,0.122,0.382,0.428,0.055,-0.53,-0.174,-0.938,0.701,-0.367,0.837,0.312,0.669,1.056,1.261,0.378,-0.148,0.739,0.941
2016-08-09,CTD12,4173438,695414,0.012282886,0.017912947,0.025043517,0.013250319,0.009861297,0.0026396925,9.643,-0.166,15.895,0.15,-19.644,0.29,-45.581,0.308,-35.539,0.435,-61.476,0.147,-25.937,0.211,0.157,-0.492,-0.194,-1.142,-0.604,-0.637,-0.35,-1.101,-0.815,-0.465,-0.65,-0.309,0.134,0.21,0.425,0.487,0.079,-0.628,-0.029,-1.188,0.958,-0.074,1.287,0.054,0.654,1.34,1.8,0.346,-0.021,0.725,0.911
2016-09-08,CTD1,4187246,695025,0.0112527935,0.016315356,0.027374579,0.014725516,0.012372974,0.0038814612,20.69,-0.253,24.762,0.051,-6.617,0.137,-19.529,0.3,-31.379,0.377,-44.291,0.087,-12.912,0.365,0.306,-0.181,-0.082,-0.535,-0.288,-0.512,-0.388,-0.723,-0.652,-0.211,-0.353,-0.408,0.04,0.094,0.441,0.483,0.054,-0.594,-0.244,-1.104,0.656,-0.54,0.781,0.488,0.838,1.101,1.31,0.451,-0.22,0.71,0.944
2016-09-08,CTD2,4181518,693105,0.009650158,0.014231543,0.023093492,0.011253372,0.008694133,0.0026543294,15.453,-0.237,26.964,0.117,-18.596,0.242,-44.754,0.345,-45.56,0.453,-71.718,0.128,-26.158,0.303,0.234,-0.429,-0.162,-1.034,-0.504,-0.648,-0.396,-1.021,-0.807,-0.372,-0.604,-0.444,0.094,0.161,0.516,0.565,0.069,-0.678,-0.156,-1.392,0.888,-0.415,1.15,0.328,0.85,1.441,1.865,0.414,-0.124,0.683,0.925
2016-09-08,CTD3,4181698,695238,0.0101938695,0.014533129,0.023435911,0.011002682,0.008926009,0.0026818323,12.993,-0.234,26.139,0.138,-22.079,0.239,-43.224,0.361,-48.217,0.448,-69.363,0.104,-21.145,0.288,0.233,-0.517,-0.197,-1.013,-0.476,-0.701,-0.43,-1.008,-0.763,-0.307,-0.496,-0.447,0.109,0.163,0.53,0.568,0.055,-0.613,-0.191,-1.305,0.94,-0.502,1.159,0.38,0.801,1.516,1.868,0.376,-0.145,0.673,0.94
2016-09-08,CTD4,4180266,698264,0.011174908,0.015678689,0.023385717,0.013115406,0.010515221,0.0029926745,14.823,-0.197,21.02,0.089,-12.465,0.197,-31.319,0.281,-33.485,0.38,-52.339,0.11,-18.854,0.276,0.221,-0.292,-0.131,-0.732,-0.411,-0.525,-0.352,-0.821,-0.686,-0.296,-0.441,-0.326,0.076,0.141,0.392,0.447,0.067,-0.577,-0.131,-1.029,0.746,-0.292,0.93,0.244,0.69,1.112,1.387,0.387,-0.11,0.737,0.929
2016-09-08,CTD6,4176009,695829,0.008081603,0.011983866,0.018918298,0.009986541,0.007986565,0.0022260717,13.47,-0.224,30.587,0.091,-16.689,0.2,-41.765,0.309,-47.276,0.406,-72.351,0.111,-25.076,0.305,0.244,-0.316,-0.133,-0.79,-0.417,-0.567,-0.378,-0.867,-0.723,-0.301,-0.474,-0.386,0.074,0.138,0.447,0.498,0.065,-0.617,-0.166,-1.169,0.778,-0.394,0.973,0.328,0.779,1.228,1.535,0.411,-0.139,0.711,0.931
2016-09-08,CTD7,4176724,690397,0.010858353,0.016035022,0.026137542,0.01295801,0.010301453,0.0029401497,16.1,-0.24,24.104,0.106,-14.809,0.218,-34.71,0.337,-38.913,0.435,-58.815,0.114,-19.901,0.312,0.248,-0.387,-0.153,-0.907,-0.45,-0.624,-0.401,-0.943,-0.762,-0.319,-0.52,-0.434,0.084,0.147,0.5,0.546,0.063,-0.644,-0.182,-1.3,0.843,-0.461,1.061,0.372,0.835,1.375,1.729,0.414,-0.147,0.687,0.932
2016-09-08,CTD9,4171106,693183,0.011051146,0.017641466,0.032649264,0.018707886,0.015915604,0.00476999,3.8,-0.298,26.056,-0.029,3.231,0.051,-6.147,0.271,-22.825,0.345,-32.203,0.081,-9.378,0.487,0.415,0.105,0.051,-0.201,-0.115,-0.403,-0.363,-0.568,-0.602,-0.165,-0.306,-0.433,-0.022,0.034,0.415,0.46,0.056,-0.635,-0.31,-1.108,0.456,-0.637,0.535,0.675,1.0,0.843,0.991,0.573,-0.329,0.723,0.946
2016-09-08,CTD10,4170388,695646,0.01156208,0.01746374,0.030537806,0.01607168,0.013656444,0.004160665,16.087,-0.272,24.515,0.042,-4.96,0.122,-15.964,0.31,-29.475,0.382,-40.479,0.081,-11.004,0.394,0.335,-0.151,-0.068,-0.488,-0.257,-0.515,-0.403,-0.707,-0.651,-0.192,-0.336,-0.44,0.031,0.082,0.465,0.503,0.05,-0.605,-0.278,-1.15,0.639,-0.621,0.753,0.572,0.899,1.118,1.316,0.473,-0.256,0.699,0.948
2016-09-08,CTD11,4169609,700351,0.008577385,0.013493271,0.024008509,0.01182655,0.009540207,0.0026504197,13.64,-0.28,32.459,0.066,-10.444,0.172,-30.709,0.34,-42.904,0.431,-63.168,0.107,-20.264,0.384,0.31,-0.251,-0.1,-0.737,-0.363,-0.579,-0.409,-0.852,-0.747,-0.273,-0.487,-0.492,0.05,0.11,0.529,0.571,0.061,-0.678,-0.245,-1.376,0.744,-0.616,0.922,0.54,0.973,1.323,1.64,0.479,-0.214,0.675,0.936
2016-09-08,CTD12,4173438,695414,0.0082847625,0.012268295,0.020804148,0.010759835,0.008926009,0.0025846865,13.523,-0.258,33.444,0.066,-11.427,0.158,-30.521,0.318,-44.871,0.4,-63.965,0.093,-19.094,0.36,0.299,-0.238,-0.102,-0.635,-0.328,-0.55,-0.401,-0.785,-0.688,-0.234,-0.397,-0.434,0.051,0.106,0.474,0.516,0.055,-0.616,-0.24,-1.191,0.711,-0.559,0.857,0.49,0.866,1.206,1.454,0.448,-0.21,0.696,0.942
2017-06-30,CTD1,4187246,695025,0.020357018,0.029518683,0.037854936,0.013071979,0.008717688,0.0020231022,1.003,-0.124,7.46,0.386,-42.623,0.544,-80.832,0.487,-50.083,0.626,-88.293,0.2,-38.21,0.098,0.065,-1.613,-0.372,-3.06,-1.057,-1.478,-0.437,-2.606,-1.154,-1.128,-1.446,-0.383,0.353,0.408,0.648,0.684,0.065,-0.72,0.113,-2.084,2.028,0.49,3.041,-0.217,0.616,2.601,3.899,0.213,0.05,0.632,0.914
2017-06-30,CTD2,4181518,693105,0.01648207,0.025398772,0.031188054,0.0077052345,0.0051243957,0.0011925652,0.647,-0.102,7.308,0.534,-90.41,0.664,-155.773,0.604,-97.718,0.718,-163.081,0.201,-65.363,0.056,0.037,-2.82,-0.463,-4.858,-1.2,-2.482,-0.501,-4.142,-1.257,-1.66,-2.039,-0.451,0.487,0.521,0.769,0.787,0.046,-0.689,0.149,-2.79,3.132,0.909,4.709,-0.276,0.563,3.846,5.783,0.139,0.045,0.585,0.934
