Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,dif_norm_rtoa_B2_B3,dif_inv_rtoa_B2_B3,dif_norm_rtoa_B2_B4,dif_inv_rtoa_B2_B4,dif_norm_rtoa_B2_B5,dif_inv_rtoa_B2_B5,dif_norm_rtoa_B3_B4,dif_inv_rtoa_B3_B4,dif_norm_rtoa_B3_B5,dif_inv_rtoa_B3_B5,dif_norm_rtoa_B4_B5,dif_inv_rtoa_B4_B5,dall_gitelson_rtoa_B2_B3_B4,dall_gitelson_rtoa_B2_B3_B5,dall_gitelson_rtoa_B2_B4_B3,dall_gitelson_rtoa_B2_B4_B5,dall_gitelson_rtoa_B2_B5_B3,dall_gitelson_rtoa_B2_B5_B4,dall_gitelson_rtoa_B3_B4_B2,dall_gitelson_rtoa_B3_B4_B5,dall_gitelson_rtoa_B3_B5_B2,dall_gitelson_rtoa_B3_B5_B4,dall_gitelson_rtoa_B4_B5_B2,dall_gitelson_rtoa_B4_B5_B3,dif_norm_4_bands_rtoa_B2_B3_B4_B5,dif_norm_4_bands_rtoa_B2_B4_B3_B5,dif_norm_4_bands_rtoa_B2_B5_B3_B4,dif_norm_4_bands_rtoa_B3_B4_B2_B5,dif_norm_4_bands_rtoa_B3_B5_B2_B4,dif_norm_4_bands_rtoa_B4_B5_B2_B3,dif_rel_4bands_rtoa_B2_B3_B4_B5,dif_rel_4bands_rtoa_B2_B3_B5_B4,dif_rel_4bands_rtoa_B2_B4_B3_B5,dif_rel_4bands_rtoa_B2_B4_B5_B3,dif_rel_4bands_rtoa_B2_B5_B3_B4,dif_rel_4bands_rtoa_B2_B5_B4_B3,dif_rel_4bands_rtoa_B3_B2_B4_B5,dif_rel_4bands_rtoa_B3_B2_B5_B4,dif_rel_4bands_rtoa_B3_B4_B5_B2,dif_rel_4bands_rtoa_B3_B5_B4_B2,dif_rel_4bands_rtoa_B4_B2_B5_B3,dif_rel_4bands_rtoa_B4_B3_B5_B2,sum_norm_3bands_rtoa_B2_B4_B3,sum_norm_3bands_rtoa_B3_B5_B4,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.1166,0.0873,0.0713,0.0425,0.0373,0.0259,0.024,0.0213,0.0194,0.0065,0.0005,0.0089,0.0075,0.00548488,0.014068826,0.038568657,0.018638626,0.018126449,0.005038069,0.0049259397,0.0018441271,0.0054107076,0.014162022,0.03925518,0.019008828,0.016972704,0.0054074237,10.09,0.101,-2.57,0.345,-12.075,0.401,-15.355,0.253,-9.504,0.313,-12.784,0.065,-3.28,-0.109,-0.096,-0.861,-0.45,-1.095,-0.653,-0.83,-0.355,-1.116,-0.543,-0.286,-0.234,0.201,0.413,0.439,0.231,0.262,0.033,0.085,0.347,0.143,1.531,0.663,1.744,-0.323,-0.061,1.25,1.425,-0.036,0.169,0.818,0.954,-0.465,45.151,-0.14,17.427,-0.126,15.911,0.348,-27.724,0.361,-29.24,0.014,-1.516,0.842,0.818,0.672,0.316,0.614,0.297,-0.39,-0.503,-0.411,-0.545,-0.021,-0.058,-0.666,-0.081,-0.071,0.619,0.625,0.01,-0.663,-0.608,-1.373,0.285,-1.293,0.293,1.713,1.769,0.781,0.803,0.855,-0.805,0.621,0.991,-0.47,45.137,-0.146,18.004,-0.09,11.693,0.347,-27.133,0.396,-33.444,0.057,-6.311,0.858,0.766,0.707,0.306,0.459,0.222,-0.384,-0.461,-0.474,-0.636,-0.089,-0.248,-0.697,-0.086,-0.048,0.65,0.672,0.038,-0.759,-0.532,-1.568,0.313,-1.231,0.35,1.652,1.879,0.867,0.971,0.91,-0.714,0.621,0.965
2016-08-09,CTD2,4181518,693105,0.1218,0.0929,0.0692,0.0473,0.0417,0.0341,0.0324,0.0278,0.0278,0.0088,0.0007,0.0182,0.0145,0.007742479,0.012539335,0.02057884,0.010966365,0.010584949,0.003443368,0.0033984997,0.0013566196,0.0077155055,0.012348487,0.020635728,0.011002682,0.0101308925,0.0034576727,11.205,0.146,-3.687,0.325,-10.377,0.38,-13.217,0.188,-6.691,0.248,-9.53,0.063,-2.839,-0.174,-0.154,-0.718,-0.433,-0.915,-0.625,-0.622,-0.279,-0.885,-0.451,-0.264,-0.196,0.266,0.411,0.439,0.163,0.196,0.035,0.208,0.461,0.305,1.361,0.765,1.544,-0.389,-0.137,1.014,1.15,-0.093,0.235,0.865,0.952,-0.243,31.155,0.067,-11.439,0.085,-14.725,0.305,-42.594,0.321,-45.88,0.018,-3.286,0.342,0.33,-0.235,-0.121,-0.303,-0.161,-0.534,-0.451,-0.575,-0.503,-0.041,-0.068,-0.373,0.05,0.062,0.416,0.425,0.012,-0.427,-0.356,-0.801,0.629,-0.692,0.652,0.605,0.676,1.032,1.07,0.36,-0.311,0.71,0.988,-0.251,32.522,0.058,-9.905,0.099,-17.726,0.304,-42.427,0.341,-50.248,0.041,-7.821,0.358,0.329,-0.204,-0.1,-0.366,-0.195,-0.524,-0.43,-0.62,-0.553,-0.097,-0.161,-0.392,0.044,0.07,0.429,0.45,0.026,-0.488,-0.322,-0.915,0.631,-0.657,0.686,0.585,0.75,1.055,1.146,0.4,-0.287,0.708,0.972
2016-08-09,CTD3,4181698,695238,0.1208,0.0923,0.0692,0.0474,0.0416,0.034,0.0333,0.0294,0.0293,0.0088,0.0007,0.0188,0.0145,0.013700734,0.01917735,0.028220039,0.012217348,0.0123006515,0.0037960047,0.0037253227,0.0014636529,0.013448065,0.018851347,0.028354988,0.01217747,0.011191441,0.0038103536,12.075,0.143,-3.617,0.321,-10.263,0.379,-13.204,0.187,-6.646,0.249,-9.588,0.065,-2.941,-0.171,-0.15,-0.71,-0.427,-0.914,-0.626,-0.613,-0.276,-0.885,-0.454,-0.271,-0.204,0.26,0.405,0.435,0.163,0.198,0.036,0.194,0.456,0.284,1.346,0.759,1.534,-0.39,-0.128,1.009,1.15,-0.088,0.234,0.865,0.95,-0.191,16.709,0.222,-29.706,0.218,-29.152,0.396,-46.415,0.393,-45.861,-0.003,0.554,0.204,0.206,-0.838,-0.365,-0.823,-0.356,-0.89,-0.571,-0.879,-0.56,0.011,0.016,-0.369,0.172,0.17,0.508,0.507,-0.002,-0.314,-0.327,-0.725,1.134,-0.751,1.126,0.478,0.465,1.668,1.657,0.201,-0.208,0.662,1.002,-0.201,17.779,0.215,-29.072,0.255,-36.307,0.399,-46.852,0.434,-54.087,0.042,-7.235,0.217,0.199,-0.824,-0.325,-1.029,-0.442,-0.883,-0.524,-1.02,-0.659,-0.136,-0.205,-0.407,0.169,0.189,0.538,0.553,0.021,-0.423,-0.254,-0.986,1.153,-0.644,1.255,0.416,0.585,1.735,1.888,0.251,-0.164,0.657,0.976
2016-08-09,CTD4,4180266,698264,0.1283,0.0901,0.066,0.0422,0.042,0.0314,0.0309,0.0277,0.0273,0.0107,0.0005,0.0195,0.0145,0.0040911026,0.006785014,0.015658265,0.009603352,0.0144297965,0.005026113,0.005055509,0.0019813834,0.0041302927,0.006492031,0.016038617,0.010661883,0.012685243,0.0053100353,8.84,0.154,-4.053,0.362,-12.598,0.364,-12.711,0.22,-8.545,0.222,-8.658,0.002,-0.113,-0.171,-0.17,-0.831,-0.529,-0.839,-0.536,-0.77,-0.359,-0.78,-0.365,-0.01,-0.007,0.286,0.444,0.445,0.18,0.181,0.001,0.36,0.37,0.564,1.499,0.581,1.506,-0.272,-0.263,1.098,1.103,-0.168,0.173,0.848,0.998,-0.395,83.52,-0.172,43.253,-0.36,78.083,0.24,-40.266,0.041,-5.437,-0.201,34.829,0.802,1.205,0.677,0.624,1.223,0.75,-0.273,-0.581,-0.037,-0.052,0.236,0.545,-0.369,-0.094,-0.303,0.285,0.075,-0.215,-0.232,-1.069,-0.379,-0.215,-1.16,-0.143,1.642,0.805,-0.496,-0.33,0.494,-1.513,0.73,1.191,-0.424,91.685,-0.243,60.243,-0.323,75.203,0.201,-31.443,0.117,-16.482,-0.087,14.96,0.978,1.163,0.966,0.764,1.206,0.802,-0.204,-0.399,-0.107,-0.176,0.097,0.24,-0.409,-0.145,-0.232,0.28,0.195,-0.09,-0.436,-0.785,-0.655,-0.182,-0.993,-0.153,1.63,1.281,-0.45,-0.378,0.851,-1.289,0.761,1.076
2016-08-09,CTD6,4176009,695829,0.1171,0.0884,0.0658,0.0413,0.0349,0.028,0.0262,0.0243,0.0223,0.0067,0.0006,0.0129,0.0096,0.007210639,0.013782662,0.024519771,0.009232115,0.007959064,0.0023268962,0.0022867022,0.000907675,0.0071628513,0.013674915,0.024637235,0.009277159,0.007686844,0.0023546845,12.15,0.147,-3.885,0.363,-12.901,0.434,-17.341,0.229,-9.016,0.307,-13.456,0.084,-4.44,-0.16,-0.136,-0.849,-0.45,-1.141,-0.716,-0.797,-0.315,-1.189,-0.556,-0.393,-0.292,0.297,0.468,0.5,0.199,0.238,0.042,0.16,0.498,0.255,1.61,0.94,1.905,-0.439,-0.101,1.198,1.418,-0.063,0.233,0.841,0.94,-0.28,31.772,0.198,-35.763,0.268,-53.088,0.453,-67.534,0.51,-84.859,0.074,-17.325,0.293,0.253,-0.877,-0.285,-1.302,-0.49,-0.931,-0.538,-1.17,-0.783,-0.239,-0.425,-0.625,0.14,0.173,0.703,0.72,0.033,-0.598,-0.3,-1.588,1.168,-0.924,1.355,0.619,0.917,2.078,2.411,0.345,-0.201,0.601,0.962,-0.286,32.538,0.192,-34.665,0.28,-56.966,0.453,-67.203,0.524,-89.503,0.094,-22.301,0.302,0.25,-0.854,-0.266,-1.403,-0.528,-0.919,-0.517,-1.224,-0.83,-0.305,-0.549,-0.646,0.136,0.177,0.719,0.739,0.042,-0.652,-0.274,-1.731,1.162,-0.877,1.402,0.595,0.973,2.094,2.527,0.366,-0.186,0.599,0.953
2016-08-09,CTD7,4176724,690397,0.1219,0.0958,0.075,0.0522,0.0456,0.0357,0.0364,0.0315,0.0308,0.0088,0.0007,0.0199,0.0155,0.01777906,0.026177911,0.04268131,0.01965066,0.019480065,0.0059345476,0.0057872445,0.0022389037,0.017369527,0.025868105,0.04330116,0.019877417,0.018144837,0.005959615,13.535,0.122,-2.895,0.295,-8.719,0.355,-11.491,0.179,-5.824,0.244,-8.596,0.067,-2.773,-0.151,-0.132,-0.654,-0.398,-0.862,-0.6,-0.558,-0.266,-0.824,-0.449,-0.266,-0.208,0.213,0.362,0.395,0.161,0.199,0.039,0.133,0.404,0.191,1.227,0.664,1.405,-0.362,-0.091,0.961,1.1,-0.063,0.22,0.867,0.948,-0.24,14.771,0.142,-12.689,0.147,-13.134,0.369,-27.459,0.373,-27.905,0.004,-0.446,0.29,0.288,-0.542,-0.247,-0.561,-0.258,-0.719,-0.535,-0.73,-0.548,-0.012,-0.019,-0.422,0.105,0.107,0.504,0.506,0.002,-0.395,-0.378,-0.859,0.876,-0.828,0.883,0.622,0.639,1.428,1.44,0.294,-0.284,0.666,0.997,-0.252,15.564,0.131,-11.651,0.175,-16.454,0.371,-27.214,0.409,-32.018,0.046,-4.804,0.309,0.282,-0.504,-0.211,-0.712,-0.327,-0.704,-0.494,-0.828,-0.636,-0.124,-0.208,-0.458,0.097,0.122,0.532,0.55,0.025,-0.498,-0.315,-1.085,0.882,-0.753,0.967,0.578,0.761,1.477,1.618,0.349,-0.242,0.661,0.973
2016-08-09,CTD8,4174178,693048,0.1178,0.0893,0.0706,0.0414,0.0333,0.0248,0.0238,0.0221,0.0195,0.0069,0.0005,0.01,0.0081,0.012984775,0.022541858,0.039593555,0.0155253755,0.0137127405,0.0039096368,0.0038120437,0.0014751791,0.012749432,0.02235528,0.03988272,0.0155733125,0.013011256,0.003912055,14.34,0.117,-2.966,0.366,-12.956,0.457,-18.832,0.261,-9.99,0.359,-15.866,0.108,-5.875,-0.123,-0.099,-0.915,-0.431,-1.33,-0.78,-0.892,-0.333,-1.417,-0.657,-0.525,-0.415,0.25,0.461,0.5,0.238,0.285,0.051,0.022,0.461,0.037,1.685,0.976,2.095,-0.453,-0.014,1.332,1.657,-0.008,0.214,0.817,0.928,-0.274,19.105,0.184,-20.049,0.244,-28.563,0.437,-39.154,0.486,-47.668,0.062,-8.514,0.297,0.262,-0.794,-0.275,-1.131,-0.443,-0.883,-0.537,-1.075,-0.74,-0.192,-0.337,-0.583,0.132,0.16,0.664,0.68,0.029,-0.563,-0.314,-1.435,1.106,-0.906,1.252,0.624,0.873,1.942,2.199,0.342,-0.216,0.613,0.967,-0.282,19.659,0.179,-19.48,0.264,-32.124,0.438,-39.139,0.508,-51.783,0.09,-12.644,0.306,0.256,-0.777,-0.253,-1.281,-0.5,-0.875,-0.509,-1.158,-0.806,-0.283,-0.504,-0.613,0.128,0.168,0.687,0.708,0.041,-0.636,-0.275,-1.63,1.109,-0.843,1.328,0.587,0.949,1.979,2.369,0.37,-0.192,0.609,0.954
2016-08-09,CTD9,4171106,693183,0.123,0.0966,0.0838,0.0565,0.049,0.0373,0.0354,0.0302,0.0315,0.0093,0.0005,0.0215,0.0168,0.0035206291,0.012621457,0.045291834,0.02219395,0.018030316,0.004520993,0.0043694563,0.0016078596,0.0034723182,0.0134501215,0.045935716,0.021515785,0.017419849,0.005007605,3.66,0.071,-1.581,0.262,-7.347,0.327,-10.056,0.195,-5.766,0.262,-8.475,0.071,-2.709,-0.089,-0.077,-0.616,-0.36,-0.843,-0.568,-0.557,-0.283,-0.819,-0.479,-0.262,-0.227,0.121,0.302,0.339,0.187,0.227,0.042,-0.0,0.285,-0.0,1.125,0.488,1.297,-0.286,0.0,0.976,1.125,0.0,0.167,0.849,0.947,-0.564,57.151,-0.275,34.173,-0.176,23.768,0.342,-22.978,0.431,-33.383,0.104,-10.405,1.268,1.03,1.548,0.616,1.076,0.528,-0.29,-0.414,-0.421,-0.741,-0.131,-0.471,-0.812,-0.151,-0.08,0.754,0.783,0.072,-0.952,-0.534,-1.943,0.171,-1.341,0.21,2.358,2.776,0.612,0.754,1.36,-0.939,0.601,0.938,-0.547,52.579,-0.231,27.871,-0.129,16.943,0.362,-24.708,0.45,-35.636,0.105,-10.928,1.131,0.916,1.28,0.486,0.778,0.365,-0.332,-0.43,-0.479,-0.767,-0.147,-0.502,-0.834,-0.127,-0.059,0.791,0.816,0.069,-0.942,-0.517,-2.012,0.246,-1.363,0.304,2.18,2.606,0.84,1.037,1.22,-0.827,0.589,0.939
2016-08-09,CTD10,4170388,695646,0.1199,0.0915,0.0745,0.0488,0.0402,0.0324,0.0326,0.0281,0.0266,0.0084,0.0006,0.0167,0.0131,0.012511696,0.020498855,0.03679708,0.018572835,0.017491495,0.0052627916,0.0051411605,0.0019936734,0.012316268,0.020298984,0.037178066,0.018702812,0.016661331,0.005308367,14.125,0.102,-2.494,0.304,-9.563,0.39,-13.947,0.208,-7.069,0.299,-11.453,0.097,-4.384,-0.122,-0.1,-0.712,-0.384,-1.039,-0.681,-0.647,-0.284,-1.048,-0.559,-0.401,-0.327,0.191,0.372,0.416,0.195,0.244,0.052,0.014,0.404,0.022,1.335,0.749,1.621,-0.4,-0.01,1.087,1.32,-0.006,0.216,0.845,0.93,-0.284,21.607,0.049,-5.059,0.079,-8.387,0.329,-26.666,0.356,-29.995,0.03,-3.329,0.401,0.378,-0.186,-0.088,-0.309,-0.156,-0.547,-0.466,-0.615,-0.557,-0.068,-0.122,-0.452,0.035,0.054,0.48,0.494,0.019,-0.505,-0.385,-1.0,0.628,-0.809,0.667,0.733,0.853,1.128,1.198,0.431,-0.349,0.682,0.98,-0.294,22.366,0.041,-4.204,0.098,-10.756,0.331,-26.57,0.381,-33.122,0.058,-6.551,0.418,0.373,-0.156,-0.07,-0.4,-0.201,-0.539,-0.443,-0.672,-0.619,-0.133,-0.244,-0.477,0.03,0.065,0.5,0.526,0.036,-0.577,-0.345,-1.146,0.637,-0.77,0.715,0.709,0.941,1.167,1.31,0.473,-0.318,0.679,0.963
2016-08-09,CTD11,4169609,700351,0.1245,0.0924,0.0732,0.0491,0.0401,0.0323,0.0318,0.0273,0.0287,0.0093,0.0005,0.0185,0.0147,0.005541958,0.0131924,0.033155058,0.014334279,0.014070129,0.0038181085,0.00374545,0.0014058381,0.0054814043,0.013162714,0.033654135,0.014755674,0.0129391765,0.004062297,9.89,0.116,-2.839,0.306,-9.544,0.395,-14.115,0.197,-6.705,0.292,-11.276,0.101,-4.571,-0.139,-0.114,-0.699,-0.383,-1.033,-0.693,-0.62,-0.269,-1.042,-0.554,-0.422,-0.335,0.215,0.382,0.428,0.182,0.234,0.054,0.038,0.446,0.056,1.334,0.813,1.633,-0.432,-0.024,1.057,1.294,-0.016,0.237,0.854,0.926,-0.431,45.64,-0.041,6.038,-0.032,4.729,0.396,-39.602,0.404,-40.911,0.009,-1.31,0.654,0.642,0.2,0.085,0.157,0.068,-0.522,-0.557,-0.54,-0.586,-0.017,-0.043,-0.703,-0.024,-0.018,0.69,0.693,0.006,-0.621,-0.584,-1.436,0.496,-1.375,0.505,1.494,1.532,1.246,1.27,0.662,-0.634,0.594,0.994,-0.438,46.258,-0.057,8.202,0.009,-1.312,0.39,-38.057,0.445,-47.571,0.066,-9.514,0.683,0.599,0.276,0.106,-0.044,-0.019,-0.501,-0.492,-0.626,-0.702,-0.125,-0.32,-0.74,-0.034,0.005,0.724,0.742,0.039,-0.749,-0.486,-1.709,0.508,-1.263,0.579,1.416,1.68,1.298,1.48,0.737,-0.545,0.596,0.962
