Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl
2016-08-09,CTD1,4187246,695025,0.1166,0.088,0.0713,0.0427,0.0373,0.0259,0.024,0.0213,0.0194,0.0065,0.0005,0.0092,0.0075,0.005731157,0.014207409,0.038568657,0.018638626,0.0170158,0.004787862,0.0046895384,0.0018007173,0.0056829103,0.014454156,0.039117813,0.019008828,0.01605457,0.0049948087,10.865
2016-08-09,CTD2,4181518,693105,0.1218,0.0926,0.0705,0.0474,0.0417,0.0341,0.0324,0.0287,0.028,0.0088,0.0007,0.0175,0.0145,0.0061484445,0.011972377,0.023884796,0.011033784,0.010584949,0.003230629,0.0031829225,0.0012446915,0.0061178263,0.011799649,0.024192063,0.011337929,0.0101308925,0.003347566,11.75
2016-08-09,CTD3,4181698,695238,0.1208,0.0931,0.0698,0.0482,0.0416,0.0344,0.0333,0.03,0.0293,0.0088,0.0007,0.0188,0.0145,0.0062793368,0.012703992,0.024710445,0.012148,0.011127428,0.0034067265,0.003342095,0.0013201119,0.006240739,0.012703475,0.024764562,0.01212898,0.010621661,0.003402267,12.155
2016-08-09,CTD4,4180266,698264,0.1283,0.0901,0.0666,0.043,0.042,0.0314,0.0309,0.0277,0.0273,0.0107,0.0005,0.0195,0.0145,0.0036118168,0.006785014,0.015658265,0.009603352,0.01290134,0.003911526,0.0039216955,0.0015820895,0.0036397362,0.006492031,0.016038617,0.010661883,0.012085402,0.0041480972,8.03
2016-08-09,CTD6,4176009,695829,0.1171,0.0881,0.0651,0.0413,0.0349,0.028,0.0259,0.0243,0.0221,0.007,0.0006,0.0129,0.0096,0.0065942276,0.012779382,0.024055956,0.009152798,0.007927722,0.002314353,0.0022753547,0.0009009904,0.006558838,0.012684781,0.024236284,0.009220223,0.007660309,0.0023520337,11.08
2016-08-09,CTD7,4176724,690397,0.1219,0.0953,0.0755,0.0527,0.0456,0.0357,0.0359,0.0315,0.0306,0.0088,0.0007,0.0193,0.0155,0.013368423,0.021022636,0.0364347,0.01902283,0.018591052,0.0057212044,0.0055950857,0.0021801041,0.01312339,0.020781763,0.036852933,0.019121837,0.017680854,0.0057473877,12.465
2016-08-09,CTD8,4174178,693048,0.1178,0.0891,0.0695,0.0414,0.0359,0.0272,0.0245,0.0225,0.0224,0.0069,0.0005,0.0117,0.0085,0.0077019064,0.01676312,0.03372512,0.012039777,0.009535782,0.0026410918,0.0025738513,0.0010092695,0.0076012104,0.016859,0.033768218,0.012039851,0.00941098,0.0026996378,13.48
2016-08-09,CTD9,4171106,693183,0.123,0.0984,0.0846,0.0574,0.0497,0.0373,0.0354,0.0313,0.0315,0.0093,0.0005,0.0215,0.0162,0.006087794,0.016020028,0.040854033,0.02219395,0.019630406,0.005633065,0.0055235513,0.0021086298,0.005984252,0.016306255,0.041706342,0.02168231,0.01886277,0.0059794937,3.66
2016-08-09,CTD10,4170388,695646,0.1199,0.0925,0.0743,0.0492,0.0411,0.0326,0.033,0.0283,0.0267,0.0084,0.0006,0.0167,0.0137,0.013091566,0.021001317,0.036947016,0.018572835,0.017491495,0.0052627916,0.0051411605,0.0019936734,0.012876673,0.0208034,0.037351605,0.018702812,0.016661331,0.005308367,10.3
2016-08-09,CTD11,4169609,700351,0.1245,0.0924,0.0732,0.0491,0.0413,0.0345,0.0337,0.0273,0.0299,0.0093,0.0005,0.0196,0.016,0.0043315855,0.009476996,0.026094498,0.012157884,0.011369099,0.003227481,0.0032065627,0.0012303779,0.004356719,0.009389774,0.02679436,0.012237355,0.010907218,0.0035015282,9.11
