Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Band_15,Band_16,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.0052005947,0.013410497,0.03882319,0.018118074,0.016688893,0.004677169,0.0046108766,0.0017311114,0.0051188963,0.014007589,0.03925518,0.018299803,0.01568579,0.0049804403,0.39711028,0.0,10.09,-0.487,48.811,-0.149,19.375,-0.109,14.648,0.364,-29.436,0.399,-34.162,0.041,-4.727,0.884,0.815,0.752,0.323,0.569,0.265,-0.395,-0.491,-0.458,-0.619,-0.063,-0.184,-0.73,-0.085,-0.058,0.688,0.702,0.027,-0.74,-0.576,-1.586,0.31,-1.339,0.337,1.809,1.974,0.898,0.975,0.921,-0.778,0.604,0.975,-0.474,45.916,-0.133,16.744,-0.057,7.638,0.364,-29.171,0.429,-38.278,0.077,-9.107,0.84,0.72,0.657,0.263,0.3,0.14,-0.409,-0.458,-0.536,-0.7,-0.128,-0.357,-0.743,-0.078,-0.029,0.706,0.73,0.049,-0.81,-0.5,-1.737,0.366,-1.252,0.427,1.636,1.945,1.025,1.196,0.907,-0.654,0.607,0.955
2016-08-09,CTD2,4181518,693105,0.0075086737,0.012640179,0.024071565,0.011437364,0.011036844,0.003377025,0.0033338764,0.001304955,0.0074771727,0.012458536,0.024428671,0.011576632,0.0104265865,0.0034576727,0.5282901,0.0,11.205,-0.311,37.57,0.05,-8.32,0.068,-11.493,0.356,-45.89,0.371,-49.063,0.018,-3.173,0.43,0.415,-0.2,-0.092,-0.277,-0.131,-0.58,-0.506,-0.62,-0.561,-0.04,-0.076,-0.509,0.034,0.045,0.534,0.541,0.011,-0.511,-0.44,-1.076,0.647,-0.959,0.67,0.868,0.939,1.231,1.276,0.446,-0.398,0.656,0.989,-0.325,39.331,0.037,-6.115,0.089,-15.642,0.357,-45.445,0.402,-54.973,0.052,-9.528,0.455,0.41,-0.149,-0.064,-0.382,-0.181,-0.566,-0.474,-0.685,-0.636,-0.119,-0.233,-0.544,0.025,0.056,0.562,0.583,0.031,-0.6,-0.391,-1.267,0.649,-0.915,0.721,0.85,1.06,1.273,1.414,0.502,-0.363,0.652,0.968
2016-08-09,CTD3,4181698,695238,0.0061033955,0.011274086,0.024024764,0.010656935,0.009859906,0.0031206654,0.003068731,0.0012162249,0.006063702,0.011129807,0.02411116,0.010797177,0.009658031,0.0031808405,0.36593306,0.0,12.075,-0.361,47.075,0.028,-5.137,0.067,-12.722,0.385,-52.212,0.418,-59.797,0.039,-7.585,0.502,0.464,-0.123,-0.051,-0.306,-0.136,-0.589,-0.515,-0.674,-0.637,-0.086,-0.182,-0.621,0.018,0.041,0.633,0.646,0.023,-0.612,-0.456,-1.379,0.648,-1.111,0.7,1.05,1.206,1.38,1.491,0.535,-0.431,0.621,0.977,-0.368,48.374,0.015,-2.768,0.071,-13.692,0.381,-51.142,0.428,-62.066,0.056,-10.924,0.522,0.467,-0.067,-0.027,-0.33,-0.148,-0.569,-0.494,-0.691,-0.67,-0.122,-0.263,-0.635,0.01,0.042,0.64,0.659,0.032,-0.656,-0.433,-1.466,0.63,-1.081,0.705,1.048,1.272,1.365,1.526,0.57,-0.42,0.622,0.967
2016-08-09,CTD4,4180266,698264,0.00482292,0.0091487905,0.016167145,0.01230706,0.012928768,0.0043991464,0.004287473,0.0016990395,0.0048707374,0.009535354,0.016442008,0.012429749,0.012238151,0.004368549,0.62499774,0.0,8.84,-0.277,47.45,-0.147,28.05,-0.171,31.957,0.136,-19.4,0.111,-15.493,-0.025,3.907,0.584,0.613,0.453,0.363,0.517,0.393,-0.177,-0.251,-0.142,-0.191,0.036,0.063,-0.278,-0.109,-0.133,0.175,0.151,-0.025,-0.386,-0.485,-0.507,-0.056,-0.606,-0.054,0.815,0.717,-0.1,-0.095,0.546,-0.652,0.848,1.022,-0.266,44.053,-0.132,24.421,-0.124,23.161,0.139,-19.632,0.147,-20.892,0.008,-1.26,0.548,0.539,0.402,0.299,0.381,0.288,-0.187,-0.24,-0.199,-0.26,-0.012,-0.021,-0.28,-0.101,-0.094,0.184,0.191,0.007,-0.436,-0.405,-0.576,0.023,-0.544,0.023,0.709,0.74,0.039,0.04,0.559,-0.527,0.846,0.993
2016-08-09,CTD6,4176009,695829,0.006402469,0.012517009,0.0245594,0.009152798,0.007910361,0.0023109436,0.0022708313,0.00089529983,0.0063697696,0.012425437,0.024682114,0.009220223,0.0075157317,0.002344977,0.30948898,0.0,12.15,-0.325,39.174,0.155,-29.365,0.226,-46.525,0.457,-68.539,0.513,-85.699,0.073,-17.16,0.359,0.31,-0.721,-0.232,-1.143,-0.426,-0.858,-0.542,-1.073,-0.784,-0.215,-0.421,-0.706,0.104,0.137,0.754,0.768,0.034,-0.647,-0.355,-1.737,1.045,-1.101,1.21,0.805,1.098,2.051,2.373,0.409,-0.259,0.584,0.963,-0.33,39.965,0.148,-27.977,0.246,-52.574,0.456,-67.942,0.533,-92.539,0.102,-24.597,0.368,0.3,-0.691,-0.21,-1.298,-0.485,-0.844,-0.511,-1.15,-0.853,-0.306,-0.607,-0.732,0.1,0.145,0.775,0.793,0.046,-0.723,-0.312,-1.936,1.043,-1.024,1.28,0.76,1.171,2.072,2.542,0.438,-0.231,0.583,0.95
2016-08-09,CTD7,4176724,690397,0.010275841,0.01828999,0.034200393,0.018218264,0.017255766,0.005381118,0.0052759303,0.00205832,0.010133245,0.018030213,0.034535922,0.01847038,0.016670857,0.0054463833,0.5641074,0.0,13.535,-0.303,25.435,0.002,-0.215,0.029,-3.277,0.305,-25.651,0.329,-28.712,0.027,-3.062,0.463,0.439,-0.007,-0.004,-0.112,-0.06,-0.469,-0.443,-0.525,-0.523,-0.056,-0.105,-0.449,0.001,0.02,0.45,0.464,0.018,-0.521,-0.412,-0.978,0.499,-0.817,0.527,0.814,0.923,0.934,0.986,0.492,-0.411,0.696,0.982,-0.314,26.507,-0.012,1.322,0.039,-4.522,0.303,-25.185,0.349,-31.03,0.051,-5.844,0.49,0.442,0.046,0.022,-0.156,-0.084,-0.454,-0.42,-0.559,-0.573,-0.105,-0.202,-0.47,-0.009,0.026,0.463,0.489,0.034,-0.586,-0.381,-1.095,0.493,-0.788,0.547,0.808,1.013,0.945,1.047,0.542,-0.39,0.694,0.966
2016-08-09,CTD8,4174178,693048,0.005470693,0.014691961,0.033135183,0.012039777,0.009453249,0.0024609102,0.0023973281,0.0009275372,0.005409035,0.015061099,0.03325705,0.012039851,0.009289356,0.0025760897,0.21570837,0.0,14.34,-0.386,37.885,0.099,-14.994,0.217,-37.719,0.467,-52.879,0.556,-75.604,0.12,-22.726,0.456,0.358,-0.497,-0.142,-1.25,-0.454,-0.777,-0.5,-1.111,-0.91,-0.334,-0.753,-0.858,0.062,0.116,0.874,0.886,0.054,-0.83,-0.342,-2.285,0.935,-1.198,1.191,0.982,1.47,2.109,2.686,0.534,-0.28,0.559,0.943,-0.377,36.327,0.111,-16.661,0.237,-41.254,0.468,-52.989,0.563,-77.581,0.129,-24.593,0.437,0.337,-0.554,-0.155,-1.372,-0.497,-0.798,-0.492,-1.168,-0.934,-0.37,-0.818,-0.853,0.071,0.127,0.871,0.884,0.057,-0.843,-0.319,-2.329,0.972,-1.141,1.259,0.912,1.437,2.145,2.781,0.52,-0.255,0.561,0.939
2016-08-09,CTD9,4171106,693183,0.0060936403,0.016556894,0.042304665,0.022868479,0.019630406,0.005633065,0.0055235513,0.0021086298,0.006006328,0.016835695,0.043008298,0.022242922,0.018909186,0.0059794937,0.40603897,0.0,3.66,-0.437,36.76,-0.16,16.669,-0.085,9.456,0.298,-20.09,0.366,-27.303,0.076,-7.213,0.841,0.722,0.705,0.327,0.4,0.216,-0.333,-0.394,-0.452,-0.624,-0.119,-0.305,-0.606,-0.102,-0.047,0.537,0.575,0.055,-0.774,-0.467,-1.431,0.26,-1.006,0.303,1.39,1.697,0.664,0.774,0.917,-0.645,0.67,0.95,-0.437,36.146,-0.138,14.439,-0.058,6.513,0.318,-21.707,0.389,-29.633,0.081,-7.926,0.804,0.683,0.621,0.273,0.28,0.145,-0.365,-0.41,-0.499,-0.659,-0.133,-0.341,-0.636,-0.087,-0.032,0.581,0.617,0.056,-0.785,-0.459,-1.518,0.317,-1.043,0.373,1.378,1.704,0.81,0.953,0.882,-0.606,0.653,0.949
2016-08-09,CTD10,4170388,695646,0.013091566,0.021001317,0.03679708,0.01808954,0.017149538,0.0051297955,0.004999942,0.0019299416,0.012876673,0.0208034,0.037178066,0.01818002,0.016518895,0.0051711686,0.59333396,0.0,14.125,-0.273,20.44,0.074,-7.665,0.101,-10.695,0.341,-28.104,0.364,-31.135,0.027,-3.03,0.37,0.351,-0.282,-0.131,-0.394,-0.193,-0.59,-0.482,-0.654,-0.563,-0.064,-0.111,-0.448,0.054,0.07,0.49,0.503,0.016,-0.484,-0.377,-0.985,0.695,-0.81,0.733,0.697,0.804,1.218,1.284,0.395,-0.325,0.676,0.983,-0.282,21.171,0.067,-6.936,0.115,-12.468,0.343,-28.108,0.385,-33.639,0.048,-5.531,0.385,0.35,-0.258,-0.115,-0.464,-0.227,-0.585,-0.464,-0.7,-0.612,-0.115,-0.206,-0.472,0.049,0.077,0.509,0.53,0.029,-0.541,-0.349,-1.106,0.7,-0.786,0.77,0.687,0.878,1.251,1.377,0.43,-0.305,0.672,0.97
2016-08-09,CTD11,4169609,700351,0.004384728,0.009671945,0.026395164,0.01201042,0.012619204,0.0035572927,0.0035105983,0.0013382451,0.0043744245,0.01016558,0.026914435,0.012406995,0.011404638,0.0037312394,0.7498015,0.0,9.89,-0.464,65.506,-0.108,20.131,-0.132,24.148,0.375,-45.375,0.353,-41.359,-0.025,4.017,0.787,0.827,0.531,0.254,0.637,0.29,-0.439,-0.573,-0.4,-0.497,0.039,0.106,-0.679,-0.06,-0.077,0.645,0.635,-0.017,-0.585,-0.684,-1.286,0.327,-1.431,0.311,1.777,1.678,0.893,0.85,0.764,-0.85,0.601,1.016,-0.452,61.216,-0.099,17.771,-0.057,10.688,0.369,-43.445,0.405,-50.529,0.042,-7.084,0.76,0.698,0.478,0.203,0.288,0.133,-0.442,-0.495,-0.514,-0.627,-0.072,-0.191,-0.703,-0.058,-0.032,0.673,0.687,0.027,-0.71,-0.542,-1.541,0.396,-1.278,0.43,1.56,1.728,1.047,1.139,0.797,-0.661,0.609,0.975
