Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.005731157,0.014207409,0.038568657,0.018638626,0.0170158,0.004787862,0.0046895384,0.0018007173,10.547,-0.462,44.458,-0.135,16.734,-0.09,11.617,0.348,-27.724,0.388,-32.841,0.046,-5.117,0.829,0.756,0.645,0.285,0.448,0.217,-0.394,-0.472,-0.467,-0.612,-0.073,-0.197,-0.683,-0.08,-0.049,0.638,0.656,0.031,-0.727,-0.545,-1.504,0.321,-1.234,0.352,1.619,1.802,0.872,0.955,0.871,-0.714,0.622,0.972
2016-08-09,CTD2,4181518,693105,0.0061484445,0.011972377,0.023884796,0.011033784,0.010584949,0.003230629,0.0031829225,0.0012446915,11.54,-0.332,41.658,0.041,-7.105,0.062,-10.948,0.368,-48.763,0.386,-52.606,0.021,-3.843,0.46,0.441,-0.17,-0.075,-0.261,-0.121,-0.584,-0.516,-0.63,-0.58,-0.046,-0.092,-0.551,0.027,0.04,0.57,0.578,0.013,-0.541,-0.458,-1.171,0.642,-1.034,0.669,0.953,1.036,1.281,1.335,0.478,-0.422,0.642,0.987
2016-08-09,CTD3,4181698,695238,0.0062793368,0.012703992,0.024710445,0.012148,0.011127428,0.0034067265,0.003342095,0.0013201119,11.967,-0.321,38.247,0.022,-3.603,0.066,-11.153,0.341,-41.849,0.379,-49.399,0.044,-7.55,0.465,0.426,-0.089,-0.04,-0.276,-0.135,-0.532,-0.466,-0.628,-0.6,-0.096,-0.187,-0.516,0.016,0.043,0.527,0.547,0.027,-0.578,-0.402,-1.175,0.595,-0.892,0.65,0.853,1.029,1.158,1.264,0.506,-0.384,0.664,0.972
2016-08-09,CTD4,4180266,698264,0.0036118168,0.006785014,0.015658265,0.009603352,0.01290134,0.003911526,0.0039216955,0.0015820895,8.42,-0.395,83.52,-0.172,43.253,-0.311,69.872,0.24,-40.266,0.097,-13.647,-0.147,26.619,0.802,1.078,0.677,0.558,1.094,0.671,-0.273,-0.519,-0.093,-0.131,0.181,0.417,-0.394,-0.099,-0.242,0.308,0.168,-0.147,-0.311,-0.91,-0.507,-0.117,-1.105,-0.087,1.563,0.964,-0.271,-0.202,0.591,-1.288,0.73,1.131
2016-08-09,CTD5,4179450,700268,0.006887885,0.014554088,0.01697487,0.0029320626,0.001735568,0.00044793732,0.00043395895,0.00017069299,0.2635,-0.077,9.799,0.665,-272.348,0.787,-507.471,0.705,-282.146,0.814,-517.27,0.256,-235.123,0.029,0.017,-4.623,-0.473,-8.614,-1.488,-4.106,-0.49,-7.528,-1.517,-3.422,-3.991,-0.519,0.621,0.644,0.862,0.872,0.038,-0.832,0.265,-4.817,4.862,2.596,8.213,-0.523,0.574,5.67,9.579,0.099,0.053,0.555,0.94
2016-08-09,CTD6,4176009,695829,0.0065942276,0.012779382,0.024055956,0.009152798,0.007927722,0.002314353,0.0022753547,0.0009009904,11.273,-0.306,36.681,0.165,-31.005,0.234,-47.889,0.449,-67.686,0.504,-84.57,0.072,-16.883,0.336,0.291,-0.746,-0.246,-1.152,-0.438,-0.865,-0.537,-1.081,-0.774,-0.216,-0.406,-0.66,0.113,0.146,0.72,0.735,0.033,-0.623,-0.335,-1.638,1.067,-1.016,1.232,0.728,1.016,2.008,2.318,0.387,-0.24,0.595,0.963
2016-08-09,CTD7,4176724,690397,0.013368423,0.021022636,0.0364347,0.01902283,0.018591052,0.0057212044,0.0055950857,0.0021801041,12.67,-0.268,20.121,0.05,-5.001,0.061,-6.222,0.314,-25.122,0.324,-26.343,0.011,-1.221,0.383,0.374,-0.182,-0.093,-0.227,-0.118,-0.528,-0.467,-0.554,-0.501,-0.026,-0.044,-0.41,0.036,0.044,0.44,0.446,0.008,-0.446,-0.4,-0.855,0.595,-0.785,0.609,0.71,0.756,1.031,1.055,0.395,-0.362,0.697,0.992
2016-08-09,CTD8,4174178,693048,0.0077019064,0.01676312,0.03372512,0.012039777,0.009535782,0.0026410918,0.0025738513,0.0010092695,13.84,-0.336,30.003,0.164,-23.403,0.275,-45.213,0.474,-53.407,0.559,-75.217,0.116,-21.81,0.361,0.286,-0.789,-0.223,-1.525,-0.544,-0.895,-0.509,-1.261,-0.906,-0.366,-0.736,-0.786,0.109,0.158,0.825,0.84,0.05,-0.766,-0.295,-2.144,1.11,-1.043,1.401,0.749,1.22,2.232,2.818,0.435,-0.212,0.57,0.945
2016-08-09,CTD9,4171106,693183,0.006087794,0.016020028,0.040854033,0.02219395,0.019630406,0.005633065,0.0055235513,0.0021086298,3.66,-0.437,37.944,-0.162,17.365,-0.101,11.48,0.296,-20.58,0.351,-26.464,0.061,-5.884,0.842,0.745,0.709,0.341,0.469,0.255,-0.33,-0.404,-0.424,-0.587,-0.094,-0.24,-0.594,-0.102,-0.057,0.523,0.555,0.045,-0.738,-0.492,-1.359,0.241,-1.025,0.273,1.42,1.666,0.615,0.696,0.905,-0.682,0.672,0.959
2016-08-09,CTD10,4170388,695646,0.013091566,0.021001317,0.036947016,0.018572835,0.017491495,0.0052627916,0.0051411605,0.0019936734,12.667,-0.275,20.55,0.061,-6.226,0.091,-9.555,0.331,-26.776,0.357,-30.105,0.03,-3.329,0.382,0.359,-0.23,-0.109,-0.353,-0.177,-0.562,-0.468,-0.632,-0.559,-0.07,-0.123,-0.442,0.045,0.063,0.477,0.492,0.019,-0.493,-0.373,-0.982,0.657,-0.789,0.698,0.697,0.817,1.156,1.228,0.411,-0.33,0.683,0.981
2016-08-09,CTD11,4169609,700351,0.0043315855,0.009476996,0.026094498,0.012157884,0.011369099,0.003227481,0.0032065627,0.0012303779,9.49,-0.467,67.196,-0.124,23.268,-0.091,17.561,0.364,-43.929,0.393,-49.635,0.034,-5.707,0.817,0.764,0.607,0.265,0.458,0.214,-0.416,-0.499,-0.47,-0.603,-0.054,-0.149,-0.706,-0.072,-0.049,0.669,0.681,0.022,-0.706,-0.572,-1.516,0.344,-1.313,0.368,1.684,1.818,0.947,1.012,0.847,-0.734,0.608,0.979
2016-08-09,CTD12,4173438,695414,0.01127791,0.020572433,0.036850583,0.012884595,0.010512082,0.002897272,0.0028239845,0.0010946572,9.643,-0.283,21.472,0.23,-29.003,0.324,-46.52,0.482,-50.475,0.556,-67.992,0.101,-17.517,0.277,0.226,-1.069,-0.305,-1.714,-0.599,-1.038,-0.531,-1.399,-0.876,-0.36,-0.645,-0.696,0.162,0.202,0.771,0.787,0.041,-0.667,-0.258,-1.909,1.311,-0.903,1.607,0.566,0.975,2.349,2.879,0.341,-0.161,0.583,0.952
