Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.007972146,0.015954318,0.03776214,0.018359888,0.016189676,0.0051140673,11.46,-0.406,36.197,-0.07,8.212,-0.007,0.911,0.346,-27.985,0.4,-35.286,0.063,-7.301,0.665,0.586,0.31,0.133,0.034,0.017,-0.446,-0.453,-0.563,-0.648,-0.116,-0.276,-0.631,-0.045,-0.004,0.604,0.629,0.04,-0.712,-0.459,-1.464,0.44,-1.071,0.499,1.233,1.485,1.042,1.182,0.722,-0.529,0.639,0.961
2016-08-09,CTD2,4181518,693105,0.009781067,0.015515936,0.027317742,0.013462694,0.012020914,0.0039724447,12.21,-0.276,27.844,0.071,-9.829,0.127,-18.738,0.34,-37.673,0.389,-46.582,0.057,-8.909,0.375,0.335,-0.269,-0.118,-0.512,-0.252,-0.585,-0.453,-0.723,-0.627,-0.138,-0.243,-0.463,0.052,0.086,0.503,0.528,0.034,-0.552,-0.325,-1.12,0.712,-0.738,0.798,0.641,0.868,1.254,1.405,0.428,-0.282,0.677,0.965
2016-08-09,CTD3,4181698,695238,0.007976878,0.013446204,0.024764562,0.010827807,0.0095624095,0.0030186782,11.75,-0.296,33.99,0.108,-17.984,0.169,-30.206,0.392,-51.975,0.443,-64.196,0.062,-12.221,0.368,0.325,-0.445,-0.172,-0.748,-0.327,-0.699,-0.497,-0.863,-0.695,-0.164,-0.303,-0.555,0.076,0.109,0.606,0.626,0.033,-0.589,-0.34,-1.348,0.856,-0.881,0.969,0.709,0.959,1.576,1.785,0.419,-0.274,0.635,0.964
2016-08-09,CTD4,4180266,698264,0.007280167,0.012308337,0.023043899,0.010604795,0.009959268,0.0033169584,7.58,-0.304,37.85,0.074,-13.051,0.105,-19.163,0.37,-50.902,0.396,-57.014,0.031,-6.112,0.401,0.377,-0.301,-0.13,-0.442,-0.203,-0.627,-0.507,-0.702,-0.605,-0.075,-0.141,-0.522,0.052,0.07,0.559,0.571,0.018,-0.531,-0.405,-1.153,0.728,-0.937,0.776,0.807,0.933,1.364,1.452,0.429,-0.349,0.648,0.981
2016-08-09,CTD5,4179450,700268,0.008912263,0.017912947,0.024480678,0.0049772426,0.0032741406,0.00080669584,0.285,-0.155,14.977,0.565,-145.089,0.691,-249.598,0.662,-160.066,0.764,-264.575,0.206,-104.509,0.075,0.049,-3.552,-0.475,-6.11,-1.242,-2.867,-0.524,-4.739,-1.317,-1.872,-2.558,-0.796,0.466,0.497,0.921,0.926,0.04,-0.788,0.074,-3.878,3.465,0.553,5.268,-0.154,0.709,4.736,7.199,0.144,0.021,0.54,0.942
2016-08-09,CTD6,4176009,695829,0.00668157,0.012891639,0.024324926,0.009513962,0.007660309,0.0023493853,9.52,-0.307,36.46,0.151,-27.539,0.255,-52.973,0.438,-63.999,0.521,-89.433,0.108,-25.434,0.347,0.279,-0.67,-0.211,-1.289,-0.504,-0.825,-0.49,-1.153,-0.851,-0.328,-0.619,-0.666,0.106,0.155,0.721,0.744,0.05,-0.712,-0.275,-1.82,1.04,-0.874,1.292,0.645,1.082,1.963,2.437,0.423,-0.203,0.602,0.945
2016-08-09,CTD7,4176724,690397,0.007868629,0.015289385,0.03305979,0.016510947,0.01480663,0.0048134266,10.94,-0.368,35.157,-0.038,4.839,0.016,-2.132,0.334,-30.318,0.381,-37.289,0.054,-6.971,0.58,0.521,0.16,0.072,-0.07,-0.035,-0.464,-0.449,-0.57,-0.616,-0.107,-0.23,-0.567,-0.026,0.01,0.55,0.574,0.035,-0.653,-0.434,-1.307,0.478,-0.97,0.533,1.047,1.265,1.034,1.153,0.632,-0.469,0.658,0.966
2016-08-09,CTD8,4174178,693048,0.0071370066,0.015061099,0.03261213,0.012143885,0.00941098,0.0026533515,12.84,-0.368,35.733,0.107,-15.95,0.231,-39.863,0.457,-51.683,0.552,-75.595,0.127,-23.913,0.434,0.336,-0.52,-0.15,-1.3,-0.484,-0.778,-0.486,-1.139,-0.918,-0.36,-0.78,-0.814,0.069,0.126,0.836,0.853,0.057,-0.829,-0.313,-2.225,0.952,-1.085,1.228,0.875,1.39,2.061,2.659,0.518,-0.252,0.571,0.939
2016-08-09,CTD9,4171106,693183,0.0085874535,0.01781079,0.041938104,0.023215223,0.020012014,0.0062568216,,-0.404,32.301,-0.132,13.071,-0.058,6.176,0.287,-19.231,0.354,-26.125,0.074,-6.895,0.75,0.646,0.548,0.262,0.259,0.143,-0.343,-0.385,-0.465,-0.607,-0.123,-0.289,-0.558,-0.087,-0.034,0.495,0.534,0.054,-0.735,-0.437,-1.328,0.29,-0.916,0.336,1.195,1.493,0.683,0.792,0.826,-0.57,0.687,0.951
2016-08-09,CTD10,4170388,695646,0.009772669,0.017287325,0.03304105,0.014371329,0.01221898,0.003767395,9.75,-0.313,27.58,0.092,-11.737,0.172,-23.994,0.394,-39.318,0.46,-51.575,0.081,-12.257,0.396,0.337,-0.388,-0.143,-0.793,-0.345,-0.68,-0.48,-0.892,-0.741,-0.212,-0.405,-0.592,0.064,0.107,0.633,0.658,0.043,-0.653,-0.327,-1.501,0.833,-0.884,0.98,0.735,1.061,1.592,1.873,0.462,-0.272,0.629,0.955
