Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.0051188963,0.014007589,0.03925518,0.018299803,0.01568579,0.0049804403,10.865,-0.474,45.916,-0.133,16.744,-0.057,7.638,0.364,-29.171,0.429,-38.278,0.077,-9.107,0.84,0.72,0.657,0.263,0.3,0.14,-0.409,-0.458,-0.536,-0.7,-0.128,-0.357,-0.743,-0.078,-0.029,0.706,0.73,0.049,-0.81,-0.5,-1.737,0.366,-1.252,0.427,1.636,1.945,1.025,1.196,0.907,-0.654,0.607,0.955
2016-08-09,CTD2,4181518,693105,0.0074771727,0.012458536,0.024428671,0.011576632,0.0104265865,0.0034576727,11.75,-0.325,39.331,0.037,-6.115,0.089,-15.642,0.357,-45.445,0.402,-54.973,0.052,-9.528,0.455,0.41,-0.149,-0.064,-0.382,-0.181,-0.566,-0.474,-0.685,-0.636,-0.119,-0.233,-0.544,0.025,0.056,0.562,0.583,0.031,-0.6,-0.391,-1.267,0.649,-0.915,0.721,0.85,1.06,1.273,1.414,0.502,-0.363,0.652,0.968
2016-08-09,CTD3,4181698,695238,0.006063702,0.011129807,0.02411116,0.010797177,0.009658031,0.0031808405,12.155,-0.368,48.374,0.015,-2.768,0.071,-13.692,0.381,-51.142,0.428,-62.066,0.056,-10.924,0.522,0.467,-0.067,-0.027,-0.33,-0.148,-0.569,-0.494,-0.691,-0.67,-0.122,-0.263,-0.635,0.01,0.042,0.64,0.659,0.032,-0.656,-0.433,-1.466,0.63,-1.081,0.705,1.048,1.272,1.365,1.526,0.57,-0.42,0.622,0.967
2016-08-09,CTD4,4180266,698264,0.0048707374,0.009535354,0.016442008,0.012429749,0.012238151,0.004368549,8.03,-0.266,44.053,-0.132,24.421,-0.124,23.161,0.139,-19.632,0.147,-20.892,0.008,-1.26,0.548,0.539,0.402,0.299,0.381,0.288,-0.187,-0.24,-0.199,-0.26,-0.012,-0.021,-0.28,-0.101,-0.094,0.184,0.191,0.007,-0.436,-0.405,-0.576,0.023,-0.544,0.023,0.709,0.74,0.039,0.04,0.559,-0.527,0.846,0.993
2016-08-09,CTD6,4176009,695829,0.0063697696,0.012425437,0.024682114,0.009220223,0.0075157317,0.002344977,11.08,-0.33,39.965,0.148,-27.977,0.246,-52.574,0.456,-67.942,0.533,-92.539,0.102,-24.597,0.368,0.3,-0.691,-0.21,-1.298,-0.485,-0.844,-0.511,-1.15,-0.853,-0.306,-0.607,-0.732,0.1,0.145,0.775,0.793,0.046,-0.723,-0.312,-1.936,1.043,-1.024,1.28,0.76,1.171,2.072,2.542,0.438,-0.231,0.583,0.95
2016-08-09,CTD7,4176724,690397,0.010133245,0.018030213,0.034535922,0.01847038,0.016670857,0.0054463833,12.465,-0.314,26.507,-0.012,1.322,0.039,-4.522,0.303,-25.185,0.349,-31.03,0.051,-5.844,0.49,0.442,0.046,0.022,-0.156,-0.084,-0.454,-0.42,-0.559,-0.573,-0.105,-0.202,-0.47,-0.009,0.026,0.463,0.489,0.034,-0.586,-0.381,-1.095,0.493,-0.788,0.547,0.808,1.013,0.945,1.047,0.542,-0.39,0.694,0.966
2016-08-09,CTD8,4174178,693048,0.005409035,0.015061099,0.03325705,0.012039851,0.009289356,0.0025760897,13.48,-0.377,36.327,0.111,-16.661,0.237,-41.254,0.468,-52.989,0.563,-77.581,0.129,-24.593,0.437,0.337,-0.554,-0.155,-1.372,-0.497,-0.798,-0.492,-1.168,-0.934,-0.37,-0.818,-0.853,0.071,0.127,0.871,0.884,0.057,-0.843,-0.319,-2.329,0.972,-1.141,1.259,0.912,1.437,2.145,2.781,0.52,-0.255,0.561,0.939
2016-08-09,CTD9,4171106,693183,0.006006328,0.016835695,0.043008298,0.022242922,0.018909186,0.0059794937,3.66,-0.437,36.146,-0.138,14.439,-0.058,6.513,0.318,-21.707,0.389,-29.633,0.081,-7.926,0.804,0.683,0.621,0.273,0.28,0.145,-0.365,-0.41,-0.499,-0.659,-0.133,-0.341,-0.636,-0.087,-0.032,0.581,0.617,0.056,-0.785,-0.459,-1.518,0.317,-1.043,0.373,1.378,1.704,0.81,0.953,0.882,-0.606,0.653,0.949
2016-08-09,CTD10,4170388,695646,0.012876673,0.0208034,0.037178066,0.01818002,0.016518895,0.0051711686,10.3,-0.282,21.171,0.067,-6.936,0.115,-12.468,0.343,-28.108,0.385,-33.639,0.048,-5.531,0.385,0.35,-0.258,-0.115,-0.464,-0.227,-0.585,-0.464,-0.7,-0.612,-0.115,-0.206,-0.472,0.049,0.077,0.509,0.53,0.029,-0.541,-0.349,-1.106,0.7,-0.786,0.77,0.687,0.878,1.251,1.377,0.43,-0.305,0.672,0.97
2016-08-09,CTD11,4169609,700351,0.0043744245,0.01016558,0.026914435,0.012406995,0.011404638,0.0037312394,9.11,-0.452,61.216,-0.099,17.771,-0.057,10.688,0.369,-43.445,0.405,-50.529,0.042,-7.084,0.76,0.698,0.478,0.203,0.288,0.133,-0.442,-0.495,-0.514,-0.627,-0.072,-0.191,-0.703,-0.058,-0.032,0.673,0.687,0.027,-0.71,-0.542,-1.541,0.396,-1.278,0.43,1.56,1.728,1.047,1.139,0.797,-0.661,0.609,0.975
