Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,Chl,dif_norm_rtoa_B2_B3,dif_inv_rtoa_B2_B3,dif_norm_rtoa_B2_B4,dif_inv_rtoa_B2_B4,dif_norm_rtoa_B2_B5,dif_inv_rtoa_B2_B5,dif_norm_rtoa_B3_B4,dif_inv_rtoa_B3_B4,dif_norm_rtoa_B3_B5,dif_inv_rtoa_B3_B5,dif_norm_rtoa_B4_B5,dif_inv_rtoa_B4_B5,dall_gitelson_rtoa_B2_B3_B4,dall_gitelson_rtoa_B2_B3_B5,dall_gitelson_rtoa_B2_B4_B3,dall_gitelson_rtoa_B2_B4_B5,dall_gitelson_rtoa_B2_B5_B3,dall_gitelson_rtoa_B2_B5_B4,dall_gitelson_rtoa_B3_B4_B2,dall_gitelson_rtoa_B3_B4_B5,dall_gitelson_rtoa_B3_B5_B2,dall_gitelson_rtoa_B3_B5_B4,dall_gitelson_rtoa_B4_B5_B2,dall_gitelson_rtoa_B4_B5_B3,dif_norm_4_bands_rtoa_B2_B3_B4_B5,dif_norm_4_bands_rtoa_B2_B4_B3_B5,dif_norm_4_bands_rtoa_B2_B5_B3_B4,dif_norm_4_bands_rtoa_B3_B4_B2_B5,dif_norm_4_bands_rtoa_B3_B5_B2_B4,dif_norm_4_bands_rtoa_B4_B5_B2_B3,dif_rel_4bands_rtoa_B2_B3_B4_B5,dif_rel_4bands_rtoa_B2_B3_B5_B4,dif_rel_4bands_rtoa_B2_B4_B3_B5,dif_rel_4bands_rtoa_B2_B4_B5_B3,dif_rel_4bands_rtoa_B2_B5_B3_B4,dif_rel_4bands_rtoa_B2_B5_B4_B3,dif_rel_4bands_rtoa_B3_B2_B4_B5,dif_rel_4bands_rtoa_B3_B2_B5_B4,dif_rel_4bands_rtoa_B3_B4_B5_B2,dif_rel_4bands_rtoa_B3_B5_B4_B2,dif_rel_4bands_rtoa_B4_B2_B5_B3,dif_rel_4bands_rtoa_B4_B3_B5_B2,sum_norm_3bands_rtoa_B2_B4_B3,sum_norm_3bands_rtoa_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.1166,0.0873,0.0713,0.0425,0.0373,0.0259,0.024,0.0213,0.0194,0.0065,0.0005,0.0089,0.0075,10.865,0.101,-2.57,0.345,-12.075,0.401,-15.355,0.253,-9.504,0.313,-12.784,0.065,-3.28,-0.109,-0.096,-0.861,-0.45,-1.095,-0.653,-0.83,-0.355,-1.116,-0.543,-0.286,-0.234,0.201,0.413,0.439,0.231,0.262,0.033,0.085,0.347,0.143,1.531,0.663,1.744,-0.323,-0.061,1.25,1.425,-0.036,0.169,0.818,0.954
2016-08-09,CTD2,4181518,693105,0.1218,0.0929,0.0692,0.0473,0.0417,0.0341,0.0324,0.0278,0.0278,0.0088,0.0007,0.0182,0.0145,11.75,0.146,-3.687,0.325,-10.377,0.38,-13.217,0.188,-6.691,0.248,-9.53,0.063,-2.839,-0.174,-0.154,-0.718,-0.433,-0.915,-0.625,-0.622,-0.279,-0.885,-0.451,-0.264,-0.196,0.266,0.411,0.439,0.163,0.196,0.035,0.208,0.461,0.305,1.361,0.765,1.544,-0.389,-0.137,1.014,1.15,-0.093,0.235,0.865,0.952
2016-08-09,CTD3,4181698,695238,0.1208,0.0923,0.0692,0.0474,0.0416,0.034,0.0333,0.0294,0.0293,0.0088,0.0007,0.0188,0.0145,12.155,0.143,-3.617,0.321,-10.263,0.379,-13.204,0.187,-6.646,0.249,-9.588,0.065,-2.941,-0.171,-0.15,-0.71,-0.427,-0.914,-0.626,-0.613,-0.276,-0.885,-0.454,-0.271,-0.204,0.26,0.405,0.435,0.163,0.198,0.036,0.194,0.456,0.284,1.346,0.759,1.534,-0.39,-0.128,1.009,1.15,-0.088,0.234,0.865,0.95
2016-08-09,CTD4,4180266,698264,0.1283,0.0901,0.066,0.0422,0.042,0.0314,0.0309,0.0277,0.0273,0.0107,0.0005,0.0195,0.0145,8.03,0.154,-4.053,0.362,-12.598,0.364,-12.711,0.22,-8.545,0.222,-8.658,0.002,-0.113,-0.171,-0.17,-0.831,-0.529,-0.839,-0.536,-0.77,-0.359,-0.78,-0.365,-0.01,-0.007,0.286,0.444,0.445,0.18,0.181,0.001,0.36,0.37,0.564,1.499,0.581,1.506,-0.272,-0.263,1.098,1.103,-0.168,0.173,0.848,0.998
2016-08-09,CTD5,4179450,700268,0.1245,0.0989,0.0729,0.0379,0.0339,0.032,0.0293,0.028,0.0263,0.0082,0.0007,0.0167,0.0137,0.2475,0.151,-3.606,0.446,-16.274,0.489,-19.387,0.316,-12.668,0.365,-15.781,0.056,-3.113,-0.137,-0.122,-1.186,-0.552,-1.413,-0.735,-1.253,-0.429,-1.561,-0.598,-0.308,-0.227,0.362,0.571,0.587,0.264,0.285,0.023,0.239,0.462,0.459,2.144,0.994,2.398,-0.381,-0.157,1.581,1.767,-0.082,0.177,0.796,0.964
2016-08-09,CTD6,4176009,695829,0.1171,0.0884,0.0658,0.0413,0.0349,0.028,0.0262,0.0243,0.0223,0.0067,0.0006,0.0129,0.0096,11.08,0.147,-3.885,0.363,-12.901,0.434,-17.341,0.229,-9.016,0.307,-13.456,0.084,-4.44,-0.16,-0.136,-0.849,-0.45,-1.141,-0.716,-0.797,-0.315,-1.189,-0.556,-0.393,-0.292,0.297,0.468,0.5,0.199,0.238,0.042,0.16,0.498,0.255,1.61,0.94,1.905,-0.439,-0.101,1.198,1.418,-0.063,0.233,0.841,0.94
2016-08-09,CTD7,4176724,690397,0.1219,0.0958,0.075,0.0522,0.0456,0.0357,0.0364,0.0315,0.0308,0.0088,0.0007,0.0199,0.0155,12.465,0.122,-2.895,0.295,-8.719,0.355,-11.491,0.179,-5.824,0.244,-8.596,0.067,-2.773,-0.151,-0.132,-0.654,-0.398,-0.862,-0.6,-0.558,-0.266,-0.824,-0.449,-0.266,-0.208,0.213,0.362,0.395,0.161,0.199,0.039,0.133,0.404,0.191,1.227,0.664,1.405,-0.362,-0.091,0.961,1.1,-0.063,0.22,0.867,0.948
2016-08-09,CTD8,4174178,693048,0.1178,0.0893,0.0706,0.0414,0.0333,0.0248,0.0238,0.0221,0.0195,0.0069,0.0005,0.01,0.0081,13.48,0.117,-2.966,0.366,-12.956,0.457,-18.832,0.261,-9.99,0.359,-15.866,0.108,-5.875,-0.123,-0.099,-0.915,-0.431,-1.33,-0.78,-0.892,-0.333,-1.417,-0.657,-0.525,-0.415,0.25,0.461,0.5,0.238,0.285,0.051,0.022,0.461,0.037,1.685,0.976,2.095,-0.453,-0.014,1.332,1.657,-0.008,0.214,0.817,0.928
2016-08-09,CTD9,4171106,693183,0.123,0.0966,0.0838,0.0565,0.049,0.0373,0.0354,0.0302,0.0315,0.0093,0.0005,0.0215,0.0168,3.66,0.071,-1.581,0.262,-7.347,0.327,-10.056,0.195,-5.766,0.262,-8.475,0.071,-2.709,-0.089,-0.077,-0.616,-0.36,-0.843,-0.568,-0.557,-0.283,-0.819,-0.479,-0.262,-0.227,0.121,0.302,0.339,0.187,0.227,0.042,-0.0,0.285,-0.0,1.125,0.488,1.297,-0.286,0.0,0.976,1.125,0.0,0.167,0.849,0.947
2016-08-09,CTD10,4170388,695646,0.1199,0.0915,0.0745,0.0488,0.0402,0.0324,0.0326,0.0281,0.0266,0.0084,0.0006,0.0167,0.0131,10.3,0.102,-2.494,0.304,-9.563,0.39,-13.947,0.208,-7.069,0.299,-11.453,0.097,-4.384,-0.122,-0.1,-0.712,-0.384,-1.039,-0.681,-0.647,-0.284,-1.048,-0.559,-0.401,-0.327,0.191,0.372,0.416,0.195,0.244,0.052,0.014,0.404,0.022,1.335,0.749,1.621,-0.4,-0.01,1.087,1.32,-0.006,0.216,0.845,0.93
