Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,Chl,Turbidez,dif_norm_rtoa_B2_B3,dif_inv_rtoa_B2_B3,dif_norm_rtoa_B2_B4,dif_inv_rtoa_B2_B4,dif_norm_rtoa_B2_B5,dif_inv_rtoa_B2_B5,dif_norm_rtoa_B3_B4,dif_inv_rtoa_B3_B4,dif_norm_rtoa_B3_B5,dif_inv_rtoa_B3_B5,dif_norm_rtoa_B4_B5,dif_inv_rtoa_B4_B5,dall_gitelson_rtoa_B2_B3_B4,dall_gitelson_rtoa_B2_B3_B5,dall_gitelson_rtoa_B2_B4_B3,dall_gitelson_rtoa_B2_B4_B5,dall_gitelson_rtoa_B2_B5_B3,dall_gitelson_rtoa_B2_B5_B4,dall_gitelson_rtoa_B3_B4_B2,dall_gitelson_rtoa_B3_B4_B5,dall_gitelson_rtoa_B3_B5_B2,dall_gitelson_rtoa_B3_B5_B4,dall_gitelson_rtoa_B4_B5_B2,dall_gitelson_rtoa_B4_B5_B3,dif_norm_4_bands_rtoa_B2_B3_B4_B5,dif_norm_4_bands_rtoa_B2_B4_B3_B5,dif_norm_4_bands_rtoa_B2_B5_B3_B4,dif_norm_4_bands_rtoa_B3_B4_B2_B5,dif_norm_4_bands_rtoa_B3_B5_B2_B4,dif_norm_4_bands_rtoa_B4_B5_B2_B3,dif_rel_4bands_rtoa_B2_B3_B4_B5,dif_rel_4bands_rtoa_B2_B3_B5_B4,dif_rel_4bands_rtoa_B2_B4_B3_B5,dif_rel_4bands_rtoa_B2_B4_B5_B3,dif_rel_4bands_rtoa_B2_B5_B3_B4,dif_rel_4bands_rtoa_B2_B5_B4_B3,dif_rel_4bands_rtoa_B3_B2_B4_B5,dif_rel_4bands_rtoa_B3_B2_B5_B4,dif_rel_4bands_rtoa_B3_B4_B5_B2,dif_rel_4bands_rtoa_B3_B5_B4_B2,dif_rel_4bands_rtoa_B4_B2_B5_B3,dif_rel_4bands_rtoa_B4_B3_B5_B2,sum_norm_3bands_rtoa_B2_B4_B3,sum_norm_3bands_rtoa_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.1166,0.088,0.0712,0.0431,0.0373,0.0259,0.024,0.0213,0.0192,0.0065,0.0005,0.0092,0.0075,10.865,6.835,0.106,-2.681,0.342,-11.838,0.405,-15.446,0.246,-9.157,0.312,-12.765,0.072,-3.608,-0.116,-0.1,-0.843,-0.442,-1.1,-0.666,-0.806,-0.342,-1.123,-0.55,-0.317,-0.257,0.209,0.414,0.444,0.224,0.259,0.036,0.08,0.371,0.133,1.518,0.707,1.754,-0.346,-0.056,1.228,1.419,-0.034,0.181,0.823,0.949
2016-08-09,CTD2,4181518,693105,0.1218,0.0929,0.0705,0.0486,0.0418,0.0342,0.0327,0.029,0.0281,0.0088,0.0007,0.0175,0.0145,11.75,4.805,0.137,-3.42,0.313,-9.812,0.379,-13.159,0.184,-6.392,0.256,-9.739,0.075,-3.347,-0.166,-0.143,-0.692,-0.41,-0.928,-0.64,-0.594,-0.267,-0.905,-0.473,-0.311,-0.236,0.248,0.394,0.429,0.163,0.203,0.042,0.155,0.458,0.225,1.319,0.772,1.533,-0.404,-0.101,1.001,1.163,-0.07,0.239,0.866,0.943
2016-08-09,CTD3,4181698,695238,0.1208,0.0933,0.0698,0.0485,0.0416,0.0348,0.033,0.0298,0.0282,0.0088,0.0007,0.0186,0.0149,12.155,3.9,0.144,-3.609,0.316,-9.9,0.383,-13.32,0.18,-6.292,0.253,-9.712,0.077,-3.42,-0.175,-0.15,-0.691,-0.412,-0.93,-0.646,-0.587,-0.262,-0.906,-0.471,-0.319,-0.239,0.261,0.402,0.437,0.158,0.199,0.042,0.171,0.479,0.246,1.328,0.804,1.548,-0.418,-0.11,0.993,1.158,-0.076,0.249,0.869,0.942
2016-08-09,CTD4,4180266,698264,0.1283,0.0948,0.073,0.0516,0.0454,0.0386,0.0379,0.0326,0.0313,0.0107,0.0005,0.0195,0.0145,8.03,3.595,0.13,-3.15,0.295,-8.831,0.352,-11.478,0.172,-5.681,0.233,-8.328,0.064,-2.647,-0.163,-0.143,-0.645,-0.401,-0.838,-0.592,-0.539,-0.258,-0.789,-0.43,-0.251,-0.193,0.225,0.365,0.396,0.153,0.189,0.037,0.162,0.419,0.229,1.215,0.673,1.381,-0.367,-0.11,0.936,1.064,-0.078,0.228,0.872,0.95
2016-08-09,CTD5,4179450,700268,0.1245,0.1001,0.076,0.0414,0.0354,0.0326,0.03,0.0273,0.0266,0.0082,0.0007,0.0172,0.0146,0.2475,0.1275,0.137,-3.168,0.415,-14.165,0.477,-18.259,0.295,-10.997,0.364,-15.091,0.078,-4.094,-0.131,-0.112,-1.077,-0.501,-1.388,-0.756,-1.101,-0.389,-1.511,-0.625,-0.41,-0.311,0.314,0.527,0.551,0.255,0.287,0.034,0.148,0.462,0.271,1.952,0.992,2.283,-0.41,-0.096,1.482,1.733,-0.052,0.191,0.804,0.949
2016-08-09,CTD6,4176009,695829,0.1171,0.0881,0.065,0.0413,0.0349,0.028,0.0259,0.0237,0.0221,0.007,0.0006,0.0127,0.0095,11.08,4.58,0.151,-4.034,0.362,-12.862,0.433,-17.303,0.223,-8.828,0.301,-13.269,0.084,-4.44,-0.167,-0.141,-0.836,-0.449,-1.125,-0.715,-0.778,-0.308,-1.169,-0.548,-0.391,-0.289,0.303,0.468,0.5,0.193,0.233,0.042,0.172,0.51,0.271,1.596,0.951,1.889,-0.446,-0.107,1.178,1.394,-0.068,0.239,0.845,0.94
2016-08-09,CTD7,4176724,690397,0.1219,0.095,0.0755,0.0526,0.0454,0.0357,0.0349,0.031,0.0302,0.0088,0.0007,0.0193,0.0151,12.465,5.89,0.114,-2.719,0.287,-8.485,0.353,-11.5,0.179,-5.766,0.249,-8.781,0.073,-3.015,-0.143,-0.123,-0.641,-0.385,-0.868,-0.605,-0.548,-0.262,-0.834,-0.462,-0.286,-0.228,0.199,0.351,0.387,0.163,0.204,0.042,0.1,0.395,0.143,1.205,0.657,1.396,-0.364,-0.068,0.957,1.109,-0.048,0.219,0.866,0.944
2016-08-09,CTD8,4174178,693048,0.1178,0.0889,0.0686,0.0414,0.0344,0.0264,0.0245,0.0226,0.0201,0.0069,0.0005,0.0117,0.0085,13.48,6.195,0.129,-3.329,0.365,-12.906,0.442,-17.821,0.247,-9.577,0.332,-14.493,0.092,-4.915,-0.138,-0.115,-0.885,-0.444,-1.223,-0.738,-0.851,-0.329,-1.288,-0.6,-0.437,-0.337,0.268,0.461,0.495,0.221,0.262,0.044,0.092,0.465,0.153,1.646,0.927,1.981,-0.432,-0.059,1.27,1.528,-0.036,0.217,0.827,0.936
2016-08-09,CTD9,4171106,693183,0.123,0.0984,0.0838,0.0577,0.0494,0.0373,0.0355,0.032,0.0309,0.0093,0.0005,0.0213,0.0162,3.66,6.2,0.08,-1.771,0.261,-7.168,0.332,-10.08,0.184,-5.398,0.258,-8.31,0.077,-2.912,-0.102,-0.087,-0.601,-0.354,-0.845,-0.582,-0.531,-0.267,-0.818,-0.479,-0.287,-0.244,0.136,0.306,0.346,0.177,0.22,0.046,0.006,0.318,0.009,1.116,0.54,1.303,-0.316,-0.005,0.95,1.11,-0.003,0.187,0.857,0.941
2016-08-09,CTD10,4170388,695646,0.1199,0.0926,0.0743,0.0491,0.0411,0.0327,0.033,0.0283,0.0267,0.0084,0.0006,0.0166,0.0138,10.3,4.22,0.11,-2.66,0.307,-9.567,0.385,-13.532,0.204,-6.908,0.288,-10.872,0.089,-3.964,-0.131,-0.109,-0.711,-0.393,-1.005,-0.664,-0.64,-0.284,-1.007,-0.534,-0.367,-0.295,0.203,0.377,0.417,0.188,0.234,0.048,0.052,0.409,0.078,1.333,0.74,1.592,-0.392,-0.035,1.069,1.278,-0.023,0.217,0.849,0.935
