Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,Chl,dif_norm_rtoa_B2_B3,dif_inv_rtoa_B2_B3,dif_norm_rtoa_B2_B4,dif_inv_rtoa_B2_B4,dif_norm_rtoa_B2_B5,dif_inv_rtoa_B2_B5,dif_norm_rtoa_B3_B4,dif_inv_rtoa_B3_B4,dif_norm_rtoa_B3_B5,dif_inv_rtoa_B3_B5,dif_norm_rtoa_B4_B5,dif_inv_rtoa_B4_B5,dall_gitelson_rtoa_B2_B3_B4,dall_gitelson_rtoa_B2_B3_B5,dall_gitelson_rtoa_B2_B4_B3,dall_gitelson_rtoa_B2_B4_B5,dall_gitelson_rtoa_B2_B5_B3,dall_gitelson_rtoa_B2_B5_B4,dall_gitelson_rtoa_B3_B4_B2,dall_gitelson_rtoa_B3_B4_B5,dall_gitelson_rtoa_B3_B5_B2,dall_gitelson_rtoa_B3_B5_B4,dall_gitelson_rtoa_B4_B5_B2,dall_gitelson_rtoa_B4_B5_B3,dif_norm_4_bands_rtoa_B2_B3_B4_B5,dif_norm_4_bands_rtoa_B2_B4_B3_B5,dif_norm_4_bands_rtoa_B2_B5_B3_B4,dif_norm_4_bands_rtoa_B3_B4_B2_B5,dif_norm_4_bands_rtoa_B3_B5_B2_B4,dif_norm_4_bands_rtoa_B4_B5_B2_B3,dif_rel_4bands_rtoa_B2_B3_B4_B5,dif_rel_4bands_rtoa_B2_B3_B5_B4,dif_rel_4bands_rtoa_B2_B4_B3_B5,dif_rel_4bands_rtoa_B2_B4_B5_B3,dif_rel_4bands_rtoa_B2_B5_B3_B4,dif_rel_4bands_rtoa_B2_B5_B4_B3,dif_rel_4bands_rtoa_B3_B2_B4_B5,dif_rel_4bands_rtoa_B3_B2_B5_B4,dif_rel_4bands_rtoa_B3_B4_B5_B2,dif_rel_4bands_rtoa_B3_B5_B4_B2,dif_rel_4bands_rtoa_B4_B2_B5_B3,dif_rel_4bands_rtoa_B4_B3_B5_B2,sum_norm_3bands_rtoa_B2_B4_B3,sum_norm_3bands_rtoa_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.1166,0.0879,0.0709,0.0432,0.0365,0.0259,0.024,0.0208,0.0191,0.0065,0.0005,0.0093,0.0073,10.547,0.107,-2.728,0.341,-11.772,0.413,-16.021,0.243,-9.044,0.32,-13.293,0.084,-4.249,-0.118,-0.1,-0.835,-0.43,-1.136,-0.692,-0.795,-0.33,-1.168,-0.574,-0.373,-0.301,0.213,0.416,0.45,0.223,0.262,0.042,0.056,0.395,0.092,1.52,0.767,1.799,-0.377,-0.038,1.226,1.451,-0.023,0.194,0.826,0.941
2016-08-09,CTD2,4181518,693105,0.1218,0.0935,0.0708,0.049,0.0419,0.0343,0.033,0.0296,0.0285,0.0088,0.0007,0.0176,0.0144,11.54,0.138,-3.429,0.312,-9.713,0.381,-13.171,0.182,-6.284,0.256,-9.742,0.078,-3.458,-0.168,-0.144,-0.688,-0.407,-0.933,-0.645,-0.588,-0.263,-0.911,-0.477,-0.323,-0.245,0.25,0.395,0.431,0.161,0.203,0.043,0.151,0.466,0.218,1.316,0.787,1.539,-0.412,-0.098,0.997,1.166,-0.068,0.244,0.867,0.941
2016-08-09,CTD3,4181698,695238,0.1208,0.0931,0.07,0.0485,0.0415,0.0347,0.0328,0.0299,0.0284,0.0088,0.0007,0.0186,0.0148,11.967,0.142,-3.545,0.315,-9.877,0.383,-13.355,0.181,-6.333,0.256,-9.811,0.078,-3.478,-0.172,-0.147,-0.691,-0.41,-0.935,-0.648,-0.59,-0.263,-0.913,-0.476,-0.324,-0.243,0.257,0.4,0.435,0.16,0.201,0.043,0.161,0.474,0.233,1.327,0.8,1.551,-0.417,-0.104,0.998,1.166,-0.072,0.247,0.868,0.941
2016-08-09,CTD4,4180266,698264,0.1283,0.1005,0.0775,0.0557,0.0478,0.0398,0.0384,0.036,0.0326,0.0107,0.0005,0.0195,0.0155,8.42,0.129,-2.953,0.287,-8.003,0.355,-10.97,0.164,-5.05,0.237,-8.017,0.076,-2.967,-0.164,-0.141,-0.62,-0.383,-0.85,-0.611,-0.508,-0.241,-0.806,-0.447,-0.298,-0.23,0.222,0.358,0.396,0.147,0.19,0.044,0.132,0.439,0.183,1.188,0.711,1.384,-0.394,-0.087,0.916,1.067,-0.063,0.243,0.878,0.941
2016-08-09,CTD5,4179450,700268,0.1245,0.0992,0.0755,0.0413,0.0354,0.032,0.0305,0.0278,0.0266,0.0082,0.0007,0.0174,0.0148,0.2635,0.136,-3.164,0.412,-14.132,0.474,-18.168,0.293,-10.968,0.362,-15.004,0.077,-4.036,-0.131,-0.112,-1.067,-0.5,-1.372,-0.75,-1.088,-0.388,-1.488,-0.62,-0.4,-0.305,0.309,0.522,0.546,0.254,0.285,0.034,0.147,0.457,0.269,1.933,0.974,2.255,-0.406,-0.096,1.471,1.716,-0.053,0.19,0.804,0.949
2016-08-09,CTD6,4176009,695829,0.1171,0.0879,0.0648,0.0413,0.0347,0.0278,0.0262,0.0235,0.022,0.007,0.0006,0.0125,0.0096,11.273,0.151,-4.056,0.361,-12.837,0.434,-17.442,0.221,-8.781,0.303,-13.386,0.087,-4.605,-0.167,-0.141,-0.832,-0.445,-1.13,-0.72,-0.772,-0.305,-1.177,-0.553,-0.405,-0.298,0.304,0.468,0.501,0.192,0.233,0.043,0.166,0.516,0.261,1.593,0.964,1.896,-0.453,-0.103,1.174,1.398,-0.066,0.243,0.846,0.938
2016-08-09,CTD7,4176724,690397,0.1216,0.0946,0.0752,0.0517,0.0449,0.0353,0.0343,0.0306,0.0288,0.0088,0.0007,0.0184,0.0147,12.67,0.114,-2.727,0.293,-8.772,0.356,-11.701,0.185,-6.044,0.252,-8.974,0.07,-2.929,-0.141,-0.122,-0.66,-0.394,-0.88,-0.605,-0.572,-0.271,-0.849,-0.464,-0.277,-0.22,0.201,0.357,0.392,0.168,0.207,0.04,0.107,0.39,0.155,1.233,0.652,1.419,-0.357,-0.074,0.98,1.128,-0.051,0.213,0.862,0.946
2016-08-09,CTD8,4174178,693048,0.1178,0.0899,0.07,0.0425,0.0359,0.0277,0.0255,0.0232,0.0213,0.0069,0.0005,0.0123,0.0089,13.84,0.124,-3.162,0.358,-12.406,0.429,-16.732,0.244,-9.244,0.322,-13.569,0.084,-4.326,-0.134,-0.114,-0.868,-0.445,-1.171,-0.711,-0.831,-0.332,-1.22,-0.577,-0.389,-0.303,0.254,0.448,0.48,0.219,0.258,0.041,0.1,0.44,0.165,1.602,0.857,1.897,-0.405,-0.066,1.248,1.477,-0.04,0.208,0.828,0.941
2016-08-09,CTD9,4171106,693183,0.1233,0.0983,0.0842,0.059,0.0497,0.0377,0.0359,0.0324,0.0309,0.0093,0.0005,0.0213,0.0163,3.66,0.077,-1.704,0.25,-6.776,0.328,-9.948,0.176,-5.073,0.258,-8.244,0.086,-3.172,-0.101,-0.085,-0.571,-0.337,-0.838,-0.587,-0.499,-0.252,-0.81,-0.486,-0.312,-0.267,0.13,0.294,0.339,0.17,0.219,0.051,-0.02,0.325,-0.028,1.076,0.551,1.277,-0.331,0.014,0.922,1.094,0.01,0.195,0.862,0.935
2016-08-09,CTD10,4170388,695646,0.1206,0.0925,0.0741,0.0488,0.0411,0.0333,0.0329,0.0283,0.0273,0.0084,0.0006,0.0167,0.0138,12.667,0.11,-2.684,0.309,-9.681,0.385,-13.52,0.206,-6.997,0.286,-10.836,0.086,-3.839,-0.131,-0.11,-0.717,-0.398,-1.002,-0.66,-0.647,-0.288,-1.002,-0.529,-0.355,-0.284,0.205,0.379,0.418,0.189,0.234,0.046,0.061,0.406,0.093,1.341,0.732,1.592,-0.386,-0.041,1.074,1.275,-0.027,0.214,0.848,0.937
2016-08-09,CTD11,4169609,700351,0.1245,0.0925,0.0728,0.0489,0.043,0.0354,0.0355,0.0274,0.0314,0.0093,0.0005,0.0202,0.0175,9.49,0.119,-2.925,0.308,-9.639,0.365,-12.445,0.196,-6.714,0.257,-9.52,0.064,-2.806,-0.143,-0.126,-0.702,-0.414,-0.906,-0.609,-0.621,-0.289,-0.881,-0.466,-0.26,-0.204,0.214,0.377,0.407,0.176,0.211,0.036,0.133,0.391,0.199,1.301,0.662,1.479,-0.35,-0.092,1.024,1.164,-0.062,0.207,0.855,0.952
2016-08-09,CTD12,4173438,695414,0.1192,0.0917,0.0715,0.0456,0.0386,0.0309,0.0292,0.0262,0.0252,0.0077,0.0006,0.015,0.0125,9.643,0.124,-3.081,0.336,-11.025,0.408,-15.002,0.221,-7.944,0.299,-11.921,0.083,-3.977,-0.14,-0.119,-0.788,-0.426,-1.073,-0.684,-0.728,-0.307,-1.093,-0.544,-0.365,-0.284,0.24,0.419,0.453,0.199,0.24,0.043,0.101,0.436,0.159,1.471,0.808,1.738,-0.402,-0.067,1.147,1.355,-0.043,0.217,0.841,0.94
2016-09-08,CTD1,4187246,695025,0.1222,0.0924,0.0745,0.0498,0.0428,0.0348,0.0343,0.0289,0.029,0.0086,0.0007,0.017,0.0124,20.69,0.107,-2.6,0.3,-9.258,0.367,-12.542,0.199,-6.658,0.27,-9.942,0.076,-3.284,-0.129,-0.111,-0.69,-0.396,-0.934,-0.625,-0.615,-0.285,-0.919,-0.495,-0.303,-0.245,0.193,0.363,0.399,0.183,0.223,0.042,0.077,0.381,0.115,1.281,0.663,1.49,-0.357,-0.053,1.033,1.202,-0.036,0.205,0.852,0.944
2016-09-08,CTD2,4181518,693105,0.1193,0.0889,0.0689,0.0435,0.0371,0.0301,0.0289,0.0242,0.0244,0.0078,0.0007,0.0123,0.009,15.453,0.127,-3.265,0.343,-11.74,0.411,-15.706,0.226,-8.475,0.3,-12.44,0.079,-3.966,-0.142,-0.121,-0.809,-0.436,-1.082,-0.683,-0.753,-0.314,-1.106,-0.541,-0.353,-0.273,0.248,0.428,0.461,0.202,0.24,0.041,0.118,0.437,0.187,1.505,0.812,1.765,-0.397,-0.078,1.167,1.368,-0.049,0.214,0.839,0.943
2016-09-08,CTD3,4181698,695238,0.1178,0.0865,0.0661,0.0406,0.0346,0.0275,0.0261,0.0215,0.0218,0.0072,0.0005,0.0099,0.0072,12.993,0.134,-3.568,0.361,-13.07,0.429,-17.341,0.239,-9.502,0.313,-13.773,0.08,-4.271,-0.145,-0.123,-0.864,-0.452,-1.146,-0.704,-0.822,-0.329,-1.191,-0.559,-0.369,-0.282,0.271,0.456,0.486,0.211,0.248,0.039,0.135,0.456,0.22,1.607,0.872,1.886,-0.409,-0.088,1.228,1.441,-0.054,0.214,0.833,0.944
2016-09-08,CTD4,4180266,698264,0.1196,0.0895,0.0668,0.044,0.0375,0.0311,0.0301,0.0256,0.0254,0.0075,0.0005,0.0142,0.0107,14.823,0.145,-3.797,0.341,-11.554,0.409,-15.493,0.206,-7.757,0.281,-11.697,0.08,-3.939,-0.167,-0.142,-0.772,-0.433,-1.035,-0.682,-0.694,-0.291,-1.047,-0.515,-0.353,-0.263,0.279,0.436,0.469,0.18,0.219,0.042,0.166,0.488,0.253,1.473,0.868,1.728,-0.427,-0.106,1.099,1.29,-0.07,0.24,0.854,0.941
2016-09-08,CTD5,4179450,700268,0.1238,0.095,0.0721,0.0403,0.0353,0.0322,0.0307,0.0267,0.0268,0.0081,0.0006,0.016,0.012,1.0265,0.137,-3.343,0.404,-14.288,0.458,-17.802,0.283,-10.944,0.343,-14.459,0.066,-3.515,-0.135,-0.118,-1.03,-0.504,-1.284,-0.717,-1.04,-0.386,-1.374,-0.583,-0.334,-0.253,0.303,0.509,0.531,0.244,0.272,0.03,0.176,0.442,0.315,1.868,0.902,2.132,-0.383,-0.117,1.418,1.618,-0.065,0.187,0.81,0.956
2016-09-08,CTD6,4176009,695829,0.1166,0.0862,0.0644,0.04,0.0337,0.0272,0.0251,0.021,0.0211,0.0072,0.0005,0.0095,0.007,13.47,0.145,-3.927,0.366,-13.399,0.438,-18.073,0.234,-9.472,0.313,-14.146,0.085,-4.674,-0.157,-0.132,-0.863,-0.452,-1.164,-0.723,-0.816,-0.319,-1.219,-0.566,-0.403,-0.301,0.296,0.471,0.503,0.204,0.243,0.042,0.152,0.496,0.244,1.632,0.948,1.937,-0.44,-0.095,1.219,1.447,-0.059,0.23,0.838,0.94
2016-09-08,CTD7,4176724,690397,0.1202,0.0895,0.0703,0.0444,0.0377,0.0308,0.0298,0.0244,0.0248,0.0074,0.0006,0.0119,0.0083,16.1,0.12,-3.052,0.337,-11.349,0.407,-15.352,0.226,-8.298,0.302,-12.3,0.082,-4.003,-0.135,-0.115,-0.798,-0.428,-1.079,-0.682,-0.743,-0.313,-1.101,-0.546,-0.358,-0.281,0.234,0.418,0.452,0.204,0.243,0.042,0.095,0.424,0.151,1.479,0.791,1.742,-0.392,-0.064,1.162,1.369,-0.04,0.21,0.838,0.942
2016-09-08,CTD9,4171106,693183,0.121,0.0933,0.0792,0.0541,0.0467,0.0355,0.0347,0.0297,0.0297,0.0084,0.0005,0.0174,0.0126,3.8,0.082,-1.908,0.266,-7.766,0.333,-10.695,0.188,-5.858,0.258,-8.787,0.073,-2.929,-0.103,-0.089,-0.615,-0.363,-0.847,-0.579,-0.547,-0.274,-0.82,-0.475,-0.273,-0.232,0.14,0.311,0.35,0.179,0.22,0.043,0.02,0.315,0.029,1.135,0.534,1.315,-0.31,-0.014,0.963,1.116,-0.01,0.183,0.854,0.944
2016-09-08,CTD10,4170388,695646,0.1201,0.0914,0.0751,0.049,0.0424,0.0322,0.0314,0.0262,0.0258,0.0083,0.0005,0.0139,0.0101,16.087,0.098,-2.375,0.302,-9.467,0.366,-12.644,0.21,-7.093,0.278,-10.269,0.072,-3.177,-0.116,-0.101,-0.711,-0.401,-0.95,-0.62,-0.648,-0.301,-0.939,-0.503,-0.29,-0.239,0.178,0.361,0.395,0.195,0.233,0.04,0.061,0.352,0.094,1.301,0.623,1.503,-0.334,-0.044,1.069,1.235,-0.028,0.189,0.843,0.947
2016-09-08,CTD11,4169609,700351,0.1194,0.0905,0.0721,0.0469,0.0402,0.033,0.0317,0.0269,0.0276,0.0085,0.0006,0.0159,0.0116,13.64,0.113,-2.82,0.317,-10.272,0.385,-13.826,0.212,-7.452,0.284,-11.006,0.077,-3.554,-0.132,-0.113,-0.741,-0.413,-0.997,-0.648,-0.674,-0.3,-0.996,-0.516,-0.322,-0.256,0.211,0.388,0.423,0.193,0.232,0.041,0.089,0.398,0.136,1.372,0.714,1.601,-0.37,-0.06,1.093,1.275,-0.039,0.206,0.845,0.944
2016-09-08,CTD12,4173438,695414,0.1191,0.0888,0.0687,0.0447,0.0377,0.0305,0.029,0.0241,0.0244,0.0078,0.0006,0.0125,0.0095,13.523,0.128,-3.295,0.33,-11.11,0.404,-15.264,0.212,-7.815,0.291,-11.969,0.085,-4.154,-0.147,-0.124,-0.763,-0.419,-1.049,-0.682,-0.694,-0.295,-1.063,-0.535,-0.369,-0.285,0.244,0.414,0.451,0.19,0.232,0.044,0.107,0.449,0.164,1.438,0.819,1.705,-0.412,-0.07,1.112,1.319,-0.045,0.226,0.848,0.938
2017-06-30,CTD1,4187246,695025,0.1269,0.1037,0.0838,0.0483,0.039,0.032,0.0306,0.0285,0.0254,0.0102,0.0011,0.0166,0.0121,1.003,0.106,-2.29,0.364,-11.061,0.453,-15.998,0.269,-8.771,0.365,-13.708,0.107,-4.937,-0.111,-0.089,-0.927,-0.431,-1.341,-0.773,-0.91,-0.342,-1.422,-0.662,-0.512,-0.414,0.228,0.451,0.49,0.249,0.295,0.05,-0.001,0.43,-0.002,1.682,0.924,2.083,-0.43,0.001,1.359,1.683,0.0,0.2,0.811,0.93
2017-06-30,CTD2,4181518,693105,0.1399,0.12,0.1002,0.0709,0.0638,0.0594,0.0587,0.0569,0.0536,0.0197,0.0011,0.0439,0.0355,0.647,0.09,-1.647,0.257,-5.771,0.306,-7.341,0.171,-4.124,0.222,-5.694,0.053,-1.57,-0.117,-0.105,-0.578,-0.368,-0.736,-0.52,-0.495,-0.263,-0.683,-0.404,-0.188,-0.157,0.147,0.299,0.328,0.159,0.191,0.032,0.086,0.298,0.122,1.056,0.468,1.173,-0.276,-0.065,0.882,0.98,-0.046,0.176,0.867,0.959
2017-06-30,CTD3,4181698,695238,0.1405,0.1194,0.0961,0.0713,0.0654,0.0623,0.0622,0.0601,0.0585,0.021,0.001,0.047,0.039,1.103,0.108,-2.031,0.252,-5.65,0.292,-6.915,0.148,-3.619,0.19,-4.885,0.043,-1.265,-0.145,-0.133,-0.543,-0.37,-0.665,-0.493,-0.432,-0.237,-0.583,-0.348,-0.151,-0.122,0.17,0.298,0.323,0.134,0.161,0.027,0.152,0.325,0.205,0.994,0.478,1.084,-0.285,-0.112,0.8,0.872,-0.083,0.194,0.885,0.965
2017-06-30,CTD4,4180266,698264,0.1411,0.12,0.0984,0.0707,0.0647,0.0602,0.0595,0.0569,0.0562,0.02,0.0009,0.0447,0.0366,1.0585,0.099,-1.829,0.259,-5.811,0.299,-7.123,0.164,-3.982,0.207,-5.293,0.044,-1.312,-0.129,-0.118,-0.572,-0.376,-0.701,-0.504,-0.478,-0.258,-0.635,-0.374,-0.157,-0.129,0.16,0.302,0.327,0.15,0.177,0.027,0.127,0.304,0.176,1.04,0.463,1.136,-0.273,-0.095,0.853,0.932,-0.068,0.179,0.873,0.965
2017-06-30,CTD5,4179450,700268,0.1329,0.1121,0.0889,0.0554,0.0511,0.0465,0.0448,0.0457,0.0414,0.0149,0.0008,0.0321,0.0257,0.285,0.115,-2.328,0.339,-9.13,0.374,-10.649,0.232,-6.802,0.27,-8.321,0.04,-1.519,-0.129,-0.119,-0.812,-0.467,-0.947,-0.59,-0.762,-0.348,-0.933,-0.461,-0.17,-0.135,0.218,0.405,0.423,0.205,0.226,0.021,0.177,0.339,0.284,1.449,0.589,1.571,-0.291,-0.129,1.149,1.246,-0.081,0.167,0.833,0.97
2017-06-30,CTD6,4176009,695829,0.1479,0.1263,0.1068,0.0807,0.0747,0.0705,0.0707,0.0667,0.0675,0.0239,0.0008,0.0552,0.0456,1.2235,0.084,-1.446,0.22,-4.474,0.257,-5.469,0.139,-3.028,0.177,-4.024,0.039,-0.995,-0.117,-0.108,-0.478,-0.334,-0.584,-0.441,-0.382,-0.226,-0.508,-0.325,-0.126,-0.106,0.125,0.251,0.275,0.13,0.155,0.026,0.102,0.257,0.135,0.866,0.367,0.935,-0.235,-0.08,0.732,0.791,-0.06,0.164,0.888,0.968
2017-06-30,CTD7,4176724,690397,0.1519,0.1358,0.1209,0.086,0.0778,0.0721,0.0724,0.0683,0.0672,0.0243,0.001,0.0549,0.0452,1.085,0.058,-0.908,0.225,-4.264,0.272,-5.49,0.169,-3.357,0.217,-4.582,0.05,-1.226,-0.078,-0.071,-0.516,-0.332,-0.664,-0.472,-0.456,-0.261,-0.622,-0.394,-0.166,-0.148,0.091,0.251,0.28,0.163,0.194,0.032,0.018,0.219,0.025,0.936,0.34,1.034,-0.215,-0.014,0.833,0.921,-0.01,0.138,0.864,0.96
2017-06-30,CTD8,4174178,693048,0.1502,0.1313,0.1128,0.0833,0.0768,0.0723,0.0732,0.0688,0.0687,0.0245,0.001,0.0571,0.0471,0.7295,0.076,-1.249,0.224,-4.389,0.262,-5.405,0.15,-3.14,0.19,-4.156,0.041,-1.016,-0.104,-0.096,-0.495,-0.337,-0.61,-0.45,-0.412,-0.241,-0.546,-0.346,-0.133,-0.115,0.116,0.253,0.278,0.142,0.168,0.027,0.079,0.242,0.107,0.895,0.355,0.971,-0.226,-0.063,0.769,0.834,-0.046,0.154,0.879,0.967
2017-06-30,CTD9,4171106,693183,0.155,0.1406,0.1277,0.1012,0.0887,0.0762,0.0759,0.0719,0.0705,0.0246,0.001,0.0584,0.0477,0.4625,0.048,-0.718,0.163,-2.769,0.226,-4.162,0.116,-2.051,0.18,-3.443,0.066,-1.393,-0.073,-0.064,-0.354,-0.246,-0.531,-0.421,-0.288,-0.182,-0.484,-0.348,-0.196,-0.178,0.068,0.182,0.227,0.116,0.161,0.047,-0.04,0.225,-0.05,0.695,0.323,0.793,-0.233,0.032,0.631,0.72,0.025,0.162,0.901,0.945
2017-06-30,CTD10,4170388,695646,0.1498,0.1287,0.1061,0.0824,0.077,0.0733,0.0733,0.0692,0.07,0.0245,0.0009,0.0577,0.0477,0.663,0.096,-1.655,0.219,-4.366,0.251,-5.217,0.126,-2.711,0.159,-3.562,0.034,-0.851,-0.136,-0.127,-0.463,-0.336,-0.554,-0.43,-0.349,-0.209,-0.458,-0.294,-0.11,-0.09,0.142,0.253,0.274,0.115,0.138,0.023,0.143,0.279,0.184,0.836,0.384,0.895,-0.246,-0.11,0.689,0.738,-0.085,0.178,0.899,0.971
2017-06-30,CTD11,4169609,700351,0.1653,0.1398,0.12,0.1001,0.0959,0.0929,0.0952,0.0838,0.0929,0.0326,0.0012,0.0776,0.0664,1.0195,0.076,-1.18,0.165,-2.837,0.186,-3.274,0.09,-1.657,0.112,-2.094,0.021,-0.438,-0.118,-0.113,-0.34,-0.272,-0.393,-0.328,-0.232,-0.159,-0.293,-0.21,-0.061,-0.053,0.101,0.184,0.199,0.084,0.1,0.016,0.121,0.207,0.145,0.597,0.259,0.624,-0.185,-0.1,0.513,0.535,-0.083,0.148,0.923,0.981
2017-06-30,CTD12,4173438,695414,0.1496,0.1297,0.1105,0.0839,0.0776,0.0726,0.0734,0.0688,0.0695,0.0244,0.0009,0.0576,0.0482,1.1075,0.08,-1.34,0.214,-4.209,0.251,-5.176,0.137,-2.869,0.175,-3.837,0.039,-0.968,-0.112,-0.104,-0.465,-0.327,-0.572,-0.434,-0.372,-0.223,-0.498,-0.322,-0.126,-0.107,0.119,0.243,0.268,0.128,0.154,0.026,0.093,0.249,0.122,0.844,0.354,0.912,-0.229,-0.073,0.719,0.777,-0.055,0.161,0.889,0.968
2018-02-20,CTD1,4187246,695025,0.1509,0.1164,0.0954,0.0749,0.0762,0.0789,0.0853,0.0733,0.0885,0.0411,0.0142,0.0865,0.0899,3.3965,0.099,-1.891,0.217,-4.76,0.209,-4.532,0.12,-2.869,0.112,-2.641,-0.009,0.228,-0.142,-0.144,-0.454,-0.363,-0.432,-0.339,-0.334,-0.219,-0.307,-0.198,0.027,0.022,0.139,0.242,0.236,0.106,0.1,-0.006,0.237,0.203,0.302,0.755,0.254,0.742,-0.163,-0.198,0.619,0.608,-0.155,0.13,0.903,1.008
2018-02-20,CTD2,4181518,693105,0.1416,0.1113,0.0892,0.0594,0.0561,0.0563,0.0582,0.0539,0.0557,0.0259,0.0109,0.0526,0.0482,4.2665,0.11,-2.226,0.304,-7.85,0.33,-8.841,0.201,-5.624,0.228,-6.615,0.029,-0.99,-0.132,-0.125,-0.7,-0.44,-0.789,-0.525,-0.626,-0.316,-0.736,-0.393,-0.11,-0.088,0.191,0.357,0.371,0.178,0.194,0.016,0.189,0.303,0.284,1.245,0.482,1.318,-0.257,-0.143,0.998,1.056,-0.095,0.162,0.851,0.978
2018-02-20,CTD3,4181698,695238,0.1309,0.0983,0.0747,0.04,0.0344,0.03,0.0276,0.0245,0.0225,0.0088,0.0035,0.0134,0.0081,1.941,0.136,-3.214,0.422,-14.827,0.482,-18.897,0.303,-11.613,0.369,-15.683,0.075,-4.07,-0.129,-0.111,-1.108,-0.51,-1.412,-0.756,-1.142,-0.399,-1.542,-0.627,-0.4,-0.304,0.317,0.534,0.557,0.261,0.291,0.032,0.153,0.456,0.286,1.997,0.99,2.322,-0.403,-0.1,1.518,1.765,-0.054,0.186,0.799,0.951
2018-02-20,CTD4,4180266,698264,0.1226,0.0896,0.0665,0.0318,0.0259,0.0209,0.0189,0.0151,0.0143,0.0055,0.0007,0.0035,0.0022,1.8195,0.148,-3.877,0.476,-20.286,0.552,-27.449,0.353,-16.409,0.439,-23.572,0.102,-7.163,-0.123,-0.1,-1.349,-0.525,-1.825,-0.873,-1.47,-0.425,-2.112,-0.75,-0.642,-0.476,0.4,0.626,0.648,0.3,0.334,0.038,0.12,0.533,0.25,2.428,1.368,2.981,-0.486,-0.072,1.802,2.213,-0.035,0.189,0.778,0.94
2018-02-20,CTD5,4179450,700268,0.1267,0.097,0.0707,0.0275,0.0213,0.0181,0.016,0.0126,0.0112,0.005,0.0007,0.0027,0.0019,0.2165,0.157,-3.835,0.558,-26.054,0.64,-36.639,0.44,-22.219,0.537,-32.804,0.127,-10.585,-0.105,-0.082,-1.842,-0.555,-2.59,-1.008,-2.155,-0.473,-3.182,-0.902,-1.027,-0.748,0.539,0.755,0.771,0.365,0.397,0.037,0.081,0.597,0.208,3.226,1.983,4.165,-0.562,-0.046,2.351,3.036,-0.018,0.169,0.742,0.937
2018-02-20,CTD6,4176009,695829,0.1225,0.0897,0.0677,0.0327,0.0265,0.0208,0.0187,0.0148,0.0142,0.0054,0.0006,0.0036,0.0021,5.823,0.14,-3.623,0.466,-19.433,0.544,-26.588,0.349,-15.81,0.437,-22.965,0.105,-7.155,-0.118,-0.096,-1.316,-0.515,-1.8,-0.869,-1.418,-0.419,-2.06,-0.751,-0.642,-0.484,0.372,0.605,0.629,0.301,0.337,0.039,0.091,0.515,0.188,2.352,1.315,2.902,-0.479,-0.056,1.775,2.19,-0.027,0.188,0.778,0.938
2018-02-20,CTD7,4176724,690397,0.1282,0.0958,0.0754,0.0395,0.0342,0.0303,0.0292,0.0238,0.0244,0.0093,0.0027,0.0148,0.0111,1.673,0.119,-2.824,0.416,-14.878,0.474,-18.801,0.312,-12.054,0.376,-15.977,0.072,-3.923,-0.112,-0.097,-1.122,-0.509,-1.418,-0.743,-1.155,-0.412,-1.531,-0.631,-0.376,-0.296,0.277,0.514,0.536,0.276,0.305,0.031,0.116,0.405,0.221,1.972,0.892,2.277,-0.368,-0.079,1.552,1.792,-0.041,0.167,0.79,0.954
