Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Band_15,Band_16,Chl
2016-08-09,CTD1,4187246,695025,0.011592904,0.0169146,0.028794995,0.014278671,0.013503431,0.0038232114,0.003727387,0.001509244,0.011479407,0.016700996,0.028969709,0.014400959,0.012485512,0.0038695396,0.5449991,-8.000000000000001e-45,11.46
2016-08-09,CTD2,4181518,693105,0.011363186,0.014885432,0.02104404,0.012018761,0.009860281,0.0030231548,0.0029995092,0.0012526847,0.011299722,0.014877826,0.020830162,0.011859454,0.009783468,0.002927402,0.21890675,-8.000000000000001e-45,12.21
2016-08-09,CTD3,4181698,695238,0.013396457,0.017670326,0.024608793,0.0141439,0.011111336,0.003435775,0.003326966,0.001396929,0.013256813,0.017723562,0.024332324,0.0138826575,0.011230958,0.003276108,0.16181253,-8.000000000000001e-45,11.75
2016-08-09,CTD4,4180266,698264,0.0068747336,0.008679462,0.015605514,0.0076795965,0.015444475,0.003672993,0.0036221184,0.0012944449,0.0069794306,0.008194445,0.01604898,0.008786617,0.010440185,0.004336739,2.9547355,-2e-44,7.58
2016-08-09,CTD6,4176009,695829,0.011115613,0.0154875815,0.022423778,0.01124637,0.008418871,0.0024369855,0.00239987,0.0009990195,0.011078901,0.015511555,0.022248546,0.011193777,0.008559693,0.002348503,0.13686758,-8.000000000000001e-45,9.52
2016-08-09,CTD7,4176724,690397,0.020329,0.027072279,0.038013864,0.021829933,0.017724546,0.0053360825,0.00527858,0.0021277976,0.019907217,0.02719747,0.0380203,0.021598952,0.017720465,0.0051238243,0.20421612,-8.000000000000001e-45,10.94
2016-08-09,CTD8,4174178,693048,0.016221719,0.02291831,0.033376727,0.01588106,0.012083579,0.0033887236,0.0033523503,0.0013633812,0.016009187,0.02297921,0.033360716,0.015803004,0.012055023,0.003247176,0.16559555,-8.000000000000001e-45,12.84
2016-08-09,CTD10,4170388,695646,0.01588775,0.022810996,0.034440156,0.017810361,0.013986021,0.004004518,0.003991673,0.0016129757,0.015663268,0.022858147,0.034458593,0.017676726,0.013919966,0.0038629288,0.19148695,-8.000000000000001e-45,9.75
2016-08-09,CTD11,4169609,700351,0.013264691,0.01850298,0.027197637,0.015967922,0.012060166,0.0035825477,0.0034235597,0.0014423,0.0131443925,0.01859476,0.026954554,0.015748745,0.012326627,0.0034178535,0.120358475,-8.000000000000001e-45,8.69
2016-08-09,CTD12,4173438,695414,0.012755073,0.018824998,0.029143559,0.014056456,0.010666765,0.0029951336,0.0029477947,0.0012111759,0.012650338,0.018851347,0.0291058,0.014006777,0.010704637,0.0028957303,0.16802777,-8.000000000000001e-45,8.52
2016-09-08,CTD1,4187246,695025,0.009679799,0.014128845,0.024649302,0.013686976,0.013245068,0.0039513498,0.0038650408,0.0015915099,0.009628016,0.013942964,0.024794599,0.013783947,0.012384581,0.0039954428,0.5782999,-8.000000000000001e-45,18.69
2016-09-08,CTD2,4181518,693105,0.0102082575,0.014971433,0.023616333,0.012307406,0.009491137,0.0027280597,0.0026811461,0.001115416,0.01017363,0.014971376,0.023558177,0.012263626,0.009549717,0.0026543294,0.17777525,-8.000000000000001e-45,13.22
2016-09-08,CTD3,4181698,695238,0.005246576,0.007819605,0.01345593,0.0062605985,0.0051390636,0.0013790033,0.0013643369,0.00056830957,0.0052816747,0.007760265,0.013532375,0.0063804477,0.004995178,0.0014065761,0.3273246,-8.000000000000001e-45,13.57
2016-09-08,CTD4,4180266,698264,0.016852992,0.022818645,0.03165196,0.018653609,0.013787858,0.004133223,0.004071092,0.0016759449,0.01661293,0.023025434,0.031395055,0.018354876,0.014234071,0.0038880964,0.0659583,-8.000000000000001e-45,12.38
2016-09-08,CTD6,4176009,695829,0.0075981417,0.01122237,0.018019825,0.009018693,0.006931424,0.0019262272,0.0019307676,0.00080253446,0.0076216753,0.011196998,0.01800324,0.00909244,0.0069504227,0.0019037987,0.19068068,-8.000000000000001e-45,12.32
2016-09-08,CTD7,4176724,690397,0.010122627,0.01496129,0.02381958,0.011436711,0.008987657,0.0025087688,0.0025173964,0.0010271017,0.010084377,0.014924545,0.023811541,0.011469267,0.008901999,0.0024665005,0.2172127,-8.000000000000001e-45,13.91
2016-09-08,CTD10,4170388,695646,0.010633738,0.015907966,0.028533755,0.014320392,0.014077974,0.0040009515,0.0039050493,0.0015763559,0.010542807,0.01566986,0.028791832,0.014524184,0.012899258,0.004087067,0.62733394,-8.000000000000001e-45,15.06
