Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Band_15,Band_16,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.011557551,0.01677188,0.028794995,0.014744224,0.012881314,0.0037190781,0.0036645178,0.001499898,0.011450892,0.016650114,0.028876431,0.014738435,0.012411696,0.003736388,0.42127708,-8.000000000000001e-45,10.09,-0.264,24.895,0.064,-8.2,0.131,-18.008,0.323,-33.095,0.382,-42.904,0.067,-9.809,0.367,0.321,-0.236,-0.106,-0.519,-0.266,-0.555,-0.426,-0.72,-0.633,-0.165,-0.282,-0.435,0.049,0.089,0.474,0.505,0.041,-0.562,-0.291,-1.098,0.69,-0.651,0.79,0.572,0.843,1.185,1.356,0.432,-0.256,0.692,0.957,-0.269,25.429,0.061,-7.79,0.146,-20.51,0.324,-33.219,0.399,-45.939,0.086,-12.719,0.375,0.316,-0.225,-0.097,-0.592,-0.302,-0.553,-0.412,-0.765,-0.677,-0.212,-0.367,-0.45,0.046,0.097,0.486,0.525,0.051,-0.611,-0.266,-1.197,0.7,-0.618,0.831,0.547,0.892,1.214,1.441,0.455,-0.235,0.689,0.947
2016-08-09,CTD2,4181518,693105,0.011378609,0.015170635,0.022114683,0.01308602,0.010211863,0.003135181,0.0030726576,0.0012883042,0.011312262,0.0151770655,0.021913743,0.012872052,0.010413002,0.0029754401,0.12682779,-8.000000000000001e-45,11.205,-0.186,20.698,0.074,-10.501,0.195,-32.009,0.256,-31.199,0.368,-52.706,0.123,-21.508,0.271,0.211,-0.232,-0.107,-0.708,-0.419,-0.473,-0.319,-0.8,-0.69,-0.326,-0.476,-0.298,0.064,0.141,0.356,0.421,0.077,-0.595,-0.094,-1.006,0.698,-0.204,0.894,0.176,0.677,1.017,1.303,0.401,-0.081,0.758,0.918,-0.182,20.255,0.082,-11.799,0.186,-30.145,0.26,-32.054,0.356,-50.4,0.106,-18.346,0.261,0.211,-0.259,-0.123,-0.661,-0.388,-0.486,-0.334,-0.765,-0.649,-0.278,-0.402,-0.289,0.071,0.137,0.353,0.41,0.066,-0.544,-0.116,-0.925,0.704,-0.245,0.87,0.208,0.635,1.016,1.256,0.373,-0.099,0.756,0.929
2016-08-09,CTD3,4181698,695238,0.01071672,0.014699977,0.020822242,0.012379519,0.0089632,0.0025987655,0.0026362666,0.0011002447,0.010668161,0.014882068,0.020655101,0.012456335,0.009467541,0.002429041,0.0028127148,-8.000000000000001e-45,12.075,-0.172,20.002,0.086,-12.751,0.242,-43.54,0.254,-32.753,0.398,-63.542,0.16,-30.789,0.248,0.179,-0.266,-0.114,-0.907,-0.539,-0.481,-0.294,-0.934,-0.787,-0.453,-0.641,-0.287,0.078,0.173,0.357,0.438,0.096,-0.675,-0.018,-1.136,0.757,-0.042,1.046,0.035,0.692,1.072,1.481,0.412,-0.015,0.762,0.897,-0.162,18.781,0.089,-13.085,0.222,-38.429,0.248,-31.866,0.371,-57.21,0.136,-25.344,0.234,0.178,-0.27,-0.124,-0.794,-0.479,-0.474,-0.302,-0.851,-0.713,-0.377,-0.523,-0.263,0.081,0.164,0.337,0.409,0.084,-0.595,-0.04,-0.987,0.736,-0.086,0.969,0.072,0.628,1.022,1.345,0.379,-0.033,0.769,0.91
2016-08-09,CTD4,4180266,698264,0.008905852,0.01154712,0.020527788,0.0085025905,0.012757267,0.003352748,0.0033195373,0.0012944449,0.008946076,0.010900615,0.01956898,0.008786617,0.010652719,0.003097792,0.83157766,-8.000000000000001e-45,8.84,-0.28,37.887,0.152,-31.01,-0.05,8.215,0.414,-68.897,0.233,-29.672,-0.2,39.225,0.322,0.483,-0.637,-0.396,0.169,0.07,-0.796,-0.879,-0.343,-0.252,0.453,0.805,-0.422,0.091,-0.042,0.495,0.388,-0.133,-0.104,-0.938,-0.251,0.737,-1.509,0.491,1.111,0.277,1.309,0.873,0.115,-0.691,0.625,1.147,-0.284,40.637,0.107,-22.072,0.012,-2.135,0.38,-62.708,0.295,-42.771,-0.096,19.937,0.357,0.433,-0.432,-0.235,-0.042,-0.019,-0.684,-0.668,-0.466,-0.376,0.217,0.39,-0.446,0.07,0.009,0.5,0.453,-0.061,-0.268,-0.655,-0.596,0.696,-1.204,0.574,0.97,0.583,1.25,1.031,0.262,-0.528,0.646,1.066
2016-08-09,CTD6,4176009,695829,0.010866346,0.014820004,0.021078905,0.011349414,0.008379667,0.0024124808,0.00239987,0.0009990195,0.010843163,0.014848155,0.020862717,0.011281502,0.008559693,0.0023239157,0.10584251,-8.000000000000001e-45,12.15,-0.174,20.036,0.133,-20.634,0.278,-51.86,0.3,-40.669,0.431,-71.896,0.151,-31.226,0.227,0.168,-0.435,-0.173,-1.093,-0.589,-0.603,-0.341,-1.065,-0.816,-0.463,-0.658,-0.317,0.118,0.199,0.419,0.485,0.083,-0.651,-0.035,-1.21,0.908,-0.089,1.23,0.068,0.684,1.292,1.75,0.368,-0.027,0.729,0.908,-0.168,19.416,0.136,-21.292,0.269,-49.478,0.298,-40.708,0.418,-68.894,0.137,-28.186,0.219,0.166,-0.444,-0.182,-1.032,-0.558,-0.604,-0.348,-1.023,-0.777,-0.419,-0.588,-0.303,0.121,0.196,0.409,0.471,0.076,-0.606,-0.047,-1.121,0.906,-0.115,1.194,0.087,0.646,1.273,1.678,0.35,-0.036,0.732,0.915
2016-08-09,CTD7,4176724,690397,0.013880036,0.019730497,0.030705446,0.018938396,0.01469822,0.0043080775,0.004288094,0.0017497751,0.01374942,0.019918298,0.030750453,0.018626811,0.014427495,0.0040650438,0.14515826,-8.000000000000001e-45,13.535,-0.218,18.115,0.02,-2.12,0.146,-17.352,0.237,-20.235,0.353,-35.468,0.126,-15.233,0.343,0.266,-0.065,-0.031,-0.533,-0.329,-0.399,-0.297,-0.7,-0.672,-0.301,-0.468,-0.326,0.017,0.101,0.342,0.414,0.084,-0.646,-0.134,-1.047,0.563,-0.279,0.726,0.268,0.78,0.876,1.129,0.481,-0.128,0.767,0.915,-0.214,17.685,0.034,-3.481,0.16,-19.107,0.246,-21.166,0.361,-36.792,0.127,-15.626,0.329,0.255,-0.107,-0.05,-0.588,-0.356,-0.422,-0.305,-0.733,-0.685,-0.311,-0.481,-0.328,0.029,0.111,0.353,0.423,0.083,-0.643,-0.127,-1.062,0.6,-0.27,0.775,0.253,0.769,0.927,1.196,0.466,-0.119,0.761,0.915
2016-08-09,CTD8,4174178,693048,0.010402882,0.015704345,0.025355967,0.01222232,0.00956906,0.0027028676,0.0026292522,0.001097651,0.010365723,0.015665445,0.025279175,0.012241106,0.009683657,0.0025866001,0.26514226,-8.000000000000001e-45,14.34,-0.235,24.238,0.125,-18.141,0.243,-40.827,0.35,-42.379,0.452,-65.065,0.122,-22.686,0.296,0.232,-0.46,-0.174,-1.035,-0.499,-0.666,-0.406,-1.022,-0.795,-0.356,-0.575,-0.443,0.1,0.163,0.52,0.565,0.065,-0.658,-0.164,-1.365,0.908,-0.433,1.159,0.337,0.832,1.465,1.872,0.401,-0.127,0.68,0.929,-0.235,24.277,0.123,-17.857,0.236,-39.432,0.347,-42.134,0.446,-63.709,0.117,-21.575,0.297,0.235,-0.451,-0.173,-0.997,-0.483,-0.66,-0.408,-0.998,-0.78,-0.338,-0.545,-0.438,0.098,0.159,0.514,0.559,0.062,-0.644,-0.171,-1.331,0.897,-0.447,1.133,0.35,0.823,1.447,1.829,0.398,-0.134,0.682,0.932
2016-08-09,CTD9,4171106,693183,0.013036164,0.02006638,0.033828877,0.020082636,0.01582168,0.004466356,0.0045266794,0.0018462652,0.012928517,0.020150354,0.033901665,0.0199778,0.015860243,0.004318023,0.19972745,-8.000000000000001e-45,3.66,-0.255,20.274,-0.0,0.04,0.118,-13.37,0.255,-20.234,0.363,-33.644,0.119,-13.41,0.407,0.321,0.001,0.001,-0.452,-0.269,-0.406,-0.32,-0.675,-0.676,-0.269,-0.454,-0.383,-0.0,0.079,0.383,0.449,0.079,-0.676,-0.195,-1.139,0.531,-0.416,0.675,0.417,0.898,0.896,1.137,0.533,-0.195,0.745,0.921,-0.254,20.13,0.004,-0.429,0.119,-13.424,0.258,-20.558,0.363,-33.554,0.115,-12.995,0.402,0.319,-0.015,-0.007,-0.455,-0.268,-0.414,-0.326,-0.676,-0.67,-0.262,-0.441,-0.384,0.003,0.08,0.387,0.45,0.076,-0.665,-0.2,-1.129,0.541,-0.426,0.681,0.423,0.889,0.91,1.146,0.524,-0.198,0.742,0.924
2016-08-09,CTD10,4170388,695646,0.016327148,0.02284161,0.03433029,0.017810361,0.01401841,0.0040529827,0.0040420312,0.0016394382,0.016081367,0.022904217,0.03427543,0.017676726,0.013987463,0.0038934108,0.18805386,-8.000000000000001e-45,14.125,-0.201,14.651,0.124,-12.367,0.239,-27.555,0.317,-27.018,0.42,-42.206,0.119,-15.188,0.261,0.205,-0.425,-0.173,-0.946,-0.491,-0.617,-0.379,-0.964,-0.752,-0.347,-0.521,-0.361,0.104,0.169,0.448,0.5,0.066,-0.605,-0.122,-1.166,0.874,-0.298,1.111,0.232,0.716,1.314,1.669,0.371,-0.095,0.711,0.927,-0.199,14.485,0.129,-12.911,0.242,-27.833,0.319,-27.396,0.42,-42.317,0.117,-14.921,0.256,0.203,-0.443,-0.181,-0.954,-0.492,-0.627,-0.383,-0.969,-0.748,-0.342,-0.511,-0.359,0.108,0.172,0.45,0.5,0.065,-0.596,-0.123,-1.155,0.888,-0.302,1.122,0.233,0.705,1.328,1.679,0.364,-0.095,0.71,0.929
2016-08-09,CTD11,4169609,700351,0.010767565,0.015042636,0.022594802,0.012919855,0.010850893,0.0031603382,0.0030426378,0.0012864679,0.010719227,0.014928797,0.02249028,0.012713011,0.010645811,0.0031111392,0.38435462,-8.000000000000001e-45,9.89,-0.201,22.22,0.076,-10.923,0.162,-25.681,0.272,-33.142,0.351,-47.9,0.087,-14.758,0.287,0.241,-0.247,-0.119,-0.58,-0.332,-0.499,-0.36,-0.721,-0.619,-0.222,-0.333,-0.318,0.063,0.118,0.374,0.42,0.055,-0.525,-0.174,-0.918,0.684,-0.363,0.814,0.311,0.662,1.028,1.223,0.379,-0.15,0.743,0.942,-0.202,22.521,0.08,-11.675,0.167,-26.949,0.278,-34.196,0.357,-49.47,0.088,-15.274,0.286,0.24,-0.263,-0.124,-0.606,-0.343,-0.511,-0.364,-0.739,-0.629,-0.228,-0.344,-0.324,0.067,0.122,0.382,0.428,0.055,-0.53,-0.174,-0.938,0.701,-0.367,0.837,0.312,0.669,1.056,1.261,0.378,-0.148,0.739,0.941
