Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Band_15,Band_16,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2017-06-30,CTD1,4187246,695025,0.015468583,0.02721352,0.04425761,0.0136464285,0.010234116,0.0027547977,0.0026398397,0.0010356994,0.015306697,0.027293429,0.04435919,0.013604328,0.01007784,0.0026533515,0.23786372,0.0,0.963,-0.238,14.151,0.332,-36.533,0.453,-60.966,0.529,-50.684,0.624,-75.117,0.143,-24.433,0.193,0.145,-1.617,-0.374,-2.698,-0.832,-1.379,-0.519,-2.044,-1.025,-0.665,-1.081,-0.714,0.249,0.293,0.817,0.833,0.048,-0.719,-0.135,-2.33,1.763,-0.584,2.351,0.293,0.876,2.867,3.823,0.27,-0.068,0.572,0.941,-0.238,14.096,0.335,-36.867,0.461,-62.589,0.531,-50.963,0.63,-76.684,0.149,-25.722,0.192,0.142,-1.635,-0.372,-2.776,-0.851,-1.391,-0.514,-2.093,-1.043,-0.702,-1.141,-0.721,0.251,0.297,0.823,0.838,0.049,-0.735,-0.125,-2.395,1.779,-0.552,2.402,0.275,0.884,2.891,3.903,0.271,-0.063,0.571,0.939
2017-06-30,CTD2,4181518,693105,0.01600445,0.02769536,0.04109544,0.010275633,0.007115714,0.0019152611,0.0018332816,0.0007169206,0.015861474,0.027646905,0.04130006,0.01022829,0.007175573,0.0018500896,0.1677195,0.0,0.72,-0.195,11.774,0.459,-61.21,0.591,-104.427,0.6,-72.984,0.705,-116.2,0.182,-43.216,0.121,0.084,-2.515,-0.436,-4.291,-1.073,-2.021,-0.519,-3.218,-1.194,-1.197,-1.776,-0.771,0.361,0.401,0.885,0.895,0.046,-0.77,-0.019,-3.08,2.522,-0.107,3.642,0.04,0.791,3.742,5.404,0.198,-0.007,0.552,0.938,-0.198,11.957,0.46,-61.598,0.588,-103.191,0.603,-73.555,0.704,-115.149,0.175,-41.594,0.122,0.086,-2.544,-0.442,-4.262,-1.055,-2.034,-0.528,-3.184,-1.178,-1.15,-1.718,-0.784,0.359,0.397,0.892,0.901,0.044,-0.756,-0.032,-3.053,2.529,-0.185,3.605,0.068,0.792,3.778,5.386,0.196,-0.012,0.549,0.941
2017-06-30,CTD3,4181698,695238,0.013120146,0.022798348,0.033135183,0.008694328,0.005259928,0.0013482212,0.0012894438,0.00049540924,0.013112897,0.022783408,0.033163007,0.0087379245,0.0057500433,0.0012957024,0.07405025,0.0,1.1,-0.185,13.683,0.448,-71.155,0.625,-146.254,0.584,-84.838,0.726,-159.937,0.246,-75.099,0.119,0.072,-2.358,-0.374,-4.846,-1.272,-1.934,-0.446,-3.646,-1.391,-1.712,-2.488,-0.741,0.367,0.419,0.871,0.885,0.061,-0.965,0.083,-3.677,2.463,0.523,4.072,-0.2,0.848,3.58,5.918,0.223,0.032,0.563,0.918,-0.186,13.738,0.446,-70.552,0.597,-130.02,0.583,-84.29,0.704,-143.758,0.206,-59.468,0.12,0.079,-2.34,-0.406,-4.312,-1.136,-1.92,-0.485,-3.275,-1.256,-1.355,-1.972,-0.716,0.361,0.407,0.856,0.87,0.053,-0.833,0.029,-3.16,2.434,0.167,3.699,-0.064,0.798,3.543,5.384,0.21,0.011,0.563,0.929
2017-06-30,CTD4,4180266,698264,0.01083503,0.020462127,0.03256248,0.006521377,0.0040982035,0.0010986803,0.0010637142,0.00041970072,0.010704188,0.02094983,0.03250091,0.006511973,0.0043105516,0.0010619361,0.08611844,0.0,1.122,-0.228,18.161,0.517,-104.471,0.666,-195.139,0.666,-122.632,0.776,-213.299,0.228,-90.668,0.118,0.074,-3.402,-0.428,-6.354,-1.273,-2.509,-0.503,-4.365,-1.391,-1.855,-2.952,-1.139,0.38,0.419,1.06,1.055,0.046,-0.963,-0.0,-4.808,3.012,-0.0,4.793,0.0,0.963,4.793,7.627,0.193,-0.0,0.509,0.938,-0.216,16.965,0.526,-105.83,0.659,-184.256,0.666,-122.795,0.766,-201.221,0.203,-78.426,0.11,0.073,-3.44,-0.456,-5.988,-1.2,-2.573,-0.529,-4.216,-1.31,-1.643,-2.549,-1.067,0.392,0.427,1.029,1.027,0.041,-0.866,-0.017,-4.323,3.084,-0.131,4.66,0.041,0.889,4.785,7.229,0.178,-0.005,0.514,0.944
2017-06-30,CTD6,4176009,695829,0.014340115,0.025530646,0.039268546,0.011147031,0.0074062445,0.002012771,0.0019335764,0.0007533592,0.014129008,0.025515629,0.03936107,0.011144888,0.0075995685,0.0019431087,0.16875507,0.0,0.393,-0.212,13.703,0.392,-50.541,0.55,-95.853,0.558,-64.244,0.683,-109.556,0.202,-45.311,0.153,0.101,-1.985,-0.374,-3.764,-1.068,-1.64,-0.476,-2.797,-1.221,-1.157,-1.779,-0.74,0.308,0.36,0.854,0.869,0.058,-0.855,-0.014,-3.012,2.102,-0.076,3.163,0.033,0.874,3.233,4.865,0.248,-0.006,0.566,0.926,-0.213,13.786,0.392,-50.536,0.541,-92.395,0.559,-64.321,0.676,-106.181,0.189,-41.859,0.154,0.105,-1.989,-0.384,-3.637,-1.03,-1.641,-0.489,-2.709,-1.183,-1.068,-1.648,-0.739,0.306,0.355,0.852,0.866,0.055,-0.818,-0.034,-2.89,2.096,-0.174,3.074,0.076,0.861,3.234,4.743,0.244,-0.015,0.565,0.93
2017-06-30,CTD7,4176724,690397,0.018573845,0.032033525,0.052138567,0.014196474,0.009967345,0.0025872423,0.002476041,0.000953352,0.018411873,0.031988855,0.052112494,0.014169349,0.0099069225,0.002495147,0.23565175,0.0,1.781,-0.239,12.038,0.386,-39.223,0.525,-69.11,0.572,-51.26,0.679,-81.148,0.175,-29.888,0.171,0.12,-2.045,-0.391,-3.603,-0.981,-1.642,-0.511,-2.599,-1.152,-0.957,-1.558,-0.832,0.287,0.333,0.903,0.912,0.05,-0.81,-0.088,-2.974,2.065,-0.459,2.942,0.203,0.926,3.361,4.788,0.252,-0.039,0.549,0.936,-0.239,12.072,0.386,-39.314,0.527,-69.679,0.572,-51.386,0.681,-81.75,0.177,-30.365,0.171,0.12,-2.049,-0.389,-3.631,-0.987,-1.644,-0.509,-2.615,-1.158,-0.971,-1.582,-0.836,0.287,0.333,0.906,0.914,0.051,-0.816,-0.085,-3.003,2.068,-0.449,2.957,0.199,0.93,3.368,4.817,0.253,-0.038,0.549,0.936
2017-06-30,CTD8,4174178,693048,0.02005395,0.031874884,0.046415575,0.011711017,0.007973031,0.0021288157,0.0020587526,0.0008094182,0.01991178,0.03177344,0.046571266,0.011702881,0.008071982,0.0020740547,0.19627011,0.0,0.759,-0.186,9.828,0.463,-54.017,0.6,-94.05,0.597,-63.845,0.707,-103.878,0.19,-40.033,0.115,0.078,-2.507,-0.431,-4.365,-1.101,-2.035,-0.509,-3.311,-1.217,-1.276,-1.858,-0.739,0.371,0.411,0.871,0.882,0.048,-0.782,0.006,-3.1,2.55,0.034,3.746,-0.013,0.775,3.713,5.454,0.196,0.002,0.557,0.936,-0.189,10.0,0.462,-53.976,0.595,-92.412,0.598,-63.977,0.705,-102.413,0.184,-38.436,0.117,0.081,-2.514,-0.436,-4.304,-1.081,-2.033,-0.516,-3.254,-1.199,-1.221,-1.79,-0.748,0.367,0.407,0.875,0.886,0.046,-0.768,-0.007,-3.054,2.542,-0.043,3.685,0.016,0.776,3.725,5.401,0.195,-0.003,0.555,0.938
2017-06-30,CTD10,4170388,695646,0.016212951,0.025602147,0.034855157,0.008816746,0.005717791,0.0015946514,0.0015139108,0.0005963036,0.016053272,0.02566987,0.03494395,0.0087837465,0.005973185,0.0015087852,0.10184614,0.0,0.683,-0.153,10.369,0.488,-74.361,0.635,-135.833,0.596,-84.73,0.718,-146.203,0.213,-61.472,0.091,0.059,-2.592,-0.425,-4.734,-1.198,-2.169,-0.484,-3.743,-1.289,-1.574,-2.143,-0.637,0.414,0.455,0.831,0.847,0.051,-0.807,0.086,-3.192,2.74,0.524,4.225,-0.181,0.713,3.73,5.752,0.18,0.03,0.569,0.929,-0.153,10.339,0.49,-74.89,0.622,-128.459,0.598,-85.229,0.708,-138.798,0.19,-53.568,0.091,0.062,-2.617,-0.447,-4.489,-1.128,-2.188,-0.509,-3.563,-1.219,-1.375,-1.872,-0.628,0.413,0.45,0.827,0.841,0.046,-0.736,0.055,-2.928,2.751,0.319,4.046,-0.109,0.681,3.746,5.508,0.171,0.019,0.568,0.936
2017-06-30,CTD11,4169609,700351,0.009547728,0.017378198,0.030811861,0.009734297,0.0067494996,0.0018715173,0.001827815,0.0007188131,0.009446899,0.017387291,0.030803788,0.00971821,0.006947982,0.0018301206,0.14598681,-1.1e-44,0.963,-0.279,25.088,0.282,-45.186,0.441,-90.616,0.52,-70.275,0.641,-115.704,0.181,-45.43,0.244,0.169,-1.392,-0.305,-2.792,-0.882,-1.221,-0.474,-2.011,-1.126,-0.789,-1.4,-0.815,0.204,0.262,0.874,0.888,0.062,-0.878,-0.129,-2.78,1.566,-0.591,2.259,0.331,1.08,2.777,4.005,0.341,-0.072,0.563,0.926,-0.278,25.05,0.283,-45.386,0.429,-86.413,0.52,-70.436,0.632,-111.463,0.166,-41.027,0.243,0.174,-1.398,-0.315,-2.662,-0.84,-1.225,-0.489,-1.938,-1.083,-0.713,-1.264,-0.805,0.203,0.258,0.866,0.88,0.057,-0.834,-0.15,-2.644,1.564,-0.667,2.187,0.373,1.057,2.77,3.875,0.333,-0.084,0.562,0.932
2017-06-30,CTD12,4173438,695414,0.020263009,0.030274035,0.0460061,0.013707166,0.009808721,0.0026050715,0.0024735816,0.0009553671,0.019898094,0.030299254,0.046264585,0.013677597,0.009764087,0.0024923626,0.25372142,0.0,0.634,-0.206,11.295,0.377,-39.923,0.511,-68.918,0.541,-51.218,0.649,-80.214,0.166,-28.996,0.155,0.111,-1.837,-0.392,-3.171,-0.945,-1.551,-0.502,-2.428,-1.1,-0.878,-1.334,-0.669,0.297,0.343,0.806,0.823,0.051,-0.739,-0.058,-2.482,1.995,-0.27,2.788,0.122,0.804,3.032,4.238,0.24,-0.026,0.577,0.935,-0.209,11.389,0.378,-40.108,0.513,-69.412,0.544,-51.497,0.651,-80.801,0.167,-29.304,0.156,0.111,-1.856,-0.392,-3.211,-0.949,-1.56,-0.503,-2.448,-1.105,-0.888,-1.356,-0.681,0.297,0.343,0.813,0.83,0.051,-0.746,-0.059,-2.523,2.004,-0.279,2.807,0.126,0.813,3.06,4.287,0.24,-0.027,0.574,0.935
