Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.011307813,0.017969118,0.034428872,0.01698891,0.012539909,0.0036974149,0.0036482834,0.0014348704,6.89,-0.314,26.606,0.028,-3.211,0.178,-24.094,0.339,-29.817,0.466,-50.7,0.151,-20.883,0.452,0.334,-0.111,-0.04,-0.83,-0.409,-0.536,-0.374,-0.911,-0.861,-0.375,-0.719,-0.557,0.021,0.106,0.572,0.626,0.085,-0.833,-0.216,-1.688,0.693,-0.594,0.94,0.561,1.178,1.329,1.8,0.581,-0.204,0.667,0.913
2016-08-09,CTD2,4181518,693105,0.008004437,0.01159237,0.020032745,0.01102135,0.00828079,0.0025447959,0.002516696,0.0009985595,5.08,-0.267,36.345,0.025,-4.469,0.167,-34.498,0.29,-40.815,0.415,-70.843,0.142,-30.028,0.401,0.301,-0.09,-0.037,-0.691,-0.38,-0.473,-0.338,-0.821,-0.781,-0.348,-0.602,-0.437,0.02,0.107,0.453,0.52,0.087,-0.752,-0.173,-1.367,0.638,-0.418,0.85,0.397,0.977,1.103,1.468,0.537,-0.164,0.715,0.912
2016-08-09,CTD3,4181698,695238,0.0066049104,0.010402294,0.020110957,0.011028249,0.0087221,0.0027092285,0.002704002,0.0010711503,4.04,-0.318,46.409,-0.029,5.456,0.088,-18.519,0.292,-40.952,0.395,-64.927,0.117,-23.975,0.512,0.405,0.11,0.048,-0.372,-0.204,-0.426,-0.357,-0.675,-0.716,-0.249,-0.482,-0.492,-0.022,0.054,0.475,0.531,0.076,-0.747,-0.274,-1.363,0.51,-0.631,0.644,0.669,1.142,0.985,1.246,0.626,-0.29,0.702,0.926
2016-08-09,CTD4,4180266,698264,0.008539009,0.010796283,0.015540763,0.008974891,0.007396591,0.0024533607,0.0024704451,0.0010289801,3.96,-0.18,28.278,0.092,-18.797,0.187,-42.573,0.268,-47.075,0.355,-70.851,0.096,-23.775,0.254,0.209,-0.292,-0.139,-0.662,-0.382,-0.508,-0.348,-0.765,-0.636,-0.257,-0.369,-0.29,0.079,0.139,0.361,0.412,0.06,-0.519,-0.129,-0.898,0.727,-0.272,0.882,0.226,0.615,1.046,1.27,0.355,-0.108,0.751,0.936
2016-08-09,CTD5,4179450,700268,0.011660724,0.019738011,0.027997961,0.0048873625,0.0029933185,0.0008033009,0.0007804375,0.00031274938,0.135,-0.173,14.947,0.603,-153.946,0.737,-283.414,0.703,-168.892,0.807,-298.36,0.24,-129.468,0.073,0.045,-4.31,-0.461,-7.935,-1.385,-3.334,-0.506,-5.889,-1.458,-2.555,-3.625,-1.048,0.479,0.509,1.017,1.015,0.04,-0.928,0.093,-5.315,3.932,0.865,6.419,-0.214,0.806,5.577,9.106,0.141,0.023,0.516,0.942
2016-08-09,CTD6,4176009,695829,0.008728256,0.01312852,0.023303784,0.010997228,0.007855099,0.0022900982,0.002249018,0.0008909757,4.23,-0.279,33.259,0.088,-14.762,0.251,-51.136,0.359,-48.021,0.496,-84.394,0.167,-36.374,0.366,0.261,-0.344,-0.116,-1.192,-0.562,-0.63,-0.377,-1.108,-0.928,-0.478,-0.848,-0.54,0.068,0.154,0.586,0.64,0.086,-0.837,-0.151,-1.773,0.857,-0.448,1.199,0.375,1.061,1.521,2.129,0.501,-0.126,0.662,0.908
2016-08-09,CTD7,4176724,690397,0.009490996,0.014346379,0.027014345,0.014752869,0.011038794,0.0033040885,0.0032684698,0.0012929076,5.94,-0.306,32.687,-0.014,1.921,0.13,-20.886,0.294,-30.766,0.42,-53.572,0.144,-22.806,0.482,0.361,0.052,0.021,-0.564,-0.308,-0.441,-0.34,-0.769,-0.79,-0.327,-0.616,-0.491,-0.011,0.079,0.483,0.549,0.09,-0.805,-0.217,-1.475,0.564,-0.531,0.754,0.547,1.135,1.062,1.419,0.62,-0.223,0.704,0.911
2016-08-09,CTD8,4174178,693048,0.011349454,0.017084971,0.030805638,0.014012694,0.009857922,0.0027962578,0.0027395575,0.001074012,6.3,-0.287,26.069,0.099,-12.833,0.268,-42.91,0.375,-38.902,0.515,-68.98,0.174,-30.077,0.365,0.257,-0.395,-0.127,-1.322,-0.601,-0.665,-0.383,-1.179,-0.967,-0.514,-0.927,-0.575,0.076,0.161,0.623,0.674,0.087,-0.867,-0.149,-1.906,0.899,-0.465,1.278,0.382,1.1,1.621,2.305,0.5,-0.122,0.649,0.907
2016-08-09,CTD9,4171106,693183,0.012887651,0.019614693,0.038908083,0.020383308,0.015258424,0.0045438446,0.00447989,0.0017464709,,-0.33,25.281,-0.019,1.922,0.125,-14.555,0.312,-23.358,0.437,-39.836,0.144,-16.478,0.515,0.386,0.075,0.029,-0.566,-0.297,-0.458,-0.356,-0.781,-0.812,-0.323,-0.641,-0.541,-0.014,0.073,0.531,0.591,0.088,-0.832,-0.244,-1.588,0.57,-0.623,0.762,0.648,1.235,1.131,1.511,0.647,-0.254,0.683,0.914
2016-08-09,CTD10,4170388,695646,0.008215142,0.013139853,0.026191412,0.0135051105,0.010057968,0.0030901958,0.0030795357,0.0012280812,4.72,-0.332,37.924,-0.014,2.058,0.133,-23.319,0.32,-35.866,0.445,-61.243,0.146,-25.378,0.512,0.381,0.054,0.021,-0.611,-0.315,-0.471,-0.361,-0.805,-0.827,-0.333,-0.665,-0.554,-0.01,0.078,0.547,0.605,0.088,-0.841,-0.243,-1.631,0.589,-0.633,0.791,0.651,1.249,1.174,1.576,0.644,-0.25,0.677,0.913
