Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl
2016-08-09,CTD1,4187246,695025,0.011307813,0.017969118,0.034428872,0.01698891,0.012539909,0.0036974149,0.0036482834,0.0014348704,6.89
2016-08-09,CTD2,4181518,693105,0.008004437,0.01159237,0.020032745,0.01102135,0.00828079,0.0025447959,0.002516696,0.0009985595,5.08
2016-08-09,CTD3,4181698,695238,0.0066049104,0.010402294,0.020110957,0.011028249,0.0087221,0.0027092285,0.002704002,0.0010711503,4.04
2016-08-09,CTD4,4180266,698264,0.008539009,0.010796283,0.015540763,0.008974891,0.007396591,0.0024533607,0.0024704451,0.0010289801,3.96
2016-08-09,CTD5,4179450,700268,0.011660724,0.019738011,0.027997961,0.0048873625,0.0029933185,0.0008033009,0.0007804375,0.00031274938,0.135
2016-08-09,CTD6,4176009,695829,0.008728256,0.01312852,0.023303784,0.010997228,0.007855099,0.0022900982,0.002249018,0.0008909757,4.23
2016-08-09,CTD7,4176724,690397,0.009490996,0.014346379,0.027014345,0.014752869,0.011038794,0.0033040885,0.0032684698,0.0012929076,5.94
2016-08-09,CTD8,4174178,693048,0.011349454,0.017084971,0.030805638,0.014012694,0.009857922,0.0027962578,0.0027395575,0.001074012,6.3
2016-08-09,CTD9,4171106,693183,0.012887651,0.019614693,0.038908083,0.020383308,0.015258424,0.0045438446,0.00447989,0.0017464709,
2016-08-09,CTD10,4170388,695646,0.008215142,0.013139853,0.026191412,0.0135051105,0.010057968,0.0030901958,0.0030795357,0.0012280812,4.72
2016-08-09,CTD11,4169609,700351,0.010594092,0.014990315,0.023515444,0.012665654,0.009100578,0.0026744625,0.002616302,0.0010325395,3.95
2016-08-09,CTD12,4173438,695414,0.009594027,0.015129394,0.027630828,0.012711863,0.008974977,0.0025666677,0.002516696,0.0009904995,4.48
2016-09-08,CTD1,4187246,695025,0.0064910618,0.010659312,0.021736035,0.013740791,0.010653067,0.0033775738,0.003386954,0.0013554926,4.95
2016-09-08,CTD2,4181518,693105,0.0065988726,0.0105019435,0.021296188,0.011335246,0.008331094,0.0024894085,0.002467637,0.0009874435,4.29
2016-09-08,CTD3,4181698,695238,0.007158684,0.011048634,0.020894818,0.010560243,0.007628206,0.0022539734,0.0022257853,0.0008864408,3.92
2016-09-08,CTD4,4180266,698264,0.0063420925,0.009306424,0.017956154,0.010378243,0.00784976,0.0024894085,0.002490178,0.0010047373,4.15
2016-09-08,CTD5,4179450,700268,0.0068652206,0.012021089,0.018387271,0.0038938415,0.0024465383,0.0006581113,0.00064042106,0.0002577679,0.1399999999999999
2016-09-08,CTD6,4176009,695829,0.0060909125,0.009625891,0.019258818,0.010169677,0.007675242,0.0023496428,0.0023199716,0.0009250828,4.35
2016-09-08,CTD7,4176724,690397,0.0061021247,0.009907475,0.02080786,0.011219337,0.008543358,0.0025925457,0.0025830623,0.0010357121,4.69
2016-09-08,CTD9,4171106,693183,0.010341603,0.015901329,0.03131426,0.019666811,0.015280395,0.004763952,0.004742825,0.0018747537,
2016-09-08,CTD10,4170388,695646,0.0075017973,0.012268942,0.026611755,0.01553895,0.012224649,0.003842111,0.003846725,0.0015324722,5.38
2016-09-08,CTD11,4169609,700351,0.0063770846,0.010480074,0.02196847,0.012278063,0.009328323,0.0028834904,0.0029017113,0.0011628463,6.33
2016-09-08,CTD12,4173438,695414,0.00643777,0.0102973245,0.020820264,0.011395327,0.008635242,0.0028065266,0.0027930995,0.0011168569,4.19
2017-06-30,CTD1,4187246,695025,0.0133649865,0.022966696,0.041454017,0.010677399,0.0069292574,0.0018483187,0.0018094713,0.0007143171,3.878
2017-06-30,CTD2,4181518,693105,0.008633186,0.016471583,0.032805778,0.0084245,0.0055071986,0.0014859518,0.001462853,0.0005837044,2.0475
2017-06-30,CTD3,4181698,695238,0.0076041366,0.013584243,0.022945467,0.0055638803,0.00353586,0.0009634911,0.00094656134,0.000381801,1.237
2017-06-30,CTD4,4180266,698264,0.009862853,0.016973874,0.030679425,0.006778254,0.004175745,0.0011006127,0.0010793465,0.00043205227,1.9355
2017-06-30,CTD5,4179450,700268,0.014707059,0.026187712,0.03216669,0.004545199,0.0026825913,0.00071056624,0.0006950599,0.0002798562,0.656
2017-06-30,CTD6,4176009,695829,0.00843569,0.015879365,0.031254612,0.007822574,0.0051621664,0.0014185072,0.0013959523,0.00055848755,2.48
2017-06-30,CTD7,4176724,690397,0.012082757,0.023293097,0.04389844,0.010066684,0.0065327254,0.0017298505,0.0016997018,0.0006722128,3.7115
2017-06-30,CTD8,4174178,693048,0.008777427,0.016785333,0.031967185,0.0075220796,0.0048541767,0.0013129052,0.0012914145,0.00051702105,2.365
2017-06-30,CTD9,4171106,693183,0.016068157,0.028221669,0.061162964,0.026432363,0.020387648,0.006077399,0.0059631364,0.00226975,5.455
2017-06-30,CTD10,4170388,695646,0.007438743,0.013627009,0.024293007,0.0050675385,0.0032169272,0.0008808788,0.0008668754,0.00035092354,1.7000000000000002
2017-06-30,CTD11,4169609,700351,0.006228648,0.011510907,0.02117637,0.008056075,0.005857855,0.0017488814,0.0017406631,0.0007031502,1.4265
2017-06-30,CTD12,4173438,695414,0.008042828,0.014948367,0.03216669,0.010060276,0.0070650657,0.0020403631,0.002023509,0.00080975343,2.3795
2018-02-20,CTD1,4187246,695025,0.001643024,0.002557965,0.005449508,0.0042882212,0.0035188277,0.001181957,0.0011952054,0.00049241685,2.406
2018-02-20,CTD2,4181518,693105,0.003636068,0.0067895213,0.01547827,0.005600198,0.0039193174,0.0011203192,0.0011062449,0.00044458252,1.908
2018-02-20,CTD3,4181698,695238,0.0045488025,0.008759646,0.019972755,0.0048053833,0.0031049072,0.00084514136,0.000826627,0.00033306424,2.13
2018-02-20,CTD4,4180266,698264,0.0067001693,0.012197695,0.022479063,0.005422652,0.0034310026,0.00090847234,0.0008842392,0.0003515197,2.0745
2018-02-20,CTD5,4179450,700268,0.015049321,0.02443188,0.03266494,0.0043390626,0.0025656938,0.0006705037,0.00064201094,0.00025547246,1.009
2018-02-20,CTD6,4176009,695829,0.0068215374,0.012448581,0.02449056,0.0061114156,0.0039164242,0.0010417846,0.0010169034,0.0004042189,2.4080000000000004
2018-02-20,CTD7,4176724,690397,0.0044212765,0.008749015,0.02080786,0.005173305,0.0034310026,0.0009399589,0.00092494383,0.00037159506,2.409
2018-02-20,CTD8,4174178,693048,0.0062937895,0.011982525,0.02482502,0.0056987763,0.0036968195,0.000997242,0.0009778941,0.0003917789,2.961
2018-02-20,CTD9,4171106,693183,0.014278526,0.023913745,0.049586724,0.023513626,0.017655179,0.005187427,0.0050974237,0.0019662022,18.298
2018-02-20,CTD10,4170388,695646,0.0069070607,0.013689407,0.028495839,0.0076481537,0.004973531,0.0013308659,0.0013067223,0.000519392,3.219
2018-02-20,CTD11,4169609,700351,0.006479184,0.012740545,0.027732009,0.0076405373,0.0050169234,0.0013501334,0.0013254225,0.000527222,2.88
2018-02-20,CTD12,4173438,695414,0.006463378,0.011979025,0.024448121,0.006712353,0.004403911,0.0011734299,0.0011473236,0.00045573156,2.742
2018-03-07,CTD1,4187246,695025,0.014859793,0.025898175,0.048460405,0.013892734,0.009133702,0.0023996711,0.0023324278,0.0009046998,5.959
2018-03-07,CTD2,4181518,693105,0.007831322,0.014640811,0.029024517,0.0068539507,0.0043813908,0.0011724861,0.001144978,0.00045611407,3.153
2018-03-07,CTD3,4181698,695238,0.009934628,0.0179162,0.03522852,0.009800389,0.0063989274,0.0017009877,0.0016609323,0.00065386656,3.7465
2018-03-07,CTD4,4180266,698264,0.011497774,0.02122193,0.04179499,0.010378243,0.0066758962,0.0017481985,0.0017037586,0.0006683984,3.024
2018-03-07,CTD5,4179450,700268,0.0129124485,0.02208298,0.030203255,0.0043996274,0.0026377765,0.00069375033,0.0006674501,0.00026602292,1.075
2018-03-07,CTD6,4176009,695829,0.0080404235,0.014538041,0.027052565,0.0069397204,0.0044721123,0.0011943778,0.0011653007,0.00046305108,3.039
2018-03-07,CTD7,4176724,690397,0.009069444,0.016462557,0.03042813,0.0064391997,0.004057581,0.001073408,0.0010418809,0.00041388278,3.0335
2018-03-07,CTD8,4174178,693048,0.010208376,0.018573523,0.033507455,0.0068862922,0.0043287245,0.0011417421,0.0011103344,0.00044086194,3.0940000000000003
2018-03-07,CTD9,4171106,693183,0.014636947,0.0245506,0.048178248,0.019488925,0.01390444,0.0038913053,0.0037986715,0.0014661502,0.887
2018-03-07,CTD10,4170388,695646,0.0070574796,0.013136075,0.026079694,0.0062606013,0.0040144473,0.001078187,0.0010526415,0.00041914996,2.8975
2018-03-07,CTD11,4169609,700351,0.010050367,0.018357402,0.034029264,0.007696544,0.0048859855,0.0012858749,0.0012525998,0.00049592287,3.5015
2018-03-07,CTD12,4173438,695414,0.008942164,0.015656639,0.027599752,0.006553431,0.0041834274,0.0011167112,0.0010864576,0.00043132572,2.6900000000000004
2018-05-16,CTD1,4187246,695025,0.010246718,0.018781519,0.035834197,0.008724408,0.005642764,0.0015174663,0.0014895909,0.0005929071,0.516
2018-05-16,CTD2,4181518,693105,0.008380698,0.015146321,0.02583522,0.0057851137,0.0036464646,0.0009836059,0.00096389034,0.0003876597,1.1915
2018-05-16,CTD3,4181698,695238,0.007202147,0.01277005,0.021987932,0.005079772,0.003241003,0.0008862587,0.00086974597,0.0003512215,1.018
2018-05-16,CTD4,4180266,698264,0.007761144,0.013957174,0.0233242,0.005264841,0.0033340836,0.0009066311,0.00088789937,0.00035753555,1.5695
2018-05-16,CTD5,4179450,700268,0.012231711,0.022266855,0.034137927,0.0058267456,0.0035661862,0.0009449264,0.00092341827,0.0003701811,0.72
2018-05-16,CTD6,4176009,695829,0.009455017,0.016091196,0.02628853,0.0053376975,0.0032982666,0.0008873386,0.0008679508,0.00034928918,9.8675
2018-05-16,CTD7,4176724,690397,0.013669494,0.026317695,0.05366855,0.012886298,0.008435272,0.0022124504,0.0021681895,0.0008485206,3.7495
2018-05-16,CTD8,4174178,693048,0.010317815,0.019415453,0.033418056,0.006656003,0.004131444,0.0010939708,0.0010709597,0.000428431,17.555500000000002
2018-05-16,CTD9,4171106,693183,0.020449983,0.033193946,0.067116894,0.032179773,0.024954313,0.0075072157,0.007390044,0.0028184082,0.235
2018-05-16,CTD10,4170388,695646,0.008166279,0.015410567,0.029511442,0.007083215,0.004571222,0.0012408217,0.0012203461,0.00048954686,1.8415
2018-05-16,CTD11,4169609,700351,0.0074612075,0.013303183,0.025879538,0.0077246814,0.0051435754,0.001407826,0.0013852676,0.0005541155,5.9915
2018-05-16,CTD12,4173438,695414,0.01049732,0.019021258,0.028250026,0.0052720844,0.0032933555,0.00089094753,0.0008729865,0.00035196746,16.784000000000002
2018-06-20,CTD1,4187246,695025,0.006398557,0.011667476,0.02450472,0.009062659,0.0064372364,0.0018605557,0.0018498703,0.0007448668,1.063
2018-06-20,CTD2,4181518,693105,0.009780133,0.0172106,0.025739402,0.0049655344,0.00310259,0.0008434269,0.0008269689,0.00033419838,0.7855000000000001
2018-06-20,CTD3,4181698,695238,0.007890233,0.013822769,0.020832675,0.0048537417,0.0030293195,0.00082479423,0.00080870406,0.00032689335,0.9785
2018-06-20,CTD4,4180266,698264,0.008030813,0.013623117,0.020304577,0.004223288,0.0026161387,0.00071927445,0.0007005448,0.00028225052,0.8414999999999999
2018-06-20,CTD5,4179450,700268,0.015886193,0.028060663,0.035619076,0.005257607,0.0031316762,0.0008291611,0.00081306434,0.00032731052,0.5835
2018-06-20,CTD6,4176009,695829,0.009568879,0.017224602,0.02614668,0.005134284,0.0032157279,0.00087411056,0.00085690164,0.0003458957,1.059
2018-06-20,CTD7,4176724,690397,0.0076431213,0.01373244,0.024264889,0.0055543594,0.0035661862,0.0009796298,0.0009623023,0.00038831597,1.1955
2018-06-20,CTD8,4174178,693048,0.009914488,0.018323185,0.034739874,0.008790045,0.0057238727,0.0015440942,0.001516776,0.0006039756,1.982
2018-06-20,CTD9,4171106,693183,0.016635343,0.028318517,0.057370443,0.023560433,0.01746766,0.005030437,0.0049468917,0.0019136511,2.051
2018-06-20,CTD10,4170388,695646,0.0069049634,0.012681703,0.023515444,0.006402247,0.0041895825,0.0011556202,0.0011393668,0.00045918502,1.3065
2018-06-20,CTD11,4169609,700351,0.0053364085,0.009236429,0.017474966,0.005605953,0.003785474,0.0010664931,0.0010513447,0.00042412346,1.1945
2018-06-20,CTD12,4173438,695414,0.010407252,0.018608073,0.026808674,0.0050867745,0.0031281721,0.00084411225,0.00082799554,0.0003343404,1.1445
2018-07-10,CTD1,4187246,695025,0.005346291,0.009851171,0.021100985,0.008446614,0.006170986,0.0018233509,0.0018187789,0.00073564216,7.572
2018-07-10,CTD2,4181518,693105,0.010799049,0.019701988,0.028775293,0.005573416,0.003438667,0.00092520926,0.00090792193,0.00036597034,1.2375
2018-07-10,CTD3,4181698,695238,0.008496037,0.0144930035,0.02557788,0.0060741133,0.0039952504,0.0011099763,0.0010922684,0.00044030638,1.2905
2018-07-10,CTD4,4180266,698264,0.0056406897,0.010211577,0.019930853,0.006389251,0.0043765786,0.0012498118,0.0012373824,0.0005011211,0.991
2018-07-10,CTD5,4179450,700268,0.009529871,0.017945051,0.03022818,0.0064895013,0.0041132406,0.0011099763,0.0010922684,0.0004391973,0.884
