Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl
2016-08-09,CTD1,4187246,695025,0.010611311,0.016747354,0.032279316,0.016334254,0.0130474055,0.0036168438,6.76
2016-08-09,CTD2,4181518,693105,0.007852267,0.011743445,0.021630121,0.01173915,0.009364053,0.0026367733,4.713
2016-08-09,CTD3,4181698,695238,0.0072234743,0.010607729,0.019979842,0.01111007,0.008890014,0.0025137772,3.853
2016-08-09,CTD4,4180266,698264,0.008218997,0.011725927,0.021536266,0.011855795,0.009622882,0.0027095722,3.567
2016-08-09,CTD5,4179450,700268,0.010788617,0.018271346,0.02499055,0.0046027,0.0030879965,0.00076610834,0.1265
2016-08-09,CTD6,4176009,695829,0.0075378437,0.011500172,0.02103926,0.010421779,0.008003039,0.0021751877,4.473
2016-08-09,CTD7,4176724,690397,0.009436011,0.01432191,0.027034933,0.0148464115,0.012062613,0.0034298815,5.82
2016-08-09,CTD8,4174178,693048,0.00920437,0.014945818,0.02896122,0.013166868,0.01008446,0.0026996378,6.113
2016-08-09,CTD9,4171106,693183,0.012742579,0.019897293,0.038030654,0.021048147,0.017326888,0.0049708774,6.2
2016-08-09,CTD10,4170388,695646,0.008189909,0.01322057,0.026349794,0.0130996015,0.010413002,0.0028925787,4.25
2016-08-09,CTD11,4169609,700351,0.008517179,0.012669844,0.021771546,0.011044154,0.008418356,0.0022995486,3.64
2016-08-09,CTD12,4173438,695414,0.008842373,0.014194704,0.026294636,0.012207384,0.009389058,0.0025287655,4.187
2016-09-08,CTD1,4187246,695025,0.007000544,0.011126456,0.023285594,0.0135151725,0.0111270035,0.003250637,4.907
2016-09-08,CTD2,4181518,693105,0.006534932,0.010460656,0.021131296,0.01106147,0.008741294,0.0024417776,4.06
2016-09-08,CTD3,4181698,695238,0.00658082,0.010343637,0.020693896,0.010618205,0.008366917,0.0023361817,3.72
2016-09-08,CTD4,4180266,698264,0.0056934273,0.00892603,0.017843153,0.009727579,0.007812589,0.0022185002,3.443
2016-09-08,CTD5,4179450,700268,0.0063931323,0.010963322,0.016963061,0.0039845044,0.0027257185,0.0006740581,0.095
2016-09-08,CTD6,4176009,695829,0.00635036,0.009914101,0.019372394,0.010050548,0.008022293,0.0022336654,4.253
2016-09-08,CTD7,4176724,690397,0.0063310033,0.010346785,0.021583151,0.01138394,0.009184353,0.0025961862,4.427
2016-09-08,CTD9,4171106,693183,0.0101823,0.015784953,0.031071505,0.019349148,0.01620837,0.004763808,5.55
2016-09-08,CTD10,4170388,695646,0.008088785,0.0131281,0.02769294,0.015998505,0.013278036,0.0038563267,4.837
2016-09-08,CTD11,4169609,700351,0.006321345,0.010406749,0.02224167,0.012361582,0.010187499,0.0029422787,4.88
2016-09-08,CTD12,4173438,695414,0.0065948428,0.010463835,0.021342935,0.011808299,0.009603753,0.0027526363,3.983
2017-06-30,CTD1,4187246,695025,0.013053553,0.023210928,0.04158528,0.011576632,0.008144204,0.0020076463,3.3115
2017-06-30,CTD2,4181518,693105,0.008990452,0.017287325,0.030830482,0.0065764124,0.0045491424,0.0011209209,1.6125
