Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.012001531,0.017279604,0.029620709,0.015213502,0.013503431,0.0038232114,0.0037374124,0.0015186494,6.75,-0.263,24.112,0.064,-7.859,0.123,-16.184,0.321,-31.971,0.374,-40.295,0.06,-8.324,0.367,0.326,-0.233,-0.106,-0.479,-0.246,-0.552,-0.432,-0.696,-0.613,-0.144,-0.247,-0.43,0.048,0.084,0.468,0.496,0.036,-0.543,-0.304,-1.058,0.68,-0.667,0.766,0.588,0.827,1.166,1.313,0.425,-0.268,0.693,0.962
2016-08-09,CTD2,4181518,693105,0.011274929,0.014966361,0.021572927,0.012018761,0.010148462,0.0030868514,0.003049434,0.0012724794,4.805,-0.181,20.462,0.109,-16.387,0.192,-31.721,0.284,-36.849,0.36,-52.183,0.084,-15.334,0.246,0.208,-0.354,-0.166,-0.684,-0.381,-0.551,-0.374,-0.781,-0.627,-0.229,-0.331,-0.298,0.093,0.143,0.38,0.423,0.051,-0.491,-0.151,-0.88,0.775,-0.32,0.918,0.257,0.597,1.117,1.323,0.333,-0.121,0.739,0.944
2016-08-09,CTD3,4181698,695238,0.011632318,0.016037928,0.022056276,0.013172302,0.009214404,0.0026862079,0.00271231,0.0011096356,3.9,-0.158,17.014,0.098,-13.565,0.27,-46.174,0.252,-30.578,0.411,-63.187,0.177,-32.609,0.224,0.157,-0.299,-0.125,-1.018,-0.608,-0.49,-0.282,-1.013,-0.832,-0.523,-0.719,-0.269,0.092,0.194,0.352,0.44,0.104,-0.702,0.028,-1.176,0.8,0.066,1.143,-0.054,0.676,1.1,1.572,0.404,0.023,0.767,0.888
2016-08-09,CTD4,4180266,698264,0.0064954823,0.008285478,0.014631086,0.007486805,0.014050869,0.003352748,0.0032841137,0.0012761133,3.735,-0.277,52.345,0.051,-12.875,-0.258,49.523,0.323,-65.221,0.02,-2.822,-0.305,62.398,0.392,0.735,-0.188,-0.181,0.725,0.371,-0.54,-0.916,-0.023,-0.021,0.517,0.913,-0.295,0.028,-0.261,0.32,0.037,-0.286,0.033,-1.31,0.065,0.146,-1.365,0.078,1.233,-0.111,0.258,0.138,-0.057,-1.184,0.688,1.297
2016-08-09,CTD5,4179450,700268,0.01457392,0.022139747,0.025115568,0.0038304096,0.0025167132,0.0006187561,0.000617747,0.00023966121,0.13,-0.063,5.352,0.705,-215.901,0.796,-352.176,0.735,-221.253,0.818,-357.528,0.207,-136.275,0.02,0.013,-5.422,-0.543,-8.845,-1.349,-4.898,-0.557,-7.916,-1.369,-3.017,-3.423,-0.469,0.663,0.678,0.863,0.87,0.028,-0.64,0.224,-4.2,5.68,2.24,8.645,-0.388,0.477,6.443,9.807,0.073,0.039,0.55,0.955
2016-08-09,CTD6,4176009,695829,0.011115613,0.0152221415,0.021078905,0.011482709,0.008610998,0.002532072,0.0024951857,0.0010540336,4.245,-0.161,18.253,0.14,-21.394,0.277,-50.437,0.295,-39.647,0.42,-68.69,0.143,-29.043,0.21,0.157,-0.451,-0.184,-1.063,-0.579,-0.604,-0.341,-1.046,-0.789,-0.442,-0.612,-0.291,0.126,0.203,0.403,0.467,0.079,-0.611,-0.028,-1.122,0.917,-0.068,1.223,0.051,0.635,1.27,1.694,0.346,-0.021,0.736,0.912
2016-08-09,CTD7,4176724,690397,0.017312666,0.024049811,0.034100577,0.020285556,0.014823046,0.004464367,0.0044305027,0.0018251466,5.81,-0.173,12.255,0.085,-7.716,0.237,-25.882,0.254,-19.971,0.394,-38.138,0.156,-18.166,0.249,0.182,-0.263,-0.114,-0.883,-0.525,-0.48,-0.296,-0.917,-0.774,-0.437,-0.619,-0.286,0.077,0.17,0.355,0.435,0.094,-0.663,-0.025,-1.115,0.751,-0.059,1.028,0.049,0.687,1.065,1.457,0.409,-0.021,0.762,0.9
2016-08-09,CTD8,4174178,693048,0.012038297,0.017748304,0.0265124,0.01376713,0.009825791,0.0027669184,0.0027111045,0.0011244117,6.125,-0.198,18.625,0.126,-16.293,0.287,-45.43,0.316,-34.919,0.459,-64.055,0.167,-29.136,0.256,0.183,-0.432,-0.16,-1.204,-0.625,-0.62,-0.343,-1.137,-0.882,-0.517,-0.772,-0.371,0.11,0.197,0.462,0.529,0.089,-0.732,-0.044,-1.409,0.919,-0.119,1.287,0.093,0.78,1.372,1.923,0.405,-0.034,0.712,0.902
2016-08-09,CTD9,4171106,693183,0.013036164,0.02006638,0.033828877,0.019303592,0.015285403,0.004235758,0.0041595283,0.0017026422,,-0.255,20.274,0.019,-1.969,0.135,-15.587,0.273,-22.243,0.378,-35.861,0.116,-13.618,0.391,0.31,-0.067,-0.03,-0.527,-0.301,-0.446,-0.34,-0.72,-0.692,-0.273,-0.461,-0.398,0.016,0.09,0.411,0.471,0.075,-0.67,-0.199,-1.174,0.588,-0.44,0.742,0.423,0.894,0.991,1.251,0.51,-0.191,0.73,0.924
2016-08-09,CTD10,4170388,695646,0.01588775,0.022818645,0.0345393,0.017810361,0.013986021,0.004004518,0.003991673,0.0016129757,4.515,-0.204,14.871,0.123,-12.323,0.24,-27.676,0.32,-27.195,0.424,-42.547,0.12,-15.353,0.265,0.208,-0.426,-0.172,-0.956,-0.493,-0.621,-0.38,-0.971,-0.758,-0.35,-0.53,-0.369,0.103,0.169,0.455,0.506,0.067,-0.613,-0.125,-1.188,0.876,-0.308,1.116,0.24,0.728,1.326,1.689,0.376,-0.097,0.708,0.927
