Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.012963163,0.018831134,0.030299902,0.01587101,0.013168427,0.0038352578,6.89,-0.233,20.1,0.085,-9.904,0.177,-22.836,0.313,-30.005,0.394,-42.936,0.093,-12.931,0.319,0.265,-0.3,-0.13,-0.692,-0.362,-0.565,-0.395,-0.809,-0.681,-0.244,-0.392,-0.395,0.068,0.123,0.451,0.494,0.055,-0.584,-0.208,-1.114,0.752,-0.479,0.906,0.404,0.779,1.21,1.458,0.408,-0.175,0.706,0.941
2016-08-09,CTD2,4181518,693105,0.012636714,0.01710279,0.02370993,0.014119181,0.011034428,0.0030900273,,-0.162,16.294,0.096,-12.356,0.216,-32.155,0.254,-28.649,0.365,-48.449,0.123,-19.8,0.23,0.18,-0.293,-0.136,-0.762,-0.454,-0.49,-0.316,-0.829,-0.684,-0.339,-0.469,-0.263,0.086,0.16,0.341,0.406,0.076,-0.558,-0.06,-0.937,0.746,-0.129,0.954,0.107,0.605,1.034,1.323,0.36,-0.05,0.765,0.918
2016-08-09,CTD3,4181698,695238,0.011539778,0.01596327,0.020474875,0.012670596,0.009556062,0.0025119088,,-0.124,13.803,0.115,-16.279,0.251,-42.002,0.235,-30.083,0.364,-55.805,0.14,-25.723,0.175,0.132,-0.333,-0.156,-0.86,-0.532,-0.48,-0.287,-0.891,-0.707,-0.411,-0.527,-0.203,0.11,0.193,0.306,0.381,0.085,-0.546,0.025,-0.883,0.793,0.055,1.052,-0.043,0.528,1.017,1.349,0.327,0.02,0.786,0.906
2016-08-09,CTD4,4180266,698264,0.012189769,0.016238127,0.020232417,0.013742971,0.0106596295,0.0027647547,,-0.11,12.158,0.083,-11.181,0.207,-32.228,0.191,-23.339,0.31,-44.386,0.126,-21.047,0.167,0.13,-0.226,-0.119,-0.652,-0.443,-0.379,-0.249,-0.721,-0.61,-0.342,-0.426,-0.164,0.081,0.164,0.241,0.319,0.085,-0.487,0.027,-0.716,0.655,0.051,0.844,-0.043,0.47,0.816,1.052,0.319,0.023,0.822,0.909
2016-08-09,CTD5,4179450,700268,0.01623443,0.02356713,0.028047284,0.005341543,0.0034906736,0.0008330146,0.12,-0.087,6.778,0.63,-144.78,0.742,-244.046,0.68,-151.558,0.779,-250.824,0.21,-99.266,0.036,0.024,-4.061,-0.505,-6.845,-1.304,-3.572,-0.529,-5.911,-1.34,-2.339,-2.784,-0.507,0.578,0.601,0.839,0.849,0.036,-0.69,0.187,-3.623,4.288,1.501,6.561,-0.34,0.537,5.103,7.808,0.102,0.042,0.56,0.945
2016-08-09,CTD6,4176009,695829,0.010653177,0.014810074,0.020635728,0.011193777,0.008273284,0.0021513517,,-0.164,19.062,0.139,-21.814,0.283,-53.349,0.297,-40.876,0.428,-72.411,0.15,-31.536,0.213,0.158,-0.45,-0.18,-1.101,-0.597,-0.605,-0.338,-1.072,-0.811,-0.467,-0.651,-0.299,0.125,0.205,0.409,0.475,0.082,-0.635,-0.021,-1.171,0.922,-0.053,1.248,0.04,0.654,1.285,1.738,0.355,-0.016,0.734,0.908
2016-08-09,CTD7,4176724,690397,0.012572144,0.017966624,0.027832612,0.016053364,0.013172475,0.0038352578,,-0.215,19.73,0.056,-6.633,0.154,-20.257,0.268,-26.363,0.358,-39.987,0.099,-13.624,0.317,0.26,-0.185,-0.087,-0.564,-0.325,-0.474,-0.347,-0.718,-0.642,-0.245,-0.379,-0.338,0.047,0.109,0.378,0.431,0.063,-0.573,-0.175,-0.994,0.646,-0.37,0.787,0.33,0.729,1.001,1.219,0.42,-0.156,0.743,0.934
2016-08-09,CTD8,4174178,693048,0.011321673,0.016557895,0.025616698,0.012241106,0.009326644,0.0025580197,,-0.215,21.357,0.15,-21.298,0.279,-46.826,0.353,-42.655,0.466,-68.183,0.135,-25.528,0.261,0.199,-0.546,-0.199,-1.2,-0.573,-0.706,-0.398,-1.129,-0.835,-0.423,-0.654,-0.42,0.124,0.191,0.517,0.566,0.069,-0.666,-0.116,-1.394,0.989,-0.317,1.297,0.235,0.785,1.529,2.007,0.375,-0.085,0.683,0.923
2016-08-09,CTD9,4171106,693183,0.014262073,0.02162561,0.035286598,0.020998998,0.016929366,0.0047345227,,-0.24,17.902,0.015,-1.38,0.122,-12.827,0.254,-19.282,0.352,-30.73,0.107,-11.448,0.376,0.303,-0.049,-0.023,-0.453,-0.269,-0.417,-0.326,-0.665,-0.645,-0.248,-0.404,-0.36,0.012,0.083,0.371,0.431,0.072,-0.628,-0.193,-1.055,0.55,-0.403,0.682,0.391,0.826,0.898,1.113,0.491,-0.188,0.749,0.928
2016-08-09,CTD10,4170388,695646,0.012484175,0.018207148,0.028146796,0.014202868,0.011216576,0.0032035909,,-0.214,19.395,0.124,-15.485,0.238,-34.23,0.329,-34.88,0.43,-53.626,0.117,-18.745,0.275,0.218,-0.436,-0.174,-0.963,-0.486,-0.635,-0.391,-0.976,-0.762,-0.341,-0.528,-0.391,0.102,0.165,0.474,0.522,0.064,-0.619,-0.143,-1.227,0.883,-0.359,1.119,0.28,0.756,1.366,1.729,0.382,-0.111,0.699,0.929
