Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.011479407,0.016700996,0.028969709,0.014400959,0.012485512,0.0038695396,6.695,-0.269,25.358,0.074,-9.563,0.144,-20.216,0.336,-34.921,0.398,-45.574,0.071,-10.653,0.365,0.317,-0.277,-0.119,-0.586,-0.291,-0.583,-0.436,-0.761,-0.656,-0.178,-0.309,-0.456,0.055,0.097,0.499,0.53,0.042,-0.577,-0.29,-1.161,0.729,-0.674,0.841,0.581,0.868,1.264,1.458,0.431,-0.25,0.681,0.956
2016-08-09,CTD2,4181518,693105,0.011299722,0.014877826,0.020830162,0.011859454,0.009783468,0.002927402,4.53,-0.167,19.207,0.113,-17.107,0.207,-34.999,0.274,-36.314,0.361,-54.206,0.096,-17.892,0.228,0.188,-0.356,-0.167,-0.729,-0.415,-0.54,-0.355,-0.806,-0.643,-0.266,-0.373,-0.275,0.099,0.156,0.364,0.413,0.058,-0.498,-0.111,-0.875,0.785,-0.236,0.951,0.188,0.575,1.099,1.332,0.327,-0.088,0.749,0.936
2016-08-09,CTD3,4181698,695238,0.013256813,0.017723562,0.024332324,0.0138826575,0.011230958,0.003276108,3.76,-0.157,15.324,0.122,-15.61,0.224,-32.618,0.273,-30.935,0.368,-47.942,0.106,-17.007,0.213,0.172,-0.38,-0.175,-0.794,-0.453,-0.548,-0.347,-0.85,-0.666,-0.301,-0.414,-0.263,0.108,0.17,0.361,0.415,0.063,-0.508,-0.081,-0.89,0.815,-0.175,1.008,0.137,0.564,1.119,1.383,0.322,-0.063,0.752,0.931
2016-08-09,CTD4,4180266,698264,0.0069794306,0.008194445,0.01604898,0.008786617,0.010440185,0.004336739,3.37,-0.324,59.725,-0.035,8.224,-0.121,26.25,0.292,-51.5,0.212,-33.474,-0.086,18.026,0.525,0.624,0.132,0.086,0.421,0.231,-0.422,-0.538,-0.274,-0.294,0.148,0.289,-0.409,-0.022,-0.09,0.39,0.33,-0.068,-0.331,-0.678,-0.605,0.282,-1.042,0.237,1.117,0.77,0.552,0.465,0.422,-0.727,0.7,1.067
2016-08-09,CTD5,4179450,700268,0.013126888,0.018866519,0.020181686,0.0025766979,0.0017587114,0.0004630395,0.1225,-0.034,3.454,0.76,-335.09,0.829,-515.594,0.774,-338.544,0.84,-519.048,0.189,-180.505,0.009,0.006,-6.763,-0.589,-10.406,-1.329,-6.387,-0.595,-9.793,-1.337,-3.405,-3.643,-0.303,0.742,0.752,0.854,0.859,0.021,-0.53,0.252,-4.153,7.235,2.895,10.6,-0.395,0.387,7.739,11.339,0.049,0.034,0.549,0.964
2016-08-09,CTD6,4176009,695829,0.011078901,0.015511555,0.022248546,0.011193777,0.008559693,0.002348503,4.595,-0.178,19.521,0.162,-24.867,0.289,-52.359,0.331,-44.389,0.444,-71.88,0.133,-27.491,0.219,0.167,-0.553,-0.213,-1.165,-0.586,-0.689,-0.38,-1.115,-0.805,-0.426,-0.612,-0.341,0.14,0.208,0.459,0.513,0.07,-0.611,-0.067,-1.213,1.001,-0.175,1.309,0.127,0.67,1.436,1.878,0.337,-0.049,0.707,0.921
2016-08-09,CTD7,4176724,690397,0.019907217,0.02719747,0.0380203,0.021598952,0.017720465,0.0051238243,5.76,-0.166,10.466,0.115,-9.53,0.211,-19.664,0.275,-19.997,0.364,-30.13,0.099,-10.133,0.226,0.185,-0.362,-0.169,-0.748,-0.425,-0.544,-0.354,-0.819,-0.651,-0.276,-0.385,-0.275,0.1,0.159,0.366,0.416,0.059,-0.504,-0.105,-0.886,0.793,-0.225,0.967,0.179,0.578,1.109,1.351,0.328,-0.083,0.748,0.935
2016-08-09,CTD8,4174178,693048,0.016009187,0.02297921,0.033360716,0.015803004,0.012055023,0.003247176,6.02,-0.184,13.542,0.185,-19.762,0.312,-39.435,0.357,-33.304,0.469,-52.978,0.135,-19.674,0.214,0.163,-0.659,-0.238,-1.316,-0.623,-0.765,-0.401,-1.217,-0.837,-0.452,-0.656,-0.373,0.158,0.222,0.501,0.549,0.067,-0.622,-0.074,-1.313,1.093,-0.205,1.432,0.141,0.689,1.586,2.08,0.326,-0.051,0.688,0.924
2016-08-09,CTD9,4171106,693183,0.011008078,0.017273078,0.031080458,0.016543638,0.013581809,0.003925414,6.2,-0.286,25.719,0.022,-2.553,0.12,-15.734,0.305,-28.272,0.392,-41.453,0.098,-13.182,0.425,0.349,-0.079,-0.035,-0.489,-0.26,-0.488,-0.384,-0.716,-0.686,-0.228,-0.41,-0.458,0.016,0.078,0.471,0.517,0.061,-0.662,-0.265,-1.244,0.607,-0.607,0.739,0.581,0.978,1.092,1.331,0.521,-0.254,0.699,0.938
2016-08-09,CTD10,4170388,695646,0.015663268,0.022858147,0.034458593,0.017676726,0.013919966,0.0038629288,4.015,-0.202,14.728,0.128,-12.823,0.243,-28.091,0.322,-27.551,0.425,-42.819,0.119,-15.268,0.26,0.205,-0.442,-0.179,-0.968,-0.497,-0.63,-0.384,-0.979,-0.757,-0.349,-0.526,-0.367,0.107,0.171,0.456,0.507,0.066,-0.607,-0.124,-1.182,0.889,-0.307,1.129,0.238,0.72,1.34,1.702,0.369,-0.096,0.707,0.928
2016-08-09,CTD11,4169609,700351,0.0131443925,0.01859476,0.026954554,0.015748745,0.012326627,0.0034178535,3.485,-0.184,16.679,0.083,-9.719,0.203,-27.347,0.262,-26.398,0.372,-44.026,0.122,-17.628,0.263,0.206,-0.262,-0.12,-0.737,-0.431,-0.491,-0.325,-0.819,-0.693,-0.328,-0.475,-0.298,0.072,0.147,0.362,0.426,0.075,-0.588,-0.093,-1.006,0.723,-0.203,0.924,0.172,0.667,1.049,1.34,0.39,-0.079,0.754,0.92
2016-08-09,CTD12,4173438,695414,0.012650338,0.018851347,0.0291058,0.014006777,0.010704637,0.0028957303,4.04,-0.214,18.689,0.147,-18.347,0.276,-40.371,0.35,-37.037,0.462,-59.06,0.134,-22.023,0.262,0.2,-0.534,-0.196,-1.175,-0.565,-0.698,-0.396,-1.113,-0.827,-0.415,-0.641,-0.415,0.122,0.189,0.511,0.56,0.069,-0.661,-0.117,-1.373,0.978,-0.317,1.28,0.235,0.78,1.51,1.976,0.375,-0.087,0.685,0.923
2016-09-08,CTD1,4187246,695025,0.009628016,0.013942964,0.024794599,0.013783947,0.012384581,0.0039954428,4.885,-0.28,31.389,0.006,-0.827,0.059,-9.025,0.285,-32.217,0.334,-40.414,0.053,-8.197,0.433,0.389,-0.021,-0.01,-0.224,-0.124,-0.449,-0.399,-0.563,-0.557,-0.114,-0.203,-0.415,0.004,0.04,0.418,0.448,0.036,-0.551,-0.336,-0.991,0.512,-0.673,0.57,0.665,0.88,0.911,1.013,0.489,-0.332,0.716,0.964
2016-09-08,CTD2,4181518,693105,0.01017363,0.014971376,0.023558177,0.012263626,0.009549717,0.0026543294,3.945,-0.223,24.346,0.099,-14.748,0.221,-37.921,0.315,-39.094,0.423,-62.267,0.124,-23.173,0.299,0.232,-0.347,-0.141,-0.893,-0.465,-0.585,-0.373,-0.932,-0.764,-0.347,-0.546,-0.394,0.082,0.151,0.461,0.514,0.07,-0.649,-0.143,-1.246,0.815,-0.353,1.047,0.289,0.795,1.283,1.648,0.414,-0.117,0.707,0.924
2016-09-08,CTD3,4181698,695238,0.0052816747,0.007760265,0.013532375,0.0063804477,0.004995178,0.0014065761,3.62,-0.271,54.965,0.098,-27.867,0.217,-71.331,0.359,-82.832,0.461,-126.296,0.122,-43.464,0.351,0.275,-0.377,-0.139,-0.965,-0.455,-0.643,-0.414,-0.98,-0.806,-0.337,-0.588,-0.507,0.074,0.139,0.561,0.604,0.065,-0.704,-0.209,-1.493,0.847,-0.567,1.082,0.466,0.961,1.477,1.887,0.453,-0.172,0.664,0.93
