Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.011871212,0.017018108,0.02986304,0.0152663225,0.012776079,0.003836572,6.89,-0.274,25.275,0.054,-6.743,0.142,-19.51,0.323,-32.017,0.401,-44.785,0.089,-12.768,0.386,0.323,-0.201,-0.086,-0.583,-0.298,-0.545,-0.409,-0.762,-0.684,-0.217,-0.381,-0.458,0.041,0.094,0.49,0.529,0.053,-0.625,-0.267,-1.223,0.687,-0.624,0.821,0.56,0.918,1.205,1.44,0.469,-0.24,0.689,0.945
2016-08-09,CTD2,4181518,693105,0.011187342,0.014958593,0.021356221,0.011859454,0.0101575,0.0029625674,5.08,-0.176,20.026,0.116,-17.47,0.191,-31.598,0.286,-37.496,0.355,-51.625,0.077,-14.129,0.238,0.203,-0.373,-0.177,-0.675,-0.375,-0.561,-0.381,-0.772,-0.612,-0.211,-0.302,-0.291,0.098,0.145,0.378,0.418,0.047,-0.467,-0.156,-0.841,0.786,-0.328,0.917,0.26,0.571,1.122,1.31,0.317,-0.124,0.738,0.949
2016-08-09,CTD3,4181698,695238,0.011539778,0.01602155,0.021663725,0.013131225,0.009502239,0.0026465147,4.04,-0.15,16.256,0.099,-13.738,0.255,-42.822,0.245,-29.994,0.39,-59.078,0.16,-29.084,0.213,0.154,-0.298,-0.131,-0.928,-0.562,-0.481,-0.285,-0.947,-0.776,-0.466,-0.63,-0.249,0.093,0.187,0.334,0.417,0.096,-0.642,0.016,-1.06,0.781,0.036,1.08,-0.03,0.629,1.057,1.46,0.381,0.013,0.774,0.896
2016-08-09,CTD4,4180266,698264,0.0066008605,0.007977131,0.01491048,0.008632733,0.010061306,0.0035248497,3.96,-0.303,58.291,-0.039,9.52,-0.116,25.968,0.267,-48.771,0.194,-32.324,-0.076,16.447,0.503,0.586,0.142,0.096,0.387,0.224,-0.389,-0.491,-0.258,-0.279,0.131,0.245,-0.371,-0.026,-0.089,0.348,0.292,-0.062,-0.323,-0.63,-0.558,0.249,-0.934,0.214,1.011,0.704,0.466,0.4,0.407,-0.682,0.726,1.061
2016-08-09,CTD5,4179450,700268,0.014628638,0.022084026,0.025309712,0.0038758442,0.002545365,0.0006334726,0.135,-0.068,5.771,0.701,-212.727,0.793,-347.589,0.734,-218.498,0.817,-353.36,0.207,-134.863,0.022,0.015,-5.384,-0.541,-8.797,-1.347,-4.825,-0.556,-7.804,-1.37,-2.978,-3.413,-0.502,0.654,0.669,0.87,0.877,0.028,-0.65,0.216,-4.246,5.597,2.146,8.523,-0.377,0.489,6.415,9.768,0.075,0.038,0.548,0.954
2016-08-09,CTD6,4176009,695829,0.011078901,0.015324073,0.020862717,0.011391032,0.008812427,0.0023786572,4.23,-0.153,17.324,0.147,-22.532,0.27,-48.219,0.294,-39.856,0.406,-65.544,0.128,-25.688,0.197,0.153,-0.47,-0.199,-1.006,-0.549,-0.611,-0.351,-1.004,-0.747,-0.394,-0.536,-0.274,0.133,0.202,0.392,0.451,0.071,-0.558,-0.039,-1.022,0.923,-0.093,1.193,0.069,0.588,1.256,1.624,0.321,-0.029,0.738,0.92
2016-08-09,CTD7,4176724,690397,0.01708023,0.02427777,0.03388258,0.019930212,0.015453696,0.004192912,5.94,-0.165,11.676,0.098,-8.985,0.222,-23.519,0.259,-20.661,0.374,-35.196,0.127,-14.534,0.233,0.18,-0.304,-0.139,-0.797,-0.469,-0.502,-0.319,-0.854,-0.701,-0.353,-0.492,-0.271,0.088,0.164,0.351,0.417,0.077,-0.573,-0.059,-0.974,0.762,-0.129,0.983,0.106,0.62,1.064,1.372,0.365,-0.048,0.76,0.917
2016-08-09,CTD8,4174178,693048,0.011988711,0.017893454,0.026318263,0.013665365,0.010144189,0.002742571,6.3,-0.191,17.89,0.134,-17.291,0.276,-42.692,0.316,-35.181,0.444,-60.582,0.148,-25.401,0.244,0.181,-0.455,-0.175,-1.124,-0.583,-0.63,-0.357,-1.084,-0.828,-0.455,-0.669,-0.354,0.116,0.194,0.451,0.513,0.08,-0.667,-0.062,-1.285,0.924,-0.162,1.245,0.124,0.729,1.359,1.831,0.378,-0.048,0.714,0.912
2016-08-09,CTD9,4171106,693183,0.012928517,0.020150354,0.033901665,0.019126985,0.014868278,0.0042693587,,-0.254,20.13,0.026,-2.655,0.151,-17.63,0.279,-22.785,0.39,-37.76,0.125,-14.975,0.385,0.299,-0.09,-0.039,-0.598,-0.337,-0.459,-0.339,-0.761,-0.722,-0.302,-0.508,-0.405,0.021,0.1,0.422,0.485,0.079,-0.692,-0.183,-1.227,0.615,-0.417,0.791,0.396,0.905,1.035,1.331,0.511,-0.174,0.727,0.92
2016-08-09,CTD10,4170388,695646,0.015663268,0.022858147,0.034458593,0.017676726,0.013919966,0.003836572,4.72,-0.202,14.728,0.128,-12.823,0.243,-28.091,0.322,-27.551,0.425,-42.819,0.119,-15.268,0.26,0.205,-0.442,-0.179,-0.968,-0.497,-0.63,-0.384,-0.979,-0.757,-0.349,-0.526,-0.367,0.107,0.171,0.456,0.507,0.066,-0.607,-0.124,-1.182,0.889,-0.307,1.129,0.238,0.72,1.34,1.702,0.369,-0.096,0.707,0.928
