Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.012226288,0.017888585,0.029327989,0.015332691,0.012641967,0.003736388,6.78,-0.242,21.804,0.077,-9.319,0.172,-23.2,0.313,-31.123,0.398,-45.004,0.096,-13.881,0.334,0.276,-0.273,-0.118,-0.68,-0.356,-0.557,-0.393,-0.805,-0.69,-0.248,-0.407,-0.409,0.061,0.117,0.458,0.502,0.057,-0.603,-0.215,-1.153,0.736,-0.498,0.892,0.427,0.815,1.206,1.463,0.426,-0.184,0.704,0.94
2016-08-09,CTD2,4181518,693105,0.012159949,0.016580913,0.023150275,0.014198675,0.011266975,0.003120063,4.53,-0.165,17.114,0.077,-10.119,0.191,-28.445,0.24,-27.233,0.345,-45.559,0.115,-18.326,0.243,0.193,-0.234,-0.114,-0.659,-0.404,-0.452,-0.307,-0.755,-0.647,-0.304,-0.424,-0.258,0.069,0.142,0.321,0.386,0.074,-0.544,-0.077,-0.887,0.681,-0.159,0.858,0.136,0.603,0.951,1.198,0.37,-0.066,0.775,0.922
2016-08-09,CTD3,4181698,695238,0.0111345695,0.015082522,0.02021338,0.012570771,0.009518044,0.002429041,3.76,-0.145,16.83,0.091,-13.248,0.226,-38.762,0.233,-30.077,0.36,-55.591,0.138,-25.514,0.212,0.16,-0.268,-0.126,-0.784,-0.487,-0.454,-0.286,-0.838,-0.699,-0.385,-0.516,-0.232,0.084,0.17,0.311,0.387,0.086,-0.575,-0.011,-0.924,0.729,-0.023,0.963,0.019,0.583,0.977,1.29,0.363,-0.009,0.783,0.907
2016-08-09,CTD4,4180266,698264,0.015105364,0.021239273,0.02395001,0.017110988,0.012013344,0.0030878119,3.23,-0.06,5.329,0.108,-11.359,0.277,-36.158,0.167,-16.688,0.332,-41.487,0.175,-24.799,0.091,0.064,-0.272,-0.136,-0.866,-0.619,-0.354,-0.2,-0.881,-0.71,-0.527,-0.594,-0.093,0.115,0.225,0.206,0.311,0.113,-0.538,0.185,-0.752,0.74,0.368,1.054,-0.297,0.426,0.834,1.188,0.304,0.149,0.849,0.876
2016-08-09,CTD5,4179450,700268,0.014764884,0.021753555,0.025332633,0.004654281,0.0031264927,0.000747649,0.12,-0.076,6.495,0.648,-168.886,0.749,-273.878,0.69,-175.381,0.78,-280.372,0.196,-104.991,0.03,0.02,-4.278,-0.528,-6.938,-1.275,-3.815,-0.548,-6.099,-1.305,-2.284,-2.66,-0.46,0.601,0.621,0.831,0.841,0.032,-0.63,0.187,-3.429,4.55,1.515,6.774,-0.324,0.493,5.299,7.889,0.091,0.04,0.561,0.949
2016-08-09,CTD6,4176009,695829,0.010852275,0.014996969,0.020830162,0.011391032,0.008559693,0.0022599923,4.93,-0.163,18.673,0.137,-21.108,0.273,-50.146,0.293,-39.781,0.418,-68.819,0.142,-29.038,0.213,0.16,-0.44,-0.181,-1.045,-0.571,-0.597,-0.341,-1.032,-0.784,-0.435,-0.605,-0.292,0.123,0.2,0.401,0.465,0.079,-0.611,-0.031,-1.117,0.906,-0.077,1.205,0.058,0.638,1.258,1.674,0.349,-0.024,0.737,0.912
2016-08-09,CTD7,4176724,690397,0.013172434,0.019069618,0.029499782,0.017216422,0.013928391,0.0040280824,5.84,-0.215,18.541,0.051,-5.645,0.156,-19.356,0.263,-24.186,0.359,-37.897,0.106,-13.712,0.319,0.258,-0.167,-0.079,-0.571,-0.333,-0.461,-0.337,-0.723,-0.652,-0.261,-0.404,-0.335,0.043,0.11,0.372,0.429,0.068,-0.59,-0.163,-1.01,0.635,-0.344,0.786,0.311,0.738,0.983,1.215,0.431,-0.147,0.747,0.93
2016-08-09,CTD8,4174178,693048,0.01136882,0.016654734,0.025279175,0.012361582,0.009486455,0.0025770436,6.09,-0.206,20.485,0.148,-20.853,0.274,-45.37,0.343,-41.338,0.454,-65.855,0.132,-24.518,0.253,0.194,-0.527,-0.198,-1.147,-0.561,-0.688,-0.392,-1.097,-0.814,-0.408,-0.62,-0.395,0.123,0.19,0.494,0.544,0.069,-0.644,-0.109,-1.317,0.972,-0.289,1.267,0.215,0.75,1.475,1.923,0.367,-0.081,0.692,0.924
2016-08-09,CTD9,4171106,693183,0.014463274,0.02212345,0.036539856,0.02173799,0.017234245,0.004797881,6.2,-0.246,17.834,0.009,-0.802,0.124,-12.823,0.254,-18.635,0.359,-30.657,0.116,-12.022,0.388,0.307,-0.029,-0.014,-0.469,-0.279,-0.412,-0.321,-0.678,-0.666,-0.266,-0.439,-0.37,0.007,0.084,0.376,0.44,0.077,-0.656,-0.187,-1.102,0.546,-0.397,0.689,0.39,0.859,0.902,1.138,0.511,-0.184,0.748,0.923
2016-08-09,CTD10,4170388,695646,0.013767505,0.019955093,0.030546645,0.015613674,0.012303501,0.0034274731,3.72,-0.21,17.376,0.122,-13.934,0.237,-31.165,0.324,-31.31,0.426,-48.541,0.119,-17.231,0.271,0.214,-0.426,-0.171,-0.952,-0.487,-0.625,-0.385,-0.969,-0.758,-0.344,-0.526,-0.379,0.101,0.166,0.463,0.513,0.066,-0.616,-0.135,-1.205,0.875,-0.334,1.111,0.262,0.743,1.34,1.7,0.38,-0.105,0.704,0.928
