Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.008070978,0.016069137,0.037302088,0.018189587,0.016987761,0.0048800195,0.004780963,0.0018166462,6.75,-0.398,35.423,-0.062,7.255,-0.028,3.365,0.344,-28.168,0.374,-32.058,0.034,-3.889,0.644,0.602,0.271,0.123,0.126,0.061,-0.453,-0.479,-0.515,-0.583,-0.062,-0.145,-0.604,-0.039,-0.017,0.578,0.593,0.023,-0.64,-0.503,-1.312,0.428,-1.105,0.458,1.251,1.387,0.994,1.064,0.677,-0.57,0.642,0.978
2016-08-09,CTD2,4181518,693105,0.009889182,0.01580255,0.027201401,0.013357286,0.012700007,0.003917199,0.003851406,0.0015118626,4.805,-0.265,26.518,0.084,-11.585,0.109,-15.459,0.341,-38.103,0.363,-41.977,0.025,-3.875,0.354,0.337,-0.315,-0.147,-0.421,-0.206,-0.602,-0.484,-0.663,-0.561,-0.061,-0.105,-0.437,0.061,0.076,0.486,0.497,0.015,-0.471,-0.37,-0.959,0.716,-0.792,0.753,0.67,0.771,1.233,1.297,0.378,-0.313,0.678,0.984
2016-08-09,CTD3,4181698,695238,0.008019139,0.013332295,0.024710445,0.010726914,0.010006291,0.0030128446,0.0029424403,0.0011630221,3.9,-0.299,34.537,0.108,-18.218,0.143,-24.931,0.395,-52.755,0.424,-59.468,0.035,-6.714,0.37,0.346,-0.45,-0.182,-0.616,-0.267,-0.703,-0.528,-0.793,-0.638,-0.09,-0.166,-0.549,0.075,0.094,0.599,0.611,0.019,-0.532,-0.393,-1.227,0.838,-0.971,0.898,0.781,0.921,1.553,1.665,0.4,-0.316,0.632,0.98
2016-08-09,CTD4,4180266,698264,0.0072989874,0.012468741,0.022691267,0.010250406,0.010185521,0.0032211938,0.0031672553,0.0012388164,3.735,-0.291,36.131,0.098,-17.357,0.101,-17.978,0.378,-53.487,0.38,-54.109,0.003,-0.621,0.37,0.368,-0.394,-0.177,-0.408,-0.184,-0.667,-0.545,-0.675,-0.555,-0.008,-0.014,-0.5,0.067,0.069,0.549,0.55,0.002,-0.457,-0.444,-1.011,0.768,-0.99,0.772,0.813,0.826,1.397,1.406,0.373,-0.365,0.646,0.998
2016-08-09,CTD5,4179450,700268,0.008863068,0.017672306,0.024472283,0.0050206967,0.0030244784,0.0008262665,0.0008110017,0.00032166412,0.13,-0.161,15.723,0.558,-142.59,0.708,-274.05,0.66,-158.313,0.78,-289.773,0.248,-131.46,0.079,0.048,-3.489,-0.431,-6.707,-1.376,-2.798,-0.479,-5.121,-1.455,-2.323,-3.217,-0.845,0.46,0.497,0.94,0.945,0.047,-0.938,0.12,-4.572,3.396,0.969,5.638,-0.275,0.782,4.703,7.807,0.161,0.034,0.538,0.932
2016-08-09,CTD6,4176009,695829,0.0067248032,0.012950259,0.024251634,0.009474125,0.0079520885,0.0023052725,0.0022708313,0.00089246803,4.245,-0.304,35.984,0.155,-28.332,0.239,-48.535,0.438,-64.316,0.506,-84.519,0.087,-20.202,0.341,0.286,-0.687,-0.225,-1.177,-0.46,-0.833,-0.511,-1.095,-0.801,-0.262,-0.49,-0.649,0.108,0.148,0.707,0.727,0.041,-0.657,-0.305,-1.683,1.039,-0.931,1.238,0.681,1.033,1.946,2.318,0.404,-0.223,0.603,0.955
2016-08-09,CTD7,4176724,690397,0.007957782,0.015417228,0.032503646,0.016390841,0.01580667,0.0047220597,0.0046354653,0.0017830711,5.81,-0.357,34.097,-0.031,3.853,-0.012,1.598,0.33,-30.244,0.346,-32.499,0.018,-2.255,0.559,0.539,0.125,0.061,0.052,0.026,-0.466,-0.478,-0.501,-0.533,-0.035,-0.073,-0.531,-0.02,-0.008,0.516,0.525,0.012,-0.563,-0.49,-1.116,0.454,-1.008,0.471,1.071,1.144,0.958,0.993,0.577,-0.521,0.664,0.988
2016-08-09,CTD8,4174178,693048,0.0072083855,0.0148012545,0.03236666,0.012039777,0.009681849,0.002625595,0.0025598314,0.0009928945,6.125,-0.372,36.666,0.103,-15.496,0.209,-35.724,0.458,-52.162,0.539,-72.39,0.109,-20.228,0.441,0.355,-0.502,-0.15,-1.156,-0.43,-0.772,-0.505,-1.071,-0.872,-0.299,-0.655,-0.809,0.066,0.115,0.83,0.845,0.05,-0.786,-0.347,-2.114,0.93,-1.16,1.157,0.943,1.383,2.034,2.53,0.514,-0.282,0.569,0.947
2016-08-09,CTD9,4171106,693183,0.008698794,0.017615123,0.0412338,0.023354677,0.020694202,0.005931767,0.005812027,0.002237759,,-0.401,32.517,-0.14,13.951,-0.08,8.447,0.277,-18.566,0.332,-24.071,0.06,-5.505,0.759,0.673,0.575,0.289,0.348,0.197,-0.327,-0.384,-0.424,-0.562,-0.097,-0.227,-0.536,-0.093,-0.048,0.467,0.501,0.045,-0.701,-0.459,-1.238,0.252,-0.914,0.285,1.212,1.455,0.591,0.667,0.824,-0.608,0.696,0.959
2016-08-09,CTD10,4170388,695646,0.009921215,0.01733578,0.03286769,0.01427671,0.012950748,0.0037087975,0.0036315576,0.0013860922,4.515,-0.309,27.259,0.097,-12.36,0.145,-19.531,0.394,-39.619,0.435,-46.791,0.049,-7.171,0.389,0.353,-0.406,-0.16,-0.642,-0.279,-0.687,-0.513,-0.811,-0.668,-0.124,-0.236,-0.57,0.067,0.093,0.614,0.63,0.026,-0.575,-0.38,-1.324,0.82,-0.964,0.904,0.794,0.989,1.555,1.714,0.43,-0.313,0.63,0.972
