Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.006341652,0.014166545,0.03718347,0.018032592,0.016544618,0.004760531,0.0046309857,0.0017509934,6.89,-0.448,43.695,-0.12,15.134,-0.077,10.146,0.347,-28.561,0.384,-33.549,0.043,-4.987,0.788,0.723,0.563,0.25,0.377,0.183,-0.405,-0.473,-0.475,-0.605,-0.071,-0.185,-0.666,-0.072,-0.043,0.624,0.641,0.029,-0.709,-0.536,-1.462,0.341,-1.206,0.371,1.535,1.707,0.894,0.975,0.828,-0.683,0.627,0.973
2016-08-09,CTD2,4181518,693105,0.008704055,0.014860349,0.026681572,0.013228246,0.012923278,0.003915307,0.003851406,0.0015071313,,-0.285,29.814,0.058,-8.303,0.07,-10.087,0.337,-38.117,0.347,-39.901,0.012,-1.784,0.394,0.385,-0.222,-0.107,-0.269,-0.133,-0.566,-0.493,-0.593,-0.528,-0.027,-0.048,-0.452,0.041,0.049,0.484,0.49,0.007,-0.467,-0.42,-0.941,0.639,-0.867,0.654,0.772,0.819,1.147,1.174,0.406,-0.374,0.676,0.992
2016-08-09,CTD3,4181698,695238,0.0061033955,0.012394764,0.024157552,0.010656935,0.009732411,0.0025745805,0.002493324,0.0009548629,,-0.322,39.284,0.075,-13.156,0.12,-22.07,0.388,-52.441,0.426,-61.355,0.045,-8.914,0.419,0.382,-0.318,-0.128,-0.533,-0.235,-0.65,-0.51,-0.76,-0.654,-0.11,-0.215,-0.577,0.051,0.076,0.61,0.626,0.025,-0.582,-0.4,-1.319,0.76,-0.993,0.832,0.854,1.036,1.482,1.622,0.457,-0.344,0.631,0.973
2016-08-09,CTD4,4180266,698264,0.011258661,0.017657999,0.029158521,0.012554435,0.012480252,0.003879524,0.0037934338,0.0015820895,,-0.246,22.336,0.169,-23.022,0.172,-23.495,0.398,-45.358,0.401,-45.831,0.003,-0.473,0.28,0.279,-0.671,-0.287,-0.685,-0.295,-0.801,-0.566,-0.809,-0.575,-0.008,-0.014,-0.459,0.123,0.124,0.551,0.552,0.002,-0.4,-0.389,-0.93,0.979,-0.908,0.984,0.645,0.657,1.616,1.625,0.283,-0.276,0.645,0.998
2016-08-09,CTD5,4179450,700268,0.0068489574,0.015460676,0.019621111,0.0036622274,0.002218999,0.000589355,0.0005751144,0.00022755373,0.12,-0.119,13.715,0.617,-208.378,0.749,-385.973,0.685,-222.092,0.797,-399.688,0.245,-177.596,0.05,0.03,-4.089,-0.462,-7.573,-1.414,-3.434,-0.493,-6.179,-1.464,-2.746,-3.485,-0.707,0.54,0.569,0.903,0.91,0.041,-0.862,0.182,-4.621,4.109,1.61,6.781,-0.381,0.663,5.214,8.605,0.124,0.043,0.545,0.938
2016-08-09,CTD6,4176009,695829,0.0065942276,0.012817205,0.02477426,0.009277741,0.007931198,0.0023109436,0.0022753547,0.00089529983,,-0.318,37.656,0.16,-29.765,0.235,-48.064,0.455,-67.42,0.515,-85.72,0.078,-18.299,0.349,0.299,-0.737,-0.236,-1.191,-0.446,-0.864,-0.535,-1.099,-0.795,-0.235,-0.453,-0.695,0.108,0.143,0.747,0.762,0.036,-0.652,-0.338,-1.742,1.061,-1.054,1.242,0.763,1.078,2.051,2.4,0.404,-0.244,0.588,0.96
2016-08-09,CTD7,4176724,690397,0.009510987,0.0168138,0.033115316,0.016839825,0.016347181,0.0050308923,0.0049330564,0.0019259605,,-0.326,29.277,-0.001,0.092,0.014,-1.698,0.326,-29.186,0.339,-30.975,0.015,-1.79,0.493,0.479,0.003,0.002,-0.056,-0.029,-0.491,-0.477,-0.521,-0.522,-0.03,-0.059,-0.491,-0.001,0.009,0.491,0.498,0.01,-0.522,-0.463,-1.027,0.505,-0.938,0.52,0.939,0.999,0.994,1.024,0.508,-0.464,0.674,0.99
2016-08-09,CTD8,4174178,693048,0.0072016288,0.014691961,0.03194853,0.012039777,0.009660854,0.002625595,0.0025598314,0.0009726671,,-0.37,36.764,0.099,-14.994,0.207,-35.446,0.453,-51.758,0.536,-72.21,0.11,-20.453,0.443,0.355,-0.479,-0.145,-1.132,-0.427,-0.76,-0.5,-1.061,-0.869,-0.3,-0.653,-0.795,0.064,0.114,0.818,0.834,0.051,-0.786,-0.343,-2.087,0.918,-1.133,1.144,0.928,1.372,1.996,2.488,0.517,-0.281,0.573,0.946
2016-08-09,CTD9,4171106,693183,0.008362279,0.017411238,0.04186019,0.023088388,0.021096075,0.006163713,0.0060365894,0.0023062266,,-0.412,33.545,-0.14,14.122,-0.096,10.032,0.289,-19.423,0.33,-23.513,0.045,-4.09,0.775,0.708,0.591,0.298,0.42,0.232,-0.338,-0.41,-0.409,-0.543,-0.071,-0.171,-0.553,-0.09,-0.057,0.487,0.513,0.034,-0.679,-0.498,-1.23,0.25,-0.988,0.274,1.31,1.49,0.601,0.658,0.822,-0.66,0.683,0.969
2016-08-09,CTD10,4170388,695646,0.01151079,0.01888683,0.034291938,0.015519169,0.01479767,0.004348766,0.004272911,0.0016468397,,-0.29,23.786,0.098,-11.489,0.121,-14.631,0.377,-35.275,0.397,-38.417,0.024,-3.142,0.369,0.352,-0.394,-0.17,-0.502,-0.227,-0.666,-0.522,-0.726,-0.596,-0.059,-0.108,-0.508,0.069,0.082,0.557,0.567,0.014,-0.498,-0.403,-1.1,0.785,-0.933,0.824,0.767,0.862,1.426,1.496,0.39,-0.331,0.647,0.986
