Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.0062655886,0.014338388,0.03775184,0.018194964,0.01568579,0.0049948087,6.89,-0.449,43.254,-0.119,14.783,-0.045,5.991,0.35,-28.471,0.413,-37.263,0.074,-8.792,0.787,0.678,0.558,0.232,0.226,0.109,-0.408,-0.447,-0.534,-0.678,-0.126,-0.332,-0.691,-0.072,-0.024,0.651,0.678,0.048,-0.78,-0.482,-1.619,0.373,-1.161,0.432,1.473,1.771,0.981,1.138,0.853,-0.612,0.625,0.955
2016-08-09,CTD2,4181518,693105,0.008635413,0.014675289,0.027244799,0.0133061735,0.012020914,0.003979198,5.08,-0.3,31.438,0.049,-7.011,0.099,-15.047,0.344,-38.449,0.388,-46.484,0.051,-8.035,0.418,0.378,-0.191,-0.084,-0.41,-0.2,-0.564,-0.462,-0.682,-0.619,-0.118,-0.219,-0.496,0.035,0.065,0.522,0.544,0.031,-0.568,-0.365,-1.164,0.662,-0.827,0.732,0.75,0.953,1.228,1.36,0.465,-0.331,0.667,0.968
2016-08-09,CTD3,4181698,695238,0.006063702,0.012385081,0.024317529,0.010797177,0.0092707565,0.0027637433,4.04,-0.325,39.62,0.068,-11.874,0.144,-27.124,0.385,-51.494,0.448,-66.743,0.076,-15.249,0.428,0.367,-0.289,-0.11,-0.66,-0.293,-0.638,-0.477,-0.827,-0.721,-0.189,-0.371,-0.595,0.047,0.089,0.624,0.649,0.042,-0.655,-0.349,-1.476,0.766,-0.916,0.892,0.799,1.105,1.504,1.751,0.491,-0.305,0.632,0.957
2016-08-09,CTD4,4180266,698264,0.011091253,0.017458955,0.029071731,0.012697575,0.012085402,0.003906721,3.96,-0.25,22.88,0.158,-21.478,0.182,-25.467,0.392,-44.358,0.413,-48.347,0.025,-3.989,0.291,0.277,-0.624,-0.26,-0.74,-0.323,-0.774,-0.536,-0.844,-0.614,-0.07,-0.116,-0.469,0.116,0.129,0.554,0.563,0.013,-0.45,-0.351,-1.031,0.959,-0.845,1.008,0.614,0.713,1.597,1.678,0.312,-0.255,0.648,0.985
2016-08-09,CTD5,4179450,700268,0.0067816353,0.015776077,0.019587496,0.0036225363,0.0023441745,0.0005780486,0.135,-0.108,12.334,0.627,-212.663,0.741,-363.202,0.688,-224.997,0.786,-375.536,0.214,-150.54,0.045,0.029,-4.166,-0.499,-7.114,-1.316,-3.55,-0.527,-5.924,-1.36,-2.375,-2.949,-0.639,0.554,0.579,0.881,0.889,0.036,-0.74,0.158,-4.001,4.235,1.323,6.545,-0.304,0.594,5.259,8.126,0.11,0.036,0.549,0.945
2016-08-09,CTD6,4176009,695829,0.006558838,0.012759687,0.024899956,0.00929821,0.007552314,0.0023493853,4.23,-0.322,38.211,0.157,-29.176,0.256,-54.038,0.456,-67.387,0.535,-92.249,0.104,-24.862,0.355,0.289,-0.726,-0.22,-1.346,-0.502,-0.86,-0.509,-1.177,-0.858,-0.317,-0.619,-0.72,0.107,0.152,0.768,0.786,0.046,-0.719,-0.3,-1.925,1.069,-0.988,1.316,0.72,1.139,2.086,2.568,0.425,-0.218,0.586,0.949
2016-08-09,CTD7,4176724,690397,0.009397984,0.016622407,0.03350246,0.016982196,0.015585383,0.0051091937,5.94,-0.337,30.311,-0.011,1.275,0.032,-4.003,0.327,-29.037,0.365,-34.314,0.043,-5.277,0.515,0.472,0.043,0.02,-0.134,-0.068,-0.483,-0.453,-0.57,-0.583,-0.088,-0.177,-0.518,-0.007,0.021,0.513,0.533,0.028,-0.593,-0.422,-1.171,0.514,-0.906,0.56,0.926,1.098,1.035,1.128,0.556,-0.431,0.67,0.972
2016-08-09,CTD8,4174178,693048,0.007126262,0.01473835,0.0322609,0.01219616,0.009335985,0.002649443,6.3,-0.373,36.853,0.094,-14.143,0.224,-39.262,0.451,-50.996,0.551,-76.115,0.133,-25.119,0.449,0.344,-0.456,-0.132,-1.267,-0.479,-0.752,-0.476,-1.122,-0.928,-0.37,-0.81,-0.814,0.061,0.122,0.833,0.851,0.061,-0.85,-0.309,-2.247,0.919,-1.067,1.201,0.883,1.423,2.012,2.628,0.538,-0.255,0.573,0.936
2016-08-09,CTD9,4171106,693183,0.0082603535,0.017325357,0.04256025,0.023209432,0.020334028,0.0064014266,,-0.421,34.223,-0.145,14.633,-0.08,8.54,0.294,-19.59,0.353,-25.683,0.066,-6.093,0.794,0.696,0.623,0.298,0.363,0.198,-0.339,-0.398,-0.445,-0.596,-0.106,-0.259,-0.58,-0.094,-0.046,0.514,0.548,0.048,-0.734,-0.469,-1.347,0.269,-0.982,0.307,1.315,1.58,0.66,0.753,0.862,-0.628,0.677,0.956
2016-08-09,CTD10,4170388,695646,0.011340514,0.01867499,0.034448933,0.015658608,0.0138024045,0.0044444236,4.72,-0.297,24.519,0.088,-10.315,0.15,-18.904,0.375,-34.834,0.428,-43.423,0.063,-8.589,0.384,0.338,-0.355,-0.142,-0.651,-0.296,-0.651,-0.481,-0.811,-0.68,-0.16,-0.296,-0.535,0.063,0.097,0.579,0.601,0.035,-0.592,-0.339,-1.303,0.792,-0.847,0.898,0.71,0.963,1.461,1.657,0.438,-0.285,0.646,0.963
