Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,Chl,dif_norm_rtoa_B2_B3,dif_inv_rtoa_B2_B3,dif_norm_rtoa_B2_B4,dif_inv_rtoa_B2_B4,dif_norm_rtoa_B2_B5,dif_inv_rtoa_B2_B5,dif_norm_rtoa_B3_B4,dif_inv_rtoa_B3_B4,dif_norm_rtoa_B3_B5,dif_inv_rtoa_B3_B5,dif_norm_rtoa_B4_B5,dif_inv_rtoa_B4_B5,dall_gitelson_rtoa_B2_B3_B4,dall_gitelson_rtoa_B2_B3_B5,dall_gitelson_rtoa_B2_B4_B3,dall_gitelson_rtoa_B2_B4_B5,dall_gitelson_rtoa_B2_B5_B3,dall_gitelson_rtoa_B2_B5_B4,dall_gitelson_rtoa_B3_B4_B2,dall_gitelson_rtoa_B3_B4_B5,dall_gitelson_rtoa_B3_B5_B2,dall_gitelson_rtoa_B3_B5_B4,dall_gitelson_rtoa_B4_B5_B2,dall_gitelson_rtoa_B4_B5_B3,dif_norm_4_bands_rtoa_B2_B3_B4_B5,dif_norm_4_bands_rtoa_B2_B4_B3_B5,dif_norm_4_bands_rtoa_B2_B5_B3_B4,dif_norm_4_bands_rtoa_B3_B4_B2_B5,dif_norm_4_bands_rtoa_B3_B5_B2_B4,dif_norm_4_bands_rtoa_B4_B5_B2_B3,dif_rel_4bands_rtoa_B2_B3_B4_B5,dif_rel_4bands_rtoa_B2_B3_B5_B4,dif_rel_4bands_rtoa_B2_B4_B3_B5,dif_rel_4bands_rtoa_B2_B4_B5_B3,dif_rel_4bands_rtoa_B2_B5_B3_B4,dif_rel_4bands_rtoa_B2_B5_B4_B3,dif_rel_4bands_rtoa_B3_B2_B4_B5,dif_rel_4bands_rtoa_B3_B2_B5_B4,dif_rel_4bands_rtoa_B3_B4_B5_B2,dif_rel_4bands_rtoa_B3_B5_B4_B2,dif_rel_4bands_rtoa_B4_B2_B5_B3,dif_rel_4bands_rtoa_B4_B3_B5_B2,sum_norm_3bands_rtoa_B2_B4_B3,sum_norm_3bands_rtoa_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.1167,0.0877,0.0707,0.0433,0.0364,0.026,0.0241,0.0208,0.019,0.0066,0.0005,0.0093,0.0074,6.76,0.107,-2.742,0.339,-11.692,0.413,-16.07,0.24,-8.95,0.32,-13.328,0.087,-4.378,-0.119,-0.1,-0.827,-0.426,-1.136,-0.696,-0.785,-0.326,-1.169,-0.577,-0.384,-0.31,0.213,0.415,0.45,0.221,0.262,0.044,0.051,0.4,0.083,1.511,0.777,1.797,-0.383,-0.034,1.218,1.449,-0.021,0.197,0.827,0.939
2016-08-09,CTD2,4181518,693105,0.1216,0.0935,0.0707,0.0489,0.0419,0.0343,0.033,0.0295,0.0283,0.0088,0.0007,0.0175,0.0144,4.713,0.139,-3.449,0.313,-9.755,0.381,-13.171,0.182,-6.306,0.256,-9.722,0.077,-3.416,-0.169,-0.145,-0.69,-0.409,-0.931,-0.644,-0.59,-0.264,-0.909,-0.475,-0.319,-0.242,0.251,0.396,0.431,0.161,0.202,0.043,0.155,0.466,0.225,1.319,0.786,1.54,-0.411,-0.101,0.998,1.164,-0.07,0.244,0.867,0.941
2016-08-09,CTD3,4181698,695238,0.1208,0.093,0.0697,0.0481,0.0413,0.0344,0.0328,0.0295,0.0282,0.0088,0.0006,0.0185,0.0148,3.853,0.143,-3.595,0.318,-10.037,0.385,-13.46,0.183,-6.443,0.256,-9.866,0.076,-3.423,-0.173,-0.148,-0.7,-0.415,-0.938,-0.647,-0.599,-0.266,-0.918,-0.475,-0.318,-0.239,0.261,0.405,0.439,0.161,0.201,0.042,0.17,0.476,0.246,1.341,0.803,1.562,-0.415,-0.109,1.005,1.17,-0.075,0.246,0.867,0.942
2016-08-09,CTD4,4180266,698264,0.1239,0.0948,0.0712,0.0497,0.0439,0.0367,0.0349,0.0309,0.0309,0.009,0.0005,0.019,0.0141,3.567,0.142,-3.496,0.312,-9.572,0.367,-12.231,0.178,-6.076,0.237,-8.734,0.062,-2.658,-0.174,-0.153,-0.682,-0.42,-0.871,-0.608,-0.576,-0.267,-0.828,-0.434,-0.252,-0.189,0.252,0.392,0.421,0.155,0.189,0.035,0.199,0.448,0.286,1.291,0.727,1.461,-0.381,-0.132,0.97,1.098,-0.092,0.235,0.87,0.952
2016-08-09,CTD5,4179450,700268,0.1242,0.0983,0.0747,0.0407,0.0348,0.0312,0.0295,0.027,0.0259,0.0081,0.0007,0.0168,0.0135,0.1265,0.136,-3.214,0.414,-14.397,0.477,-18.563,0.295,-11.183,0.364,-15.349,0.078,-4.166,-0.131,-0.112,-1.075,-0.501,-1.387,-0.756,-1.099,-0.389,-1.509,-0.625,-0.409,-0.311,0.313,0.526,0.55,0.255,0.287,0.034,0.146,0.461,0.269,1.949,0.989,2.28,-0.41,-0.095,1.481,1.733,-0.052,0.191,0.803,0.949
2016-08-09,CTD6,4176009,695829,0.117,0.0879,0.0648,0.0413,0.0345,0.0281,0.0263,0.0235,0.0219,0.007,0.0006,0.0125,0.0096,4.473,0.151,-4.056,0.361,-12.837,0.436,-17.609,0.221,-8.781,0.305,-13.553,0.09,-4.772,-0.167,-0.14,-0.832,-0.443,-1.141,-0.727,-0.772,-0.303,-1.191,-0.56,-0.419,-0.309,0.305,0.469,0.503,0.192,0.235,0.045,0.159,0.521,0.25,1.596,0.979,1.91,-0.46,-0.098,1.177,1.408,-0.063,0.245,0.846,0.936
2016-08-09,CTD7,4176724,690397,0.1215,0.0938,0.0744,0.0511,0.0442,0.0349,0.0334,0.0299,0.0283,0.0087,0.0007,0.018,0.014,5.82,0.115,-2.78,0.295,-8.908,0.359,-11.963,0.186,-6.129,0.255,-9.184,0.072,-3.055,-0.142,-0.123,-0.663,-0.394,-0.89,-0.611,-0.575,-0.271,-0.861,-0.469,-0.287,-0.227,0.204,0.36,0.395,0.169,0.208,0.041,0.105,0.396,0.152,1.242,0.666,1.435,-0.363,-0.072,0.985,1.138,-0.049,0.216,0.861,0.945
2016-08-09,CTD8,4174178,693048,0.1183,0.0903,0.0713,0.0438,0.037,0.0292,0.0272,0.0243,0.0227,0.007,0.0005,0.0128,0.0098,6.113,0.118,-2.951,0.347,-11.757,0.419,-15.953,0.239,-8.806,0.317,-13.002,0.084,-4.196,-0.129,-0.109,-0.838,-0.435,-1.137,-0.699,-0.795,-0.326,-1.174,-0.569,-0.379,-0.299,0.235,0.429,0.463,0.216,0.256,0.042,0.083,0.422,0.135,1.543,0.813,1.826,-0.394,-0.055,1.218,1.442,-0.034,0.205,0.83,0.941
2016-08-09,CTD9,4171106,693183,0.1233,0.098,0.0838,0.059,0.0505,0.0375,0.0362,0.0324,0.0311,0.0093,0.0006,0.0212,0.0166,6.2,0.078,-1.729,0.248,-6.745,0.32,-9.598,0.174,-5.016,0.248,-7.869,0.078,-2.853,-0.102,-0.087,-0.565,-0.341,-0.804,-0.566,-0.492,-0.253,-0.771,-0.464,-0.28,-0.239,0.13,0.29,0.333,0.167,0.212,0.047,0.001,0.314,0.002,1.058,0.52,1.237,-0.313,-0.001,0.905,1.057,-0.001,0.189,0.864,0.94
2016-08-09,CTD10,4170388,695646,0.1199,0.0927,0.0737,0.0485,0.041,0.0333,0.0321,0.0281,0.0268,0.0084,0.0006,0.0166,0.0135,4.25,0.114,-2.781,0.313,-9.831,0.387,-13.603,0.206,-7.05,0.285,-10.822,0.084,-3.772,-0.135,-0.114,-0.725,-0.403,-1.003,-0.66,-0.654,-0.289,-1.003,-0.525,-0.35,-0.278,0.212,0.385,0.423,0.188,0.232,0.045,0.075,0.412,0.114,1.355,0.741,1.603,-0.388,-0.05,1.077,1.274,-0.033,0.216,0.849,0.939
