Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,Chl,dif_norm_rtoa_B2_B3,dif_inv_rtoa_B2_B3,dif_norm_rtoa_B2_B4,dif_inv_rtoa_B2_B4,dif_norm_rtoa_B2_B5,dif_inv_rtoa_B2_B5,dif_norm_rtoa_B3_B4,dif_inv_rtoa_B3_B4,dif_norm_rtoa_B3_B5,dif_inv_rtoa_B3_B5,dif_norm_rtoa_B4_B5,dif_inv_rtoa_B4_B5,dall_gitelson_rtoa_B2_B3_B4,dall_gitelson_rtoa_B2_B3_B5,dall_gitelson_rtoa_B2_B4_B3,dall_gitelson_rtoa_B2_B4_B5,dall_gitelson_rtoa_B2_B5_B3,dall_gitelson_rtoa_B2_B5_B4,dall_gitelson_rtoa_B3_B4_B2,dall_gitelson_rtoa_B3_B4_B5,dall_gitelson_rtoa_B3_B5_B2,dall_gitelson_rtoa_B3_B5_B4,dall_gitelson_rtoa_B4_B5_B2,dall_gitelson_rtoa_B4_B5_B3,dif_norm_4_bands_rtoa_B2_B3_B4_B5,dif_norm_4_bands_rtoa_B2_B4_B3_B5,dif_norm_4_bands_rtoa_B2_B5_B3_B4,dif_norm_4_bands_rtoa_B3_B4_B2_B5,dif_norm_4_bands_rtoa_B3_B5_B2_B4,dif_norm_4_bands_rtoa_B4_B5_B2_B3,dif_rel_4bands_rtoa_B2_B3_B4_B5,dif_rel_4bands_rtoa_B2_B3_B5_B4,dif_rel_4bands_rtoa_B2_B4_B3_B5,dif_rel_4bands_rtoa_B2_B4_B5_B3,dif_rel_4bands_rtoa_B2_B5_B3_B4,dif_rel_4bands_rtoa_B2_B5_B4_B3,dif_rel_4bands_rtoa_B3_B2_B4_B5,dif_rel_4bands_rtoa_B3_B2_B5_B4,dif_rel_4bands_rtoa_B3_B4_B5_B2,dif_rel_4bands_rtoa_B3_B5_B4_B2,dif_rel_4bands_rtoa_B4_B2_B5_B3,dif_rel_4bands_rtoa_B4_B3_B5_B2,sum_norm_3bands_rtoa_B2_B4_B3,sum_norm_3bands_rtoa_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.1166,0.088,0.0713,0.0427,0.0373,0.0259,0.024,0.0213,0.0194,0.0065,0.0005,0.0092,0.0075,6.89,0.105,-2.662,0.347,-12.056,0.405,-15.446,0.251,-9.394,0.313,-12.784,0.068,-3.39,-0.114,-0.099,-0.86,-0.45,-1.101,-0.66,-0.827,-0.35,-1.125,-0.546,-0.298,-0.242,0.209,0.417,0.445,0.228,0.26,0.034,0.089,0.361,0.149,1.538,0.689,1.76,-0.335,-0.063,1.246,1.426,-0.038,0.175,0.82,0.953
2016-08-09,CTD2,4181518,693105,0.1218,0.0926,0.0705,0.0474,0.0417,0.0341,0.0324,0.0287,0.028,0.0088,0.0007,0.0175,0.0145,,0.135,-3.385,0.323,-10.298,0.379,-13.182,0.196,-6.913,0.257,-9.796,0.064,-2.884,-0.16,-0.141,-0.726,-0.429,-0.929,-0.625,-0.64,-0.288,-0.907,-0.464,-0.267,-0.203,0.248,0.403,0.432,0.172,0.206,0.035,0.177,0.434,0.263,1.362,0.733,1.548,-0.375,-0.118,1.037,1.179,-0.08,0.222,0.858,0.952
2016-08-09,CTD3,4181698,695238,0.1208,0.0931,0.0698,0.0482,0.0416,0.0344,0.0333,0.03,0.0293,0.0088,0.0007,0.0188,0.0145,,0.143,-3.586,0.318,-10.006,0.382,-13.297,0.183,-6.42,0.253,-9.712,0.073,-3.292,-0.173,-0.149,-0.698,-0.416,-0.928,-0.641,-0.598,-0.267,-0.904,-0.468,-0.306,-0.23,0.259,0.403,0.436,0.16,0.2,0.041,0.175,0.471,0.254,1.336,0.79,1.547,-0.409,-0.113,1.001,1.16,-0.078,0.244,0.867,0.944
2016-08-09,CTD4,4180266,698264,0.1283,0.0901,0.0666,0.043,0.042,0.0314,0.0309,0.0277,0.0273,0.0107,0.0005,0.0195,0.0145,,0.15,-3.916,0.354,-12.157,0.364,-12.711,0.215,-8.241,0.227,-8.795,0.012,-0.554,-0.168,-0.164,-0.81,-0.511,-0.847,-0.547,-0.742,-0.346,-0.792,-0.378,-0.05,-0.037,0.276,0.434,0.439,0.179,0.185,0.006,0.329,0.376,0.51,1.465,0.596,1.5,-0.285,-0.238,1.083,1.108,-0.153,0.179,0.849,0.991
2016-08-09,CTD5,4179450,700268,0.1245,0.1004,0.0771,0.0413,0.0339,0.032,0.0293,0.0262,0.0264,0.0082,0.0007,0.0167,0.0137,0.12,0.131,-3.01,0.417,-14.253,0.495,-19.538,0.302,-11.243,0.389,-16.528,0.098,-5.285,-0.124,-0.102,-1.099,-0.483,-1.506,-0.807,-1.129,-0.381,-1.659,-0.683,-0.531,-0.408,0.31,0.532,0.562,0.267,0.305,0.042,0.084,0.481,0.157,1.991,1.095,2.426,-0.45,-0.053,1.529,1.863,-0.028,0.198,0.798,0.938
2016-08-09,CTD6,4176009,695829,0.1171,0.0881,0.0651,0.0413,0.0349,0.028,0.0259,0.0243,0.0221,0.007,0.0006,0.0129,0.0096,,0.15,-4.01,0.362,-12.862,0.433,-17.303,0.224,-8.852,0.302,-13.292,0.084,-4.44,-0.166,-0.14,-0.837,-0.449,-1.126,-0.715,-0.78,-0.309,-1.171,-0.549,-0.391,-0.289,0.302,0.468,0.5,0.193,0.233,0.042,0.17,0.508,0.268,1.597,0.948,1.89,-0.444,-0.106,1.18,1.397,-0.067,0.238,0.845,0.94
2016-08-09,CTD7,4176724,690397,0.1219,0.0953,0.0755,0.0527,0.0456,0.0357,0.0359,0.0315,0.0306,0.0088,0.0007,0.0193,0.0155,,0.116,-2.752,0.288,-8.482,0.353,-11.437,0.178,-5.73,0.247,-8.685,0.072,-2.954,-0.145,-0.125,-0.64,-0.387,-0.863,-0.603,-0.546,-0.261,-0.828,-0.458,-0.282,-0.223,0.201,0.352,0.388,0.162,0.202,0.042,0.107,0.397,0.153,1.204,0.657,1.392,-0.363,-0.073,0.954,1.103,-0.051,0.22,0.867,0.945
2016-08-09,CTD8,4174178,693048,0.1178,0.0891,0.0695,0.0414,0.0359,0.0272,0.0245,0.0225,0.0224,0.0069,0.0005,0.0117,0.0085,,0.124,-3.165,0.366,-12.931,0.426,-16.632,0.253,-9.766,0.319,-13.467,0.071,-3.701,-0.131,-0.114,-0.899,-0.464,-1.156,-0.689,-0.87,-0.351,-1.2,-0.558,-0.33,-0.257,0.254,0.453,0.48,0.225,0.257,0.035,0.129,0.415,0.216,1.636,0.803,1.886,-0.373,-0.087,1.276,1.471,-0.052,0.193,0.823,0.95
2016-08-09,CTD9,4171106,693183,0.123,0.0984,0.0846,0.0574,0.0497,0.0373,0.0354,0.0313,0.0315,0.0093,0.0005,0.0215,0.0162,,0.075,-1.658,0.263,-7.259,0.329,-9.958,0.192,-5.601,0.26,-8.3,0.072,-2.699,-0.095,-0.082,-0.614,-0.361,-0.842,-0.572,-0.551,-0.278,-0.817,-0.476,-0.266,-0.228,0.129,0.305,0.343,0.184,0.224,0.042,0.008,0.297,0.012,1.127,0.506,1.301,-0.295,-0.006,0.969,1.119,-0.004,0.173,0.851,0.946
2016-08-09,CTD10,4170388,695646,0.1199,0.0925,0.0743,0.0492,0.0411,0.0326,0.033,0.0283,0.0267,0.0084,0.0006,0.0167,0.0137,,0.109,-2.648,0.306,-9.514,0.385,-13.52,0.203,-6.866,0.288,-10.872,0.09,-4.006,-0.13,-0.109,-0.707,-0.391,-1.005,-0.665,-0.635,-0.282,-1.006,-0.535,-0.371,-0.298,0.202,0.375,0.416,0.188,0.234,0.049,0.048,0.41,0.072,1.327,0.74,1.588,-0.394,-0.032,1.066,1.276,-0.021,0.218,0.85,0.934
