Date,Buoy,Chl
2016-06-08,CTD8,4.93
2016-06-29,CTD4,6.1
2016-08-02,CTD1,5.84
2016-08-02,CTD10,8.25
2016-08-02,CTD11,6.33
2016-08-02,CTD12,7.14
2016-08-02,CTD2,5.69
2016-08-02,CTD3,4.91
2016-08-02,CTD4,4.82
2016-08-02,CTD6,6.28
2016-08-02,CTD7,7.47
2016-08-02,CTD8,7.93
2016-08-02,CTD9,
2016-08-04,CTD1,6.87
2016-08-04,CTD10,6.25
2016-08-04,CTD11,5.93
2016-08-04,CTD12,6.06
2016-08-04,CTD2,4.94
2016-08-04,CTD3,3.97
2016-08-04,CTD4,4.47
2016-08-04,CTD6,5.56
2016-08-04,CTD7,5.2
2016-08-04,CTD8,7.18
2016-08-04,CTD9,
2016-08-09,CTD1,6.89
2016-08-09,CTD10,4.72
2016-08-09,CTD11,3.95
2016-08-09,CTD12,4.48
2016-08-09,CTD2,5.08
2016-08-09,CTD3,4.04
2016-08-09,CTD4,3.96
2016-08-09,CTD5,0.15
2016-08-09,CTD6,4.23
2016-08-09,CTD7,5.94
2016-08-09,CTD8,6.3
2016-08-09,CTD9,
2016-08-22,CTD12,7.957
2016-08-25,CTD1,6.87
2016-08-25,CTD10,11.76
2016-08-25,CTD11,10.6
2016-08-25,CTD2,6.07
2016-08-25,CTD3,4.96
2016-08-25,CTD4,
2016-08-25,CTD5,1.27
2016-08-25,CTD6,8.18
2016-08-25,CTD7,9.37
2016-08-25,CTD8,9.77
2016-08-25,CTD9,
2016-08-26,CTD4,
2016-08-27,CTD4,5.35
2016-08-30,CTD1,
2016-08-30,CTD10,8.41
2016-08-30,CTD11,7.6
2016-08-30,CTD2,5.62
2016-08-30,CTD3,4.89
2016-08-30,CTD4,4.22
2016-08-30,CTD5,0.62
2016-08-30,CTD6,5.73
2016-08-30,CTD7,11.92
2016-08-30,CTD8,7.07
2016-08-30,CTD9,
2016-08-31,CTD1,
2016-09-01,CTD1,7.0
2016-09-06,CTD1,4.87
2016-09-06,CTD10,6.08
2016-09-06,CTD11,6.87
2016-09-06,CTD12,
2016-09-06,CTD2,4.01
2016-09-06,CTD3,4.0
2016-09-06,CTD4,4.24
2016-09-06,CTD5,0.28
2016-09-06,CTD6,4.34
