Date,Buoy,Chl
2016-06-08,CTD8,4.58
2016-06-29,CTD4,6.042
2016-08-02,CTD1,5.585
2016-08-02,CTD10,7.8
2016-08-02,CTD11,6.12
2016-08-02,CTD12,6.93
2016-08-02,CTD2,5.515
2016-08-02,CTD3,4.705
2016-08-02,CTD4,4.735
2016-08-02,CTD6,6.045
2016-08-02,CTD7,7.4
2016-08-02,CTD8,7.73
2016-08-02,CTD9,24.44
2016-08-04,CTD1,6.81
2016-08-04,CTD10,5.44
2016-08-04,CTD11,5.36
2016-08-04,CTD12,6.075
2016-08-04,CTD2,4.665
2016-08-04,CTD3,3.925
2016-08-04,CTD4,4.005
2016-08-04,CTD6,5.395
2016-08-04,CTD7,5.39
2016-08-04,CTD8,6.49
2016-08-04,CTD9,7.71
2016-08-09,CTD1,6.835
2016-08-09,CTD10,4.22
2016-08-09,CTD11,3.73
2016-08-09,CTD12,4.235
2016-08-09,CTD2,4.805
2016-08-09,CTD3,3.9
2016-08-09,CTD4,3.595
2016-08-09,CTD5,0.1275
2016-08-09,CTD6,4.58
2016-08-09,CTD7,5.89
2016-08-09,CTD8,6.195
2016-08-09,CTD9,6.2
2016-08-22,CTD12,7.66
2016-08-25,CTD1,6.58
2016-08-25,CTD10,11.575
2016-08-25,CTD11,9.0
2016-08-25,CTD2,6.12
2016-08-25,CTD3,4.865
2016-08-25,CTD4,3.66
2016-08-25,CTD5,1.1125
2016-08-25,CTD6,7.795
2016-08-25,CTD7,8.925
2016-08-25,CTD8,9.26
2016-08-25,CTD9,22.11
2016-08-26,CTD4,
2016-08-27,CTD4,5.35
2016-08-30,CTD1,5.94
2016-08-30,CTD10,8.065
2016-08-30,CTD11,7.04
2016-08-30,CTD2,5.515
2016-08-30,CTD3,4.945
2016-08-30,CTD4,4.245
2016-08-30,CTD5,0.485
2016-08-30,CTD6,5.565
2016-08-30,CTD7,11.425
2016-08-30,CTD8,6.775
2016-08-30,CTD9,12.22
2016-08-31,CTD1,
2016-09-01,CTD1,7.0
2016-09-06,CTD1,4.84
2016-09-06,CTD10,5.715
2016-09-06,CTD11,6.545
2016-09-06,CTD12,3.33
2016-09-06,CTD2,3.745
2016-09-06,CTD3,3.8
2016-09-06,CTD4,3.955
2016-09-06,CTD5,0.28
2016-09-06,CTD6,4.15
2016-09-06,CTD7,7.0
2016-09-06,CTD8,5.96
2016-09-06,CTD9,5.77
2016-09-08,CTD1,4.93
2016-09-08,CTD10,4.9
2016-09-08,CTD11,4.68
2016-09-08,CTD12,3.94
2016-09-08,CTD2,4.12
2016-09-08,CTD3,3.74
2016-09-08,CTD4,3.37
2016-09-08,CTD5,0.09000000000000001
2016-09-08,CTD6,4.24
2016-09-08,CTD7,4.49
2016-09-08,CTD9,5.55
2016-09-22,CTD1,7.095
