Date,Buoy,Chl
2016-08-09,CTD5,0.135
2016-08-25,CTD5,1.165
2016-08-30,CTD5,0.53
2016-09-06,CTD5,0.28
2016-09-08,CTD5,0.13999999999999999
2016-09-22,CTD5,0.715
2016-09-29,CTD5,3.7525000000000004
2016-10-06,CTD5,1.4224999999999999
2016-10-14,CTD5,1.6835
2016-10-21,CTD5,0.9565
2016-10-28,CTD5,3.0185
2016-11-03,CTD5,0.98
2016-11-11,CTD5,1.3315000000000001
2016-11-18,CTD5,6.1675
2016-11-22,CTD5,1.3599999999999999
2016-12-02,CTD5,3.2859999999999996
2016-12-13,CTD5,1.124
2016-12-21,CTD5,6.574999999999999
2017-01-12,CTD5,9.5135
2017-01-26,CTD5,3.4000000000000004
2017-02-03,CTD5,1.6615000000000002
2017-02-10,CTD5,7.349
2017-02-16,CTD5,4.396
2017-02-24,CTD5,2.1035
2017-03-02,CTD5,0.9815
2017-03-22,CTD1,2.145
2017-03-22,CTD10,3.4005
2017-03-22,CTD11,1.3205
2017-03-22,CTD12,2.7755
2017-03-22,CTD2,2.0614999999999997
2017-03-22,CTD3,1.8279999999999998
2017-03-22,CTD4,1.9495
2017-03-22,CTD5,0.6465
2017-03-22,CTD6,2.336
2017-03-22,CTD7,3.5365
2017-03-22,CTD8,3.5585
2017-03-22,CTD9,4.166
2017-03-30,CTD1,4.4495000000000005
2017-03-30,CTD10,3.0164999999999997
2017-03-30,CTD11,1.119
2017-03-30,CTD12,2.518
2017-03-30,CTD2,2.1885
2017-03-30,CTD3,1.475
2017-03-30,CTD4,1.346
2017-03-30,CTD5,0.7314999999999999
2017-03-30,CTD6,2.1365
2017-03-30,CTD7,4.147
2017-03-30,CTD8,2.956
2017-03-30,CTD9,3.301
2017-04-05,CTD1,1.7545
2017-04-05,CTD10,3.3049999999999997
2017-04-05,CTD11,1.0935
2017-04-05,CTD12,2.0555000000000003
2017-04-05,CTD2,1.616
2017-04-05,CTD3,1.5655000000000001
2017-04-05,CTD4,1.278
2017-04-05,CTD5,0.5765
2017-04-05,CTD6,2.2835
2017-04-05,CTD7,5.1035
2017-04-05,CTD8,2.452
2017-04-05,CTD9,1.534
