Date,Buoy,Chl
2016-06-08,CTD8,
2016-06-29,CTD4,6.135
2016-08-02,CTD1,5.84
2016-08-02,CTD10,
2016-08-02,CTD11,
2016-08-02,CTD12,
2016-08-02,CTD2,
2016-08-02,CTD3,
2016-08-02,CTD4,
2016-08-02,CTD6,
2016-08-02,CTD7,
2016-08-02,CTD8,
2016-08-02,CTD9,
2016-08-04,CTD1,6.87
2016-08-04,CTD10,
2016-08-04,CTD11,
2016-08-04,CTD12,
2016-08-04,CTD2,
2016-08-04,CTD3,
2016-08-04,CTD4,
2016-08-04,CTD6,
2016-08-04,CTD7,
2016-08-04,CTD8,
2016-08-04,CTD9,
2016-08-09,CTD1,6.89
2016-08-09,CTD10,
2016-08-09,CTD11,
2016-08-09,CTD12,
2016-08-09,CTD2,
2016-08-09,CTD3,
2016-08-09,CTD4,
2016-08-09,CTD5,0.12
2016-08-09,CTD6,
2016-08-09,CTD7,
2016-08-09,CTD8,
2016-08-09,CTD9,
2016-08-22,CTD12,8.155
2016-08-25,CTD1,6.87
2016-08-25,CTD10,
2016-08-25,CTD11,
2016-08-25,CTD2,
2016-08-25,CTD3,
2016-08-25,CTD4,
2016-08-25,CTD5,1.06
2016-08-25,CTD6,
2016-08-25,CTD7,
2016-08-25,CTD8,
2016-08-25,CTD9,
2016-08-26,CTD4,
2016-08-27,CTD4,
2016-08-30,CTD1,
2016-08-30,CTD10,
2016-08-30,CTD11,
2016-08-30,CTD2,
2016-08-30,CTD3,
2016-08-30,CTD4,
2016-08-30,CTD5,0.44
2016-08-30,CTD6,
2016-08-30,CTD7,
2016-08-30,CTD8,
2016-08-30,CTD9,
2016-08-31,CTD1,
2016-09-01,CTD1,7.0
2016-09-06,CTD1,4.87
2016-09-06,CTD10,
2016-09-06,CTD11,
2016-09-06,CTD12,
2016-09-06,CTD2,
2016-09-06,CTD3,
2016-09-06,CTD4,
2016-09-06,CTD5,
2016-09-06,CTD6,
2016-09-06,CTD7,
2016-09-06,CTD8,
2016-09-06,CTD9,
2016-09-08,CTD1,4.95
2016-09-08,CTD10,
2016-09-08,CTD11,
2016-09-08,CTD12,
2016-09-08,CTD2,
